#Frequenz (Hz)	Gain (dB)	Gain (U_out/U_in)	Phase
100.000000	-24.720875	0.058071	88.700000
112.982271	-24.336985	0.060695	87.600000
127.649936	-22.676001	0.073485	85.600000
144.221796	-21.812214	0.081169	86.100000
162.945060	-20.997907	0.089147	86.500000
184.099030	-19.874204	0.101459	84.700000
207.999265	-18.753228	0.115435	83.200000
235.002293	-17.710135	0.130165	82.100000
265.510927	-15.935513	0.159670	83.200000
299.980275	-15.238798	0.173006	79.600000
338.924528	-14.152793	0.196047	78.900000
382.924628	-13.473283	0.212000	76.700000
432.636941	-12.670882	0.232518	76.400000
488.803041	-11.705251	0.259859	73.400000
552.260777	-10.690301	0.292069	72.400000
623.956767	-9.676294	0.328235	68.500000
704.960526	-8.870544	0.360141	67.800000
796.480411	-8.032688	0.396612	63.900000
899.881657	-6.947111	0.449412	62.000000
1016.706732	-5.838584	0.510588	58.100000
1148.698355	-4.368523	0.604747	56.100000
1297.825488	-4.546664	0.592471	51.300000
1466.312710	-4.027818	0.628940	49.300000
1656.673399	-3.348831	0.680078	45.900000
1871.747229	-3.037806	0.704871	40.000000
2114.742527	-2.658829	0.736306	37.600000
2389.284132	-2.175074	0.778478	35.700000
2699.467473	-2.019629	0.792535	30.500000
3049.919655	-1.794145	0.813379	28.500000
3445.868490	-1.569322	0.834707	25.000000
3893.220475	-1.424262	0.848764	22.700000
4398.648907	-1.281585	0.862821	21.400000
4969.693427	-0.736143	0.918740	19.300000
5614.872495	-1.074251	0.883665	16.400000
6343.810458	-1.003074	0.890936	13.600000
7167.381122	-0.666423	0.926145	14.000000
8097.869962	-0.937165	0.897722	11.300000
9149.157384	-0.737800	0.918565	10.200000
10336.925788	-0.735966	0.918759	8.700000
11678.893505	-0.399933	0.955000	6.500000
13195.079108	-0.666423	0.926145	6.200000
14908.100034	-0.666423	0.926145	6.900000
16843.509979	-0.470097	0.947317	6.100000
19030.180087	-0.532824	0.940500	4.300000
21500.729634	-0.666423	0.926145	3.900000
24292.012619	-0.602014	0.933038	3.300000
27445.667524	-0.468416	0.947500	2.500000
31008.738455	-0.602014	0.933038	2.800000
35034.376909	-0.532824	0.940500	2.300000
39582.634657	-0.468416	0.947500	1.700000
44721.359550	-0.194891	0.977812	3.900000
50527.207634	-0.402642	0.954702	1.100000
57086.786649	-0.336499	0.962000	1.200000
64497.947987	-0.402642	0.954702	2.800000
72871.246373	-0.533531	0.940423	1.500000
82331.589045	-0.402642	0.954702	0.000000
93020.099039	-0.470097	0.947317	1.000000
105096.220365	-0.533531	0.940423	0.000000
118740.096485	-0.533531	0.940423	0.000000
134155.257575	-0.605883	0.932622	0.000000
151571.656651	-0.533531	0.940423	0.800000
171249.099850	-0.402642	0.954702	0.000000
193481.122048	-0.470097	0.947317	1.000000
218599.365612	-0.605883	0.932622	0.000000
246978.527622	-0.336499	0.962000	-1.200000
279041.949347	-0.470097	0.947317	-1.400000
315267.931366	-0.470097	0.947317	-0.800000
356196.868537	-0.336499	0.962000	-0.900000
402439.311242	-0.470097	0.947317	0.000000
454685.073167	-0.336499	0.962000	0.000000
513713.521483	-0.399933	0.955000	-1.200000
580405.202916	-0.336499	0.962000	0.000000
655754.979155	-0.336499	0.962000	0.000000
740886.867531	-0.206555	0.976500	0.900000
837070.808348	-0.336499	0.962000	-1.000000
945741.609003	-0.336499	0.962000	1.100000
1068520.347479	-0.399933	0.955000	1.200000
1207238.554492	-0.336499	0.962000	0.000000
1363965.535042	-0.470097	0.947317	0.800000
1541039.236909	-0.269044	0.969500	-1.700000
1741101.126592	-0.062974	0.992776	2.900000
1967135.592927	-0.336499	0.962000	0.000000
2222514.466194	-0.336499	0.962000	1.200000
2511047.316822	-0.336499	0.962000	0.000000
2837038.283992	-0.336499	0.962000	0.000000
3205350.281898	-0.269044	0.969500	0.000000
3621477.541433	-0.200813	0.977146	-1.000000
4091627.569434	-0.336499	0.962000	1.100000
4622813.748095	-0.336499	0.962000	0.000000
5222959.955890	-0.336499	0.962000	1.400000
5901018.770674	0.031892	1.003678	-0.800000
6667105.018213	0.013762	1.001586	0.800000
7532646.658369	0.000000	1.000000	0.000000
8510555.259715	0.110709	1.012827	0.000000
9615418.605651	0.079495	1.009194	1.200000
1.086372E+7	0.014416	1.001661	2.800000
1.227408E+7	0.180404	1.020987	0.800000
1.386753E+7	0.293436	1.034360	1.700000
1.566785E+7	-0.074741	0.991432	1.900000
1.770189E+7	0.038641	1.004459	1.100000
2.000000E+7	-0.076945	0.991180	1.200000
