#Frequenz (Hz)	Gain (dB)	Gain (U_out/U_in)	Phase
100.000000	-0.121710	0.986085	-3.600000
112.982271	-0.121710	0.986085	-4.900000
127.649936	0.265492	1.031038	-4.600000
144.221796	0.265492	1.031038	-5.200000
162.945060	0.000000	1.000000	-5.900000
184.099030	0.265492	1.031038	-6.600000
207.999265	0.000000	1.000000	-6.800000
235.002293	-0.253442	0.971243	-7.700000
265.510927	-0.392791	0.955786	-10.600000
299.980275	-0.131732	0.984948	-9.800000
338.924528	-0.131732	0.984948	-11.100000
382.924628	-0.265492	0.969897	-12.600000
432.636941	-0.387202	0.956401	-14.400000
488.803041	-0.265492	0.969897	-16.200000
552.260777	-0.514501	0.942486	-18.400000
623.956767	-0.530665	0.940734	-20.700000
704.960526	-1.486833	0.842672	-23.400000
796.480411	-1.570235	0.834619	-25.000000
899.881657	-1.700888	0.822159	-27.900000
1016.706732	-1.916451	0.802006	-30.700000
1148.698355	-2.250706	0.771729	-33.800000
1297.825488	-2.598342	0.741452	-37.100000
1466.312710	-3.083829	0.701146	-39.500000
1656.673399	-3.533032	0.665807	-43.300000
1871.747229	-3.937278	0.635530	-46.900000
2114.742527	-4.805561	0.575072	-51.300000
2389.284132	-4.717972	0.580900	-55.000000
2699.467473	-5.898462	0.507081	-58.900000
3049.919655	-6.725817	0.461009	-60.400000
3445.868490	-7.533410	0.420078	-62.800000
3893.220475	-8.079690	0.394471	-64.800000
4398.648907	-8.906307	0.358661	-68.200000
4969.693427	-10.134127	0.311382	-69.500000
5614.872495	-11.443845	0.267798	-74.000000
6343.810458	-12.326237	0.241929	-75.200000
7167.381122	-13.396680	0.213878	-76.700000
8097.869962	-14.060999	0.198130	-75.600000
9149.157384	-15.296989	0.171850	-77.400000
10336.925788	-15.859317	0.161077	-79.900000
11678.893505	-17.505501	0.133268	-81.600000
13195.079108	-17.505501	0.133268	-82.600000
14908.100034	-18.474991	0.119193	-81.700000
16843.509979	-20.529625	0.094085	-83.800000
19030.180087	-21.558697	0.083573	-84.900000
21500.729634	-22.589295	0.074222	-86.100000
24292.012619	-23.681441	0.065453	-87.500000
27445.667524	-24.753283	0.057854	-87.500000
31008.738455	-24.930933	0.056683	-82.600000
35034.376909	-26.951678	0.044918	-87.400000
39582.634657	-26.824379	0.045581	-96.400000
44721.359550	-27.400096	0.042657	-84.000000
50527.207634	-28.274369	0.038573	-82.700000
57086.786649	-31.040977	0.028051	-89.400000
64497.947987	-30.595449	0.029528	-38.300000
72871.246373	-32.668600	0.023258	-91.700000
82331.589045	-33.615255	0.020856	-80.900000
93020.099039	-34.091256	0.019744	-96.100000
105096.220365	-36.506719	0.014951	-90.300000
118740.096485	-37.772580	0.012923	-92.500000
134155.257575	-35.788195	0.016240	-34.400000
151571.656651	-38.692876	0.011624	-93.200000
171249.099850	-39.714088	0.010335	-104.700000
193481.122048	-37.290085	0.013661	-87.600000
218599.365612	-41.884168	0.008050	-88.400000
246978.527622	-42.865413	0.007190	-87.200000
279041.949347	-43.877570	0.006399	-87.900000
315267.931366	-45.005093	0.005620	-87.900000
356196.868537	-45.974873	0.005026	-87.200000
402439.311242	-47.129378	0.004401	-88.100000
454685.073167	-48.049092	0.003959	-87.300000
513713.521483	-48.960438	0.003564	-86.000000
580405.202916	-50.180608	0.003097	-87.600000
655754.979155	-51.184714	0.002759	-86.800000
740886.867531	-52.070075	0.002492	-88.500000
837070.808348	-53.076368	0.002219	-91.200000
945741.609003	-54.035518	0.001987	-85.900000
1068520.347479	-55.254023	0.001727	-82.600000
1207238.554492	-56.622660	0.001475	-81.200000
1363965.535042	-57.317392	0.001362	-89.400000
1541039.236909	-58.480075	0.001191	-91.500000
1741101.126592	-60.074327	0.000991	-78.600000
1967135.592927	-60.361566	0.000959	-74.000000
2222514.466194	-62.389846	0.000759	-70.600000
2511047.316822	-63.104834	0.000699	-79.700000
2837038.283992	-64.286727	0.000610	-49.100000
3205350.281898	-64.944021	0.000566	-54.200000
3621477.541433	-64.755531	0.000578	-31.800000
4091627.569434	-64.011422	0.000630	-18.600000
4622813.748095	-62.296314	0.000768	-6.300000
5222959.955890	-61.592121	0.000833	-5.600000
5901018.770674	-59.566749	0.001051	7.600000
6667105.018213	-58.348642	0.001209	17.900000
7532646.658369	-55.885470	0.001606	16.200000
8510555.259715	-54.317180	0.001924	15.400000
9615418.605651	-52.389487	0.002402	20.700000
1.086372E+7	-50.573845	0.002960	13.900000
1.227408E+7	-48.853836	0.003608	11.300000
1.386753E+7	-46.144523	0.004929	9.300000
1.566785E+7	-43.710072	0.006524	8.600000
1.770189E+7	-41.143154	0.008767	3.300000
2.000000E+7	-38.914508	0.011331	2.400000
