# Zeit (s)	# Kanal 1 (V)	# Kanal 2 (V)	# D0-D7	
0.438	-0.00124996	-0.00124996	0
0.4385	-0.00124996	-0.00124996	0
0.439	-0.00749996	-0.00124996	0
0.4395	-0.00749996	-0.00124996	0
0.44	-0.00749996	-0.00124996	0
0.4405	-0.00124996	0.00500004	0
0.441	-0.00124996	-0.00124996	0
0.4415	-0.00124996	-0.00124996	0
0.442	-0.00124996	-0.00124996	0
0.4425	-0.00124996	-0.00124996	0
0.443	-0.00124996	-0.00124996	0
0.4435	-0.00124996	-0.00749996	0
0.444	-0.00124996	-0.00124996	0
0.4445	-0.00749996	-0.00749996	0
0.445	0.00500004	-0.00124996	0
0.4455	-0.00124996	-0.00124996	0
0.446	-0.00749996	-0.00749996	0
0.4465	-0.00124996	-0.00749996	0
0.447	-0.00749996	-0.00749996	0
0.4475	-0.00749996	-0.00749996	0
0.448	0.00500004	-0.00124996	0
0.4485	-0.00124996	-0.00124996	0
0.449	-0.00124996	-0.00124996	0
0.4495	-0.00124996	-0.00749996	0
0.45	-0.00124996	-0.00124996	0
0.4505	-0.00124996	-0.00749996	0
0.451	-0.00124996	-0.00749996	0
0.4515	-0.00124996	-0.00749996	0
0.452	-0.00124996	-0.00124996	0
0.4525	-0.00124996	-0.00749996	0
0.453	-0.00124996	-0.00124996	0
0.4535	-0.00124996	-0.00749996	0
0.454	-0.00124996	-0.00124996	0
0.4545	-0.00749996	-0.00124996	0
0.455	-0.00124996	-0.00124996	0
0.4555	-0.00124996	-0.00749996	0
0.456	-0.00124996	-0.00749996	0
0.4565	-0.00124996	-0.00124996	0
0.457	-0.00124996	-0.00749996	0
0.4575	-0.00749996	0.00500004	0
0.458	-0.00749996	-0.00749996	0
0.4585	-0.00749996	-0.00124996	0
0.459	-0.00124996	-0.00749996	0
0.4595	-0.00749996	-0.00124996	0
0.46	-0.00749996	-0.00749996	0
0.4605	-0.00749996	-0.00749996	0
0.461	-0.00749996	-0.00124996	0
0.4615	-0.00124996	-0.00124996	0
0.462	-0.00124996	-0.00124996	0
0.4625	-0.00124996	-0.00124996	0
0.463	-0.00124996	-0.00124996	0
0.4635	-0.00749996	-0.00749996	0
0.464	0.99875	0.98625	0
0.4645	0.99875	1.005	0
0.465	0.99875	0.99875	0
0.4655	0.9925	0.99875	0
0.466	0.9925	0.9925	0
0.4665	0.99875	0.99875	0
0.467	1.005	1.005	0
0.4675	1.005	0.99875	0
0.468	0.9925	0.99875	0
0.4685	0.99875	0.99875	0
0.469	0.9925	0.99875	0
0.4695	0.99875	0.99875	0
0.47	0.9925	0.99875	0
0.4705	0.99875	0.99875	0
0.471	1.005	0.9925	0
0.4715	0.9925	0.99875	0
0.472	0.99875	1.005	0
0.4725	0.9925	0.99875	0
0.473	0.9925	0.99875	0
0.4735	0.99875	1.005	0
0.474	0.99875	0.99875	0
0.4745	0.99875	0.99875	0
0.475	0.99875	0.99875	0
0.4755	1.005	1.005	0
0.476	0.99875	0.99875	0
0.4765	1.005	0.99875	0
0.477	0.99875	1.005	0
0.4775	0.99875	1.005	0
0.478	0.99875	1.005	0
0.4785	1.005	1.005	0
0.479	0.99875	0.99875	0
0.4795	1.005	0.99875	0
0.48	0.99875	0.99875	0
0.4805	1.005	1.005	0
0.481	0.99875	1.005	0
0.4815	0.99875	0.99875	0
0.482	0.9925	0.99875	0
0.4825	0.9925	0.99875	0
0.483	0.99875	0.99875	0
0.4835	1.005	0.99875	0
0.484	1.01125	1.005	0
0.4845	1.005	0.99875	0
0.485	0.99875	0.99875	0
0.4855	1.005	0.99875	0
0.486	0.99875	0.9925	0
0.4865	0.99875	0.9925	0
0.487	0.99875	0.99875	0
0.4875	0.99875	0.99875	0
0.488	0.99875	0.99875	0
0.4885	0.99875	0.99875	0
0.489	1.005	0.99875	0
0.4895	1.005	1.005	0
0.49	1.005	0.99875	0
0.4905	0.9925	0.99875	0
0.491	0.99875	1.005	0
0.4915	0.98625	0.99875	0
0.492	0.98625	0.99875	0
0.4925	0.99875	0.99875	0
0.493	0.9925	0.99875	0
0.4935	0.99875	0.99875	0
0.494	1.005	0.99875	0
0.4945	1.005	0.99875	0
0.495	0.99875	0.99875	0
0.4955	0.9925	0.99875	0
0.496	0.9925	1.005	0
0.4965	1.005	1.005	0
0.497	0.99875	0.99875	0
0.4975	0.99875	0.99875	0
0.498	0.9925	0.99875	0
0.4985	1.005	0.99875	0
0.499	0.99875	0.99875	0
0.4995	0.99875	1.005	0
0.5	0.98625	0.99875	0
0.5005	1.005	0.99875	0
0.501	1.005	1.005	0
0.5015	1.005	0.99875	0
0.502	0.99875	0.9925	0
0.5025	0.99875	0.99875	0
0.503	0.99875	0.99875	0
0.5035	1.005	1.005	0
0.504	0.99875	0.99875	0
0.5045	0.99875	1.005	0
0.505	0.9925	0.99875	0
0.5055	0.99875	0.99875	0
0.506	1.005	0.99875	0
0.5065	0.99875	1.005	0
0.507	0.9925	0.99875	0
0.5075	1.005	1.005	0
0.508	1.005	1.005	0
0.5085	0.99875	1.005	0
0.509	0.99875	1.005	0
0.5095	0.99875	0.99875	0
0.51	0.9925	0.99875	0
0.5105	0.99875	0.99875	0
0.511	0.99875	1.005	0
0.5115	0.99875	1.005	0
0.512	0.99875	0.99875	0
0.5125	0.99875	1.005	0
0.513	0.9925	0.9925	0
0.5135	0.99875	1.005	0
0.514	0.99875	0.99875	0
0.5145	0.9925	0.99875	0
0.515	0.99875	0.99875	0
0.5155	1.005	0.99875	0
0.516	0.99875	0.99875	0
0.5165	0.99875	1.005	0
0.517	0.99875	1.005	0
0.5175	0.99875	1.005	0
0.518	1.005	0.99875	0
0.5185	0.9925	1.005	0
0.519	0.9925	0.99875	0
0.5195	0.98625	0.99875	0
0.52	0.9925	0.99875	0
0.5205	0.99875	1.005	0
0.521	0.9925	0.99875	0
0.5215	0.9925	0.99875	0
0.522	0.99875	0.99875	0
0.5225	1.005	0.99875	0
0.523	0.99875	0.99875	0
0.5235	0.99875	1.005	0
0.524	0.99875	0.99875	0
0.5245	0.99875	0.99875	0
0.525	1.005	1.005	0
0.5255	1.005	0.99875	0
0.526	0.99875	0.99875	0
0.5265	0.99875	0.99875	0
0.527	0.99875	0.99875	0
0.5275	0.99875	0.99875	0
0.528	1.005	0.99875	0
0.5285	0.99875	1.005	0
0.529	1.005	0.99875	0
0.5295	0.99875	1.005	0
0.53	0.99875	0.99875	0
0.5305	0.99875	0.99875	0
0.531	0.99875	0.99875	0
0.5315	0.9925	0.99875	0
0.532	1.005	0.99875	0
0.5325	0.99875	1.005	0
0.533	0.99875	1.005	0
0.5335	0.99875	0.99875	0
0.534	0.99875	0.99875	0
0.5345	0.99875	0.99875	0
0.535	1.005	1.005	0
0.5355	0.99875	0.99875	0
0.536	0.99875	0.99875	0
0.5365	1.005	1.005	0
0.537	0.99875	0.99875	0
0.5375	0.99875	0.9925	0
0.538	0.99875	0.99875	0
0.5385	1.005	0.99875	0
0.539	0.99875	0.99875	0
0.5395	1.005	0.99875	0
0.54	0.99875	0.99875	0
0.5405	0.99875	0.99875	0
0.541	0.99875	0.99875	0
0.5415	1.005	1.005	0
0.542	0.99875	0.99875	0
0.5425	1.005	0.99875	0
0.543	0.9925	1.005	0
0.5435	1.005	0.99875	0
0.544	0.9925	1.005	0
0.5445	0.9925	0.99875	0
0.545	1.005	0.99875	0
0.5455	1.005	0.99875	0
0.546	0.99875	1.005	0
0.5465	1.005	0.99875	0
0.547	0.9925	1.005	0
0.5475	0.99875	0.9925	0
0.548	1.005	0.99875	0
0.5485	1.005	0.99875	0
0.549	0.9925	0.99875	0
0.5495	0.9925	1.005	0
0.55	0.98625	1.005	0
0.5505	0.99875	0.99875	0
