Frequenz (Hz)	Gain (dB)	Gain (U_out/U_in)	Phase
100.000000	0.000000	1.000000	0.000000
107.151931	0.000000	1.000000	-0.800000
114.815362	0.000000	1.000000	-0.800000
123.026877	0.000000	1.000000	0.000000
131.825674	0.000000	1.000000	-0.900000
141.253754	0.000000	1.000000	-1.000000
151.356125	0.000000	1.000000	0.000000
162.181010	0.000000	1.000000	-1.200000
173.780083	0.000000	1.000000	-1.300000
186.208714	0.000000	1.000000	-1.300000
199.526231	0.000000	1.000000	0.000000
213.796209	0.000000	1.000000	-0.800000
229.086765	0.000000	1.000000	-0.800000
245.470892	0.000000	1.000000	-0.900000
263.026799	0.000000	1.000000	-0.900000
281.838293	0.000000	1.000000	-1.000000
301.995172	0.000000	1.000000	-2.100000
323.593657	0.000000	1.000000	-1.100000
346.736850	0.000000	1.000000	-1.200000
371.535229	0.000000	1.000000	-1.300000
398.107171	0.000000	1.000000	-1.400000
426.579519	0.000000	1.000000	-1.500000
457.088190	0.000000	1.000000	-1.600000
489.778819	0.000000	1.000000	-1.700000
524.807460	0.054549	1.006300	-1.900000
562.341325	0.107901	1.012500	-2.000000
602.559586	0.107901	1.012500	-2.100000
645.654229	0.107901	1.012500	-2.300000
691.830971	0.107901	1.012500	-2.400000
741.310241	0.107901	1.012500	-2.600000
794.328235	0.161779	1.018800	-2.800000
851.138038	0.214477	1.025000	-3.000000
912.010839	0.214477	1.025000	-4.000000
977.237221	0.267700	1.031300	-3.500000
1047.128548	0.319762	1.037500	-3.700000
1122.018454	0.372346	1.043800	-4.000000
1202.264435	0.423786	1.050000	-4.300000
1288.249552	0.475746	1.056300	-4.600000
1380.384265	0.526579	1.062500	-4.900000
1479.108388	0.628169	1.075000	-6.600000
1584.893192	0.728585	1.087500	-7.000000
1698.243652	0.881874	1.106863	-7.600000
1819.700859	1.036064	1.126687	-7.300000
1949.844600	1.228286	1.151899	-7.800000
2089.296131	1.370668	1.170937	-8.400000
2238.721139	1.601930	1.202532	-10.000000
2398.832919	1.942597	1.250633	-11.800000
2570.395783	2.323296	1.306667	-12.600000
2754.228703	2.664225	1.358974	-14.700000
2951.209227	3.015527	1.415065	-17.100000
3162.277660	3.690840	1.529474	-18.300000
3388.441561	4.237355	1.628800	-21.200000
3630.780548	5.150284	1.809315	-25.100000
3890.451450	5.994171	1.993924	-30.400000
4168.693835	7.183679	2.286567	-38.100000
4466.835922	8.380985	2.624516	-49.900000
4786.300923	9.421715	2.958596	-67.300000
5128.613840	9.421565	2.958545	-90.600000
5495.408739	8.202812	2.571228	-111.800000
5888.436554	6.104253	2.019355	-130.100000
6309.573445	3.691286	1.529552	-140.600000
6760.829754	1.411522	1.176457	-148.200000
7244.359601	-0.697384	0.922849	-154.100000
7762.471166	-2.729519	0.730338	-157.400000
8317.637711	-4.493541	0.596105	-161.300000
8912.509381	-6.222362	0.488519	-162.500000
9549.925860	-7.859152	0.404615	-165.000000
10232.929923	-9.459968	0.336513	-167.400000
10964.781961	-10.973497	0.282700	-167.800000
11748.975549	-12.513852	0.236759	-169.500000
12589.254118	-13.975003	0.200101	-168.800000
13489.628826	-15.353591	0.170734	-170.500000
14454.397707	-16.526687	0.149165	-171.100000
15488.166189	-17.862675	0.127899	-172.200000
16595.869074	-19.320235	0.108140	-173.500000
17782.794100	-20.611884	0.093198	-173.500000
19054.607180	-21.920846	0.080160	-173.600000
20417.379447	-23.239398	0.068870	-174.300000
21877.616239	-24.435527	0.060010	-174.500000
23442.288153	-25.736912	0.051660	-173.400000
25118.864315	-26.834047	0.045530	-175.100000
26915.348039	-28.112149	0.039300	-175.500000
28840.315031	-29.483561	0.033560	-175.100000
30902.954325	-30.641921	0.029370	-176.500000
33113.112148	-31.934157	0.025310	-175.800000
35481.338923	-33.175268	0.021940	-175.000000
38018.939632	-34.365701	0.019130	-176.300000
40738.027780	-35.391022	0.017000	-176.000000
43651.583224	-36.588899	0.014810	-176.900000
46773.514129	-37.714454	0.013010	-176.100000
50118.723363	-39.271415	0.010875	-175.800000
53703.179637	-40.209224	0.009762	-182.200000
57543.993734	-41.803533	0.008125	-177.200000
61659.500186	-41.967565	0.007973	-179.100000
66069.344801	-44.082400	0.006250	-177.700000
70794.578438	-45.297607	0.005434	-178.500000
75857.757503	-46.444212	0.004762	-177.300000
81283.051616	-47.683102	0.004129	-177.100000
87096.358996	-48.898111	0.003590	-178.200000
93325.430080	-50.136418	0.003113	-177.400000
100000.000000	-51.375942	0.002699	-177.900000
