Frequenz (Hz)	Gain (dB)	Gain (U_out/U_in)	Phase
100.000000	-0.054020	0.993800	-2.800000
109.647820	-0.054020	0.993800	-4.500000
120.226443	-0.054020	0.993800	-5.000000
131.825674	-0.054020	0.993800	-4.500000
144.543977	-0.054020	0.993800	-6.000000
158.489319	-0.054020	0.993800	-5.500000
173.780083	-0.054020	0.993800	-7.200000
190.546072	-0.054020	0.993800	-7.900000
208.929613	-0.054020	0.993800	-7.600000
229.086765	-0.163964	0.981300	-9.100000
251.188643	-0.163964	0.981300	-9.100000
275.422870	-0.163964	0.981300	-11.000000
301.995172	-0.163964	0.981300	-10.900000
331.131121	-0.219908	0.975000	-12.000000
363.078055	-0.275317	0.968800	-14.500000
398.107171	-0.275317	0.968800	-14.400000
436.515832	-0.388117	0.956300	-16.600000
478.630092	-0.341366	0.961461	-18.200000
524.807460	-0.448380	0.949688	-18.900000
575.439937	-0.506554	0.943349	-20.700000
630.957344	-0.623145	0.930771	-22.700000
691.830971	-0.686085	0.924051	-25.000000
758.577575	-0.805892	0.911392	-26.500000
831.763771	-0.988267	0.892456	-29.800000
912.010839	-1.175560	0.873418	-30.900000
1000.000000	-1.365952	0.854481	-34.900000
1096.478196	-1.627185	0.829165	-37.200000
1202.264435	-1.896520	0.803848	-39.600000
1318.256739	-2.119768	0.783451	-43.400000
1445.439771	-2.424852	0.756410	-44.600000
1584.893192	-2.800308	0.724410	-48.900000
1737.800829	-3.173452	0.693949	-51.800000
1905.460718	-3.690489	0.653846	-54.800000
2089.296131	-4.205494	0.616205	-58.000000
2290.867653	-4.660555	0.584753	-61.000000
2511.886432	-5.154361	0.552436	-64.400000
2754.228703	-5.784689	0.513766	-67.900000
3019.951720	-6.350769	0.481351	-71.200000
3311.311215	-7.020894	0.445610	-73.600000
3630.780548	-7.789009	0.407896	-77.600000
3981.071706	-8.489046	0.376312	-80.700000
4365.158322	-9.187886	0.347221	-84.000000
4786.300923	-10.010543	0.315844	-86.400000
5248.074602	-10.780872	0.289039	-90.700000
5754.399373	-11.629670	0.262130	-93.000000
6309.573445	-12.486490	0.237506	-96.200000
6918.309709	-13.265089	0.217143	-99.100000
7585.775750	-14.097515	0.197299	-101.700000
8317.637711	-15.008093	0.177662	-104.700000
9120.108394	-15.951508	0.159377	-109.200000
10000.000000	-17.022030	0.140896	-111.700000
10964.781961	-17.976153	0.126239	-116.000000
12022.644346	-18.992105	0.112304	-118.600000
13182.567386	-20.198234	0.097744	-121.200000
14454.397707	-21.201939	0.087077	-125.000000
15848.931925	-22.325316	0.076513	-126.900000
17378.008287	-23.588898	0.066154	-132.000000
19054.607180	-24.708431	0.058154	-134.500000
20892.961309	-26.049859	0.049832	-138.200000
22908.676528	-27.471373	0.042309	-140.000000
25118.864315	-28.847115	0.036111	-143.500000
27542.287033	-30.167802	0.031018	-146.000000
30199.517204	-31.581259	0.026359	-149.700000
33113.112148	-32.924645	0.022582	-149.300000
36307.805477	-34.505154	0.018825	-153.000000
39810.717055	-35.912576	0.016009	-154.600000
43651.583224	-37.110715	0.013946	-157.600000
47863.009232	-39.122542	0.011063	-159.100000
52480.746025	-40.618208	0.009313	-159.600000
57543.993734	-42.074989	0.007875	-161.500000
63095.734448	-43.555330	0.006641	-164.400000
69183.097092	-45.173816	0.005512	-165.500000
75857.757503	-46.682754	0.004633	-166.400000
83176.377110	-48.261506	0.003863	-167.200000
91201.083936	-49.899715	0.003199	-169.100000
100000.000000	-51.515439	0.002656	-169.100000
109647.819614	-53.139710	0.002203	-170.700000
120226.443462	-54.798572	0.001820	-171.600000
131825.673856	-56.455043	0.001504	-172.100000
144543.977075	-57.903432	0.001273	-173.200000
158489.319246	-59.634314	0.001043	-173.800000
173780.082875	-60.934473	0.000898	-175.400000
190546.071796	-62.817234	0.000723	-174.000000
208929.613085	-64.462620	0.000598	-176.200000
229086.765277	-65.869150	0.000509	-177.600000
251188.643151	-67.631024	0.000415	-176.700000
275422.870334	-68.952660	0.000357	-183.000000
301995.172040	759.858154	9.838020E+37	-187.700000
