Frequenz (Hz)	Gain (dB)	Gain (U_out/U_in)	Phase
100.000000	1.009022	1.123185	0.000000
112.201845	1.009022	1.123185	0.000000
125.892541	1.024087	1.125134	0.000000
141.253754	1.009022	1.123185	0.000000
158.489319	1.009022	1.123185	1.100000
177.827941	1.003332	1.122449	0.000000
199.526231	1.009022	1.123185	0.000000
223.872114	1.009022	1.123185	0.800000
251.188643	0.969758	1.118119	0.800000
281.838293	1.009022	1.123185	0.900000
316.227766	1.009022	1.123185	1.100000
354.813389	0.999682	1.121977	1.200000
398.107171	1.009022	1.123185	1.300000
446.683592	1.009022	1.123185	1.500000
501.187234	0.974895	1.118780	1.700000
562.341325	1.009022	1.123185	1.000000
630.957344	1.009022	1.123185	2.100000
707.945784	1.012153	1.123589	2.400000
794.328235	1.009022	1.123185	2.700000
891.250938	1.009022	1.123185	2.300000
1000.000000	0.969268	1.118056	2.500000
1122.018454	1.009022	1.123185	2.900000
1258.925412	1.009022	1.123185	3.200000
1412.537545	0.985692	1.120172	4.800000
1584.893192	1.009022	1.123185	4.000000
1778.279410	1.009022	1.123185	4.500000
1995.262315	1.006030	1.122798	5.100000
2238.721139	1.075327	1.131791	5.700000
2511.886432	1.141129	1.140398	6.400000
2818.382931	1.131790	1.139172	8.400000
3162.277660	1.141129	1.140398	8.100000
3548.133892	1.205832	1.148925	9.100000
3981.071706	1.238613	1.153269	11.000000
4466.835922	1.465856	1.183839	13.300000
5011.872336	1.465856	1.183839	15.000000
5623.413252	1.573435	1.198593	17.900000
6309.573445	1.839668	1.235900	18.900000
7079.457844	2.155922	1.281729	21.200000
7943.282347	2.553575	1.341772	24.600000
8912.509381	3.148163	1.436839	27.600000
10000.000000	3.954414	1.576597	33.100000
11220.184543	5.411777	1.864614	38.400000
12589.254118	7.870281	2.474651	40.400000
14125.375446	11.842608	3.909583	36.400000
15848.931925	16.276926	6.513978	-8.500000
17782.794100	11.204443	3.632638	-48.700000
19952.623150	6.900689	2.213270	-50.400000
22387.211386	4.290586	1.638813	-45.600000
25118.864315	2.930632	1.401302	-39.100000
28183.829313	1.968721	1.254400	-34.000000
31622.776602	1.467034	1.184000	-29.700000
35481.338923	0.992887	1.121100	-24.800000
39810.717055	0.785576	1.094659	-21.400000
44668.359215	0.577496	1.068747	-19.200000
50118.723363	0.435496	1.051417	-16.200000
56234.132519	0.361499	1.042497	-14.300000
63095.734448	0.255025	1.029796	-11.900000
70794.578438	0.216033	1.025184	-12.400000
79432.823472	0.220477	1.025708	-10.700000
89125.093813	0.162527	1.018888	-8.400000
100000.000000	0.144618	1.016789	-6.700000
112201.845430	0.068089	1.007870	-6.800000
125892.541179	0.067841	1.007841	-6.800000
141253.754462	0.068089	1.007870	-6.600000
158489.319246	0.068089	1.007870	-5.300000
177827.941004	0.076847	1.008887	-4.800000
199526.231497	0.068089	1.007870	-4.000000
223872.113857	0.068089	1.007870	-3.800000
251188.643151	0.076330	1.008827	-3.400000
281838.293126	0.068089	1.007870	-1.900000
316227.766017	0.068089	1.007870	-3.200000
354813.389234	0.108688	1.012592	-2.400000
398107.170553	0.068089	1.007870	-1.300000
446683.592151	0.068089	1.007870	-1.500000
501187.233627	0.107901	1.012500	-1.700000
562341.325190	0.068089	1.007870	-1.000000
630957.344480	0.068089	1.007870	0.000000
707945.784384	0.122179	1.014166	-1.200000
794328.234724	0.068089	1.007870	-1.300000
891250.938134	0.068089	1.007870	0.000000
1000000.000000	0.162527	1.018888	-0.800000
1122018.454302	0.068089	1.007870	0.900000
1258925.411794	0.068089	1.007870	0.000000
1412537.544623	0.068089	1.007870	0.000000
1584893.192461	0.068089	1.007870	0.000000
1778279.410039	0.068089	1.007870	0.800000
1995262.314969	0.192183	1.022373	-0.800000
2238721.138568	0.068089	1.007870	1.900000
2511886.431510	0.068089	1.007870	1.100000
2818382.931264	0.068089	1.007870	1.200000
3162277.660168	0.189321	1.022036	2.700000
3548133.892336	0.068089	1.007870	0.000000
3981071.705535	0.008818	1.001016	0.800000
4466835.921510	0.071416	1.008256	1.900000
5011872.336273	0.071416	1.008256	1.100000
5623413.251903	0.008818	1.001016	2.400000
6309573.444802	0.153040	1.017776	2.700000
7079457.843841	0.090726	1.010500	3.800000
7943282.347243	0.029422	1.003393	4.300000
8912509.381337	0.100464	1.011634	2.900000
1.000000E+7	0.048912	1.005647	6.400000
