# Zeit (s)	# Kanal 1 (V)	# D0-D7	
-0.00047	-0.997807	0
-0.000469	-0.997838	0
-0.000468	-0.997909	0
-0.000467	-0.997834	0
-0.000466	-0.997733	0
-0.000465	-0.997748	0
-0.000464	-0.998127	0
-0.000463	-0.997897	0
-0.000462	-0.997995	0
-0.000461	-0.997827	0
-0.00046	-0.997916	0
-0.000459	-0.998065	0
-0.000458	-0.997959	0
-0.000457	-0.997987	0
-0.000456	-0.998037	0
-0.000455	-0.998143	0
-0.000454	-0.997998	0
-0.000453	-0.997768	0
-0.000452	-0.997846	0
-0.000451	-0.997885	0
-0.00045	-0.997846	0
-0.000449	-0.997959	0
-0.000448	-0.997936	0
-0.000447	-0.997827	0
-0.000446	-0.997885	0
-0.000445	-0.997827	0
-0.000444	-0.997854	0
-0.000443	-0.997854	0
-0.000442	-0.998233	0
-0.000441	-0.997952	0
-0.00044	-0.997944	0
-0.000439	-0.997944	0
-0.000438	-0.997998	0
-0.000437	-0.997952	0
-0.000436	-0.997998	0
-0.000435	-0.998045	0
-0.000434	-0.998049	0
-0.000433	-0.997963	0
-0.000432	-0.997819	0
-0.000431	-0.997819	0
-0.00043	-0.997811	0
-0.000429	-0.99776	0
-0.000428	-0.997854	0
-0.000427	-0.997745	0
-0.000426	-0.997932	0
-0.000425	-0.997834	0
-0.000424	-0.997721	0
-0.000423	-0.997838	0
-0.000422	-0.997803	0
-0.000421	-0.99803	0
-0.00042	-0.998116	0
-0.000419	-0.997928	0
-0.000418	-0.997881	0
-0.000417	-0.997819	0
-0.000416	-0.997983	0
-0.000415	-0.997963	0
-0.000414	-0.998006	0
-0.000413	-0.998034	0
-0.000412	-0.997932	0
-0.000411	-0.998022	0
-0.00041	-0.997698	0
-0.000409	-0.997713	0
-0.000408	-0.997733	0
-0.000407	-0.997776	0
-0.000406	-0.99767	0
-0.000405	-0.997608	0
-0.000404	-0.997612	0
-0.000403	-0.997655	0
-0.000402	-0.997694	0
-0.000401	-0.99776	0
-0.0004	-0.996635	0
-0.000399	-0.998131	0
-0.000398	-0.997959	0
-0.000397	-0.997975	0
-0.000396	-0.997913	0
-0.000395	-0.997991	0
-0.000394	-0.998022	0
-0.000393	-0.997862	0
-0.000392	-0.99801	0
-0.000391	-0.997983	0
-0.00039	-0.997885	0
-0.000389	-0.997987	0
-0.000388	-0.997702	0
-0.000387	-0.99785	0
-0.000386	-0.997838	0
-0.000385	-0.997948	0
-0.000384	-0.997866	0
-0.000383	-0.997905	0
-0.000382	-0.997936	0
-0.000381	-0.997776	0
-0.00038	-0.997799	0
