Frequenz (Hz)	Gain (dB)	Gain (U_out/U_in)	Phase
1000000.000000	-5.944979	0.504372	164.200000
1030410.557911	-6.478759	0.474310	157.000000
1061745.917855	-6.472146	0.474671	152.100000
1094034.203577	-6.471211	0.474722	147.000000
1127304.394082	-6.546984	0.470599	141.400000
1161586.349642	-6.551682	0.470344	136.500000
1196910.838596	-6.628593	0.466198	130.000000
1233309.564968	-6.802737	0.456944	121.800000
1270815.196916	-6.806631	0.456739	116.300000
1309461.396056	-7.079148	0.442632	109.600000
1349282.847674	-6.882288	0.452778	102.900000
1390315.291851	-6.718497	0.461397	94.700000
1432595.555549	-6.749984	0.459728	87.900000
1476161.585655	-7.016372	0.445842	80.500000
1521052.483041	-6.967133	0.448377	72.200000
1567308.537663	-6.684564	0.463203	64.300000
1614971.264712	-6.869550	0.453443	52.400000
1664083.441883	-6.902584	0.451722	44.400000
1714689.147762	-6.828411	0.455596	34.500000
1766833.801389	-6.728408	0.460871	25.400000
1820564.203026	-6.892709	0.452235	17.000000
1875928.576153	-7.170811	0.437985	4.100000
1932976.610756	-7.212218	0.435902	-6.900000
1991759.507918	-7.191625	0.436937	-17.200000
2052330.025779	-7.217669	0.435629	-26.400000
2114742.526881	-7.334109	0.429828	-38.100000
2179053.026962	-7.344291	0.429324	-50.400000
2245319.245230	-7.240680	0.434476	-62.900000
2313600.656167	-7.297988	0.431619	-74.900000
2383958.542905	-7.583650	0.417655	-85.600000
2456456.052232	-7.806623	0.407070	-100.400000
2531158.251264	-7.634183	0.415232	-112.800000
2608132.185847	-7.756383	0.409431	-127.300000
2687446.940725	-7.880466	0.403624	-142.400000
2769173.701549	-7.520902	0.420683	-157.600000
2853385.818767	-7.730211	0.410667	-174.200000
2940158.873451	-7.804567	0.407166	-187.600000
3029570.745141	-7.870214	0.404100	155.400000
3121701.681732	-7.870214	0.404100	137.600000
3216634.371506	-7.932212	0.401226	121.600000
3314454.017340	-8.170621	0.390363	103.400000
3415248.413178	-8.061761	0.395286	86.900000
3519108.022829	-8.257463	0.386480	67.300000
3626126.061153	-8.210189	0.388589	44.000000
3736398.577729	-8.210189	0.388589	26.200000
3850024.543057	-8.331146	0.383215	4.300000
3967105.937383	-8.818976	0.362286	-14.400000
4087747.842232	-8.818976	0.362286	-35.900000
4212058.534715	-9.119793	0.349953	-58.700000
4340149.584710	-8.966354	0.356190	-83.800000
4472135.955000	-8.914412	0.358327	-107.200000
4608136.104446	-9.013089	0.354279	-132.900000
4748272.094313	-9.216088	0.346095	-157.400000
4892669.697816	-9.006779	0.354537	-184.700000
5041458.513002	-9.213873	0.346184	150.200000
5194772.079069	-9.267235	0.344063	123.300000
5352747.996215	-9.473214	0.336000	95.100000
5515528.049138	-9.527548	0.333905	63.300000
5683258.334288	-9.208442	0.346400	34.700000
5856089.390987	-9.208442	0.346400	3.300000
6034176.336545	-9.738186	0.325905	-32.300000
6217679.005474	-9.850593	0.321714	-63.000000
6406762.092944	-9.641284	0.329561	-98.000000
6601595.302595	-9.902172	0.319810	-132.200000
6802353.498851	-9.749956	0.325463	-167.700000
7009216.863861	-10.069314	0.313714	153.100000
7222371.059212	-10.069314	0.313714	113.100000
7442007.392565	-10.127520	0.311619	78.000000
7668322.989352	-10.299099	0.305524	34.900000
7901520.969702	-10.195912	0.309175	-3.900000
8141810.630738	-10.250233	0.307247	-50.700000
8389407.634427	-10.299099	0.305524	-96.200000
8644534.201134	-10.098540	0.312660	-140.200000
8907419.309074	-10.320257	0.304780	-189.200000
9178298.899812	-10.647133	0.293524	121.800000
9457416.090032	-10.772031	0.289333	70.100000
9745021.389728	-10.620093	0.294439	19.300000
1.004137E+7	-10.683641	0.292293	-35.800000
1.034674E+7	-11.119186	0.277997	-86.900000
1.066139E+7	-10.871198	0.286049	-146.700000
1.098561E+7	-11.139959	0.277333	155.100000
1.131968E+7	-11.169016	0.276407	92.800000
1.166392E+7	-11.272203	0.273143	34.600000
1.201863E+7	-11.375813	0.269904	-30.900000
1.238412E+7	-11.332986	0.271238	-94.600000
1.276073E+7	-11.666416	0.261023	-165.500000
1.314879E+7	-11.732408	0.259048	126.900000
1.354865E+7	-11.802947	0.256952	54.900000
1.396067E+7	-11.379161	0.269800	-20.700000
1.438523E+7	-11.729916	0.259122	-97.100000
1.482269E+7	-11.895440	0.254231	-177.300000
1.527346E+7	-12.034495	0.250193	100.000000
1.573793E+7	-12.238198	0.244394	17.000000
1.621653E+7	-12.097591	0.248382	-68.200000
1.670968E+7	-12.047951	0.249806	-156.000000
1.721783E+7	-11.958213	0.252400	111.200000
1.774144E+7	-12.136223	0.247280	18.200000
1.828096E+7	-12.237976	0.244400	-81.600000
1.883690E+7	-12.316517	0.242200	-182.900000
1.940974E+7	-12.515381	0.236718	74.600000
2.000000E+7	-12.485321	0.237538	-33.900000
