Frequenz (Hz)	Gain (dB)	Gain (U_out/U_in)	Phase
100.000000	-4.469308	0.597771	-1.400000
109.647820	-4.567034	0.591083	-1.500000
120.226443	-4.580854	0.590143	-1.700000
131.825674	-4.580854	0.590143	-0.900000
144.543977	-4.483648	0.596785	-2.000000
158.489319	-4.580854	0.590143	-1.100000
173.780083	-4.594652	0.589206	-1.200000
190.546072	-4.622182	0.587342	-1.300000
208.929613	-4.622182	0.587342	-0.800000
229.086765	-4.608428	0.588273	-0.800000
251.188643	-4.718654	0.580854	-0.900000
275.422870	-4.718654	0.580854	-1.000000
301.995172	-4.732387	0.579937	-1.100000
331.131121	-4.732387	0.579937	-1.200000
363.078055	-4.732387	0.579937	-1.300000
398.107171	-4.732387	0.579937	-0.800000
436.515832	-4.732387	0.579937	-0.800000
478.630092	-4.732387	0.579937	-0.900000
524.807460	-4.732387	0.579937	-1.000000
575.439937	-4.732387	0.579937	0.000000
630.957344	-4.746097	0.579022	0.000000
691.830971	-4.732387	0.579937	0.000000
758.577575	-4.746097	0.579022	-0.800000
831.763771	-4.732387	0.579937	0.000000
912.010839	-4.732387	0.579937	0.000000
1000.000000	-4.746097	0.579022	-1.000000
1096.478196	-4.732387	0.579937	-1.100000
1202.264435	-4.732387	0.579937	0.000000
1318.256739	-4.608004	0.588301	0.000000
1445.439771	-4.759787	0.578110	0.000000
1584.893192	-4.732387	0.579937	-0.800000
1737.800829	-4.759787	0.578110	-0.900000
1905.460718	-4.746097	0.579022	-1.000000
2089.296131	-4.732387	0.579937	-1.100000
2290.867653	-4.732387	0.579937	-1.200000
2511.886432	-4.732387	0.579937	-1.300000
2754.228703	-4.746097	0.579022	-0.800000
3019.951720	-4.746097	0.579022	-0.800000
3311.311215	-4.732387	0.579937	-0.900000
3630.780548	-4.732387	0.579937	-1.000000
3981.071706	-4.732387	0.579937	-1.100000
4365.158322	-4.732387	0.579937	-1.200000
4786.300923	-4.718654	0.580854	-1.300000
5248.074602	-4.732387	0.579937	-1.400000
5754.399373	-4.732387	0.579937	-1.500000
6309.573445	-4.732387	0.579937	-1.700000
6918.309709	-4.759787	0.578110	-1.800000
7585.775750	-4.732387	0.579937	-2.000000
8317.637711	-4.732387	0.579937	-2.200000
9120.108394	-4.732387	0.579937	-1.200000
10000.000000	-4.746097	0.579022	-2.600000
10964.781961	-4.732387	0.579937	-2.300000
12022.644346	-4.746097	0.579022	-2.500000
13182.567386	-4.746097	0.579022	-2.700000
14454.397707	-4.759787	0.578110	-4.000000
15848.931925	-4.746097	0.579022	-3.300000
17378.008287	-4.746097	0.579022	-3.600000
19054.607180	-4.746097	0.579022	-4.000000
20892.961309	-4.773455	0.577201	-4.600000
22908.676528	-4.759787	0.578110	-5.000000
25118.864315	-4.759787	0.578110	-5.500000
27542.287033	-4.773455	0.577201	-6.000000
30199.517204	-4.787101	0.576295	-6.600000
33113.112148	-4.773455	0.577201	-7.200000
36307.805477	-4.787101	0.576295	-7.900000
39810.717055	-4.814329	0.574491	-8.300000
43651.583224	-4.814329	0.574491	-10.000000
47863.009232	-4.841473	0.572699	-11.800000
52480.746025	-4.841473	0.572699	-12.000000
57543.993734	-4.841473	0.572699	-12.000000
63095.734448	-4.888924	0.569579	-13.200000
69183.097092	-4.966087	0.564541	-14.500000
75857.757503	-4.993062	0.562791	-16.600000
83176.377110	-5.006518	0.561920	-18.200000
91201.083936	-5.019953	0.561051	-19.000000
100000.000000	-4.939028	0.566303	-20.900000
109647.819614	-5.060135	0.558462	-24.000000
120226.443462	-5.185483	0.550460	-25.100000
131825.673856	-5.185483	0.550460	-27.600000
144543.977075	-5.225357	0.547939	-29.500000
158489.319246	-5.354084	0.539878	-33.200000
173780.082875	-5.354084	0.539878	-36.400000
190546.071796	-5.455920	0.533585	-37.800000
208929.613085	-5.455069	0.533638	-42.500000
229086.765277	-5.557243	0.527397	-45.600000
251188.643151	-5.557243	0.527397	-49.900000
275422.870334	-5.700204	0.518788	-54.500000
301995.172040	-5.553689	0.527613	-59.700000
331131.121483	-5.713665	0.517984	-63.600000
363078.054770	-5.685196	0.519685	-68.800000
398107.170553	-5.473341	0.532516	-74.200000
436515.832240	-5.557575	0.527377	-82.500000
478630.092323	-5.481877	0.531993	-92.000000
524807.460250	-5.153036	0.552520	-100.600000
575439.937337	-5.137645	0.553500	-110.300000
630957.344480	-5.171811	0.551327	-122.700000
691830.970919	-5.188742	0.550254	-134.600000
758577.575029	-5.333366	0.541168	-147.700000
831763.771103	-5.587303	0.525575	-163.200000
912010.839356	-5.825367	0.511366	-178.700000
1000000.000000	-6.143111	0.492997	164.100000
