Frequenz (Hz)	Gain (dB)	Gain (U_out/U_in)	Phase
100.000000	0.142077	1.016492	0.000000
109.647820	0.133532	1.015492	0.000000
120.226443	0.127584	1.014797	0.000000
131.825674	0.159142	1.018491	0.000000
144.543977	0.133532	1.015492	0.000000
158.489319	0.171986	1.019998	0.000000
173.780083	0.159142	1.018491	0.000000
190.546072	0.042665	1.004924	0.000000
208.929613	0.042665	1.004924	-0.800000
229.086765	0.042665	1.004924	0.000000
251.188643	0.042665	1.004924	0.000000
275.422870	0.042665	1.004924	0.000000
301.995172	0.042665	1.004924	1.100000
331.131121	0.042665	1.004924	0.000000
363.078055	0.042665	1.004924	1.300000
398.107171	0.042665	1.004924	0.000000
436.515832	-0.011355	0.998694	0.000000
478.630092	0.042665	1.004924	0.000000
524.807460	0.042665	1.004924	0.000000
575.439937	0.042665	1.004924	0.000000
630.957344	0.042665	1.004924	0.000000
691.830971	0.042665	1.004924	1.300000
758.577575	0.042665	1.004924	0.000000
831.763771	0.039190	1.004522	-0.800000
912.010839	-0.004342	0.999500	-0.900000
1000.000000	0.042665	1.004924	0.000000
1096.478196	-0.004342	0.999500	0.000000
1202.264435	-0.004342	0.999500	0.000000
1318.256739	-0.004342	0.999500	0.000000
1445.439771	-0.004342	0.999500	-0.800000
1584.893192	0.046754	1.005397	0.000000
1737.800829	0.050208	1.005797	0.000000
1905.460718	0.050208	1.005797	-1.000000
2089.296131	-0.004342	0.999500	-1.100000
2290.867653	-0.004342	0.999500	0.000000
2511.886432	-0.004342	0.999500	0.000000
2754.228703	-0.004342	0.999500	-0.800000
3019.951720	0.043300	1.004998	-0.800000
3311.311215	0.050208	1.005797	0.000000
3630.780548	0.050208	1.005797	0.000000
3981.071706	0.050208	1.005797	0.000000
4365.158322	0.050208	1.005797	-1.200000
4786.300923	0.050208	1.005797	-1.300000
5248.074602	-0.004342	0.999500	0.000000
5754.399373	0.050208	1.005797	-0.800000
6309.573445	-0.004342	0.999500	-0.800000
6918.309709	-0.004342	0.999500	-0.900000
7585.775750	-0.004342	0.999500	-1.000000
8317.637711	-0.004342	0.999500	-1.100000
9120.108394	-0.004342	0.999500	-1.200000
10000.000000	-0.004342	0.999500	0.000000
10964.781961	-0.004342	0.999500	-0.800000
12022.644346	-0.004342	0.999500	-0.800000
13182.567386	-0.004342	0.999500	-0.900000
14454.397707	0.042665	1.004924	-1.000000
15848.931925	-0.004342	0.999500	-1.100000
17378.008287	0.042665	1.004924	-1.200000
19054.607180	0.042665	1.004924	-1.300000
20892.961309	0.042665	1.004924	-0.800000
22908.676528	0.042665	1.004924	-0.800000
25118.864315	0.042665	1.004924	-1.800000
27542.287033	0.042665	1.004924	-2.000000
30199.517204	0.042665	1.004924	-1.100000
33113.112148	0.138448	1.016067	-1.200000
36307.805477	0.145356	1.016876	-2.600000
39810.717055	0.090806	1.010509	-2.300000
43651.583224	0.192882	1.022455	-2.500000
47863.009232	0.192882	1.022455	-2.700000
52480.746025	0.241558	1.028201	-3.000000
57543.993734	0.241558	1.028201	-4.400000
63095.734448	0.289615	1.033905	-3.600000
69183.097092	0.337940	1.039674	-5.300000
75857.757503	0.387437	1.045615	-4.500000
83176.377110	0.485461	1.057482	-5.800000
91201.083936	0.585527	1.069735	-6.400000
100000.000000	0.686759	1.082276	-7.000000
109647.819614	0.789184	1.095114	-7.700000
120226.443462	0.996764	1.121601	-8.400000
131825.673856	1.156017	1.142354	-10.500000
144543.977075	1.373675	1.171342	-11.300000
158489.319246	1.659394	1.210514	-12.400000
173780.082875	1.932084	1.249120	-14.500000
190546.071796	2.377842	1.314898	-16.900000
208929.613085	2.916721	1.399059	-18.600000
229086.765277	3.423759	1.483160	-22.800000
251188.643151	4.068513	1.597444	-27.600000
275422.870334	4.837476	1.745315	-34.000000
301995.172040	5.523592	1.888772	-41.500000
331131.121483	6.419528	2.093999	-54.500000
363078.054770	6.958250	2.227986	-66.800000
398107.170553	7.069475	2.256700	-84.000000
436515.832240	6.521160	2.118644	-101.700000
478630.092323	5.442820	1.871290	-118.200000
524807.460250	4.097636	1.602809	-130.800000
575439.937337	2.584520	1.346561	-144.300000
630957.344480	1.252912	1.155169	-151.800000
691830.970919	0.206646	1.024076	-158.600000
758577.575029	-0.623171	0.930768	-165.800000
831763.771103	-1.160568	0.874927	-174.000000
912010.839356	-1.474141	0.843904	-181.300000
1000000.000000	-1.241859	0.866776	168.700000
