Frequenz (Hz)	Gain (dB)	Gain (U_out/U_in)	Phase
100.000000	0.113813	1.013189	0.700000
109.647820	0.113813	1.013189	0.800000
120.226443	0.105243	1.012190	0.000000
131.825674	0.105243	1.012190	0.000000
144.543977	0.105243	1.012190	0.000000
158.489319	0.105243	1.012190	0.000000
173.780083	-0.006946	0.999201	0.000000
190.546072	-0.006946	0.999201	0.000000
208.929613	-0.006946	0.999201	0.000000
229.086765	-0.006946	0.999201	0.000000
251.188643	-0.006946	0.999201	0.000000
275.422870	-0.006946	0.999201	0.000000
301.995172	-0.006946	0.999201	0.000000
331.131121	0.040920	1.004722	-1.200000
363.078055	0.040920	1.004722	-1.300000
398.107171	0.040920	1.004722	-0.800000
436.515832	0.040920	1.004722	-0.800000
478.630092	0.040920	1.004722	0.000000
524.807460	0.040920	1.004722	0.000000
575.439937	0.040920	1.004722	0.000000
630.957344	0.040920	1.004722	0.000000
691.830971	0.040920	1.004722	0.000000
758.577575	0.040920	1.004722	0.000000
831.763771	0.040920	1.004722	-0.800000
912.010839	-0.006946	0.999201	0.000000
1000.000000	-0.006946	0.999201	0.000000
1096.478196	-0.006946	0.999201	0.000000
1202.264435	-0.006946	0.999201	1.200000
1318.256739	-0.006946	0.999201	0.000000
1445.439771	-0.006946	0.999201	0.000000
1584.893192	-0.006946	0.999201	0.000000
1737.800829	-0.006946	0.999201	0.000000
1905.460718	-0.006946	0.999201	0.000000
2089.296131	-0.006946	0.999201	0.000000
2290.867653	-0.006946	0.999201	0.000000
2511.886432	-0.006946	0.999201	0.000000
2754.228703	-0.006946	0.999201	0.000000
3019.951720	-0.006946	0.999201	0.000000
3311.311215	-0.006946	0.999201	0.000000
3630.780548	-0.006946	0.999201	0.000000
3981.071706	-0.006946	0.999201	0.000000
4365.158322	-0.006946	0.999201	0.000000
4786.300923	-0.006946	0.999201	0.000000
5248.074602	-0.006946	0.999201	0.000000
5754.399373	-0.006946	0.999201	0.000000
6309.573445	-0.006946	0.999201	0.000000
6918.309709	-0.006946	0.999201	0.900000
7585.775750	-0.006946	0.999201	0.000000
8317.637711	-0.006946	0.999201	0.000000
9120.108394	-0.006946	0.999201	0.000000
10000.000000	-0.006946	0.999201	0.000000
10964.781961	-0.006946	0.999201	0.000000
12022.644346	-0.006946	0.999201	0.000000
13182.567386	-0.006946	0.999201	0.900000
14454.397707	-0.006946	0.999201	0.000000
15848.931925	-0.006946	0.999201	0.000000
17378.008287	-0.006946	0.999201	0.000000
19054.607180	-0.006946	0.999201	0.000000
20892.961309	-0.006946	0.999201	0.000000
22908.676528	-0.006946	0.999201	0.000000
25118.864315	-0.006946	0.999201	0.000000
27542.287033	-0.006946	0.999201	0.000000
30199.517204	-0.006946	0.999201	0.000000
33113.112148	-0.006946	0.999201	0.000000
36307.805477	-0.006946	0.999201	0.000000
39810.717055	-0.006946	0.999201	0.000000
43651.583224	-0.006946	0.999201	0.000000
47863.009232	-0.006946	0.999201	0.000000
52480.746025	-0.006946	0.999201	0.000000
57543.993734	-0.006946	0.999201	0.000000
63095.734448	-0.006946	0.999201	0.000000
69183.097092	-0.006946	0.999201	0.000000
75857.757503	-0.006946	0.999201	0.000000
83176.377110	-0.006946	0.999201	0.000000
91201.083936	-0.006946	0.999201	0.000000
100000.000000	-0.006946	0.999201	0.000000
109647.819614	-0.006946	0.999201	0.000000
120226.443462	-0.006946	0.999201	0.000000
131825.673856	-0.006946	0.999201	-1.300000
144543.977075	-0.006946	0.999201	0.000000
158489.319246	-0.006946	0.999201	0.000000
173780.082875	-0.006946	0.999201	0.000000
190546.071796	0.047604	1.005496	0.000000
208929.613085	-0.006946	0.999201	0.000000
229086.765277	0.047604	1.005496	0.000000
251188.643151	0.100955	1.011691	0.000000
275422.870334	0.100955	1.011691	0.000000
301995.172040	0.100955	1.011691	0.000000
