I_B (A)	U_BE (V)	I_C (A)	U_CE (V)
-0,000000	0,007521	-0,000000	-6,999672
-0,000000	0,127039	-0,000000	-6,999639
-0,000000	0,247158	-0,000000	-6,999639
-0,000000	0,367083	-0,000000	-6,999655
-0,000000	0,485611	0,000013	-6,998405
0,000001	0,574430	0,000356	-6,964102
0,000002	0,609285	0,001289	-6,870834
0,000005	0,626396	0,002420	-6,757500
0,000007	0,637338	0,003615	-6,638143
0,000009	0,645374	0,004837	-6,516011
0,000012	0,651690	0,006073	-6,392271
0,000014	0,656674	0,007309	-6,268433
0,000017	0,660878	0,008544	-6,144921
0,000019	0,664661	0,009777	-6,021700
0,000022	0,667876	0,011001	-5,899616
0,000024	0,670749	0,012218	-5,777922
0,000027	0,673379	0,013427	-5,657299
0,000029	0,675765	0,014622	-5,537732
0,000032	0,678022	0,015806	-5,419398
0,000034	0,680035	0,016984	-5,301828
0,000037	0,681935	0,018148	-5,185718
0,000039	0,683639	0,019301	-5,070924
0,000042	0,685263	0,020439	-4,957282
0,000044	0,686951	0,021561	-4,845102
0,000047	0,688493	0,022672	-4,734187
0,000049	0,689922	0,023769	-4,624783
0,000052	0,691237	0,024854	-4,517067
0,000054	0,692617	0,025921	-4,410568
0,000057	0,693916	0,026971	-4,305758
0,000059	0,695198	0,028006	-4,202701
0,000062	0,696481	0,029022	-4,101463
0,000064	0,697536	0,030021	-4,002092
0,000067	0,698802	0,030994	-3,905253
0,000069	0,699939	0,031946	-3,810313
0,000072	0,701026	0,032867	-3,718475
0,000074	0,702130	0,033751	-3,630289
0,000077	0,703186	0,034587	-3,546470
0,000080	0,704322	0,035373	-3,467830
0,000082	0,705264	0,036096	-3,395294
0,000085	0,706205	0,036752	-3,329463
0,000087	0,707163	0,037341	-3,270419
0,000090	0,707991	0,037870	-3,217316
0,000092	0,708835	0,038344	-3,169554
0,000095	0,709631	0,038769	-3,126662
0,000097	0,710377	0,039156	-3,087716
0,000100	0,711157	0,039509	-3,052259
0,000102	0,711806	0,039831	-3,019807
0,000105	0,712553	0,040128	-2,989821
0,000107	0,713251	0,040402	-2,961914
0,000110	0,714014	0,040656	-2,936248
0,000113	0,714615	0,040894	-2,912318
