I_B (A)	U_BE (V)	I_C (A)	U_CE (V)
0.000072	0.603392	-0.000036	-0.002739
0.000071	0.648784	0.001477	-0.051865
0.000071	0.669742	0.003214	-0.077889
0.000071	0.683996	0.005010	-0.098669
0.000070	0.694744	0.006809	-0.117923
0.000070	0.703462	0.008602	-0.138233
0.000070	0.710735	0.010367	-0.162146
0.000070	0.716433	0.012041	-0.194761
0.000070	0.719566	0.013493	-0.250478
0.000070	0.720638	0.014628	-0.336261
0.000070	0.721238	0.015693	-0.430275
0.000070	0.721531	0.016744	-0.524825
0.000070	0.722018	0.017785	-0.620105
0.000070	0.722245	0.018819	-0.717220
0.000070	0.722505	0.019836	-0.814919
0.000070	0.722618	0.020843	-0.914761
0.000070	0.722748	0.021828	-1.015886
0.000070	0.722813	0.022799	-1.119543
0.000070	0.722797	0.023743	-1.225018
0.000070	0.722683	0.024659	-1.333124
0.000070	0.722553	0.025543	-1.445532
0.000070	0.722359	0.026372	-1.562404
0.000070	0.722050	0.027140	-1.686727
0.000070	0.721644	0.027827	-1.818292
0.000070	0.721157	0.028429	-1.958330
0.000070	0.720557	0.028945	-2.107818
0.000070	0.719923	0.029372	-2.265325
0.000070	0.719144	0.029728	-2.431046
0.000070	0.718430	0.030018	-2.602109
0.000070	0.717634	0.030266	-2.777978
0.000070	0.716676	0.030486	-2.956216
0.000070	0.715767	0.030688	-3.135705
0.000070	0.714696	0.030883	-3.317109
0.000070	0.713722	0.031068	-3.498091
0.000070	0.712553	0.031241	-3.681135
0.000070	0.711416	0.031421	-3.863400
0.000070	0.710215	0.031596	-4.046266
0.000070	0.709095	0.031765	-4.229001
0.000070	0.707796	0.031937	-4.411429
0.000070	0.706692	0.032109	-4.594879
0.000070	0.705264	0.032283	-4.776900
0.000070	0.703981	0.032457	-4.960237
0.000070	0.702520	0.032632	-5.142405
0.000070	0.701156	0.032808	-5.325400
0.000070	0.699793	0.032984	-5.507471
0.000070	0.698348	0.033159	-5.689785
0.000070	0.696870	0.033336	-5.872489
0.000070	0.695296	0.033517	-6.054056
0.000070	0.693656	0.033701	-6.236078
0.000070	0.692211	0.033877	-6.418067
0.000070	0.690490	0.034057	-6.599489
