I_Baus (A)	U_BEaus (V)	I_Caus (A)	U_CEaus (V)
0.000010	0.537594	-0.000010	0.000134
0.000008	0.623636	0.000969	0.102346
0.000008	0.648199	0.002382	0.160628
0.000007	0.654953	0.003286	0.270942
0.000007	0.655066	0.003440	0.455009
0.000007	0.654969	0.003461	0.652615
0.000007	0.654985	0.003476	0.851309
0.000007	0.654969	0.003491	1.049695
0.000007	0.654839	0.003505	1.248730
0.000007	0.654758	0.003517	1.447197
0.000007	0.654628	0.003528	1.646622
0.000007	0.654466	0.003539	1.845268
0.000007	0.654482	0.003550	2.043508
0.000007	0.654336	0.003560	2.243047
0.000007	0.654157	0.003569	2.441725
0.000007	0.654027	0.003579	2.641151
0.000007	0.653946	0.003589	2.839991
0.000007	0.653833	0.003599	3.039547
0.000007	0.653703	0.003609	3.238745
0.000007	0.653605	0.003618	3.437051
0.000007	0.653362	0.003627	3.636671
0.000007	0.653248	0.003637	3.835366
0.000007	0.653167	0.003646	4.035117
0.000007	0.653021	0.003656	4.233374
0.000007	0.652859	0.003666	4.432297
0.000007	0.652680	0.003674	4.631804
0.000007	0.652599	0.003683	4.830500
0.000007	0.652339	0.003693	5.030073
0.000007	0.652242	0.003702	5.228753
0.000007	0.652112	0.003712	5.428277
0.000007	0.651885	0.003721	5.627298
0.000007	0.651690	0.003730	5.826075
0.000007	0.651609	0.003739	6.025567
0.000007	0.651414	0.003749	6.223923
0.000007	0.651251	0.003757	6.423773
0.000007	0.651008	0.003768	6.622600
0.000007	0.650764	0.003777	6.821914
0.000007	0.650683	0.003786	7.020660
0.000007	0.650440	0.003794	7.219487
0.000007	0.650326	0.003804	7.418737
0.000007	0.650115	0.003814	7.617516
0.000007	0.649920	0.003824	7.817172
0.000007	0.649563	0.003833	8.015691
0.000007	0.649514	0.003841	8.215461
0.000007	0.649271	0.003852	8.414127
0.000007	0.649060	0.003861	8.612923
0.000007	0.648784	0.003871	8.812109
0.000007	0.648638	0.003882	9.010743
0.000008	0.648345	0.003891	9.210417
0.000008	0.648102	0.003901	9.409148
0.000008	0.647940	0.003910	9.607442
0.000008	0.647306	0.003926	9.606290
0.000008	0.647193	0.003923	9.406989
0.000008	0.647193	0.003918	9.207900
0.000008	0.647095	0.003914	9.007967
0.000008	0.647063	0.003910	8.808391
0.000008	0.647177	0.003905	8.608718
0.000008	0.647095	0.003901	8.409403
0.000008	0.647193	0.003895	8.210461
0.000008	0.647177	0.003891	8.010317
0.000008	0.647177	0.003885	7.811295
0.000008	0.647258	0.003879	7.611314
0.000008	0.647258	0.003874	7.412405
0.000008	0.647241	0.003866	7.212441
0.000008	0.647355	0.003860	7.013500
0.000008	0.647420	0.003853	6.814592
0.000008	0.647388	0.003845	6.614791
0.000008	0.647501	0.003840	6.415590
0.000008	0.647550	0.003833	6.215920
0.000008	0.647647	0.003826	6.017255
0.000008	0.647696	0.003819	5.817357
0.000008	0.647842	0.003811	5.618450
0.000008	0.647891	0.003804	5.419348
0.000008	0.647907	0.003796	5.219629
0.000008	0.648069	0.003786	5.020770
0.000008	0.648118	0.003779	4.821133
0.000008	0.648427	0.003771	4.622437
0.000008	0.648378	0.003763	4.422962
0.000008	0.648540	0.003753	4.223958
0.000007	0.648768	0.003745	4.025360
0.000007	0.648703	0.003736	3.825755
0.000007	0.648784	0.003726	3.626930
0.000007	0.649011	0.003718	3.427391
0.000007	0.649157	0.003708	3.228907
0.000007	0.649271	0.003697	3.030147
0.000007	0.649368	0.003688	2.830348
0.000007	0.649498	0.003677	2.631767
0.000007	0.649660	0.003667	2.432244
0.000007	0.649742	0.003655	2.233566
0.000007	0.649985	0.003644	2.034336
0.000007	0.650082	0.003633	1.836014
0.000007	0.650245	0.003620	1.637531
0.000007	0.650342	0.003606	1.438512
0.000007	0.650488	0.003594	1.240110
0.000007	0.650699	0.003579	1.041075
0.000007	0.650829	0.003563	0.842867
0.000007	0.650975	0.003544	0.644579
0.000007	0.651057	0.003520	0.447232
0.000007	0.651057	0.003326	0.267094
0.000008	0.644027	0.002389	0.160417
0.000008	0.619399	0.000969	0.102363
0.000010	0.533243	-0.000011	0.000134
0.000027	0.566183	-0.000021	0.001157
0.000026	0.632955	0.001247	0.074553
0.000025	0.657372	0.002897	0.109295
0.000025	0.672161	0.004590	0.140514
0.000025	0.682064	0.006186	0.180240
0.000024	0.686513	0.007455	0.252564
0.000024	0.687341	0.008415	0.357131
0.000024	0.687779	0.009293	0.468970
0.000024	0.688104	0.010099	0.588813
0.000024	0.688331	0.010754	0.723122
0.000024	0.688217	0.011099	0.889444
0.000024	0.688071	0.011212	1.077797
0.000024	0.687925	0.011281	1.270647
0.000024	0.687649	0.011336	1.465672
0.000024	0.687308	0.011386	1.660357
0.000024	0.687113	0.011433	1.856178
0.000024	0.686821	0.011478	2.051122
0.000024	0.686545	0.011521	2.247511
0.000024	0.686156	0.011565	2.443300
0.000024	0.685847	0.011606	2.638699
0.000024	0.685474	0.011647	2.835105
0.000024	0.685117	0.011688	3.030667
0.000024	0.684630	0.011730	3.227072
0.000024	0.684321	0.011769	3.422488
0.000024	0.683850	0.011810	3.618131
0.000025	0.683461	0.011851	3.814748
0.000025	0.683103	0.011890	4.010310
0.000025	0.682552	0.011932	4.206636
0.000025	0.682032	0.011973	4.402344
0.000025	0.681659	0.012014	4.598507
0.000025	0.681188	0.012056	4.794070
0.000025	0.680766	0.012096	4.989551
0.000025	0.680181	0.012138	5.186153
0.000025	0.679629	0.012180	5.381294
0.000025	0.679077	0.012223	5.577571
0.000025	0.678558	0.012265	5.773378
0.000025	0.677973	0.012307	5.969379
0.000025	0.677275	0.012349	6.164699
0.000025	0.676740	0.012394	6.359889
0.000025	0.676220	0.012437	6.556167
0.000025	0.675603	0.012481	6.751471
0.000025	0.675084	0.012524	6.947571
0.000025	0.674386	0.012569	7.142713
0.000025	0.673769	0.012616	7.338780
0.000025	0.673038	0.012661	7.533566
0.000025	0.672389	0.012710	7.728400
0.000025	0.671626	0.012758	7.924143
0.000025	0.670976	0.012805	8.119367
0.000025	0.670230	0.012853	8.315029
0.000025	0.669515	0.012900	8.510026
0.000025	0.668898	0.012946	8.704683
0.000025	0.667048	0.013027	8.697263
0.000025	0.666788	0.013019	8.498370
0.000025	0.666788	0.013006	8.299931
0.000025	0.666690	0.012991	8.100778
0.000025	0.666723	0.012975	7.902534
0.000025	0.666707	0.012957	7.703917
0.000025	0.666788	0.012940	7.506015
0.000025	0.666837	0.012919	7.308714
0.000025	0.666950	0.012897	7.110227
0.000025	0.666934	0.012874	6.912828
0.000025	0.667129	0.012851	6.714683
0.000025	0.667340	0.012826	6.517772
0.000025	0.667437	0.012800	6.319465
0.000025	0.667664	0.012773	6.122456
0.000025	0.667876	0.012746	5.925724
0.000025	0.667973	0.012717	5.728359
0.000025	0.668265	0.012687	5.531286
0.000025	0.668622	0.012659	5.333970
0.000025	0.668703	0.012626	5.137384
0.000025	0.668996	0.012594	4.940084
0.000025	0.669320	0.012561	4.743645
0.000025	0.669694	0.012526	4.547465
0.000025	0.669986	0.012492	4.350718
0.000025	0.670213	0.012455	4.154295
0.000025	0.670635	0.012418	3.957678
0.000025	0.670960	0.012381	3.761807
0.000025	0.671269	0.012341	3.565077
0.000025	0.671691	0.012301	3.369628
0.000025	0.671967	0.012260	3.174131
0.000025	0.672389	0.012216	2.977774
0.000025	0.672746	0.012173	2.782635
0.000025	0.673282	0.012128	2.586586
0.000025	0.673687	0.012080	2.391788
0.000025	0.674126	0.012031	2.196924
0.000025	0.674499	0.011979	2.001379
0.000025	0.674873	0.011924	1.807263
0.000025	0.675392	0.011868	1.612286
0.000025	0.675895	0.011802	1.419079
0.000025	0.676301	0.011730	1.225710
0.000025	0.676788	0.011629	1.036269
0.000025	0.677129	0.011400	0.859313
0.000025	0.677178	0.010874	0.711254
0.000025	0.677275	0.010145	0.584268
0.000025	0.677389	0.009318	0.466827
0.000025	0.677162	0.008434	0.355491
0.000025	0.676512	0.007471	0.251233
0.000025	0.672032	0.006180	0.181133
0.000025	0.662226	0.004578	0.141845
0.000025	0.647371	0.002889	0.110366
0.000026	0.622955	0.001242	0.075284
0.000027	0.556068	-0.000022	0.001238
0.000045	0.575112	-0.000029	0.001969
0.000043	0.631851	0.001361	0.063238
0.000043	0.655066	0.003058	0.093320
0.000043	0.670311	0.004814	0.118143
0.000042	0.681594	0.006555	0.143371
0.000042	0.689922	0.008241	0.174395
0.000042	0.695490	0.009744	0.224462
0.000042	0.697341	0.010880	0.310473
0.000042	0.698007	0.011889	0.410055
0.000042	0.698494	0.012873	0.511391
0.000042	0.698981	0.013839	0.614789
0.000042	0.699419	0.014781	0.720281
0.000042	0.699663	0.015687	0.829068
0.000042	0.699939	0.016555	0.943051
0.000042	0.700101	0.017350	1.063478
0.000042	0.700117	0.018030	1.196520
0.000042	0.699971	0.018523	1.347225
0.000042	0.699695	0.018822	1.518321
0.000042	0.699370	0.019000	1.700667
0.000042	0.698932	0.019128	1.887673
0.000042	0.698494	0.019234	2.077357
0.000042	0.698023	0.019330	2.267399
0.000042	0.697585	0.019419	2.459226
0.000042	0.697016	0.019506	2.650372
0.000042	0.696513	0.019589	2.841664
0.000042	0.695994	0.019674	3.033767
0.000042	0.695312	0.019756	3.225173
0.000042	0.694695	0.019836	3.417537
0.000042	0.694208	0.019918	3.609186
0.000042	0.693494	0.019996	3.801712
0.000042	0.692828	0.020078	3.993556
0.000042	0.692130	0.020161	4.184751
0.000042	0.691399	0.020243	4.377083
0.000042	0.690669	0.020326	4.568424
0.000042	0.689841	0.020411	4.760009
0.000042	0.689110	0.020491	4.951773
0.000042	0.688217	0.020577	5.143813
0.000042	0.687357	0.020664	5.334944
0.000042	0.686610	0.020747	5.526091
0.000042	0.685685	0.020833	5.718326
0.000042	0.684759	0.020922	5.909083
0.000042	0.683753	0.021013	6.100166
0.000042	0.682957	0.021099	6.291346
0.000042	0.681935	0.021192	6.482656
0.000042	0.680879	0.021285	6.672862
0.000042	0.679954	0.021377	6.863345
0.000042	0.678947	0.021470	7.054509
0.000042	0.677908	0.021562	7.245024
0.000042	0.676740	0.021656	7.436124
0.000042	0.675571	0.021752	7.626299
0.000042	0.674597	0.021847	7.816230
0.000042	0.671999	0.022001	7.801196
0.000042	0.671869	0.021986	7.603099
0.000042	0.671691	0.021960	7.405781
0.000042	0.671658	0.021930	7.208431
0.000042	0.671707	0.021896	7.012039
0.000042	0.671756	0.021858	6.815420
0.000042	0.671804	0.021819	6.619742
0.000042	0.672096	0.021776	6.424471
0.000042	0.672226	0.021729	6.228453
0.000042	0.672486	0.021679	6.033977
0.000042	0.672778	0.021628	5.838674
0.000042	0.673217	0.021575	5.644231
0.000042	0.673460	0.021519	5.448927
0.000042	0.673817	0.021460	5.255394
0.000042	0.674239	0.021400	5.061584
0.000042	0.674743	0.021339	4.867467
0.000042	0.674986	0.021273	4.674177
0.000042	0.675392	0.021206	4.480335
0.000042	0.675928	0.021137	4.287598
0.000042	0.676512	0.021065	4.094260
0.000042	0.676934	0.020993	3.901928
0.000042	0.677454	0.020915	3.709499
0.000042	0.678119	0.020836	3.517266
0.000042	0.678671	0.020757	3.325827
0.000042	0.679288	0.020670	3.133772
0.000042	0.679873	0.020581	2.942773
0.000042	0.680538	0.020491	2.751529
0.000042	0.681074	0.020394	2.561390
0.000042	0.681788	0.020290	2.372404
0.000042	0.682405	0.020173	2.183190
0.000042	0.683039	0.020041	1.996866
0.000042	0.683720	0.019878	1.812588
0.000042	0.684337	0.019651	1.635291
0.000042	0.684954	0.019298	1.470283
0.000042	0.685376	0.018779	1.321185
0.000042	0.685766	0.018115	1.187818
0.000042	0.686058	0.017343	1.064111
0.000042	0.686415	0.016513	0.947385
0.000042	0.686610	0.015635	0.834490
0.000042	0.686805	0.014732	0.725459
0.000042	0.686967	0.013801	0.619058
0.000042	0.687032	0.012844	0.514443
0.000042	0.687097	0.011874	0.411646
0.000042	0.686919	0.010879	0.310781
0.000042	0.685376	0.009736	0.225453
0.000042	0.680279	0.008226	0.176230
0.000042	0.672161	0.006541	0.145043
0.000043	0.661301	0.004802	0.119523
0.000043	0.646446	0.003050	0.094197
0.000044	0.623328	0.001357	0.063708
0.000045	0.567092	-0.000028	0.001969
0.000062	0.581394	-0.000034	0.002439
0.000061	0.631250	0.001434	0.056046
0.000061	0.653638	0.003155	0.083758
0.000060	0.668736	0.004935	0.105967
0.000060	0.680279	0.006718	0.127023
0.000060	0.689354	0.008485	0.150027
0.000060	0.696513	0.010203	0.178616
0.000060	0.701854	0.011766	0.222190
0.000060	0.704225	0.012997	0.299352
0.000060	0.704858	0.014040	0.394697
0.000060	0.705572	0.015066	0.492527
0.000059	0.706059	0.016080	0.590810
0.000059	0.706400	0.017081	0.690344
0.000059	0.706806	0.018075	0.791290
0.000059	0.707179	0.019048	0.893470
0.000059	0.707455	0.020006	0.998248
0.000059	0.707585	0.020935	1.104779
0.000059	0.707699	0.021846	1.214784
0.000059	0.707861	0.022715	1.327841
0.000059	0.707829	0.023535	1.445525
0.000059	0.707731	0.024286	1.571392
0.000059	0.707601	0.024940	1.706073
0.000059	0.707309	0.025486	1.852833
0.000059	0.706920	0.025918	2.009903
0.000059	0.706351	0.026248	2.176859
0.000059	0.705881	0.026502	2.352240
0.000060	0.705231	0.026706	2.532071
0.000060	0.704614	0.026880	2.715180
0.000060	0.703900	0.027038	2.899280
0.000060	0.703088	0.027186	3.085166
0.000060	0.702374	0.027325	3.270873
0.000060	0.701530	0.027462	3.456857
0.000060	0.700588	0.027597	3.644025
0.000060	0.699776	0.027728	3.830593
0.000060	0.698867	0.027861	4.017778
0.000060	0.697796	0.027994	4.204200
0.000060	0.696822	0.028127	4.391467
0.000060	0.695913	0.028254	4.578149
0.000060	0.694906	0.028390	4.764198
0.000060	0.693688	0.028526	4.951367
0.000060	0.692584	0.028660	5.137741
0.000060	0.691513	0.028793	5.324992
0.000060	0.690360	0.028926	5.511139
0.000060	0.689094	0.029064	5.698130
0.000060	0.687909	0.029203	5.883611
0.000060	0.686610	0.029348	6.069093
0.000060	0.685328	0.029485	6.255760
0.000060	0.684110	0.029630	6.441160
0.000060	0.682714	0.029774	6.627308
0.000060	0.681350	0.029915	6.812644
0.000060	0.679938	0.030065	6.997298
0.000060	0.676496	0.030297	6.974115
0.000060	0.676334	0.030260	6.778388
0.000060	0.676269	0.030213	6.583344
0.000060	0.676399	0.030156	6.388543
0.000060	0.676561	0.030096	6.194652
0.000060	0.676788	0.030029	6.001264
0.000060	0.677016	0.029957	5.808493
0.000060	0.677259	0.029883	5.616226
0.000060	0.677779	0.029802	5.423715
0.000060	0.678071	0.029718	5.232568
0.000060	0.678607	0.029627	5.041015
0.000060	0.678931	0.029534	4.850729
0.000060	0.679581	0.029434	4.660036
0.000060	0.680084	0.029334	4.470481
0.000060	0.680636	0.029229	4.281169
0.000060	0.681204	0.029118	4.091922
0.000060	0.681724	0.029000	3.903747
0.000060	0.682340	0.028876	3.715782
0.000060	0.683022	0.028745	3.529247
0.000060	0.683623	0.028602	3.342971
0.000060	0.684289	0.028449	3.158627
0.000060	0.685019	0.028277	2.975469
0.000060	0.685733	0.028083	2.794421
0.000060	0.686480	0.027852	2.617383
0.000060	0.687195	0.027569	2.445086
0.000060	0.687909	0.027216	2.279932
0.000060	0.688542	0.026778	2.122830
0.000060	0.689175	0.026252	1.975177
0.000060	0.689678	0.025643	1.836063
0.000060	0.690117	0.024953	1.704174
0.000060	0.690669	0.024196	1.579963
0.000060	0.690993	0.023384	1.460250
0.000060	0.691432	0.022540	1.345131
0.000060	0.691740	0.021667	1.232577
0.000060	0.692146	0.020765	1.121955
0.000060	0.692373	0.019850	1.014320
0.000060	0.692698	0.018908	0.907529
0.000060	0.692925	0.017956	0.803336
0.000060	0.693185	0.016985	0.700052
0.000060	0.693234	0.016007	0.598457
0.000060	0.693412	0.015016	0.497916
0.000060	0.693380	0.014010	0.397977
0.000060	0.693136	0.012983	0.300878
0.000060	0.691432	0.011747	0.224284
0.000060	0.686756	0.010183	0.180889
0.000060	0.679873	0.008467	0.152057
0.000060	0.671074	0.006704	0.128711
0.000060	0.660278	0.004924	0.107152
0.000061	0.645748	0.003147	0.084489
0.000061	0.623831	0.001433	0.056435
0.000062	0.574430	-0.000033	0.002472
0.000080	0.586248	-0.000037	0.002715
0.000079	0.630861	0.001486	0.050802
0.000078	0.652566	0.003222	0.076875
0.000078	0.667372	0.005018	0.097671
0.000078	0.678785	0.006821	0.116763
0.000078	0.688039	0.008621	0.136195
0.000077	0.695945	0.010403	0.158356
0.000077	0.702341	0.012121	0.186555
0.000077	0.706920	0.013699	0.229609
0.000077	0.709160	0.014950	0.304190
0.000077	0.710069	0.016014	0.398204
0.000077	0.710605	0.017052	0.494215
0.000077	0.711108	0.018082	0.590648
0.000077	0.711611	0.019109	0.688380
0.000077	0.712050	0.020123	0.786452
0.000077	0.712455	0.021131	0.885954
0.000077	0.712813	0.022124	0.986364
0.000077	0.712991	0.023108	1.088674
0.000077	0.713186	0.024074	1.191893
0.000077	0.713251	0.025023	1.296557
0.000077	0.713365	0.025955	1.403721
0.000077	0.713316	0.026862	1.512834
0.000077	0.713235	0.027749	1.624787
0.000077	0.713186	0.028598	1.739938
0.000077	0.712975	0.029403	1.859538
0.000077	0.712650	0.030159	1.984836
0.000077	0.712228	0.030853	2.115541
0.000077	0.711871	0.031487	2.253275
0.000077	0.711303	0.032054	2.396853
0.000077	0.710751	0.032560	2.547477
0.000077	0.710037	0.033001	2.703751
0.000077	0.709290	0.033385	2.865528
