# Zeit (s)	# Kanal 1 (V)	# Kanal 2 (V)	# Kanal 3 (V)	# Kanal 4 (V)	# D0-D7	
-2.335	7.59375	0.3125	-4.78125	0.65625	0
-2.33	7.4375	0.46875	-4.46875	0.65625	0
-2.325	7.4375	0.3125	-4.46875	0.5	0
-2.32	7.4375	0.3125	-4.3125	0.65625	0
-2.315	7.59375	0.3125	-4.3125	0.65625	0
-2.31	7.4375	0.46875	-4.3125	0.65625	0
-2.305	7.4375	0.46875	-4.46875	0.65625	0
-2.3	7.4375	0.3125	-4.46875	0.65625	0
-2.295	7.4375	0.46875	-4.3125	0.65625	0
-2.29	7.4375	0.46875	-4.15625	0.65625	0
-2.285	7.4375	0.46875	-4.15625	0.65625	0
-2.28	7.59375	0.46875	-4.3125	0.65625	0
-2.275	7.4375	0.3125	-4.15625	0.65625	0
-2.27	7.4375	0.3125	-4.15625	0.65625	0
-2.265	7.4375	0.46875	-4	0.5	0
-2.26	7.28125	0.46875	-4	0.65625	0
-2.255	7.4375	0.46875	-4.15625	0.65625	0
-2.25	7.28125	0.46875	-3.84375	0.65625	0
-2.245	7.59375	0.46875	-4	0.8125	0
-2.24	7.4375	0.46875	-4	0.65625	0
-2.235	7.4375	0.15625	-4	0.65625	0
-2.23	7.28125	0.3125	-3.84375	0.65625	0
-2.225	7.59375	0.46875	-3.84375	0.65625	0
-2.22	7.28125	0.46875	-3.84375	0.65625	0
-2.215	7.28125	0.625	-3.84375	0.65625	0
-2.21	7.4375	0.46875	-3.84375	0.5	0
-2.205	7.4375	0.3125	-3.6875	0.65625	0
-2.2	7.4375	0.46875	-3.6875	0.65625	0
-2.195	7.28125	0.3125	-3.84375	0.65625	0
-2.19	7.59375	0.46875	-3.53125	0.65625	0
-2.185	7.59375	0.625	-3.6875	0.65625	0
-2.18	7.28125	0.46875	-3.6875	0.5	0
-2.175	7.4375	0.3125	-3.6875	0.5	0
-2.17	7.4375	0.46875	-3.53125	0.65625	0
-2.165	7.4375	0.3125	-3.6875	0.5	0
-2.16	7.4375	0.3125	-3.53125	0.65625	0
-2.155	7.4375	0.46875	-3.53125	0.65625	0
-2.15	7.4375	0.3125	-3.375	0.65625	0
-2.145	7.4375	0.3125	-3.375	0.65625	0
-2.14	7.4375	0.46875	-3.375	0.65625	0
-2.135	7.28125	0.46875	-3.375	0.65625	0
-2.13	7.4375	0.3125	-3.21875	0.65625	0
-2.125	7.4375	0.46875	-3.21875	0.65625	0
-2.12	7.4375	0.46875	-3.21875	0.65625	0
-2.115	7.4375	0.46875	-3.0625	0.65625	0
-2.11	7.4375	0.3125	-3.21875	0.65625	0
-2.105	7.59375	0.46875	-3.21875	0.65625	0
-2.1	7.4375	0.3125	-3.375	0.65625	0
-2.095	7.4375	0.46875	-3.0625	0.65625	0
-2.09	7.4375	0.46875	-3.21875	0.65625	0
-2.085	7.28125	0.3125	-3.0625	0.5	0
-2.08	7.4375	0.3125	-3.0625	0.8125	0
-2.075	7.4375	0.46875	-3.0625	0.65625	0
-2.07	7.4375	0.46875	-3.0625	0.65625	0
-2.065	7.59375	0.3125	-3.0625	0.65625	0
-2.06	7.4375	0.3125	-3.0625	0.65625	0
-2.055	7.4375	0.3125	-3.0625	0.65625	0
-2.05	7.4375	0.46875	-2.75	0.5	0
-2.045	7.4375	0.15625	-2.90625	0.5	0
-2.04	7.4375	0.15625	-3.0625	0.65625	0
-2.035	7.28125	0.46875	-2.90625	0.65625	0
-2.03	7.4375	0.46875	-2.75	0.65625	0
-2.025	7.4375	0.3125	-2.90625	0.65625	0
-2.02	7.4375	0.46875	-2.90625	0.65625	0
-2.015	7.4375	0.46875	-2.90625	0.65625	0
-2.01	7.4375	0.46875	-2.75	0.65625	0
-2.005	7.4375	0.46875	-2.75	0.5	0
-2	7.4375	0.46875	-2.59375	0.5	0
-1.995	7.4375	0.46875	-2.59375	0.65625	0
-1.99	7.28125	0.46875	-2.59375	0.65625	0
-1.985	7.4375	0.46875	-2.59375	0.65625	0
-1.98	7.4375	0.3125	-2.4375	0.65625	0
-1.975	7.4375	0.3125	-2.4375	0.65625	0
-1.97	7.28125	0.3125	-2.59375	0.5	0
-1.965	7.4375	0.46875	-2.59375	0.5	0
-1.96	7.4375	0.46875	-2.59375	0.65625	0
-1.955	7.4375	0.625	-2.4375	0.65625	0
-1.95	7.28125	0.46875	-2.4375	0.65625	0
-1.945	7.4375	0.46875	-2.4375	0.65625	0
-1.94	7.4375	0.46875	-2.59375	0.65625	0
-1.935	7.4375	0.46875	-2.28125	0.5	0
-1.93	7.4375	0.625	-2.28125	0.65625	0
-1.925	7.4375	0.3125	-2.28125	0.65625	0
-1.92	7.4375	0.3125	-2.28125	0.65625	0
-1.915	7.4375	0.3125	-2.28125	0.5	0
-1.91	7.4375	0.46875	-2.125	0.5	0
-1.905	7.4375	0.15625	-2.28125	0.65625	0
-1.9	7.4375	0.46875	-2.28125	0.65625	0
-1.895	7.4375	0.3125	-2.125	0.5	0
-1.89	7.28125	0.3125	-1.96875	0.65625	0
-1.885	7.4375	0.46875	-2.125	0.65625	0
-1.88	7.28125	0.46875	-2.125	0.5	0
-1.875	7.28125	0.46875	-2.125	0.5	0
-1.87	7.4375	0.3125	-2.125	0.65625	0
-1.865	7.4375	0.46875	-1.96875	0.65625	0
-1.86	7.4375	0.46875	-1.96875	0.65625	0
-1.855	7.4375	0.3125	-1.96875	0.65625	0
-1.85	7.4375	0.625	-1.96875	0.65625	0
-1.845	7.28125	0.46875	-1.8125	0.65625	0
-1.84	7.4375	0.3125	-1.96875	0.65625	0
-1.835	7.4375	0.3125	-1.8125	0.65625	0
-1.83	7.4375	0.46875	-1.8125	0.65625	0
-1.825	7.4375	0.3125	-1.96875	0.65625	0
-1.82	7.28125	0.3125	-1.8125	0.65625	0
-1.815	7.28125	0.3125	-1.8125	0.65625	0
-1.81	7.59375	0.46875	-1.96875	0.65625	0
-1.805	7.4375	0.46875	-1.8125	0.65625	0
-1.8	7.59375	0.46875	-1.65625	0.65625	0
-1.795	7.4375	0.3125	-1.8125	0.65625	0
-1.79	7.4375	0.3125	-1.65625	0.65625	0
-1.785	7.28125	0.46875	-1.65625	0.65625	0
-1.78	7.59375	0.46875	-1.5	0.65625	0
-1.775	7.4375	0.3125	-1.65625	0.65625	0
-1.77	7.4375	0.3125	-1.65625	0.65625	0
-1.765	7.4375	0.15625	-1.65625	0.65625	0
-1.76	7.28125	0.46875	-1.5	0.65625	0
-1.755	7.28125	0.3125	-1.5	0.65625	0
-1.75	7.4375	0.3125	-1.5	0.65625	0
-1.745	7.28125	0.46875	-1.5	0.65625	0
-1.74	7.4375	0.46875	-1.5	0.5	0
-1.735	7.4375	0.3125	-1.34375	0.65625	0
-1.73	7.4375	0.3125	-1.34375	0.65625	0
-1.725	7.4375	0.46875	-1.34375	0.65625	0
-1.72	7.4375	0.46875	-1.34375	0.65625	0
-1.715	7.4375	0.46875	-1.34375	0.65625	0
-1.71	7.4375	0.3125	-1.34375	0.65625	0
-1.705	7.59375	0.46875	-1.1875	0.65625	0
-1.7	7.59375	0.46875	-1.1875	0.65625	0
-1.695	7.4375	0.46875	-1.1875	0.65625	0
-1.69	7.4375	0.46875	-1.1875	0.65625	0
-1.685	7.4375	0.3125	-1.1875	0.65625	0
-1.68	7.4375	0.3125	-1.1875	0.65625	0
-1.675	7.28125	0.3125	-1.1875	0.5	0
-1.67	7.4375	0.46875	-1.03125	0.5	0
-1.665	7.4375	0.46875	-1.1875	0.65625	0
-1.66	7.4375	0.3125	-1.03125	0.65625	0
-1.655	7.4375	0.46875	-1.03125	0.5	0
-1.65	7.4375	0.46875	-1.03125	0.65625	0
-1.645	7.4375	0.46875	-1.03125	0.5	0
-1.64	7.4375	0.3125	-1.03125	0.65625	0
-1.635	7.4375	0.46875	-0.875	0.5	0
-1.63	7.4375	0.46875	-1.03125	0.65625	0
-1.625	7.59375	0.46875	-0.875	0.65625	0
-1.62	7.28125	0.46875	-1.03125	0.65625	0
-1.615	7.4375	0.3125	-0.875	0.65625	0
-1.61	7.59375	0.46875	-1.03125	0.5	0
-1.605	7.4375	0.3125	-0.875	0.65625	0
-1.6	7.4375	0.3125	-0.71875	0.65625	0
-1.595	7.4375	0.625	-0.71875	0.5	0
-1.59	7.4375	0.46875	-0.875	0.65625	0
-1.585	7.4375	0.46875	-0.71875	0.65625	0
-1.58	7.28125	0.3125	-0.71875	0.5	0
-1.575	7.4375	0.46875	-0.71875	0.65625	0
-1.57	7.4375	0.46875	-0.71875	0.65625	0
-1.565	7.4375	0.46875	-0.71875	0.65625	0
-1.56	7.4375	0.3125	-0.5625	0.65625	0
-1.555	7.4375	0.3125	-0.5625	0.5	0
-1.55	7.4375	0.46875	-0.5625	0.65625	0
-1.545	7.4375	0.3125	-0.5625	0.65625	0
-1.54	7.4375	0.46875	-0.5625	0.5	0
-1.535	7.4375	0.625	-0.5625	0.65625	0
-1.53	7.28125	0.15625	-0.5625	0.65625	0
-1.525	7.4375	0.46875	-0.5625	0.65625	0
-1.52	7.4375	0.3125	-0.5625	0.65625	0
-1.515	7.4375	0.3125	-0.40625	0.65625	0
-1.51	7.4375	0.46875	-0.40625	0.5	0
-1.505	7.4375	0.46875	-0.40625	0.65625	0
-1.5	7.59375	0.46875	-0.40625	0.65625	0
-1.495	7.4375	0.3125	-0.5625	0.5	0
-1.49	7.4375	0.46875	-0.40625	0.65625	0
-1.485	7.59375	0.3125	-0.40625	0.8125	0
-1.48	7.4375	0.46875	-0.25	0.65625	0
-1.475	7.4375	0.3125	-0.40625	0.65625	0
-1.47	7.59375	0.46875	-0.25	0.5	0
-1.465	7.4375	0.46875	-0.25	0.65625	0
-1.46	7.4375	0.3125	-0.25	0.65625	0
-1.455	7.4375	0.3125	-0.25	0.65625	0
-1.45	7.4375	0.46875	-0.25	0.5	0
