# Zeit (s)	# Kanal 1 (V)	# Kanal 2 (V)	# D0-D7	
-0.001	8.95625	0.15625	0
-0.000998	8.95625	0.1625	0
-0.000996	8.925	0.16875	0
-0.000994	8.9875	0.175	0
-0.000992	8.95625	0.18125	0
-0.00099	8.925	0.19375	0
-0.000988	8.95625	0.19375	0
-0.000986	8.95625	0.20625	0
-0.000984	8.95625	0.2125	0
-0.000982	8.95625	0.21875	0
-0.00098	8.95625	0.225	0
-0.000978	8.95625	0.23125	0
-0.000976	8.95625	0.24375	0
-0.000974	8.95625	0.25	0
-0.000972	8.925	0.25625	0
-0.00097	8.925	0.25625	0
-0.000968	8.925	0.26875	0
-0.000966	8.95625	0.275	0
-0.000964	8.95625	0.28125	0
-0.000962	8.95625	0.2875	0
-0.00096	8.95625	0.29375	0
-0.000958	8.95625	0.3	0
-0.000956	8.95625	0.30625	0
-0.000954	8.95625	0.3125	0
-0.000952	8.95625	0.31875	0
-0.00095	8.95625	0.325	0
-0.000948	8.95625	0.33125	0
-0.000946	8.95625	0.3375	0
-0.000944	8.95625	0.3375	0
-0.000942	8.925	0.35	0
-0.00094	8.925	0.35625	0
-0.000938	8.95625	0.3625	0
-0.000936	8.95625	0.3625	0
-0.000934	8.9875	0.36875	0
-0.000932	8.95625	0.375	0
-0.00093	8.95625	0.38125	0
-0.000928	8.9875	0.3875	0
-0.000926	8.95625	0.39375	0
-0.000924	8.95625	0.4	0
-0.000922	8.95625	0.40625	0
-0.00092	8.95625	0.4125	0
-0.000918	8.925	0.4125	0
-0.000916	8.95625	0.41875	0
-0.000914	8.95625	0.425	0
-0.000912	8.95625	0.43125	0
-0.00091	8.95625	0.4375	0
-0.000908	8.95625	0.44375	0
-0.000906	8.925	0.45	0
-0.000904	8.925	0.45	0
-0.000902	8.95625	0.45	0
-0.0009	8.925	0.4625	0
-0.000898	8.925	0.4625	0
-0.000896	8.925	0.46875	0
-0.000894	8.925	0.475	0
-0.000892	8.925	0.48125	0
-0.00089	8.89375	0.48125	0
-0.000888	8.8625	0.4875	0
-0.000886	8.8625	0.49375	0
-0.000884	8.8625	0.49375	0
-0.000882	8.8625	0.5	0
