Frequenz (Hz)	Gain (dB)	Gain (U_out/U_in)	Phase
100.000000	13.003207	4.468485	-118.800000
109.647820	13.340356	4.645343	-121.600000
120.226443	13.663212	4.821261	-122.900000
131.825674	14.471785	5.291627	-126.000000
144.543977	14.662692	5.409219	-128.000000
158.489319	15.211457	5.761994	-131.400000
173.780083	15.951730	6.274606	-131.700000
190.546072	15.933700	6.261596	-135.500000
208.929613	16.676095	6.820320	-138.400000
229.086765	16.956307	7.043935	-141.000000
251.188643	17.043217	7.114770	-144.200000
275.422870	17.718482	7.689961	-144.600000
301.995172	17.531134	7.525870	-148.800000
331.131121	17.930145	7.879656	-152.400000
363.078055	17.929031	7.878645	-153.700000
398.107171	18.057713	7.996237	-154.700000
436.515832	18.379463	8.297994	-157.200000
478.630092	18.371810	8.290687	-159.100000
524.807460	18.825493	8.735236	-158.600000
575.439937	18.685917	8.595989	-162.500000
630.957344	18.805724	8.715377	-162.700000
691.830971	18.805724	8.715377	-164.200000
758.577575	18.733754	8.643462	-167.100000
831.763771	18.792169	8.701787	-168.400000
912.010839	18.792169	8.701787	-170.000000
1000.000000	19.184960	9.104331	-168.500000
1096.478196	19.040492	8.954155	-171.800000
1202.264435	19.040492	8.954155	-171.000000
1318.256739	19.040492	8.954155	-174.100000
1445.439771	19.040492	8.954155	-173.900000
1584.893192	18.982858	8.894938	-174.200000
1737.800829	19.040492	8.954155	-174.500000
1905.460718	18.908760	8.819379	-174.500000
2089.296131	18.966934	8.878645	-177.300000
2290.867653	19.098666	9.014327	-176.400000
2511.886432	19.098666	9.014327	-176.100000
2754.228703	19.212949	9.133715	-177.000000
3019.951720	19.040492	8.954155	-178.300000
3311.311215	18.966934	8.878645	-179.100000
3630.780548	19.439426	9.375000	-174.000000
3981.071706	18.966934	8.878645	-179.500000
4365.158322	19.040492	8.954155	-179.400000
4786.300923	19.301551	9.227362	-178.700000
5248.074602	19.040492	8.954155	-180.000000
5754.399373	19.098666	9.014327	-180.800000
6309.573445	19.040492	8.954155	-181.700000
6918.309709	19.232426	9.154219	-180.900000
7585.775750	19.359725	9.289370	-179.500000
8317.637711	19.040492	8.954155	-181.600000
9120.108394	19.040492	8.954155	-183.600000
10000.000000	19.040492	8.954155	-182.600000
10964.781961	19.040492	8.954155	-184.200000
12022.644346	19.040492	8.954155	-184.600000
13182.567386	19.040492	8.954155	-184.100000
14454.397707	19.040492	8.954155	-185.000000
15848.931925	19.040492	8.954155	-186.000000
17378.008287	19.040492	8.954155	-187.200000
19054.607180	19.040492	8.954155	-186.600000
20892.961309	19.040492	8.954155	-188.400000
22908.676528	19.155538	9.073543	-188.300000
25118.864315	18.923901	8.834766	169.900000
27542.287033	18.923901	8.834766	169.000000
30199.517204	18.923901	8.834766	167.900000
33113.112148	18.982858	8.894938	168.600000
36307.805477	18.805724	8.715377	167.500000
39810.717055	18.805724	8.715377	164.500000
43651.583224	18.685917	8.595989	163.400000
47863.009232	18.685917	8.595989	160.900000
52480.746025	18.564434	8.476600	160.100000
57543.993734	18.441227	8.357211	157.600000
63095.734448	18.316248	8.237822	156.000000
69183.097092	18.189445	8.118434	153.700000
75857.757503	18.060763	7.999045	152.500000
83176.377110	18.125857	8.059217	150.100000
91201.083936	17.797534	7.760267	147.300000
100000.000000	17.648160	7.627953	147.200000
109647.819614	17.102292	7.163324	142.200000
120226.443462	16.733228	6.865330	140.400000
131825.673856	16.503027	6.685769	136.600000
144543.977075	16.187142	6.446991	133.900000
158489.319246	15.690670	6.088825	131.600000
173780.082875	15.432072	5.910220	130.000000
190546.071796	14.794423	5.491882	127.300000
208929.613085	14.408320	5.253104	123.600000
229086.765277	13.580466	4.775549	122.000000
251188.643151	13.249384	4.596944	118.200000
275422.870334	12.903301	4.417383	118.000000
301995.172040	12.168845	4.059217	115.000000
331131.121483	11.903326	3.937008	113.600000
363078.054770	10.549176	3.368672	110.700000
398107.170553	9.878730	3.118434	109.100000
436515.832240	9.094131	2.849093	105.600000
478630.092323	8.550429	2.676218	105.100000
524807.460250	7.833460	2.464183	103.800000
575439.937337	7.111717	2.267701	102.900000
630957.344480	6.458216	2.103346	101.200000
691830.970919	5.773468	1.943898	104.400000
758577.575029	4.448407	1.668862	97.400000
831763.771103	3.882127	1.563531	97.200000
912010.839356	3.663878	1.524733	96.900000
1000000.000000	2.713859	1.366762	94.500000
