Frequenz (Hz)	Gain (dB)	Gain (U_out/U_in)	Phase
1000000.000000	2.367120	1.313276	95.000000
870963.589956	3.696967	1.530553	99.500000
758577.575029	4.540880	1.686724	101.600000
660693.448008	5.755265	1.939828	102.200000
575439.937337	7.145638	2.276575	102.700000
501187.233627	7.983653	2.507163	106.000000
436515.832240	9.553479	3.003820	108.800000
380189.396321	10.519573	3.357211	111.400000
331131.121483	11.728122	3.858390	112.900000
288403.150313	12.179058	4.063992	116.900000
251188.643151	13.076225	4.506208	120.500000
218776.162395	13.755930	4.873001	124.700000
190546.071796	14.771735	5.477555	126.900000
165958.690744	15.446098	5.919771	130.600000
144543.977075	16.331610	6.555118	134.500000
125892.541179	16.654325	6.803247	139.100000
109647.819614	17.068446	7.135466	142.900000
95499.258602	17.512832	7.510029	146.900000
83176.377110	17.681823	7.657573	150.200000
72443.596007	18.317673	8.239173	152.700000
63095.734448	18.294065	8.216810	156.900000
54954.087386	19.633839	9.587203	160.300000
47863.009232	19.210224	9.130850	162.900000
41686.938347	19.210224	9.130850	165.100000
36307.805477	19.343144	9.271654	164.200000
31622.776602	19.336501	9.264565	169.500000
27542.287033	19.574970	9.522445	-189.800000
23988.329190	19.452137	9.388730	-188.000000
20892.961309	19.452137	9.388730	-186.900000
18197.008586	19.222440	9.143701	-187.000000
15848.931925	19.452137	9.388730	-185.300000
13803.842646	19.210224	9.130850	-184.900000
12022.644346	19.564358	9.510818	-182.400000
10471.285481	19.452137	9.388730	-182.700000
9120.108394	19.597561	9.547244	-185.100000
7943.282347	19.443238	9.379116	-180.000000
6918.309709	19.443238	9.379116	-181.400000
6025.595861	19.078493	8.993415	-180.600000
5248.074602	19.443238	9.379116	-178.900000
4570.881896	19.597561	9.547244	-181.900000
3981.071706	19.574970	9.522445	-178.000000
3467.368505	19.836029	9.812992	-174.400000
3019.951720	19.443238	9.379116	-174.500000
2630.267992	19.204769	9.125118	-173.600000
2290.867653	19.882682	9.865841	-177.200000
1995.262315	19.320405	9.247413	-174.700000
1737.800829	19.836029	9.812992	-175.800000
1513.561248	19.574970	9.522445	-172.700000
1318.256739	19.078493	8.993415	-171.500000
1148.153621	19.851070	9.830000	-168.900000
1000.000000	19.320405	9.247413	-168.300000
870.963590	19.713196	9.675197	-168.800000
758.577575	19.320405	9.247413	-166.500000
660.693448	19.204769	9.125118	-163.000000
575.439937	19.471284	9.409449	-163.300000
501.187234	19.082084	8.997135	-159.400000
436.515832	19.222440	9.143701	-157.500000
380.189396	18.563831	8.476011	-152.500000
331.131121	17.770997	7.736595	-151.200000
288.403150	17.802565	7.764764	-148.500000
251.188643	17.032874	7.106303	-142.900000
218.776162	17.032870	7.106299	-140.600000
190.546072	16.105451	6.386642	-134.700000
165.958691	15.471298	5.936971	-131.000000
144.543977	14.928964	5.577611	-128.000000
125.892541	13.966316	4.992474	-122.200000
109.647820	13.059710	4.497648	-119.100000
95.499259	12.705588	4.317968	-117.600000
83.176377	11.440768	3.732832	-115.000000
72.443596	11.069824	3.576772	-112.300000
63.095734	9.836981	3.103481	-108.400000
54.954087	8.192588	2.568203	-104.100000
47.863009	7.015460	2.242709	-102.500000
41.686938	5.855621	1.962371	-102.200000
36.307805	5.134847	1.806102	-98.400000
31.622777	3.464438	1.490122	-97.900000
27.542287	2.750441	1.372531	-96.700000
23.988329	1.110673	1.136406	-96.700000
20.892961	0.799830	1.096457	-92.700000
18.197009	-0.870619	0.904626	-93.000000
15.848932	-2.351319	0.762841	-94.400000
13.803843	-3.594030	0.661148	-93.900000
12.022644	-4.734822	0.579774	-93.100000
10.471285	-5.960343	0.503481	-91.600000
9.120108	-6.691363	0.462841	-91.200000
7.943282	-8.030593	0.396707	-93.800000
6.918310	-8.971643	0.355974	-92.500000
6.025596	-10.754013	0.289934	-91.800000
5.248075	-11.993936	0.251364	-91.600000
4.570882	-13.105613	0.221167	-89.100000
3.981072	-14.376467	0.191063	-88.800000
3.467369	-15.343567	0.170931	-88.200000
3.019952	-16.431995	0.150800	-93.100000
2.630268	-17.137177	0.139040	-89.500000
2.290868	-18.251798	0.122295	-89.800000
1.995262	-19.951111	0.100564	-95.500000
1.737801	-20.548054	0.093885	-86.800000
1.513561	-23.039869	0.070470	-89.400000
1.318257	-22.560550	0.074468	-88.400000
1.148154	-24.267654	0.061181	-93.000000
1.000000	-25.187821	0.055031	-91.800000
