U_diff	U_CM	U_out
0.000000	0.000000	6.409380
0.000000	-0.600000	6.410200
0.000000	-0.700000	6.410260
0.000000	-0.800000	6.410333
0.000000	-1.300000	6.410697
0.000000	-1.800000	6.411096
0.000000	-2.900000	6.411983
0.000000	-4.300000	6.413021
0.000000	-5.500000	6.413936
0.000000	-6.900000	6.414971
0.000000	-8.600000	6.416214
0.000000	-9.500000	6.416947
0.000000	-10.000000	6.417295
0.000000	-9.900000	6.417366
0.000000	-7.500000	6.415580
0.000000	-7.400000	6.415497
0.000000	-6.200000	6.414567
0.000000	-4.600000	6.413375
0.000000	-3.000000	6.412259
0.000000	-0.800000	6.410546
0.000000	-0.100000	6.410040
0.000000	1.500000	6.408892
0.000000	3.300000	6.407533
0.000000	4.600000	6.406554
0.000000	7.400000	6.404450
0.000000	8.200000	6.403830
0.000000	8.700000	6.403514
0.000000	4.600000	6.406550
0.000000	-1.200000	6.410856
0.000000	-6.500000	6.414830
0.000000	-9.200000	6.416833
0.000000	-10.000000	6.417357
0.000000	-9.600000	6.417061
0.000000	-5.600000	6.414127
0.000000	-4.800000	6.413478
0.000000	-0.600000	6.410348
0.000000	1.000000	6.409158
0.000000	2.300000	6.408139
0.000000	3.100000	6.407556
0.000000	3.600000	6.407211
0.000000	4.000000	6.406910
0.000000	4.900000	6.406247
0.000000	5.600000	6.405661
0.000000	6.100000	6.405323
0.000000	6.800000	6.404807
0.000000	7.700000	6.404113
0.000000	9.000000	6.403160
0.000000	9.500000	6.402785
0.000000	10.000000	6.402453
0.000000	9.800000	6.402498
0.000000	9.400000	6.402866
0.000000	6.300000	6.405186
0.000000	4.200000	6.406716
0.000000	3.600000	6.407191
0.000000	2.600000	6.407918
0.000000	1.400000	6.408849
0.000000	-0.200000	6.410099
0.000000	-0.800000	6.410488
0.000000	-2.100000	6.411443
0.000000	-3.200000	6.412245
0.000000	-4.200000	6.413090
0.000000	-5.100000	6.413743
0.000000	-6.500000	6.414747
0.000000	-7.600000	6.415519
0.000000	-9.600000	6.417041
0.000000	-10.000000	6.417363
0.000000	-9.500000	6.416936
0.000000	-8.600000	6.416225
0.000000	-3.900000	6.412763
0.000000	-1.400000	6.410879
0.000000	0.800000	6.409292
0.000000	2.400000	6.408145
0.000000	3.900000	6.406992
0.000000	4.800000	6.406295
0.000000	5.700000	6.405602
0.000000	7.700000	6.404132
0.000000	8.900000	6.403273
0.000000	10.000000	6.402415
0.000000	9.200000	6.402968
0.000000	3.200000	6.407374
0.000000	2.300000	6.408124
0.000000	-5.000000	6.413586
0.000000	-5.600000	6.414058
0.000000	-6.700000	6.414861
0.000000	-7.600000	6.415514
0.000000	-8.200000	6.415946
0.000000	-8.700000	6.416278
0.000000	-9.400000	6.416845
0.000000	-9.900000	6.417220
0.000000	-10.000000	6.417243
0.000000	-9.600000	6.417004
0.000000	-8.600000	6.416232
