U_diff	U_CM	U_out
0.000000	-3.900000	7.226966
0.000000	-3.800000	7.226730
0.000000	-2.500000	7.226426
0.000000	-2.100000	7.226353
0.000000	-0.500000	7.225959
0.000000	2.700000	7.225117
0.000000	6.000000	7.224499
0.000000	8.800000	7.223840
0.000000	10.000000	7.223474
0.000000	8.500000	7.223895
0.000000	6.900000	7.224288
0.000000	2.700000	7.225242
0.000000	0.200000	7.225771
0.000000	-2.300000	7.226379
0.000000	-5.700000	7.227144
0.000000	-7.500000	7.227562
0.000000	-10.000000	7.228104
0.000000	-9.900000	7.228171
0.000000	-9.600000	7.228102
0.000000	-7.600000	7.227605
0.000000	-5.700000	7.227202
0.000000	-3.500000	7.226655
0.000000	-1.500000	7.226162
0.000000	-0.600000	7.225961
0.000000	1.000000	7.225667
0.000000	2.100000	7.225376
0.000000	3.000000	7.225162
0.000000	3.800000	7.224982
0.000000	7.600000	7.224092
0.000000	9.800000	7.223580
0.000000	10.000000	7.223533
0.000000	9.600000	7.223623
0.000000	9.400000	7.223703
0.000000	6.400000	7.224300
0.000000	4.000000	7.224877
0.000000	0.700000	7.225561
0.000000	-1.400000	7.226133
0.000000	-3.200000	7.226504
0.000000	-5.100000	7.226936
0.000000	-7.400000	7.227471
0.000000	-9.600000	7.227955
0.000000	-10.000000	7.228106
0.000000	-9.500000	7.228045
0.000000	-8.900000	7.227779
0.000000	-7.000000	7.227403
0.000000	-4.500000	7.226861
0.000000	-2.000000	7.226236
0.000000	1.300000	7.225493
0.000000	3.600000	7.224954
0.000000	5.400000	7.224487
0.000000	7.300000	7.224085
0.000000	8.800000	7.223771
0.000000	10.000000	7.223533
0.000000	9.600000	7.223547
0.000000	6.700000	7.224243
0.000000	6.300000	7.224356
0.000000	4.400000	7.224750
0.000000	2.300000	7.225220
0.000000	1.100000	7.225550
0.000000	-0.700000	7.225944
0.000000	-2.100000	7.226243
0.000000	-3.300000	7.226525
0.000000	-4.500000	7.226797
0.000000	-5.800000	7.227140
0.000000	-7.500000	7.227558
0.000000	-9.600000	7.227901
0.000000	-10.000000	7.228012
0.000000	-9.900000	7.228020
0.000000	-9.000000	7.227746
0.000000	-8.800000	7.227809
0.000000	-7.900000	7.227534
0.000000	-7.300000	7.227434
0.000000	-6.700000	7.227299
0.000000	-6.100000	7.227182
0.000000	-5.700000	7.227045
0.000000	-5.500000	7.226974
0.000000	-4.800000	7.226895
0.000000	-4.400000	7.226704
0.000000	-4.000000	7.226701
0.000000	-3.700000	7.226710
0.000000	-3.100000	7.226487
0.000000	-2.500000	7.226430
0.000000	-1.200000	7.226096
0.000000	0.100000	7.225700
0.000000	1.300000	7.225510
0.000000	2.000000	7.225365
0.000000	2.300000	7.225246
0.000000	2.900000	7.225140
0.000000	3.800000	7.224898
0.000000	5.400000	7.224590
0.000000	6.500000	7.224311
0.000000	8.600000	7.223863
0.000000	10.000000	7.223507
0.000000	9.800000	7.223561
0.000000	9.500000	7.223664
0.000000	7.700000	7.224039
0.000000	6.100000	7.224388
0.000000	4.000000	7.224895
0.000000	2.700000	7.225185
0.000000	1.300000	7.225527
0.000000	0.200000	7.225736
0.000000	-0.500000	7.225926
0.000000	-1.200000	7.226115
0.000000	-1.800000	7.226242
0.000000	-3.900000	7.226743
0.000000	-5.800000	7.227190
0.000000	-7.400000	7.227594
0.000000	-8.300000	7.227799
0.000000	-9.000000	7.227923
0.000000	-10.000000	7.228102
0.000000	-9.900000	7.228206
0.000000	-9.300000	7.228078
0.000000	-8.800000	7.228008
0.000000	-8.200000	7.227842
0.000000	-7.600000	7.227714
0.000000	-7.000000	7.227581
0.000000	-6.400000	7.227431
0.000000	-5.400000	7.227222
0.000000	-4.200000	7.226985
0.000000	-3.200000	7.226767
0.000000	-2.400000	7.226549
0.000000	0.200000	7.226022
0.000000	1.500000	7.225681
0.000000	3.100000	7.225315
0.000000	6.700000	7.224505
0.000000	8.000000	7.224292
0.000000	9.400000	7.223909
0.000000	10.000000	7.223742
0.000000	9.600000	7.223946
0.000000	9.400000	7.224016
0.000000	7.700000	7.224415
0.000000	4.500000	7.225151
0.000000	3.700000	7.225290
0.000000	2.900000	7.225464
0.000000	1.700000	7.225719
0.000000	0.600000	7.225957
0.000000	-1.000000	7.226324
0.000000	-2.900000	7.226738
0.000000	-5.500000	7.227355
0.000000	-9.200000	7.228141
0.000000	-10.000000	7.228287
0.000000	-9.800000	7.228174
0.000000	-9.200000	7.228104
0.000000	-0.600000	7.226034
0.000000	2.500000	7.225360
0.000000	5.600000	7.224584
0.000000	8.900000	7.223831
0.000000	9.400000	7.223713
0.000000	10.000000	7.223537
