#U_diff	U_CM	U_out
4.900000	0.000000	6.601965
4.600000	0.000000	6.590289
-0.100000	0.000000	6.406594
-3.300000	0.000000	6.281746
-5.000000	0.000000	6.215640
4.000000	0.000000	6.566861
5.000000	0.000000	6.605861
4.700000	0.000000	6.594187
-5.000000	0.000000	6.215801
-1.400000	0.000000	6.355860
-0.300000	0.000000	6.398836
4.200000	0.000000	6.574703
5.000000	0.000000	6.605864
-5.000000	0.000000	6.215746
-3.400000	0.000000	6.277799
5.000000	0.000000	6.605772
4.000000	0.000000	6.566835
-5.000000	0.000000	6.215756
-2.700000	0.000000	6.305071
-3.800000	0.000000	6.262229
-5.000000	0.000000	6.215690
0.100000	0.000000	6.414396
5.000000	0.000000	6.605770
0.100000	0.000000	6.414437
-3.500000	0.000000	6.273911
5.000000	0.000000	6.605778
-4.500000	0.000000	6.235086
-5.000000	0.000000	6.215658
5.000000	0.000000	6.605780
3.700000	0.000000	6.555084
-0.100000	0.000000	6.406542
3.400000	0.000000	6.543372
5.000000	0.000000	6.605788
0.700000	0.000000	6.437878
2.700000	0.000000	6.516085
5.000000	0.000000	6.605799
4.800000	0.000000	6.597951
4.700000	0.000000	6.594100
5.000000	0.000000	6.605755
4.900000	0.000000	6.601913
1.800000	0.000000	6.480908
1.000000	0.000000	6.449595
-0.300000	0.000000	6.398806
-1.300000	0.000000	6.359661
-3.000000	0.000000	6.293344
-4.000000	0.000000	6.254398
-5.000000	0.000000	6.215641
-4.900000	0.000000	6.219452
-3.900000	0.000000	6.258221
-3.800000	0.000000	6.262128
-2.600000	0.000000	6.308850
-2.300000	0.000000	6.320558
-1.500000	0.000000	6.351814
-1.100000	0.000000	6.367418
-0.700000	0.000000	6.383017
-0.200000	0.000000	6.402582
0.100000	0.000000	6.414318
0.400000	0.000000	6.426083
0.800000	0.000000	6.441715
1.300000	0.000000	6.461234
1.800000	0.000000	6.480854
2.300000	0.000000	6.500330
2.700000	0.000000	6.515983
3.300000	0.000000	6.539475
4.000000	0.000000	6.566826
4.700000	0.000000	6.594091
5.000000	0.000000	6.605794
4.900000	0.000000	6.601932
4.500000	0.000000	6.586376
4.300000	0.000000	6.578488
3.700000	0.000000	6.555089
2.400000	0.000000	6.504338
1.100000	0.000000	6.453487
-0.200000	0.000000	6.402610
-0.900000	0.000000	6.375299
-1.900000	0.000000	6.336170
-2.900000	0.000000	6.297177
-4.100000	0.000000	6.250558
-4.400000	0.000000	6.238862
-5.000000	0.000000	6.215567
-4.900000	0.000000	6.219369
-3.000000	0.000000	6.293215
-2.900000	0.000000	6.297117
-2.000000	0.000000	6.332159
-0.800000	0.000000	6.378990
0.600000	0.000000	6.433772
1.500000	0.000000	6.468977
2.700000	0.000000	6.515907
3.300000	0.000000	6.539311
3.900000	0.000000	6.562794
4.600000	0.000000	6.590066
4.800000	0.000000	6.597829
4.500000	0.000000	6.586208
3.900000	0.000000	6.562831
-1.000000	0.000000	6.371294
-3.400000	0.000000	6.277676
-5.000000	0.000000	6.215581
-4.900000	0.000000	6.219335
-4.800000	0.000000	6.223161
-4.500000	0.000000	6.234851
-4.000000	0.000000	6.254238
-3.900000	0.000000	6.258197
-3.600000	0.000000	6.269756
-2.700000	0.000000	6.304799
-2.100000	0.000000	6.328235
-1.700000	0.000000	6.343884
-1.300000	0.000000	6.359474
-1.200000	0.000000	6.363340
-1.000000	0.000000	6.371233
-0.700000	0.000000	6.382945
-0.500000	0.000000	6.390724
-0.300000	0.000000	6.398533
-0.000000	0.000000	6.410284
0.400000	0.000000	6.425946
0.700000	0.000000	6.437639
1.200000	0.000000	6.457224
2.100000	0.000000	6.492418
2.800000	0.000000	6.519772
3.300000	0.000000	6.539311
4.200000	0.000000	6.574447
5.000000	0.000000	6.605626
3.300000	0.000000	6.539399
2.900000	0.000000	6.523718
1.300000	0.000000	6.461200
-2.000000	0.000000	6.332184
-3.300000	0.000000	6.281502
-4.900000	0.000000	6.219314
-5.000000	0.000000	6.215437
-4.900000	0.000000	6.218981
-4.800000	0.000000	6.222906
-4.700000	0.000000	6.226732
-4.600000	0.000000	6.230615
-4.500000	0.000000	6.234469
-4.400000	0.000000	6.238443
-4.300000	0.000000	6.242261
-4.200000	0.000000	6.246205
-4.100000	0.000000	6.250061
-4.000000	0.000000	6.253947
-3.900000	0.000000	6.257890
-3.800000	0.000000	6.261781
-3.700000	0.000000	6.265557
-3.600000	0.000000	6.269548
-3.500000	0.000000	6.273411
-3.400000	0.000000	6.277234
-3.300000	0.000000	6.281230
-3.200000	0.000000	6.285046
