U_diff	U_CM	U_out
4.800000	-7.300000	7.335146
4.600000	-7.300000	7.330679
4.000000	-7.300000	7.317163
3.900000	-7.300000	7.314839
3.600000	-7.300000	7.308018
3.200000	-7.300000	7.298759
3.000000	-7.300000	7.294036
2.600000	-7.300000	7.284697
2.300000	-7.300000	7.277631
2.200000	-7.300000	7.275258
1.800000	-7.300000	7.265808
1.500000	-7.300000	7.258690
1.400000	-7.300000	7.256240
1.000000	-7.300000	7.246693
0.700000	-7.300000	7.239518
0.500000	-7.300000	7.234776
0.300000	-7.300000	7.229986
0.100000	-7.300000	7.225246
-0.500000	-7.300000	7.211073
-1.200000	-7.300000	7.194641
-1.500000	-7.300000	7.187652
-2.100000	-7.300000	7.173920
-2.700000	-7.300000	7.160337
-2.900000	-7.300000	7.155885
-3.300000	-7.300000	7.147191
-3.800000	-7.300000	7.136474
-4.500000	-7.300000	7.121959
-5.000000	-7.300000	7.111931
-4.900000	-7.300000	7.113795
-4.800000	-7.300000	7.115805
-3.900000	-7.300000	7.134200
-3.800000	-7.300000	7.136303
-3.300000	-7.300000	7.147014
-2.900000	-7.300000	7.155796
-2.300000	-7.300000	7.169201
-1.900000	-7.300000	7.178319
-1.800000	-7.300000	7.180566
-1.300000	-7.300000	7.192113
-0.800000	-7.300000	7.203859
0.500000	-7.300000	7.234596
1.100000	-7.300000	7.248906
1.800000	-7.300000	7.265587
2.400000	-7.300000	7.279762
3.000000	-7.300000	7.293869
3.500000	-7.300000	7.305549
3.900000	-7.300000	7.314702
4.700000	-7.300000	7.332802
5.000000	-7.300000	7.339410
4.900000	-7.300000	7.337266
4.800000	-7.300000	7.335087
4.300000	-7.300000	7.323808
3.600000	-7.300000	7.307883
3.200000	-7.300000	7.298684
2.700000	-7.300000	7.286952
2.400000	-7.300000	7.279798
2.100000	-7.300000	7.272808
1.800000	-7.300000	7.265623
1.500000	-7.300000	7.258455
1.100000	-7.300000	7.248969
0.500000	-7.300000	7.234730
0.000000	-7.300000	7.222821
-0.800000	-7.300000	7.203876
-1.400000	-7.300000	7.189898
-2.400000	-7.300000	7.167007
-3.100000	-7.300000	7.151441
-4.000000	-7.300000	7.132151
-5.000000	-7.300000	7.111866
-4.800000	-7.300000	7.117829
-4.700000	-7.300000	7.119834
-4.500000	-7.300000	7.123904
-4.400000	-7.300000	7.125865
-4.300000	-7.300000	7.127912
-4.000000	-7.300000	7.134183
-3.300000	-7.300000	7.149152
-2.600000	-7.300000	7.164603
-2.000000	-7.300000	7.178177
-1.500000	-7.300000	7.189673
-0.800000	-7.300000	7.205943
-0.700000	-7.300000	7.208342
-0.300000	-7.300000	7.217777
-0.100000	-7.300000	7.222532
0.200000	-7.300000	7.229708
0.500000	-7.300000	7.236804
1.100000	-7.300000	7.251138
1.400000	-7.300000	7.258212
2.100000	-7.300000	7.274903
3.000000	-7.300000	7.296103
3.400000	-7.300000	7.305344
4.000000	-7.300000	7.319072
4.600000	-7.300000	7.332604
5.000000	-7.300000	7.341466
4.900000	-7.300000	7.339363
3.900000	-7.300000	7.317072
3.800000	-7.300000	7.314761
2.900000	-7.300000	7.294059
2.000000	-7.300000	7.272969
1.100000	-7.300000	7.251657
0.800000	-7.300000	7.244542
0.400000	-7.300000	7.235066
-0.200000	-7.300000	7.220853
-0.600000	-7.300000	7.211487
-1.800000	-7.300000	7.183619
-2.300000	-7.300000	7.172269
-3.200000	-7.300000	7.152487
-3.500000	-7.300000	7.146024
-3.700000	-7.300000	7.141857
-4.500000	-7.300000	7.125252
-4.900000	-7.300000	7.117323
-4.500000	-7.300000	7.125307
-4.300000	-7.300000	7.129418
-3.200000	-7.300000	7.152665
-2.300000	-7.300000	7.172625
-0.800000	-7.300000	7.207031
-0.100000	-7.300000	7.223590
0.600000	-7.300000	7.240175
1.200000	-7.300000	7.254372
1.500000	-7.300000	7.261582
2.300000	-7.300000	7.280525
3.000000	-7.300000	7.296891
3.800000	-7.300000	7.315385
4.500000	-7.300000	7.331155
4.900000	-7.300000	7.339963
5.000000	-7.300000	7.342276
4.900000	-7.300000	7.340158
4.600000	-7.300000	7.333612
3.300000	-7.300000	7.304166
1.900000	-7.300000	7.271432
1.200000	-7.300000	7.254895
0.800000	-7.300000	7.245379
0.500000	-7.300000	7.238286
-0.400000	-7.300000	7.216973
-1.300000	-7.300000	7.195969
-2.300000	-7.300000	7.173122
-3.200000	-7.300000	7.153299
-4.000000	-7.300000	7.136262
-4.900000	-7.300000	7.117990
-5.000000	-7.300000	7.116036
-4.800000	-7.300000	7.119958
-4.300000	-7.300000	7.130031
-2.200000	-7.300000	7.175354
-0.500000	-7.300000	7.214609
0.800000	-7.300000	7.245326
1.700000	-7.300000	7.266660
2.500000	-7.300000	7.285549
2.900000	-7.300000	7.294872
3.600000	-7.300000	7.311091
4.400000	-7.300000	7.329088
5.000000	-7.300000	7.342391
4.600000	-7.300000	7.333611
4.300000	-7.300000	7.326901
2.500000	-7.300000	7.285517
0.200000	-7.300000	7.231137
-2.400000	-7.300000	7.170973
-3.900000	-7.300000	7.138308
-5.000000	-7.300000	7.116010
-4.900000	-7.300000	7.118124
-4.800000	-7.300000	7.119973
-2.900000	-7.300000	7.159832
-1.700000	-7.300000	7.186769
-0.500000	-7.300000	7.214703
0.200000	-7.300000	7.231217
1.200000	-7.300000	7.254895
2.000000	-7.300000	7.273862
2.400000	-7.300000	7.283239
2.900000	-7.300000	7.294970
3.600000	-7.300000	7.311086
4.200000	-7.300000	7.324760
5.000000	-7.300000	7.342524
4.800000	-7.300000	7.338266
4.300000	-7.300000	7.327228
3.000000	-7.300000	7.297545
1.500000	-7.300000	7.262281
0.600000	-7.300000	7.241010
-0.700000	-7.300000	7.210389
-1.400000	-7.300000	7.194149
-2.400000	-7.300000	7.171284
-3.100000	-7.300000	7.155867
-3.600000	-7.300000	7.145062
-4.500000	-7.300000	7.126472
-5.000000	-7.300000	7.116451
-4.900000	-7.300000	7.118448
-4.800000	-7.300000	7.120415
-3.200000	-7.300000	7.153710
-1.800000	-7.300000	7.184990
-0.400000	-7.300000	7.217395
1.000000	-7.300000	7.250541
1.800000	-7.300000	7.269413
3.200000	-7.300000	7.302186
4.000000	-7.300000	7.320455
4.300000	-7.300000	7.327277
4.400000	-7.300000	7.329551
-0.100000	-7.300000	7.224424
-5.000000	-7.300000	7.116405
-2.600000	-7.300000	7.166797
4.800000	-7.300000	7.338288
4.600000	-7.300000	7.333945
4.300000	-7.300000	7.327216
-5.000000	-7.300000	7.116318
3.500000	-7.300000	7.309077
3.200000	-7.300000	7.302195
-5.000000	-7.300000	7.116303
5.000000	-7.300000	7.342663
-3.700000	-7.300000	7.142881
1.900000	-7.300000	7.271763
5.000000	-7.300000	7.342640
-5.000000	-7.300000	7.116324
5.000000	-7.300000	7.342660
-4.000000	-7.300000	7.136508
4.000000	-7.300000	7.320419
5.000000	-7.300000	7.342654
2.300000	-7.300000	7.281097
5.000000	-7.300000	7.342609
4.900000	-7.300000	7.340490
3.600000	-7.300000	7.311311
2.700000	-7.300000	7.290519
2.600000	-7.300000	7.288074
1.800000	-7.300000	7.269294
1.300000	-7.300000	7.257506
0.900000	-7.300000	7.247964
0.300000	-7.300000	7.233706
-0.400000	-7.300000	7.217171
-1.400000	-7.300000	7.193880
-1.800000	-7.300000	7.184646
-2.000000	-7.300000	7.180018
-2.400000	-7.300000	7.171063
-2.600000	-7.300000	7.166492
-2.900000	-7.300000	7.159946
-3.000000	-7.300000	7.157694
-2.900000	-7.300000	7.159843
-2.000000	-7.300000	7.180024
-1.900000	-7.300000	7.182288
-1.800000	-7.300000	7.184536
-1.200000	-7.300000	7.198330
-1.000000	-7.300000	7.202977
-0.800000	-7.300000	7.207688
-0.900000	-7.300000	7.205278
-1.500000	-7.300000	7.191386
-1.600000	-7.300000	7.189090
-1.700000	-7.300000	7.186774
-1.500000	-7.300000	7.191336
-0.600000	-7.300000	7.212258
-0.500000	-7.300000	7.214617
-0.400000	-7.300000	7.216921
-0.200000	-7.300000	7.221624
-0.400000	-7.300000	7.216870
-0.600000	-7.300000	7.212123
-1.300000	-7.300000	7.195829
-1.400000	-7.300000	7.193504
-1.500000	-7.300000	7.191188
-1.600000	-7.300000	7.188919
-1.800000	-7.300000	7.184374
-1.900000	-7.300000	7.182089
-1.100000	-7.300000	7.200407
-0.700000	-7.300000	7.209775
-2.700000	-7.300000	7.163972
-2.900000	-7.300000	7.159566
-3.400000	-7.300000	7.148581
-4.300000	-7.300000	7.129762
-4.900000	-7.300000	7.117712
-5.000000	-7.300000	7.115659
-3.200000	-7.300000	7.152951
-2.400000	-7.300000	7.170546
-3.800000	-7.300000	7.140056
-1.700000	-7.300000	7.186455
-1.300000	-7.300000	7.195678
-3.700000	-7.300000	7.142110
-0.200000	-7.300000	7.221332
-3.900000	-7.300000	7.137875
-1.900000	-7.300000	7.181814
-0.100000	-7.300000	7.223679
-4.000000	-7.300000	7.135759
-0.700000	-7.300000	7.209531
-4.800000	-7.300000	7.119421
-3.000000	-7.300000	7.157154
-3.300000	-7.300000	7.150571
-4.200000	-7.300000	7.131543
-3.600000	-7.300000	7.144100
-4.500000	-7.300000	7.125402
-4.800000	-7.300000	7.119375
-4.000000	-7.300000	7.135623
-4.300000	-7.300000	7.129396
-5.000000	-7.300000	7.115376
-4.600000	-7.300000	7.123280
-4.900000	-7.300000	7.117280
-5.000000	-7.300000	7.115370
-4.900000	-7.300000	7.117354
-4.800000	-7.300000	7.119286
-4.500000	-7.300000	7.125294
-3.900000	-7.300000	7.137708
-3.600000	-7.300000	7.143983
-3.100000	-7.300000	7.154797
-2.900000	-7.300000	7.159195
-2.700000	-7.300000	7.163604
-2.400000	-7.300000	7.170317
-2.300000	-7.300000	7.172531
-2.100000	-7.300000	7.177038
-2.000000	-7.300000	7.179275
-1.900000	-7.300000	7.181517
-1.800000	-7.300000	7.183807
-1.700000	-7.300000	7.186144
-1.500000	-7.300000	7.190791
-1.100000	-7.300000	7.199995
-0.800000	-7.300000	7.207008
-0.600000	-7.300000	7.211667
-0.300000	-7.300000	7.218769
-0.200000	-7.300000	7.221179
-0.100000	-7.300000	7.223466
0.100000	-7.300000	7.228195
0.200000	-7.300000	7.230496
0.400000	-7.300000	7.235237
0.500000	-7.300000	7.237649
0.700000	-7.300000	7.242428
0.900000	-7.300000	7.247121
1.000000	-7.300000	7.249488
1.100000	-7.300000	7.251904
1.200000	-7.300000	7.254294
1.500000	-7.300000	7.261392
1.700000	-7.300000	7.266175
1.800000	-7.300000	7.268473
2.000000	-7.300000	7.273218
2.100000	-7.300000	7.275579
2.200000	-7.300000	7.277930
2.300000	-7.300000	7.280252
2.400000	-7.300000	7.282605
2.600000	-7.300000	7.287382
2.700000	-7.300000	7.289632
2.800000	-7.300000	7.292029
3.000000	-7.300000	7.296671
3.100000	-7.300000	7.298984
3.200000	-7.300000	7.301259
3.300000	-7.300000	7.303636
3.500000	-7.300000	7.308231
3.600000	-7.300000	7.310516
3.700000	-7.300000	7.312885
3.900000	-7.300000	7.317408
4.000000	-7.300000	7.319661
4.100000	-7.300000	7.321933
4.200000	-7.300000	7.324086
4.300000	-7.300000	7.326434
4.400000	-7.300000	7.328678
4.500000	-7.300000	7.330865
4.600000	-7.300000	7.333070
4.800000	-7.300000	7.337557
4.900000	-7.300000	7.339744
5.000000	-7.300000	7.341850
4.900000	-7.300000	7.339750
4.400000	-7.300000	7.328664
4.300000	-7.300000	7.326387
4.200000	-7.300000	7.324131
3.700000	-7.300000	7.312784
3.500000	-7.300000	7.308213
3.200000	-7.300000	7.301258
3.100000	-7.300000	7.298918
2.900000	-7.300000	7.294291
2.700000	-7.300000	7.289588
2.500000	-7.300000	7.284919
2.100000	-7.300000	7.275453
2.000000	-7.300000	7.273054
1.800000	-7.300000	7.268326
1.700000	-7.300000	7.265982
1.600000	-7.300000	7.263606
1.400000	-7.300000	7.258788
1.100000	-7.300000	7.251634
1.000000	-7.300000	7.249300
0.900000	-7.300000	7.246880
0.800000	-7.300000	7.244451
0.500000	-7.300000	7.237381
0.200000	-7.300000	7.230282
0.100000	-7.300000	7.227840
-0.200000	-7.300000	7.220746
-0.500000	-7.300000	7.213660
-0.800000	-7.300000	7.206583
-1.100000	-7.300000	7.199587
-1.400000	-7.300000	7.192641
-1.700000	-7.300000	7.185679
-2.200000	-7.300000	7.174307
-2.400000	-7.300000	7.169737
-2.600000	-7.300000	7.165210
-2.800000	-7.300000	7.160741
-2.900000	-7.300000	7.158596
-3.200000	-7.300000	7.152013
-3.400000	-7.300000	7.147747
-3.700000	-7.300000	7.141329
-4.000000	-7.300000	7.135036
-4.200000	-7.300000	7.130934
-4.300000	-7.300000	7.128890
-4.500000	-7.300000	7.124832
-4.600000	-7.300000	7.122842
-4.800000	-7.300000	7.118886
-5.000000	-7.300000	7.114976
-4.900000	-7.300000	7.117712
-4.800000	-7.300000	7.119653
-4.600000	-7.300000	7.123667
-4.400000	-7.300000	7.127834
-4.300000	-7.300000	7.129819
-4.200000	-7.300000	7.131887
-4.000000	-7.300000	7.135993
-3.800000	-7.300000	7.140216
-3.700000	-7.300000	7.142374
-3.500000	-7.300000	7.146518
-3.400000	-7.300000	7.148736
-3.500000	-7.300000	7.146645
-4.000000	-7.300000	7.136015
-4.100000	-7.300000	7.133991
-4.000000	-7.300000	7.136032
-3.600000	-7.300000	7.144489
-3.500000	-7.300000	7.146608
-3.400000	-7.300000	7.148838
-3.300000	-7.300000	7.150922
-3.200000	-7.300000	7.153093
-3.100000	-7.300000	7.155307
-3.000000	-7.300000	7.157488
-2.900000	-7.300000	7.159671
-2.700000	-7.300000	7.164046
-2.600000	-7.300000	7.166204
-2.500000	-7.300000	7.168471
-2.400000	-7.300000	7.170738
-2.300000	-7.300000	7.172950
-2.200000	-7.300000	7.175226
-2.100000	-7.300000	7.177415
-2.000000	-7.300000	7.179673
-1.800000	-7.300000	7.184271
-1.700000	-7.300000	7.186591
-1.600000	-7.300000	7.188790
-1.400000	-7.300000	7.193399
-1.200000	-7.300000	7.198039
-1.000000	-7.300000	7.202692
-0.800000	-7.300000	7.207340
-0.700000	-7.300000	7.209747
-0.500000	-7.300000	7.214406
-0.400000	-7.300000	7.216749
-0.200000	-7.300000	7.221465
0.000000	-7.300000	7.226253
-5.000000	-7.300000	7.115632
5.000000	-7.300000	7.342289
-2.700000	-7.300000	7.163880
-5.000000	-7.300000	7.115586
5.000000	-7.300000	7.342243
2.400000	-7.300000	7.283032
-1.300000	-7.300000	7.195689
5.000000	-7.300000	7.342190
4.900000	-7.300000	7.340352
4.800000	-7.300000	7.338234
4.600000	-7.300000	7.333813
4.400000	-7.300000	7.329324
4.300000	-7.300000	7.327195
4.200000	-7.300000	7.324934
4.100000	-7.300000	7.322624
4.000000	-7.300000	7.320361
3.900000	-7.300000	7.318093
3.700000	-7.300000	7.313598
3.600000	-7.300000	7.311329
3.400000	-7.300000	7.306763
2.900000	-7.300000	7.295154
2.600000	-7.300000	7.288187
2.000000	-7.300000	7.274041
1.500000	-7.300000	7.262289
1.200000	-7.300000	7.255123
0.500000	-7.300000	7.238551
-0.300000	-7.300000	7.219601
-0.700000	-7.300000	7.210229
-1.300000	-7.300000	7.196225
-1.800000	-7.300000	7.184702
-2.300000	-7.300000	7.173416
-2.900000	-7.300000	7.160018
-3.300000	-7.300000	7.151250
-3.500000	-7.300000	7.146997
-3.900000	-7.300000	7.138456
-4.300000	-7.300000	7.130218
-4.600000	-7.300000	7.124107
-4.800000	-7.300000	7.120121
-5.000000	-7.300000	7.116202
-4.900000	-7.300000	7.118367
-4.600000	-7.300000	7.124269
-4.500000	-7.300000	7.126382
-4.000000	-7.300000	7.136653
-3.600000	-7.300000	7.145057
-3.200000	-7.300000	7.153615
-2.900000	-7.300000	7.160186
-2.700000	-7.300000	7.164631
-2.400000	-7.300000	7.171348
-2.100000	-7.300000	7.178110
-1.800000	-7.300000	7.184903
-1.700000	-7.300000	7.187224
-1.500000	-7.300000	7.191758
-1.100000	-7.300000	7.201077
-0.800000	-7.300000	7.208006
-0.500000	-7.300000	7.215119
-0.400000	-7.300000	7.217453
-0.200000	-7.300000	7.222142
-0.100000	-7.300000	7.224556
0.000000	-7.300000	7.226888
0.100000	-7.300000	7.229268
0.200000	-7.300000	7.231619
0.400000	-7.300000	7.236288
0.500000	-7.300000	7.238650
0.600000	-7.300000	7.241031
0.700000	-7.300000	7.243382
0.800000	-7.300000	7.245787
1.200000	-7.300000	7.255262
1.700000	-7.300000	7.267057
2.100000	-7.300000	7.276496
2.300000	-7.300000	7.281119
2.700000	-7.300000	7.290542
3.300000	-7.300000	7.304508
3.800000	-7.300000	7.316021
4.000000	-7.300000	7.320477
4.300000	-7.300000	7.327259
4.000000	-7.300000	7.320652
3.800000	-7.300000	7.316123
3.000000	-7.300000	7.297677
1.800000	-7.300000	7.269626
1.000000	-7.300000	7.250721
0.000000	-7.300000	7.227036
-0.700000	-7.300000	7.210642
-1.000000	-7.300000	7.203748
-1.600000	-7.300000	7.189948
-1.800000	-7.300000	7.185383
-2.400000	-7.300000	7.171878
-2.900000	-7.300000	7.160757
-3.500000	-7.300000	7.147737
-4.500000	-7.300000	7.126965
-4.800000	-7.300000	7.120956
-5.000000	-7.300000	7.117030
