# Zeit (s)	# Kanal 1 (V)	# Kanal 2 (V)	# Kanal 3 (V)	# D0-D7	
-2.5	-7.65625	-0.5025	0.0343749	0
-2.495	-7.65625	-0.5025	0.0343749	0
-2.49	-7.8125	-0.49625	0.0499999	0
-2.485	-7.65625	-0.5025	0.0343749	0
-2.48	-7.5	-0.5025	0.0343749	0
-2.475	-7.65625	-0.5025	0.0343749	0
-2.47	-7.5	-0.5025	0.0343749	0
-2.465	-7.8125	-0.5025	0.0343749	0
-2.46	-7.65625	-0.49	0.0343749	0
-2.455	-7.65625	-0.49	0.0343749	0
-2.45	-7.65625	-0.49	0.0343749	0
-2.445	-7.65625	-0.48375	0.0343749	0
-2.44	-7.65625	-0.48375	0.0499999	0
-2.435	-7.65625	-0.47125	0.0343749	0
-2.43	-7.65625	-0.465	0.0343749	0
-2.425	-7.65625	-0.465	0.0499999	0
-2.42	-7.5	-0.45875	0.0343749	0
-2.415	-7.65625	-0.4525	0.0343749	0
-2.41	-7.65625	-0.44	0.0343749	0
-2.405	-7.65625	-0.43375	0.0499999	0
-2.4	-7.65625	-0.4275	0.0343749	0
-2.395	-7.65625	-0.415	0.0343749	0
-2.39	-7.65625	-0.40875	0.0499999	0
-2.385	-7.65625	-0.39625	0.0343749	0
-2.38	-7.65625	-0.39	0.0343749	0
-2.375	-7.65625	-0.3775	0.0499999	0
-2.37	-7.65625	-0.37125	0.0343749	0
-2.365	-7.65625	-0.35875	0.0343749	0
-2.36	-7.65625	-0.34625	0.0343749	0
-2.355	-7.5	-0.33375	0.0499999	0
-2.35	-7.5	-0.32125	0.0656249	0
-2.345	-7.65625	-0.30875	0.0499999	0
-2.34	-7.65625	-0.29625	0.0343749	0
-2.335	-7.65625	-0.28375	0.0343749	0
-2.33	-7.5	-0.27125	0.0499999	0
-2.325	-7.65625	-0.2525	0.0499999	0
-2.32	-7.5	-0.24	0.0499999	0
-2.315	-7.65625	-0.23375	0.0343749	0
-2.31	-7.5	-0.215	0.0343749	0
-2.305	-7.5	-0.2025	0.0343749	0
-2.3	-7.65625	-0.18375	0.0499999	0
-2.295	-7.65625	-0.17125	0.0499999	0
-2.29	-7.65625	-0.1525	0.0343749	0
-2.285	-7.65625	-0.13375	0.0343749	0
-2.28	-7.65625	-0.1275	0.0343749	0
-2.275	-7.65625	-0.10875	0.0343749	0
-2.27	-7.5	-0.09625	0.0343749	0
-2.265	-7.65625	-0.0775	0.0499999	0
-2.26	-7.65625	-0.05875	0.0499999	0
-2.255	-7.65625	-0.04625	0.0343749	0
-2.25	-7.65625	-0.02125	0.0343749	0
-2.245	-7.65625	-0.015	0.0343749	0
-2.24	-7.5	0.00375	0.0343749	0
-2.235	-7.5	0.01	0.0343749	0
-2.23	-7.5	0.02875	0.0343749	0
-2.225	7.8125	0.0475	0.0343749	0
-2.22	7.96875	0.06625	0.0343749	0
-2.215	7.8125	0.07875	0.0343749	0
-2.21	7.8125	0.0975	0.0499999	0
-2.205	7.8125	0.11	0.0499999	0
-2.2	7.8125	0.1225	0.0499999	0
-2.195	7.8125	0.14125	0.0187499	0
-2.19	7.65625	0.15375	0.0343749	0
-2.185	7.65625	0.1725	0.0343749	0
-2.18	7.8125	0.185	0.0343749	0
-2.175	7.8125	0.20375	0.0343749	0
-2.17	7.8125	0.2225	0.0343749	0
-2.165	7.8125	0.235	0.0187499	0
-2.16	7.96875	0.24125	0.0187499	0
-2.155	7.8125	0.26	0.0343749	0
-2.15	7.8125	0.2725	0.0343749	0
-2.145	7.8125	0.29125	0.0499999	0
-2.14	7.8125	0.2975	0.0343749	0
-2.135	7.8125	0.31	0.0499999	0
-2.13	7.8125	0.3225	0.0343749	0
-2.125	7.65625	0.335	0.0499999	0
-2.12	7.8125	0.3475	0.0499999	0
-2.115	7.65625	0.36	0.0343749	0
-2.11	7.8125	0.36625	0.0343749	0
-2.105	7.65625	0.37875	0.0187499	0
-2.1	7.8125	0.39125	0.0343749	0
-2.095	7.8125	0.3975	0.0343749	0
-2.09	7.65625	0.41	0.0343749	0
-2.085	7.8125	0.41625	0.0187499	0
-2.08	7.8125	0.42875	0.0343749	0
-2.075	7.8125	0.435	0.0343749	0
-2.07	7.8125	0.44125	0.0343749	0
-2.065	7.8125	0.45375	0.0343749	0
-2.06	7.65625	0.45375	0.0343749	0
