# AI0: U_in (V)	# AI1: U_out (V)	
-2.81546	-7.63475
-2.79956	-7.63377
-2.78561	-7.63377
-2.76679	-7.63377
-2.72428	-7.63442
-2.56075	-7.63442
-2.45692	-7.63345
-2.36056	-7.63442
-2.25705	-7.6341
-2.17204	-7.6341
-2.08054	-7.63377
-1.87808	-7.63377
-1.76841	-7.63442
-1.67951	-7.6341
-1.62727	-7.6341
-1.59644	-7.63377
-1.58054	-7.63475
-1.56822	-7.63442
-1.5786	-7.6341
-1.59093	-7.63442
-1.60585	-7.6341
-1.63538	-7.6341
-1.71455	-7.63377
-1.83233	-7.63442
-1.94784	-7.63377
-2.07438	-7.6341
-2.20903	-7.63377
-2.3492	-7.6341
-2.48677	-7.6341
-2.60488	-7.63442
-2.69833	-7.63377
-2.77263	-7.63442
-2.84758	-7.63377
-2.92026	-7.6341
-2.99359	-7.63377
-3.07795	-7.6341
-3.18048	-7.6341
-3.29339	-7.6341
-3.41247	-7.63377
-3.55167	-7.63377
-3.69151	-7.63442
-3.82065	-7.63442
-3.96212	-7.6341
-4.11786	-7.6341
-4.26776	-7.63377
-4.40436	-7.6341
-4.50268	-7.6341
-4.59645	-7.63442
-4.74083	-7.6341
-4.76582	-7.63377
-4.79275	-7.63442
-4.8054	-7.6341
-4.81546	-7.63377
-4.72429	-7.63313
-4.57146	-7.6341
-4.48223	-7.63345
-4.40209	-7.63377
-4.33201	-7.63313
-4.23629	-7.63377
-4.17561	-7.63313
-4.09482	-7.6341
-4.04453	-7.63313
-3.99586	-7.63377
-3.93356	-7.63345
-3.8479	-7.63345
-3.72169	-7.63313
-3.57925	-7.63442
-3.42221	-7.63313
-3.25803	-7.63345
-3.09352	-7.63345
-2.95465	-7.63377
-2.84466	-7.63313
-2.79177	-7.6341
-2.76938	-7.6328
-2.75738	-7.63377
-2.74602	-7.6341
-2.73142	-7.63248
-2.71877	-7.63377
-2.68924	-7.63345
-2.6701	-7.63313
-2.65128	-7.63377
-2.62824	-7.63345
-2.6052	-7.63377
-2.56627	-7.63313
-2.49716	-7.63345
-2.39982	-7.63313
-2.26744	-7.63377
-2.14317	-7.63313
-1.99813	-7.63377
-1.87743	-7.63345
-1.74115	-7.63345
-1.64576	-7.63313
-1.57568	-7.63377
-1.52766	-7.6328
-1.48288	-7.63345
-1.43226	-7.63345
-1.3677	-7.6341
-1.30215	-7.63313
-1.23012	-7.63377
-1.14511	-7.6328
-1.05005	-7.6341
-0.972498	-7.6328
-0.885217	-7.63021
-0.774251	-7.62015
-0.678534	-7.61885
-0.597742	-7.61528
-0.524738	-7.61139
-0.458222	-7.60652
-0.409228	-7.60327
-0.358287	-7.59808
-0.31416	-7.59354
-0.274576	-7.58835
-0.203518	-7.57862
-0.132136	-7.56304
-0.0558866	-7.53643
0.00316589	8.41947
0.0777927	8.4198
0.156962	8.41915
0.322439	8.4172
0.414262	8.41493
0.493756	8.41493
0.578117	8.41331
0.641387	8.41363
0.699791	8.41298
0.740349	8.41331
0.780582	8.41266
0.801997	8.41331
0.822438	8.41266
0.838662	8.41331
0.855209	8.41266
0.865592	8.41396
0.88798	8.41396
0.905501	8.41298
0.926591	8.41396
0.955469	8.41331
0.982399	8.41331
1.01549	8.41396
1.04697	8.41461
1.06806	8.41428
1.07974	8.41461
1.09045	8.41493
1.10407	8.41525
1.14041	8.41525
1.1813	8.41493
1.21439	8.41525
1.24554	8.41525
1.26858	8.41558
1.30167	8.41558
1.3591	8.41655
1.46845	8.41785
1.57292	8.41882
1.71504	8.42337
1.82341	8.42337
1.92821	8.42726
2.08655	8.43083
2.25235	8.44154
2.43081	8.44575
2.54891	8.45581
2.62419	8.45646
2.6774	8.4662
2.71893	8.46165
2.77117	8.47139
2.80881	8.46847
2.84807	8.47496
2.87954	8.47301
2.91459	8.47982
2.95093	8.47755
3.00187	8.48599
3.10342	8.48858
3.2556	8.50643
3.43665	8.51389
3.619	8.53271
3.84385	8.54991
4.08623	8.57943
4.39707	8.63395
4.39674	8.6745
4.39739	8.70533
4.39739	8.72966
4.39771	8.75238
4.39707	8.7699
4.39771	8.78482
4.39739	8.80234
4.39804	8.81305
4.39771	8.82538
4.39739	8.81208
3.94768	8.76211
3.76338	8.6917
3.59499	8.6187
3.39739	8.53401
3.22899	8.50124
3.03366	8.48729
2.85521	8.47333
2.70336	8.46457
2.54307	8.45419
2.3617	8.44478
2.15177	8.4344
1.95287	8.42726
1.76014	8.42272
1.558	8.41882
1.35456	8.41655
1.16085	8.41428
0.989862	8.41493
0.856832	8.41363
0.780907	8.41428
0.752678	8.41396
0.740673	8.41396
0.728993	8.41428
0.706929	8.41396
0.687461	8.41461
0.64885	8.41396
0.614781	8.41428
0.593367	8.41428
0.578766	8.41461
0.561245	8.41461
0.550213	8.41461
0.539505	8.41461
0.526851	8.41493
0.541128	8.41558
0.527825	8.41525
0.514197	8.41461
0.504139	8.41461
0.514846	8.41396
0.528798	8.41396
0.540154	8.41558
0.553457	8.41396
0.565463	8.41493
0.59726	8.41525
0.692328	8.41298
0.783178	8.41428
0.906799	8.41363
1.05021	8.41525
1.21731	8.41493
1.44281	8.41785
1.65209	8.42045
1.86948	8.42531
2.08168	8.43245
2.26111	8.43829
2.44768	8.44997
2.64041	8.45873
2.84385	8.47528
3.05378	8.48566
3.31238	8.50773
3.61997	8.52914
3.95417	8.56451
4.39642	8.62389
4.39707	8.67061
4.39707	8.69397
4.39739	8.72869
4.39739	8.74491
4.39771	8.77087
4.39739	8.78125
4.39804	8.7991
4.39771	8.81013
4.05995	8.79164
3.4373	8.68489
2.58623	8.50643
1.44833	8.41785
0.32471	8.4172
-0.65647	-7.6195
-1.55297	-7.6354
-2.45271	-7.63475
-3.15907	-7.63507
-3.69541	-7.6354
-4.08639	-7.63475
-4.34888	-7.63475
-4.52052	-7.63507
-4.61072	-7.63475
-4.66556	-7.63507
-4.7152	-7.63475
-4.75381	-7.6354
-4.79113	-7.63507
-4.80897	-7.63507
-4.82227	-7.63475
-4.84693	-7.63507
-4.9553	-7.63475
-5.07828	-7.63475
-5.21942	-7.63475
-5.35537	-7.63507
-5.5043	-7.63475
-5.69801	-7.63507
-5.89171	-7.63442
-6.06238	-7.63475
-6.19055	-7.63507
-6.26258	-7.63507
-6.31092	-7.63442
-6.34856	-7.63507
-6.38231	-7.63475
-6.44006	-7.63507
-6.57212	-7.63475
-6.72916	-7.6354
-6.87225	-7.63475
-6.98387	-7.63507
-7.06758	-7.63442
-7.11593	-7.63507
-7.15454	-7.63475
-7.18633	-7.63475
-7.20515	-7.63442
-7.21716	-7.63475
-7.23436	-7.6354
-7.24831	-7.63475
-7.25934	-7.63507
-7.2694	-7.63475
-7.25642	-7.63507
-7.24571	-7.63507
-7.21035	-7.63442
-7.12566	-7.63507
-7.05395	-7.63442
-6.97089	-7.63442
-6.91216	-7.6341
-6.83461	-7.63475
-6.75577	-7.6341
-6.69087	-7.63442
-6.63928	-7.63377
-6.57958	-7.63442
-6.51015	-7.63442
-6.41735	-7.6341
-6.29502	-7.63475
-6.10229	-7.63475
-5.86446	-7.6341
-5.62403	-7.63475
-5.34629	-7.63442
-5.03772	-7.63475
-4.78821	-7.6341
-4.53026	-7.6341
-4.33298	-7.6341
-4.17237	-7.63475
-3.99326	-7.63442
-3.86153	-7.63442
-3.66069	-7.6341
-3.49489	-7.6341
-3.32097	-7.63377
-3.03123	-7.63442
-2.6516	-7.63377
-2.12467	-7.63442
-1.61169	-7.63377
-0.904361	-7.63248
0.0333411	8.42077
0.871757	8.41233
1.67383	8.42045
2.35813	8.44348
2.76566	8.46587
3.01614	8.48437
3.22315	8.49702
3.38376	8.51227
3.55151	8.522
3.72737	8.54147
3.89706	8.55445
4.03139	8.57911
4.39674	8.62681
4.39642	8.66931
4.39674	8.69462
4.39642	8.72707
4.39707	8.74167
4.39707	8.76276
4.39739	8.78839
4.39739	8.80526
4.39739	8.81532
3.89479	8.77282
3.28675	8.65406
2.43308	8.46198
0.889602	8.41396
-0.577301	-7.61625
-1.93356	-7.63572
-3.2285	-7.63507
-4.24473	-7.63507
-5.21585	-7.63507
-6.03772	-7.6354
-6.66362	-7.6354
-7.03773	-7.6354
-7.29406	-7.63507
-7.44623	-7.63572
-7.52118	-7.6354
-7.57505	-7.63572
-7.62242	-7.6354
-7.6818	-7.63507
-7.7243	-7.63507
-7.76843	-7.63572
-7.81872	-7.63507
-7.88037	-7.6354
-7.93813	-7.63475
-8.00659	-7.63475
-8.07083	-7.63507
-8.12924	-7.63475
-8.19608	-7.63507
-8.26941	-7.63507
-8.33268	-7.63475
-8.38978	-7.6354
-8.4417	-7.63475
-8.46441	-7.63475
-8.47869	-7.63507
-8.49264	-7.63507
-8.52054	-7.63507
-8.56694	-7.63442
-8.6062	-7.63475
-8.63281	-7.63507
-8.64839	-7.63475
-8.65974	-7.63507
-8.67207	-7.63507
-8.68375	-7.63475
-8.69414	-7.63442
-8.68408	-7.63442
-8.6698	-7.63475
-8.51665	-7.63475
-8.34501	-7.63475
-8.15876	-7.6341
-7.94267	-7.63442
-7.71846	-7.63507
-7.39464	-7.63442
-7.0546	-7.63475
-6.71391	-7.63442
-6.4008	-7.63507
-6.10262	-7.6341
-5.78853	-7.6341
-5.52474	-7.63442
-5.23435	-7.63475
-4.93519	-7.63442
-4.65128	-7.6341
-4.30475	-7.63442
-3.94784	-7.63475
-3.5335	-7.63442
-3.05361	-7.63442
-2.50722	-7.6341
-1.89657	-7.63442
-1.36283	-7.6341
-0.918637	-7.6328
-0.558482	-7.61431
-0.251539	-7.5864
0.0667609	8.42045
0.307838	8.4172
0.501868	8.41525
0.659557	8.41331
0.800375	8.41396
0.991809	8.41363
1.15437	8.41493
1.33834	8.41558
1.53464	8.4185
1.74067	8.42109
1.93827	8.42726
2.13198	8.43278
2.2715	8.43926
2.44022	8.44803
2.6203	8.45776
2.72607	8.4649
2.83477	8.47106
2.9691	8.48047
3.11121	8.49053
3.24229	8.50124
3.33412	8.50773
3.42529	8.51584
3.54048	8.52363
3.60505	8.53304
3.65793	8.53466
3.70206	8.5418
3.73191	8.54309
3.76695	8.54829
3.81984	8.55153
3.87403	8.56029
3.93243	8.56775
4.02101	8.58171
4.39642	8.63232
4.39771	8.67061
4.39642	8.69851
4.39707	8.72837
4.39674	8.74881
4.39707	8.76892
4.39739	8.78028
4.39707	8.79326
4.39707	8.80786
3.63425	8.754
2.99797	8.59598
2.3325	8.44478
1.65242	8.42045
0.966825	8.41396
0.213094	8.4198
