# AI0: U_in (V)	# AI1: U_out (V)	
10.6116	8.88086
10.6116	8.8442
10.6116	8.80072
10.6116	8.75205
10.6116	8.69462
10.6116	8.63395
10.6116	8.5843
10.6116	8.5564
10.6116	8.54601
10.6116	8.50091
10.6116	8.52622
10.6116	8.5061
10.6116	8.49345
10.6116	8.48339
10.6116	8.47333
10.6116	8.46295
10.6116	8.47723
10.6116	8.48923
10.6116	8.50318
10.6116	8.51876
10.6116	8.53563
10.6116	8.54926
10.6116	8.56256
10.6116	8.57327
10.6116	8.59047
10.6116	8.63102
10.6116	8.65082
10.6116	8.71474
10.6116	8.77184
10.6116	8.83739
10.6116	8.87243
10.6116	8.90552
10.6116	8.87243
10.6116	8.83706
10.6116	8.78158
10.6116	8.73291
10.6116	8.65828
10.6116	8.59436
10.6116	8.53855
10.6116	8.51811
10.6116	8.50091
10.6116	8.48923
10.6116	8.47074
10.6116	8.45808
10.6116	8.44738
10.6116	8.46263
10.6116	8.47528
10.6116	8.49734
10.6116	8.52363
10.6116	8.54634
10.6116	8.55932
10.6116	8.57002
10.6116	8.58203
10.6116	8.61999
10.6116	8.63849
10.6116	8.68359
10.6116	8.74524
10.6116	8.81565
10.6116	8.85783
10.6116	8.90001
10.6116	8.91201
10.6116	8.90098
10.6116	8.87081
10.6116	8.82992
10.6116	8.76406
10.6116	8.70079
10.6116	8.60766
10.6116	8.53498
10.6116	8.50513
10.6116	8.48307
10.6116	8.46555
10.6116	8.45289
10.6116	8.44056
10.6116	8.42985
10.6116	8.41915
10.5363	8.4185
10.4558	8.42012
10.3533	8.41882
10.2686	8.4198
10.1875	8.41882
10.1258	8.4198
10.0311	8.42012
10.0003	8.41882
9.97108	8.42012
9.94739	8.4185
9.925	8.42012
9.89126	8.41915
9.86043	8.42045
9.8189	8.41882
9.77672	8.42012
9.74265	8.41882
9.71572	8.42012
9.69788	8.41915
9.67873	8.42012
9.66121	8.41915
9.64564	8.42012
9.62617	8.4185
9.60151	8.42012
9.56419	8.41882
9.52558	8.42045
9.49281	8.41915
9.45647	8.42012
9.43084	8.41915
9.4104	8.42012
9.39515	8.41915
9.38055	8.42077
9.35913	8.41915
9.33707	8.42045
9.30397	8.41947
9.26633	8.42045
9.22091	8.41915
9.1784	8.42045
9.15601	8.41915
9.14304	8.42077
9.13071	8.42045
9.11254	8.41882
9.08917	8.42045
9.0603	8.41947
9.0246	8.42045
8.98599	8.41947
8.94835	8.42077
8.91721	8.41947
8.90098	8.42012
8.89092	8.41915
8.87892	8.42045
8.86821	8.42077
8.85296	8.41947
8.80462	8.42012
8.75984	8.41915
8.71766	8.42045
8.68878	8.41947
8.66899	8.42012
8.65698	8.42045
8.63719	8.42045
8.59955	8.42012
8.53433	8.42077
8.44997	8.41947
8.36723	8.42045
8.26892	8.42012
8.19624	8.42077
8.13524	8.42012
8.10312	8.42109
8.09079	8.42045
8.07975	8.42077
8.05931	8.42012
8.00415	8.42077
7.92141	8.42045
7.86139	8.42174
7.80493	8.42045
7.75075	8.42109
7.71084	8.42012
7.69331	8.42077
7.68098	8.42045
7.66379	8.42109
7.61285	8.42045
7.53205	8.42142
7.47008	8.42077
7.41362	8.42142
7.34743	8.42077
7.26242	8.42142
7.18682	8.42109
7.11057	8.42174
7.0619	8.42077
7.04211	8.42142
7.02751	8.42109
7.01291	8.42174
6.9691	8.42109
6.90519	8.42207
6.85392	8.42109
6.81498	8.42174
6.77021	8.42142
6.74393	8.42174
6.73354	8.42142
6.75009	8.42174
6.76372	8.42207
6.77443	8.42142
6.81271	8.42174
6.95061	8.42142
7.10279	8.42174
7.26145	8.42109
7.4425	8.42142
7.59468	8.42077
7.75107	8.42109
7.88443	8.42045
8.00902	8.42109
8.13913	8.42077
8.23907	8.42045
8.34809	8.42045
8.45159	8.42045
8.55899	8.42012
8.66315	8.42045
8.78677	8.42012
8.92954	8.42012
9.08755	8.41947
9.2712	8.42012
9.4396	8.4198
9.62779	8.4198
9.78289	8.41947
9.90683	8.41947
9.9873	8.4198
10.0645	8.41947
10.1392	8.4198
10.2073	8.4198
10.2878	8.41882
10.3832	8.41947
10.4935	8.41915
10.5928	8.41947
10.6116	8.41947
10.6116	8.43115
10.6116	8.42045
10.5217	8.41915
10.4493	8.41882
10.3679	8.41915
10.2712	8.41947
10.1677	8.4198
10.0814	8.41915
9.98211	8.4198
9.91787	8.41947
9.84356	8.41947
9.73681	8.4198
9.62649	8.41947
9.48924	8.41947
9.35297	8.4198
9.26633	8.41915
9.13557	8.42012
9.04602	8.42012
8.93797	8.42012
8.84258	8.42012
8.76016	8.42012
8.6943	8.42012
8.62097	8.42045
8.56418	8.42012
8.51324	8.42012
8.46912	8.4198
8.42531	8.42045
8.36399	8.42045
8.29131	8.42045
8.21895	8.42012
8.17028	8.42045
8.1161	8.42012
8.05412	8.42077
7.98371	8.42045
7.92077	8.42045
7.87274	8.42045
7.83024	8.42109
7.79779	8.42077
7.76956	8.42109
7.75237	8.42045
7.74231	8.42109
7.7316	8.42077
7.74718	8.42012
7.75788	8.42109
7.77476	8.42109
7.87923	8.42077
8.0671	8.42012
8.27119	8.42045
8.51714	8.42012
8.7527	8.42045
9.03985	8.4198
9.31273	8.41947
9.61643	8.41915
9.86238	8.41947
10.0379	8.41947
10.1927	8.41947
10.3514	8.41915
10.4983	8.41947
10.6116	8.41947
10.6116	8.43278
10.6116	8.44381
10.6116	8.45679
10.6116	8.48242
10.6116	8.49313
10.6116	8.5061
10.6116	8.52071
10.6116	8.5379
10.6116	8.54893
10.6116	8.56678
10.6116	8.59209
10.6116	8.61805
10.6116	8.6333
10.6116	8.64757
10.6116	8.66152
10.6116	8.70079
10.6116	8.76568
10.6116	8.82895
10.6116	8.86983
10.6116	8.90488
10.6116	8.87957
10.6116	8.84615
10.6116	8.80202
10.6116	8.76308
10.6116	8.705
10.6116	8.65179
10.6116	8.58333
10.6116	8.5418
10.6116	8.52395
10.6116	8.51162
10.6116	8.48858
10.6116	8.46879
10.6116	8.45776
10.6116	8.44218
10.6116	8.43213
10.6116	8.42142
10.4883	8.41947
10.3637	8.41947
10.2595	8.41882
10.1781	8.4198
10.1372	8.41947
10.1116	8.41947
