# AI0: U_in (V)	# AI1: U_out (V)	
-0.466983	-7.60684
-0.602285	-7.61528
-0.774575	-7.62015
-0.934536	-7.63215
-1.23986	-7.63313
-1.34985	-7.63248
-1.46633	-7.6328
-1.55459	-7.6328
-1.63343	-7.63248
-1.69735	-7.6328
-1.80572	-7.6328
-1.90923	-7.63248
-2.06497	-7.63248
-2.27814	-7.6328
-2.51792	-7.63313
-2.70125	-7.63248
-2.87419	-7.63248
-3.00916	-7.6328
-3.13668	-7.63215
-3.32941	-7.63248
-3.37646	-7.63313
-3.39333	-7.63215
-3.40404	-7.6328
-3.41604	-7.63248
-3.4433	-7.6328
-3.47769	-7.63248
-3.51143	-7.6328
-3.5348	-7.6328
-3.54648	-7.63248
-3.52733	-7.6328
-3.50462	-7.63313
-3.48288	-7.63215
-3.46471	-7.6328
-3.44297	-7.63215
-3.40404	-7.6328
-3.34563	-7.63248
-3.23012	-7.6328
-3.1224	-7.6328
-3.02506	-7.63313
-2.92805	-7.63215
-2.81481	-7.63313
-2.67399	-7.63183
-2.5614	-7.63248
-2.50527	-7.63215
-2.45076	-7.63313
-2.41247	-7.63215
-2.36186	-7.63313
-2.26614	-7.63248
-2.14901	-7.63248
-2.06659	-7.6328
-1.98807	-7.63313
-1.89852	-7.63248
-1.79664	-7.6328
-1.68502	-7.63215
-1.59255	-7.63313
-1.5322	-7.63248
-1.46244	-7.63313
-1.38262	-7.63248
-1.28171	-7.63313
-1.15712	-7.6328
-1.04615	-7.63345
-0.943946	-7.63183
-0.854069	-7.62404
-0.769384	-7.6195
-0.656146	-7.61723
-0.464387	-7.60652
-0.242129	-7.58381
-0.0383655	-7.52378
0.132952	8.41882
0.308162	8.41753
0.483373	8.41363
0.712769	8.41331
1.1761	8.41331
1.37273	8.41201
1.58039	8.41331
1.73483	8.41168
1.84547	8.41331
1.90875	8.41168
1.95904	8.41298
1.9983	8.41201
2.03139	8.41331
2.0593	8.41168
2.0885	8.41331
2.11705	8.41233
2.1482	8.41331
2.16994	8.41233
2.20855	8.41331
2.27182	8.41201
2.35164	8.41298
2.43989	8.41201
2.55054	8.41363
2.65826	8.41233
2.82958	8.41363
2.95871	8.41233
3.07422	8.41363
3.1813	8.41201
3.28707	8.41363
3.41588	8.41201
3.52393	8.41363
3.64041	8.41201
3.76533	8.41331
3.89771	8.41233
4.06027	8.41331
4.20855	8.41233
4.3617	8.41396
4.49343	8.41233
4.65177	8.41363
4.80265	8.41201
4.94833	8.41363
5.12938	8.41266
5.33153	8.41331
5.50544	8.41233
5.61349	8.41331
5.69266	8.41266
5.74165	8.41363
5.76793	8.41233
5.77831	8.41363
5.7556	8.41266
5.74133	8.41363
5.70304	8.41266
5.52134	8.41363
5.22672	8.41233
4.90031	8.41396
4.63652	8.41266
4.35424	8.41363
4.05086	8.41233
3.82601	8.41363
3.64204	8.41233
3.4996	8.41363
3.33022	8.41266
3.12614	8.41363
2.90258	8.41233
2.6323	8.41331
2.39934	8.41233
2.12062	8.41331
1.88376	8.41233
1.62322	8.41396
1.36721	8.41233
1.22705	8.41396
1.10797	8.41266
1.00706	8.41396
0.918155	8.41266
0.828603	8.41363
0.729317	8.41298
0.6336	8.41461
0.57033	8.41396
0.50933	8.41558
0.43957	8.41525
0.364295	8.4172
0.296482	8.41753
0.155989	8.42045
-0.0172754	-7.50399
-0.145114	-7.56661
-0.25965	-7.58738
-0.387814	-7.601
-0.535769	-7.61236
-0.651279	-7.61723
-0.752512	-7.61982
-0.823245	-7.62145
-0.894627	-7.63085
-0.960493	-7.6328
-1.00754	-7.63345
-1.05783	-7.63313
-1.09807	-7.63345
-1.13603	-7.63345
-1.17886	-7.63345
-1.23888	-7.63313
-1.30313	-7.63313
-1.38165	-7.63345
-1.49034	-7.63377
-1.66426	-7.63313
-1.79047	-7.63345
-1.93454	-7.63313
-2.04226	-7.63313
-2.15874	-7.63313
-2.25705	-7.6328
-2.31546	-7.6328
-2.35796	-7.63345
-2.40663	-7.6328
-2.46504	-7.63345
-2.53317	-7.63345
-2.64479	-7.63345
-2.80378	-7.63248
-2.97899	-7.63345
-3.10391	-7.63313
-3.20157	-7.6328
-3.27328	-7.6328
-3.36672	-7.6328
-3.46601	-7.6328
-3.58736	-7.63313
-3.65485	-7.6328
-3.69638	-7.63345
-3.71942	-7.63313
-3.73402	-7.6328
-3.7444	-7.63345
-3.73434	-7.63313
-3.72136	-7.63313
-3.67302	-7.6328
-3.5919	-7.63345
-3.48256	-7.6328
-3.39333	-7.63313
-3.31124	-7.6328
-3.24797	-7.63313
-3.16328	-7.63248
-3.07568	-7.63345
-2.98093	-7.6328
-2.85407	-7.63248
-2.74343	-7.63313
-2.64868	-7.63313
-2.54777	-7.6328
-2.45108	-7.63313
-2.36283	-7.6328
-2.27977	-7.63313
-2.17691	-7.63313
-2.09839	-7.63313
-2.02539	-7.6328
-1.95692	-7.63248
-1.88035	-7.6328
-1.76971	-7.6328
-1.67367	-7.63248
-1.57892	-7.63313
-1.50332	-7.63248
-1.40176	-7.6328
-1.2723	-7.6328
-1.14511	-7.63345
-0.991642	-7.63248
-0.835899	-7.6208
-0.724283	-7.61885
-0.594497	-7.61463
-0.468281	-7.60717
-0.345958	-7.59646
-0.221363	-7.58024
-0.102609	-7.5546
0.0369102	8.42142
0.178377	8.41882
0.305242	8.4172
0.387007	8.41558
0.477208	8.41525
0.55216	8.41396
0.589473	8.41428
0.609265	8.41298
0.622244	8.41396
0.636196	8.41396
0.649823	8.41266
0.689408	8.41331
0.785125	8.41201
0.885384	8.41298
1.00024	8.41233
1.15858	8.41331
1.30167	8.41266
1.40518	8.41331
1.49051	8.41201
1.54015	8.41266
1.56806	8.41266
1.58753	8.41331
1.57714	8.41363
1.56708	8.41266
1.55346	8.41331
1.53788	8.41298
1.49181	8.41331
1.38409	8.41266
1.26339	8.41266
1.12484	8.41298
0.976234	8.41331
0.787072	8.41266
0.585255	8.41461
0.362023	8.41655
0.124191	8.42109
-0.0925511	-7.55233
-0.288203	-7.59095
-0.472499	-7.60847
-0.655172	-7.6182
-0.798586	-7.6208
-0.940052	-7.63313
-1.05556	-7.63377
-1.16036	-7.63345
-1.29696	-7.63377
-1.43486	-7.63345
-1.56594	-7.63313
-1.74278	-7.63377
-1.90696	-7.63345
-2.05589	-7.63345
-2.20903	-7.63345
-2.33103	-7.63313
-2.43486	-7.63345
-2.52247	-7.63313
-2.5945	-7.63313
-2.63376	-7.6328
-2.6503	-7.63345
-2.66101	-7.63313
-2.67269	-7.63377
-2.66263	-7.6328
-2.64966	-7.6328
-2.60748	-7.63313
-2.52766	-7.6328
-2.40663	-7.63313
-2.29274	-7.63313
-2.13408	-7.63345
-1.97315	-7.6328
-1.79112	-7.63313
-1.57698	-7.6328
-1.32324	-7.6328
-1.04161	-7.63248
-0.793394	-7.62047
-0.539987	-7.61171
-0.313836	-7.59322
-0.0779502	-7.54584
0.14885	8.41947
0.356832	8.41655
0.543723	8.41396
0.687786	8.41363
0.807837	8.41298
0.923996	8.41331
1.00154	8.41266
1.05086	8.41298
1.07844	8.41266
1.10278	8.41331
1.12192	8.41298
1.13198	8.41331
1.14333	8.41331
1.16118	8.41331
1.17254	8.41298
1.15534	8.41298
1.14041	8.41331
1.1031	8.41266
0.985644	8.41331
0.813678	8.41298
0.607967	8.41461
0.361699	8.41688
0.0998563	8.42109
-0.199949	-7.57797
-0.491642	-7.60944
-0.751214	-7.62047
-0.985153	-7.63345
-1.16393	-7.63377
-1.33493	-7.63345
-1.53609	-7.63345
-1.6967	-7.63345
-1.78334	-7.63345
-1.81838	-7.63377
-1.79761	-7.63345
-1.78041	-7.63377
-1.69086	-7.63345
-1.54972	-7.63313
-1.43843	-7.63313
-1.32844	-7.63313
-1.23272	-7.6328
-1.12986	-7.63313
-0.955951	-7.6328
-0.751863	-7.62015
-0.441999	-7.60555
-0.138949	-7.56499
0.181621	8.41882
0.502841	8.41525
0.787721	8.41298
1.0262	8.41331
1.20888	8.41298
1.33379	8.41298
1.47007	8.41298
1.62062	8.41331
1.76923	8.41266
1.9188	8.41298
2.09791	8.41266
2.24262	8.41331
2.36592	8.41298
2.45125	8.41331
2.53074	8.41298
2.58623	8.41331
2.62906	8.41298
2.65534	8.41331
2.64333	8.41331
2.62614	8.41363
2.60505	8.41298
2.55605	8.41298
2.40907	8.41266
2.23191	8.41331
2.04956	8.41331
1.82795	8.41331
1.58882	8.41298
1.32438	8.41396
1.05021	8.41298
0.77312	8.41363
0.490511	8.41558
0.182919	8.41947
-0.128567	-7.56369
-0.416042	-7.60392
-0.669449	-7.61885
-0.909877	-7.63183
-1.09385	-7.6341
-1.22493	-7.63377
-1.32389	-7.63377
-1.37775	-7.63345
-1.40112	-7.6341
-1.41474	-7.63442
-1.43064	-7.63345
-1.44135	-7.6341
-1.45271	-7.63313
-1.44232	-7.63313
-1.41766	-7.63345
-1.29372	-7.63345
-1.13408	-7.63345
-0.961791	-7.63313
-0.795016	-7.6208
-0.627593	-7.61625
-0.38392	-7.60068
-0.042908	-7.52767
0.354561	8.41655
0.759817	8.41331
1.10375	8.41266
1.40615	8.41331
1.70952	8.41298
1.87889	8.41331
1.96488	8.41298
1.9957	8.41331
2.00576	8.41331
1.99505	8.41331
1.98078	8.41298
1.97007	8.41298
1.95352	8.41396
1.91102	8.41331
1.77766	8.41363
1.56124	8.41298
1.314	8.41331
1.0275	8.41331
0.705631	8.41396
0.387656	8.41655
0.0803884	8.42109
-0.234666	-7.58381
-0.520195	-7.61106
-0.830707	-7.62177
-1.16945	-7.63345
-1.52311	-7.6341
-1.84012	-7.63377
-2.08671	-7.6341
-2.30118	-7.63377
-2.4381	-7.63345
-2.52084	-7.63313
-2.55718	-7.63377
-2.57081	-7.63345
-2.58314	-7.63345
-2.5945	-7.63313
-2.5627	-7.63345
-2.44751	-7.63345
-2.17042	-7.63345
-1.84206	-7.63377
-1.53317	-7.63377
-1.23467	-7.63345
-1.02539	-7.63345
-0.823245	-7.62112
-0.636678	-7.6169
-0.438106	-7.60555
-0.252188	-7.58575
-0.0656205	-7.5413
0.135223	8.4198
0.347098	8.41688
0.569032	8.41461
0.756248	8.41266
0.935676	8.41298
1.05475	8.41266
1.16637	8.41331
1.23775	8.41266
1.27701	8.41331
1.29389	8.41266
1.30427	8.41298
1.29389	8.41298
1.28123	8.41298
1.26501	8.41331
1.23483	8.41266
1.14593	8.41363
1.01322	8.41298
0.846449	8.41396
0.658908	8.41363
0.45482	8.41655
0.214392	8.41882
-0.0711364	-7.5439
-0.282687	-7.59062
-0.420585	-7.6049
-0.497158	-7.61009
-0.556535	-7.61333
-0.585412	-7.61496
-0.610396	-7.61625
-0.63538	-7.61723
-0.653874	-7.6182
-0.672044	-7.61852
-0.682752	-7.61885
-0.694108	-7.6195
-0.709682	-7.6195
-0.719741	-7.61982
-0.737262	-7.62047
-0.748618	-7.6208
-0.738235	-7.62047
-0.728177	-7.61982
-0.718118	-7.6195
-0.696379	-7.61917
-0.661013	-7.61755
-0.566918	-7.61431
-0.447191	-7.60587
-0.292746	-7.59159
-0.0970936	-7.55363
0.178701	8.41915
0.603749	8.41428
1.30589	8.41233
2.16345	8.41331
2.7676	8.41233
3.02815	8.41363
3.0846	8.41298
3.09693	8.41363
3.11154	8.41331
3.12743	8.41298
3.13847	8.41363
3.14982	8.41331
3.12646	8.41396
3.11056	8.41298
3.0885	8.41363
3.05021	8.41331
3.01744	8.41331
2.95969	8.41298
2.87695	8.41363
2.71374	8.41298
2.48467	8.41363
2.16605	8.41363
1.88246	8.41363
1.60342	8.41298
1.41167	8.41396
1.26987	8.41331
1.09337	8.41363
0.951575	8.41266
0.796806	8.41396
0.631329	8.41428
0.459038	8.4159
0.298428	8.41753
0.102452	8.42142
-0.202544	-7.57862
-0.449462	-7.60652
-0.667177	-7.61917
-0.874835	-7.62858
-1.10391	-7.63442
-1.30735	-7.63345
-1.50786	-7.63345
-1.65095	-7.63377
-1.74278	-7.6341
-1.77685	-7.63377
-1.7603	-7.63345
-1.74829	-7.6341
-1.73531	-7.63345
-1.69962	-7.63377
-1.58736	-7.63345
-1.46082	-7.63345
-1.31221	-7.6328
-1.14252	-7.63377
-0.91085	-7.6315
-0.695081	-7.61917
-0.506892	-7.61041
-0.365101	-7.59906
-0.257703	-7.58673
-0.199624	-7.57732
-0.138301	-7.56499
-0.0643227	-7.54065
0.0284741	8.42207
0.174808	8.41915
0.369811	8.4172
0.623866	8.41331
0.895443	8.41331
1.15307	8.41233
1.3909	8.41363
1.47072	8.41298
1.49862	8.41331
1.52458	8.41266
1.55995	8.41331
1.59693	8.41331
1.63749	8.41363
1.65761	8.41298
1.66832	8.41363
1.67967	8.41266
1.66118	8.41298
1.63619	8.41298
1.61932	8.41396
1.54891	8.41298
1.38019	8.41396
1.25657	8.41331
1.14366	8.41363
1.03756	8.41298
0.910368	8.41363
0.767604	8.41363
0.629382	8.41461
0.485644	8.41525
0.323088	8.41817
0.139116	8.42012
-0.00916375	-7.48679
-0.140572	-7.56629
-0.303128	-7.59289
-0.457898	-7.60782
-0.610072	-7.61625
-0.742453	-7.6208
-0.842388	-7.62242
-0.944594	-7.63345
-1.07438	-7.63377
-1.15095	-7.63377
-1.17626	-7.63345
-1.15809	-7.63377
-1.13668	-7.63345
-1.09839	-7.6341
-0.992615	-7.63377
-0.860558	-7.62631
-0.754783	-7.62047
-0.635704	-7.61723
-0.541285	-7.61236
-0.475743	-7.60879
-0.42318	-7.60425
-0.352123	-7.59808
-0.269709	-7.58835
-0.18405	-7.57537
-0.0948223	-7.55298
-0.0351209	-7.52248
0.0262029	8.42207
0.0800639	8.42045
0.132627	8.42045
0.169616	8.41947
0.204983	8.4198
0.228344	8.41817
0.251706	8.41882
0.283828	8.4172
0.336066	8.41785
0.385385	8.41558
0.425618	8.41623
0.465203	8.41493
0.488889	8.41558
0.519713	8.41428
0.545995	8.41525
0.571627	8.41363
0.599207	8.41461
0.625813	8.41331
0.653392	8.41428
0.682919	8.41331
0.729317	8.41396
0.796806	8.41266
0.870135	8.41363
0.926916	8.41298
0.978181	8.41396
1.01841	8.41266
1.04502	8.41363
1.07584	8.41266
1.10926	8.41396
1.14431	8.41331
1.18324	8.41363
1.23159	8.41266
1.28318	8.41396
1.31887	8.41298
1.35878	8.41428
1.38474	8.41266
1.41815	8.41396
1.45482	8.41266
1.50381	8.41428
1.55508	8.41298
1.61316	8.41363
1.68097	8.41298
1.73808	8.41396
1.7968	8.41298
1.86559	8.41396
1.91459	8.41298
1.98078	8.41396
2.02815	8.41266
2.06481	8.41396
2.0898	8.41331
2.10472	8.41396
2.1164	8.41428
2.12646	8.41428
2.11218	8.41428
2.09661	8.41396
2.08266	8.41428
2.06935	8.41298
2.03237	8.41428
1.97915	8.41298
1.92756	8.41428
1.88895	8.41298
1.86397	8.41396
1.82503	8.41331
1.79875	8.41396
1.77928	8.41298
1.76533	8.41396
1.74878	8.41331
1.73094	8.41396
1.71342	8.41331
1.70076	8.41428
1.67708	8.41331
1.65988	8.41428
1.64204	8.41331
1.62484	8.41396
1.61381	8.41331
1.60245	8.41396
1.59045	8.41298
1.57909	8.41428
1.56287	8.41331
1.55054	8.41363
1.53366	8.41363
1.51485	8.41396
1.49505	8.41331
1.47786	8.41396
1.45936	8.41266
1.44638	8.41396
1.43632	8.41298
1.41069	8.41298
1.39706	8.41396
1.38117	8.41331
1.36429	8.41428
1.34223	8.41331
1.32536	8.41396
1.31108	8.41298
1.29973	8.41428
1.28058	8.41363
1.253	8.41396
1.23126	8.41331
1.21439	8.41428
1.18259	8.41298
1.15145	8.41428
1.12419	8.41331
1.09856	8.41428
1.07714	8.41331
1.06319	8.41396
1.05216	8.41331
1.0408	8.41396
1.02296	8.41298
1.00057	8.41428
0.971692	8.41331
0.944112	8.41396
0.919778	8.41363
0.905826	8.41396
0.886358	8.41428
0.874028	8.41331
0.857156	8.41363
0.840608	8.41363
0.827954	8.41396
0.814002	8.41331
0.793561	8.41331
0.777987	8.41396
0.758843	8.41363
0.738402	8.41428
0.71861	8.41396
0.701738	8.41428
0.685839	8.41396
0.668642	8.41428
0.649823	8.41428
0.630031	8.41461
0.61251	8.41428
0.592718	8.41525
0.568707	8.41493
0.554431	8.41525
0.541777	8.41493
0.522633	8.41558
0.503814	8.41558
0.476884	8.41558
0.445411	8.4159
0.419454	8.41688
0.401933	8.41655
0.389603	8.4172
0.37922	8.4172
0.368188	8.4172
0.350992	8.4172
0.333471	8.41753
0.317896	8.4172
0.298104	8.4185
0.281232	8.41817
0.263711	8.4185
0.242945	8.41882
0.21861	8.41915
0.179026	8.41947
0.150148	8.42045
0.131329	8.42045
0.113808	8.42077
0.0962872	8.42077
0.0797395	8.42142
0.0599472	8.42142
0.0404793	8.42142
0.0132243	8.42142
-0.011435	-7.49036
-0.0325252	-7.52086
-0.0523175	-7.53416
-0.0698386	-7.54325
-0.0834661	-7.54876
-0.0964447	-7.55331
