Frequenz (Hz)	Gain (dB)	Gain (U_out/U_in)	Phase
10.000000	13.419752	4.688000	-180.000000
11.481536	13.429011	4.693000	-179.600000
13.182567	13.419752	4.688000	-179.500000
15.135612	13.419752	4.688000	-180.000000
17.378008	13.419752	4.688000	-180.000000
19.952623	13.419752	4.688000	-180.000000
22.908677	13.425309	4.691000	-179.600000
26.302680	13.419752	4.688000	-180.000000
30.199517	13.419752	4.688000	-180.000000
34.673685	13.419752	4.688000	-180.700000
39.810717	13.419752	4.688000	-180.000000
45.708819	13.425309	4.691000	-179.600000
52.480746	13.419752	4.688000	-180.000000
60.255959	13.419752	4.688000	-180.600000
69.183097	13.419752	4.688000	-180.000000
79.432823	13.419752	4.688000	-180.000000
91.201084	13.419752	4.688000	-180.000000
104.712855	13.419752	4.688000	-181.000000
120.226443	13.419752	4.688000	-180.000000
138.038426	13.419752	4.688000	-180.000000
158.489319	13.419752	4.688000	-180.000000
181.970086	13.425309	4.691000	-180.000000
208.929613	13.419752	4.688000	-180.000000
239.883292	13.419752	4.688000	-180.600000
275.422870	13.419752	4.688000	-180.000000
316.227766	13.419752	4.688000	-180.000000
363.078055	13.432260	4.694756	-180.000000
416.869383	13.419752	4.688000	-181.000000
478.630092	13.419752	4.688000	-180.600000
549.540874	13.419752	4.688000	-181.300000
630.957344	13.419752	4.688000	-180.000000
724.435960	13.425309	4.691000	-180.400000
831.763771	13.419752	4.688000	-181.000000
954.992586	13.419752	4.688000	-180.600000
1096.478196	13.419752	4.688000	-180.000000
1258.925412	13.419752	4.688000	-180.800000
1445.439771	13.421605	4.689000	-180.400000
1659.586907	13.419752	4.688000	-180.500000
1905.460718	13.419752	4.688000	-180.600000
2187.761624	13.419752	4.688000	-181.300000
2511.886432	13.419752	4.688000	-180.800000
2884.031503	13.419752	4.688000	-180.400000
3311.311215	13.419752	4.688000	-180.500000
3801.893963	13.419752	4.688000	-180.600000
4365.158322	13.419752	4.688000	-180.000000
5011.872336	13.419752	4.688000	-180.800000
5754.399373	13.360259	4.656000	-180.000000
6606.934480	13.419752	4.688000	-181.500000
7585.775750	13.419752	4.688000	-181.700000
8709.635900	13.419752	4.688000	-180.000000
10000.000000	13.419752	4.688000	-181.500000
11481.536215	13.360259	4.656000	-180.400000
13182.567386	13.419752	4.688000	-181.500000
15135.612484	13.419752	4.688000	-181.700000
17378.008287	13.419752	4.688000	-181.300000
19952.623150	13.419752	4.688000	-181.900000
22908.676528	13.360259	4.656000	-182.600000
26302.679919	13.360259	4.656000	-183.000000
30199.517204	13.419752	4.688000	-182.900000
34673.685045	13.419752	4.688000	-182.600000
39810.717055	13.416046	4.686000	-184.500000
45708.818961	13.416046	4.686000	-185.600000
52480.746025	13.360259	4.656000	-185.500000
60255.958607	13.419752	4.688000	-186.300000
69183.097092	13.419752	4.688000	-187.900000
79432.823472	13.416046	4.686000	-189.100000
91201.083936	13.375171	4.664000	170.000000
104712.854805	13.360259	4.656000	168.500000
120226.443462	13.302235	4.625000	165.700000
138038.426460	13.302235	4.625000	164.200000
158489.319246	13.302235	4.625000	162.600000
181970.085861	13.185009	4.563000	159.600000
208929.613085	13.185009	4.563000	157.600000
239883.291902	13.064250	4.500000	153.100000
275422.870334	12.943746	4.438000	149.800000
316227.766017	12.757796	4.344000	145.200000
363078.054770	12.695589	4.313000	139.700000
416869.383470	12.373511	4.156000	135.200000
478630.092323	12.058554	4.008000	129.100000
549540.873858	11.517435	3.765926	122.200000
630957.344480	11.078260	3.580247	114.200000
724435.960075	10.411126	3.315556	105.800000
831763.771103	9.604751	3.021604	97.700000
954992.586021	8.838362	2.766420	88.000000
1096478.196143	7.561225	2.388148	77.500000
1258925.411794	6.406517	2.090864	68.100000
1445439.770746	4.806212	1.739044	58.100000
1659586.907438	2.956197	1.405432	48.700000
1905460.717963	1.240956	1.153580	39.900000
2187761.623950	-0.813282	0.910617	31.400000
2511886.431510	-2.324735	0.765179	23.300000
2884031.503127	-4.686629	0.583000	14.700000
3311311.214826	-6.791843	0.457518	6.000000
3801893.963206	-8.876333	0.359901	-3.400000
4365158.322402	-10.815129	0.287901	-14.400000
5011872.336273	-12.855764	0.227621	-26.500000
5754399.373372	-15.619477	0.165587	-40.200000
6606934.480076	-19.489886	0.106049	-62.300000
7585775.750292	-22.348206	0.076311	-69.700000
8709635.899561	-27.656184	0.041418	-72.000000
1.000000E+7	-28.098056	0.039364	-56.200000
