U_diff	U_CM	U_out
0.000000	0.000000	-0.002035
-0.500000	0.000000	2.351027
-0.100000	0.000000	0.468281
0.300000	0.000000	-1.411237
1.200000	0.000000	-5.647924
1.600000	0.000000	-6.596677
2.200000	0.000000	-6.642509
3.000000	0.000000	-6.663668
4.000000	0.000000	-6.662922
4.500000	0.000000	-6.662036
4.800000	0.000000	-6.662265
4.500000	0.000000	-6.662524
3.900000	0.000000	-6.662968
1.900000	0.000000	-6.628064
0.400000	0.000000	-1.882743
-0.200000	0.000000	0.938109
-0.500000	0.000000	2.351026
-1.100000	0.000000	5.173548
-1.600000	0.000000	7.526739
-2.300000	0.000000	7.942512
-3.100000	0.000000	7.935260
-3.800000	0.000000	7.934107
-4.600000	0.000000	7.932755
-5.000000	0.000000	7.932071
-4.800000	0.000000	7.932003
-3.500000	0.000000	7.934162
-3.300000	0.000000	7.934466
-2.300000	0.000000	7.942138
-1.000000	0.000000	4.704840
-0.000000	0.000000	-0.002033
0.800000	0.000000	-3.764876
1.400000	0.000000	-6.518480
1.800000	0.000000	-6.619837
2.200000	0.000000	-6.641579
3.200000	0.000000	-6.662813
3.900000	0.000000	-6.662133
4.300000	0.000000	-6.661869
4.800000	0.000000	-6.661638
4.600000	0.000000	-6.661738
4.400000	0.000000	-6.661920
2.200000	0.000000	-6.641203
-1.100000	0.000000	5.173482
-3.300000	0.000000	7.934111
-5.000000	0.000000	7.931412
-4.800000	0.000000	7.931749
-1.300000	0.000000	6.115181
-1.100000	0.000000	5.173479
-0.100000	0.000000	0.468272
1.700000	0.000000	-6.609595
2.700000	0.000000	-6.662921
3.300000	0.000000	-6.662381
4.100000	0.000000	-6.661970
4.900000	0.000000	-6.661453
5.000000	0.000000	-6.661308
4.900000	0.000000	-6.661460
1.500000	0.000000	-6.574142
1.100000	0.000000	-5.176471
-0.700000	0.000000	3.291923
-1.600000	0.000000	7.526667
-2.600000	0.000000	7.935646
-3.000000	0.000000	7.934620
-3.800000	0.000000	7.933257
-4.500000	0.000000	7.932081
-4.800000	0.000000	7.931561
-5.000000	0.000000	7.931209
-4.900000	0.000000	7.931298
-4.700000	0.000000	7.931586
-3.800000	0.000000	7.933063
-2.600000	0.000000	7.935594
-2.100000	0.000000	7.949239
-1.600000	0.000000	7.526624
-1.200000	0.000000	5.644820
-0.900000	0.000000	4.233423
-0.500000	0.000000	2.350974
-0.200000	0.000000	0.938071
0.100000	0.000000	-0.471267
0.400000	0.000000	-1.882767
0.800000	0.000000	-3.764891
1.100000	0.000000	-5.176514
1.400000	0.000000	-6.518330
1.800000	0.000000	-6.619484
2.300000	0.000000	-6.643117
2.700000	0.000000	-6.662712
2.900000	0.000000	-6.662142
3.200000	0.000000	-6.661933
3.400000	0.000000	-6.661928
3.600000	0.000000	-6.661709
3.900000	0.000000	-6.661529
4.000000	0.000000	-6.661349
4.300000	0.000000	-6.661240
4.800000	0.000000	-6.660879
5.000000	0.000000	-6.660777
4.900000	0.000000	-6.660898
4.500000	0.000000	-6.661200
4.400000	0.000000	-6.661085
3.900000	0.000000	-6.661311
3.600000	0.000000	-6.661399
2.800000	0.000000	-6.661662
2.000000	0.000000	-6.632411
1.400000	0.000000	-6.517792
1.100000	0.000000	-5.176485
0.500000	0.000000	-2.354000
0.200000	0.000000	-0.942511
-0.100000	0.000000	0.468266
-0.700000	0.000000	3.291938
-1.200000	0.000000	5.644876
-1.500000	0.000000	7.055195
-1.700000	0.000000	7.966672
-2.100000	0.000000	7.948610
-2.400000	0.000000	7.938352
-2.600000	0.000000	7.935250
-2.900000	0.000000	7.934317
-3.200000	0.000000	7.933801
-3.300000	0.000000	7.933620
-3.500000	0.000000	7.933239
-3.600000	0.000000	7.933016
