U_diff	U_CM	U_out
0.000000	-9.900000	7.882435
0.000000	-9.800000	7.882592
0.000000	-9.000000	7.879582
0.000000	-8.700000	6.594751
0.000000	-7.400000	0.204565
0.000000	-4.600000	0.003670
0.000000	-2.000000	0.001401
0.000000	0.100000	-0.002070
0.000000	1.500000	-0.003192
0.000000	2.700000	-0.003130
0.000000	6.000000	-0.007046
0.000000	7.500000	-0.009594
0.000000	9.600000	-0.011434
0.000000	6.100000	-0.008617
0.000000	5.800000	-0.007429
0.000000	1.000000	-0.001179
0.000000	-2.500000	0.001002
0.000000	-6.500000	0.013890
0.000000	-8.900000	7.876855
0.000000	-10.000000	7.882016
0.000000	-8.800000	7.830148
0.000000	-2.500000	0.000940
0.000000	-2.300000	0.001173
0.000000	3.300000	-0.005230
0.000000	4.900000	-0.006731
0.000000	10.000000	-0.011152
0.000000	8.800000	-0.011076
0.000000	-3.300000	0.002798
0.000000	-4.000000	0.003863
0.000000	-10.000000	7.882088
0.000000	-9.600000	7.880539
0.000000	-9.300000	7.878980
0.000000	-3.700000	0.003999
0.000000	-3.000000	0.001473
0.000000	-0.700000	-0.000262
0.000000	3.000000	-0.004162
0.000000	7.000000	-0.008693
0.000000	8.200000	-0.010207
0.000000	7.600000	-0.009541
0.000000	6.900000	-0.008934
0.000000	2.700000	-0.003147
0.000000	0.700000	-0.002871
0.000000	-1.200000	-0.000642
0.000000	-2.000000	0.001371
0.000000	-2.500000	0.000939
0.000000	-3.000000	0.001536
0.000000	-2.700000	0.000399
0.000000	-2.300000	0.001239
0.000000	-2.500000	0.001019
0.000000	-6.200000	0.009394
0.000000	-6.400000	0.010668
0.000000	-7.700000	0.346788
0.000000	-7.900000	0.454743
0.000000	5.700000	-0.006173
0.000000	8.600000	-0.009875
0.000000	10.000000	-0.011194
0.000000	9.200000	-0.010757
0.000000	7.600000	-0.009682
0.000000	-4.500000	0.005208
0.000000	-10.000000	7.880973
0.000000	2.400000	-0.003701
0.000000	6.100000	-0.008715
0.000000	10.000000	-0.011267
0.000000	-4.900000	0.005063
0.000000	-1.900000	0.000944
0.000000	7.000000	-0.008907
0.000000	-5.000000	0.006644
0.000000	-0.700000	-0.000247
0.000000	4.500000	-0.005791
0.000000	-10.000000	7.880807
0.000000	-3.500000	0.002820
0.000000	1.300000	-0.002151
0.000000	-9.600000	7.879412
0.000000	8.000000	-0.010759
0.000000	-2.100000	0.001205
0.000000	4.200000	-0.004878
0.000000	10.000000	-0.011274
0.000000	-10.000000	7.880774
0.000000	8.300000	-0.010237
0.000000	4.300000	-0.006197
0.000000	-9.300000	7.877696
0.000000	10.000000	-0.011251
0.000000	-10.000000	7.880705
0.000000	4.500000	-0.005791
0.000000	10.000000	-0.011244
0.000000	-1.900000	0.000933
0.000000	10.000000	-0.011277
0.000000	6.900000	-0.009116
0.000000	0.800000	-0.001389
0.000000	-0.400000	-0.001290
0.000000	-2.000000	0.001381
