Frequenz (Hz)	Gain (dB)	Gain (U_out/U_in)	Phase
125.000000	-28.291055	0.038499	6.300000
119.107995	-27.402652	0.042645	6.900000
113.493715	-27.109485	0.044109	9.000000
108.144071	-25.012410	0.056154	8.700000
103.046587	-25.440890	0.053451	8.100000
98.189379	-24.411430	0.060177	8.400000
93.561120	-23.573586	0.066271	9.400000
89.151019	-22.294761	0.076782	6.400000
84.948793	-20.678682	0.092484	13.100000
80.944643	-20.325993	0.096316	10.400000
77.129233	-19.891586	0.101256	11.000000
73.493666	-18.963300	0.112677	10.500000
70.029465	-18.160813	0.123583	10.100000
66.728554	-16.981187	0.141560	10.500000
63.583234	-16.274161	0.153565	9.100000
60.586172	-15.634725	0.165297	11.300000
57.730379	-14.253812	0.193780	10.800000
55.009198	-13.733011	0.205755	9.500000
52.416282	-11.734393	0.258988	11.300000
49.945586	-10.816408	0.287859	11.300000
47.591348	-10.322772	0.304692	12.000000
45.348081	-8.991922	0.355144	10.200000
43.210552	-8.038218	0.396359	13.400000
41.173777	-6.819929	0.456041	11.600000
39.233008	-5.562250	0.527093	16.600000
37.383720	-4.411430	0.601767	16.800000
35.621599	-3.345697	0.680323	17.000000
33.942538	-1.423149	0.848873	20.000000
32.342621	0.162554	1.018891	21.800000
30.818118	1.529778	1.192584	26.800000
29.365474	3.056506	1.421757	26.500000
27.981301	4.921027	1.762184	32.900000
26.662374	7.020531	2.244019	40.500000
25.405615	9.921665	3.133886	52.000000
24.208095	11.431182	3.728714	66.900000
23.067021	12.278918	4.110985	89.000000
21.979733	12.608404	4.269924	109.500000
20.943695	11.431182	3.728714	128.500000
19.956492	10.499035	3.349282	139.800000
19.015822	8.566842	2.681280	148.400000
18.119492	7.732511	2.435710	154.000000
17.265410	6.758489	2.177331	158.500000
16.451587	6.091764	2.016453	162.700000
15.676125	5.366721	1.854966	164.400000
14.937214	4.659558	1.709928	164.700000
14.233133	3.901300	1.566986	166.600000
13.562239	3.723792	1.535287	169.100000
12.922969	3.236664	1.451554	168.100000
12.313832	2.978780	1.409091	-189.300000
11.733406	2.619534	1.352000	-188.900000
11.180340	2.678720	1.361244	-187.300000
10.653343	2.212308	1.290076	-187.500000
10.151186	1.942355	1.250598	-185.500000
9.672700	2.301452	1.303385	-184.200000
9.216767	1.375963	1.171651	-186.000000
8.782325	1.719358	1.218900	-185.300000
8.368361	1.375963	1.171651	-183.600000
7.973910	1.330917	1.165590	-186.100000
7.598051	1.459482	1.182971	-182.500000
7.239909	1.459482	1.182971	-184.700000
6.898648	1.137732	1.139952	-184.500000
6.573473	1.385391	1.172923	-183.500000
6.263626	1.471337	1.184587	-183.300000
5.968383	1.013810	1.123804	-185.100000
5.687057	1.140441	1.140308	-182.400000
5.418992	0.976302	1.118961	-181.700000
5.163562	1.226388	1.151647	-182.200000
4.920172	0.765290	1.092105	-183.700000
4.688255	1.140441	1.140308	-181.500000
4.467269	0.757107	1.091077	-179.500000
4.256700	0.381133	1.044856	-180.900000
4.056056	0.803278	1.096892	-180.400000
3.864869	0.481157	1.056958	-182.100000
3.682695	0.888383	1.107692	-181.600000
3.509107	0.888383	1.107692	-181.500000
3.343702	0.579448	1.068987	-180.700000
3.186093	0.640725	1.076555	-182.000000
3.035913	0.843054	1.101927	-181.300000
2.892812	0.349882	1.041104	-184.200000
2.756456	0.843054	1.101927	-181.200000
2.626528	0.493502	1.058462	-178.900000
2.502724	0.843054	1.101927	-182.600000
2.384755	0.447147	1.052828	-184.000000
2.272347	0.171051	1.019888	-181.900000
2.165238	0.408397	1.048141	-178.600000
2.063177	0.543686	1.064595	-180.400000
1.965927	0.349882	1.041104	-182.100000
1.873261	0.381133	1.044856	-181.600000
1.784963	0.714737	1.085768	-181.100000
1.700827	0.447147	1.052828	-182.800000
1.620657	0.361201	1.042462	-182.000000
1.544265	0.361201	1.042462	-181.300000
1.471475	0.464651	1.054952	-180.000000
1.402115	0.221565	1.025837	-180.600000
1.336025	0.381133	1.044856	-181.100000
1.273050	0.628791	1.075077	-180.000000
1.213044	0.113543	1.013158	-182.500000
1.155865	0.113543	1.013158	-183.300000
1.101383	0.714737	1.085768	-181.400000
1.049468	0.221565	1.025837	-181.700000
1.000000	0.221565	1.025837	-181.200000
