Frequenz (Hz)	Gain (dB)	Gain (U_out/U_in)	Phase
125.000000	-60.454457	0.000949	-67.000000
119.107995	-60.076995	0.000991	-65.500000
113.493715	-64.324324	0.000608	-66.600000
108.144071	-62.829163	0.000722	-64.800000
103.046587	-61.715897	0.000821	-62.400000
98.189379	-59.763699	0.001028	-67.300000
93.561120	-59.048038	0.001116	-71.000000
89.151019	-57.975040	0.001263	-70.500000
84.948793	-56.772144	0.001450	-67.400000
80.944643	-55.315542	0.001715	-63.800000
77.129233	-53.917341	0.002014	-66.200000
73.493666	-53.076955	0.002219	-64.200000
70.029465	-51.770466	0.002579	-63.600000
66.728554	-50.335471	0.003042	-63.500000
63.583234	-49.250356	0.003447	-62.600000
60.586172	-47.281635	0.004324	-62.000000
57.730379	-46.600039	0.004677	-60.900000
55.009198	-45.290418	0.005438	-60.200000
52.416282	-44.214672	0.006156	-60.500000
49.945586	-42.651827	0.007369	-58.700000
47.591348	-41.156418	0.008753	-61.500000
45.348081	-39.745070	0.010298	-57.200000
43.210552	-38.287975	0.012179	-55.600000
41.173777	-36.482967	0.014992	-54.800000
39.233008	-35.251521	0.017275	-53.400000
37.383720	-33.708202	0.020634	-51.000000
35.621599	-32.212475	0.024512	-51.200000
33.942538	-30.313453	0.030502	-47.200000
32.342621	-28.594758	0.037176	-45.100000
30.818118	-26.528634	0.047159	-41.100000
29.365474	-24.702907	0.058191	-39.500000
27.981301	-22.401902	0.075841	-29.800000
26.662374	-19.615772	0.104523	-25.200000
25.405615	-17.006550	0.141147	-13.400000
24.208095	-14.291560	0.192940	2.500000
23.067021	-12.454261	0.238389	28.000000
21.979733	-12.340457	0.241533	55.600000
20.943695	-13.547177	0.210204	75.100000
19.956492	-14.908934	0.179702	88.200000
19.015822	-16.083258	0.156977	97.000000
18.119492	-16.969294	0.141754	102.200000
17.265410	-17.790681	0.128963	106.600000
16.451587	-18.449030	0.119550	111.000000
15.676125	-18.917332	0.113275	113.100000
14.937214	-19.160459	0.110148	115.500000
14.233133	-19.423954	0.106857	117.000000
13.562239	-19.617834	0.104498	118.100000
12.922969	-19.793964	0.102400	120.400000
12.313832	-19.877662	0.101418	121.300000
11.733406	-19.929210	0.100818	122.800000
11.180340	-19.933911	0.100764	123.900000
10.653343	-19.910430	0.101037	125.500000
10.151186	-19.858992	0.101637	126.300000
9.672700	-19.784714	0.102510	128.000000
9.216767	-19.697325	0.103546	128.900000
8.782325	-19.644482	0.104178	130.900000
8.368361	-19.527650	0.105589	131.500000
7.973910	-19.416774	0.106945	133.800000
7.598051	-19.340910	0.107883	133.600000
7.239909	-19.202899	0.109611	135.000000
6.898648	-19.067046	0.111339	135.900000
6.573473	-18.949894	0.112851	136.500000
6.263626	-18.891905	0.113607	137.400000
5.968383	-18.724274	0.115821	139.400000
5.687057	-18.578821	0.117777	140.800000
5.418992	-18.445189	0.119603	143.100000
5.163562	-18.360106	0.120780	142.700000
4.920172	-18.238036	0.122489	144.000000
4.688255	-18.110189	0.124306	145.700000
4.467269	-18.058089	0.125053	147.300000
4.256700	-17.889069	0.127511	148.000000
4.056056	-17.780584	0.129113	148.600000
3.864869	-17.712617	0.130128	150.100000
3.682695	-17.673690	0.130712	150.800000
3.509107	-17.519706	0.133050	151.900000
3.343702	-17.572677	0.132241	152.600000
3.186093	-17.394005	0.134989	153.900000
3.035913	-17.370231	0.135359	154.500000
2.892812	-17.238956	0.137421	155.800000
2.756456	-17.245640	0.137315	157.400000
2.626528	-17.185668	0.138266	157.400000
2.502724	-17.073505	0.140063	158.400000
2.384755	-17.089909	0.139799	159.000000
2.272347	-17.123494	0.139260	160.900000
2.165238	-17.103329	0.139583	161.300000
2.063177	-16.990079	0.141415	161.500000
1.965927	-16.942772	0.142188	161.900000
1.873261	-16.907386	0.142768	163.500000
1.784963	-16.870850	0.143370	164.500000
1.700827	-16.879879	0.143221	164.600000
1.620657	-16.885749	0.143124	166.000000
1.544265	-16.794895	0.144629	165.400000
1.471475	-16.847647	0.143753	166.700000
1.402115	-16.794895	0.144629	166.200000
1.336025	-16.717077	0.145931	167.900000
1.273050	-16.812906	0.144329	167.500000
1.213044	-16.817403	0.144255	169.000000
1.155865	-16.726077	0.145779	169.100000
1.101383	-16.655398	0.146970	169.600000
1.049468	-16.713744	0.145987	169.300000
1.000000	-16.632393	0.147360	-189.100000
