# Zeit (s)	# Kanal 2 (V)	# D0-D7	
-1	0.785547	0
-0.998	0.766016	0
-0.996	0.741797	0
-0.994	0.715625	0
-0.992	0.689063	0
-0.99	0.665625	0
-0.988	0.644531	0
-0.986	0.628906	0
-0.984	0.61875	0
-0.982	0.615234	0
-0.98	0.617188	0
-0.978	0.624609	0
-0.976	0.635938	0
-0.974	0.650391	0
-0.972	0.666406	0
-0.97	0.682422	0
-0.968	0.697656	0
-0.966	0.7125	0
-0.964	0.725391	0
-0.962	0.735547	0
-0.96	0.743359	0
-0.958	0.748047	0
-0.956	0.749609	0
-0.954	0.747656	0
-0.952	0.743359	0
-0.95	0.737109	0
-0.948	0.730078	0
-0.946	0.723828	0
-0.944	0.719141	0
-0.942	0.716406	0
-0.94	0.716797	0
-0.938	0.719531	0
-0.936	0.725	0
-0.934	0.733203	0
-0.932	0.743359	0
-0.93	0.754688	0
-0.928	0.767188	0
-0.926	0.779297	0
-0.924	0.790625	0
-0.922	0.8	0
-0.92	0.807422	0
-0.918	0.8125	0
-0.916	0.816016	0
-0.914	0.817969	0
-0.912	0.819922	0
-0.91	0.821484	0
-0.908	0.823047	0
-0.906	0.825	0
-0.904	0.827344	0
-0.902	0.829297	0
-0.9	0.83125	0
-0.898	0.833203	0
-0.896	0.835547	0
-0.894	0.837891	0
-0.892	0.840625	0
-0.89	0.844141	0
-0.888	0.847656	0
-0.886	0.851563	0
-0.884	0.855469	0
-0.882	0.858984	0
-0.88	0.861719	0
-0.878	0.863672	0
-0.876	0.865234	0
-0.874	0.865625	0
-0.872	0.864844	0
-0.87	0.8625	0
-0.868	0.858594	0
-0.866	0.853906	0
-0.864	0.847656	0
-0.862	0.840234	0
-0.86	0.831641	0
-0.858	0.823828	0
-0.856	0.816406	0
-0.854	0.809766	0
-0.852	0.803516	0
-0.85	0.798047	0
-0.848	0.79375	0
-0.846	0.790234	0
-0.844	0.787891	0
-0.842	0.785938	0
-0.84	0.783203	0
-0.838	0.780078	0
-0.836	0.775781	0
-0.834	0.770703	0
-0.832	0.763672	0
-0.83	0.75625	0
-0.828	0.748828	0
-0.826	0.742188	0
-0.824	0.735547	0
-0.822	0.729688	0
-0.82	0.724219	0
-0.818	0.719141	0
-0.816	0.714453	0
-0.814	0.709766	0
-0.812	0.705469	0
-0.81	0.702344	0
-0.808	0.699609	0
-0.806	0.697266	0
-0.804	0.695703	0
-0.802	0.694922	0
-0.8	0.694531	0
-0.798	0.695313	0
-0.796	0.696094	0
-0.794	0.697266	0
-0.792	0.698828	0
-0.79	0.7	0
-0.788	0.701172	0
-0.786	0.701563	0
-0.784	0.700781	0
-0.782	0.7	0
-0.78	0.698047	0
-0.778	0.695703	0
-0.776	0.692578	0
-0.774	0.689453	0
-0.772	0.686328	0
-0.77	0.682813	0
-0.768	0.678906	0
-0.766	0.675391	0
-0.764	0.671875	0
-0.762	0.669141	0
-0.76	0.667969	0
-0.758	0.668359	0
-0.756	0.670313	0
-0.754	0.673828	0
-0.752	0.678516	0
-0.75	0.683594	0
-0.748	0.689063	0
-0.746	0.694531	0
-0.744	0.699219	0
-0.742	0.702344	0
-0.74	0.703906	0
-0.738	0.703516	0
-0.736	0.701563	0
-0.734	0.698438	0
-0.732	0.694141	0
-0.73	0.689063	0
-0.728	0.683594	0
-0.726	0.678125	0
-0.724	0.673047	0
-0.722	0.66875	0
-0.72	0.666406	0
-0.718	0.666016	0
-0.716	0.669141	0
-0.714	0.675391	0
