Frequenz (Hz)	Gain (dB)	Gain (U_out/U_in)	Phase
100.000000	-49.568238	0.003323	15.500000
86.851137	-44.233191	0.006142	9.400000
75.431201	-45.975171	0.005026	53.200000
65.512856	-41.890634	0.008044	52.000000
56.898660	-37.472911	0.013377	63.400000
49.417134	-32.634336	0.023350	76.000000
42.919343	-28.453253	0.037787	78.300000
37.275937	-23.681918	0.065449	87.400000
32.374575	-18.809165	0.114694	99.800000
28.117687	-12.392917	0.240079	117.200000
24.420531	-6.032624	0.499308	152.900000
21.209509	-4.242159	0.613609	-150.100000
18.420700	-6.271373	0.485771	-117.600000
15.998587	-7.453410	0.423964	-102.300000
13.894955	-8.023348	0.397038	-94.900000
12.067926	-8.031918	0.396647	-87.600000
10.481131	-7.668191	0.413609	-84.700000
9.102982	-7.125114	0.440296	-80.600000
7.906043	-6.411299	0.478008	-75.600000
6.866488	-5.653642	0.521576	-73.200000
5.963623	-4.838732	0.572880	-68.800000
5.179475	-3.959242	0.633925	-64.300000
4.498433	-2.854302	0.719921	-60.000000
3.906940	-1.929639	0.800789	-56.300000
3.393222	-1.172085	0.873767	-50.000000
2.947052	-0.331763	0.962525	-43.400000
2.559548	0.483601	1.057256	-37.700000
2.222996	1.070509	1.131164	-29.500000
1.930698	1.563615	1.197239	-22.500000
1.676833	2.043774	1.265286	-14.600000
1.456348	2.310438	1.304734	-6.400000
1.264855	2.382357	1.315582	2.800000
1.098541	2.423347	1.321805	13.800000
0.954095	2.325512	1.307000	21.900000
0.828643	1.914855	1.246645	30.900000
0.719686	1.361843	1.169748	39.100000
0.625055	0.758361	1.091234	47.500000
0.542868	-0.273594	0.968992	56.000000
