Zeit (s)	Istwert	P	I	D	Regelausgang	Sollwert
155.292000	52.597580	0.740242	0.000000	-0.000000	0.740242	60.000000
155.192000	52.596796	0.740320	0.000000	0.000000	0.740320	60.000000
155.093000	52.599204	0.740080	0.000000	0.000000	0.740080	60.000000
154.999000	52.603320	0.739668	0.000000	-0.000000	0.739668	60.000000
154.897000	52.601080	0.739892	0.000000	0.000000	0.739892	60.000000
154.799000	52.603795	0.739621	0.000000	0.000000	0.739621	60.000000
154.705000	52.605663	0.739434	0.000000	0.000000	0.739434	60.000000
154.608000	52.609411	0.739059	0.000000	0.000000	0.739059	60.000000
154.507000	52.612366	0.738763	0.000000	0.000000	0.738763	60.000000
154.411000	52.613815	0.738619	0.000000	-0.000000	0.738619	60.000000
154.313000	52.612007	0.738799	0.000000	-0.000000	0.738799	60.000000
154.216000	52.609467	0.739053	0.000000	-0.000000	0.739053	60.000000
154.117000	52.604642	0.739536	0.000000	0.000000	0.739536	60.000000
154.017000	52.604761	0.739524	0.000000	0.000000	0.739524	60.000000
153.920000	52.605845	0.739416	0.000000	0.000000	0.739416	60.000000
153.819000	52.606450	0.739355	0.000000	-0.000000	0.739355	60.000000
153.723000	52.605852	0.739415	0.000000	0.000000	0.739415	60.000000
153.627000	52.610379	0.738962	0.000000	0.000000	0.738962	60.000000
153.532000	52.618345	0.738166	0.000000	0.000000	0.738166	60.000000
153.431000	52.627513	0.737249	0.000000	0.000000	0.737249	60.000000
153.332000	52.628904	0.737110	0.000000	-0.000000	0.737110	60.000000
153.238000	52.628486	0.737151	0.000000	-0.000000	0.737151	60.000000
153.142000	52.628364	0.737164	0.000000	-0.000000	0.737164	60.000000
153.050000	52.625947	0.737405	0.000000	0.000000	0.737405	60.000000
152.952000	52.630053	0.736995	0.000000	0.000000	0.736995	60.000000
152.854000	52.631986	0.736801	0.000000	-0.000000	0.736801	60.000000
152.755000	52.629269	0.737073	0.000000	-0.000000	0.737073	60.000000
152.663000	52.627884	0.737212	0.000000	0.000000	0.737212	60.000000
152.570000	52.628724	0.737128	0.000000	-0.000000	0.737128	60.000000
152.478000	52.626009	0.737399	0.000000	-0.000000	0.737399	60.000000
152.377000	52.625467	0.737453	0.000000	-0.000000	0.737453	60.000000
152.280000	52.625165	0.737483	0.000000	-0.000000	0.737483	60.000000
