#Zeit (s)	Istwert	P	I	D	Regelausgang	Sollwert
133.565000	59.153959	0.846041	0.000000	0.000000	0.846041	60.000000
133.468000	59.154080	0.845920	0.000000	-0.000000	0.845920	60.000000
133.368000	59.149614	0.850386	0.000000	-0.000000	0.850386	60.000000
133.275000	59.148342	0.851658	0.000000	-0.000000	0.851658	60.000000
133.184000	59.147322	0.852678	0.000000	0.000000	0.852678	60.000000
133.090000	59.156071	0.843929	0.000000	-0.000000	0.843929	60.000000
132.993000	59.154325	0.845675	0.000000	-0.000000	0.845675	60.000000
132.895000	59.147860	0.852140	0.000000	-0.000000	0.852140	60.000000
132.799000	59.137840	0.862160	0.000000	-0.000000	0.862160	60.000000
132.705000	59.131981	0.868019	0.000000	-0.000000	0.868019	60.000000
132.613000	59.125232	0.874768	0.000000	0.000000	0.874768	60.000000
132.518000	59.126974	0.873026	0.000000	-0.000000	0.873026	60.000000
132.423000	59.126854	0.873146	0.000000	-0.000000	0.873146	60.000000
132.325000	59.118706	0.881294	0.000000	-0.000000	0.881294	60.000000
132.227000	59.109768	0.890232	0.000000	-0.000000	0.890232	60.000000
132.128000	59.102532	0.897468	0.000000	-0.000000	0.897468	60.000000
132.030000	59.102113	0.897887	0.000000	-0.000000	0.897887	60.000000
131.931000	59.099637	0.900363	0.000000	-0.000000	0.900363	60.000000
131.836000	59.095045	0.904955	0.000000	-0.000000	0.904955	60.000000
131.742000	59.086776	0.913224	0.000000	-0.000000	0.913224	60.000000
131.651000	59.082069	0.917931	0.000000	-0.000000	0.917931	60.000000
131.557000	59.078627	0.921373	0.000000	-0.000000	0.921373	60.000000
131.459000	59.069390	0.930610	0.000000	-0.000000	0.930610	60.000000
131.360000	59.058706	0.941294	0.000000	-0.000000	0.941294	60.000000
131.264000	59.054727	0.945273	0.000000	-0.000000	0.945273	60.000000
131.172000	59.050557	0.949443	0.000000	-0.000000	0.949443	60.000000
131.079000	59.045188	0.954812	0.000000	-0.000000	0.954812	60.000000
130.982000	59.043196	0.956804	0.000000	-0.000000	0.956804	60.000000
130.884000	59.034688	0.965312	0.000000	-0.000000	0.965312	60.000000
130.791000	59.032570	0.967430	0.000000	-0.000000	0.967430	60.000000
130.696000	59.019712	0.980288	0.000000	-0.000000	0.980288	60.000000
130.602000	59.019652	0.980348	0.000000	-0.000000	0.980348	60.000000
130.509000	59.017724	0.982276	0.000000	-0.000000	0.982276	60.000000
130.412000	59.014886	0.985114	0.000000	0.000000	0.985114	60.000000
130.314000	59.016397	0.983603	0.000000	-0.000000	0.983603	60.000000
130.218000	59.015493	0.984507	0.000000	0.000000	0.984507	60.000000
130.124000	59.021706	0.978294	0.000000	0.000000	0.978294	60.000000
130.004000	59.024843	0.975157	0.000000	-0.000000	0.975157	60.000000
129.912000	59.021956	0.978044	0.000000	0.000000	0.978044	60.000000
129.820000	59.022791	0.977209	0.000000	-0.000000	0.977209	60.000000
129.721000	59.010596	0.989404	0.000000	-0.000000	0.989404	60.000000
129.622000	58.994541	1.005459	0.000000	-0.000000	1.005459	60.000000
129.523000	58.992193	1.007807	0.000000	-0.000000	1.007807	60.000000
129.425000	58.983675	1.016325	0.000000	-0.000000	1.016325	60.000000
129.326000	58.975771	1.024229	0.000000	-0.000000	1.024229	60.000000
129.230000	58.964062	1.035938	0.000000	-0.000000	1.035938	60.000000
129.143000	58.961765	1.038235	0.000000	-0.000000	1.038235	60.000000
129.045000	58.955855	1.044145	0.000000	-0.000000	1.044145	60.000000
128.951000	58.944687	1.055313	0.000000	0.000000	1.055313	60.000000
128.854000	58.945046	1.054954	0.000000	-0.000000	1.054954	60.000000
128.757000	58.944626	1.055374	0.000000	-0.000000	1.055374	60.000000
128.658000	58.944022	1.055978	0.000000	0.000000	1.055978	60.000000
128.564000	58.946740	1.053260	0.000000	-0.000000	1.053260	60.000000
128.470000	58.940703	1.059297	0.000000	0.000000	1.059297	60.000000
128.372000	58.942085	1.057915	0.000000	-0.000000	1.057915	60.000000
128.272000	58.940468	1.059532	0.000000	0.000000	1.059532	60.000000
128.174000	58.948678	1.051322	0.000000	0.000000	1.051322	60.000000
128.080000	58.953501	1.046499	0.000000	-0.000000	1.046499	60.000000
127.980000	58.952351	1.047649	0.000000	-0.000000	1.047649	60.000000
127.882000	58.947760	1.052240	0.000000	0.000000	1.052240	60.000000
127.785000	58.956571	1.043429	0.000000	0.000000	1.043429	60.000000
127.692000	58.958509	1.041491	0.000000	-0.000000	1.041491	60.000000
127.591000	58.950296	1.049704	0.000000	0.000000	1.049704	60.000000
127.493000	58.955367	1.044633	0.000000	0.000000	1.044633	60.000000
127.397000	58.962738	1.037262	0.000000	0.000000	1.037262	60.000000
127.302000	58.968168	1.031832	0.000000	0.000000	1.031832	60.000000
127.204000	58.977045	1.022955	0.000000	0.000000	1.022955	60.000000
127.105000	58.987725	1.012275	0.000000	0.000000	1.012275	60.000000
127.012000	58.998104	1.001896	0.000000	0.000000	1.001896	60.000000
126.917000	59.004380	0.995620	0.000000	0.000000	0.995620	60.000000
126.825000	59.022614	0.977386	0.000000	0.000000	0.977386	60.000000
126.732000	59.039809	0.960191	0.000000	0.000000	0.960191	60.000000
126.639000	59.055209	0.944791	0.000000	0.000000	0.944791	60.000000
126.546000	59.068795	0.931205	0.000000	0.000000	0.931205	60.000000
126.446000	59.074459	0.925541	0.000000	0.000000	0.925541	60.000000
126.353000	59.085152	0.914848	0.000000	0.000000	0.914848	60.000000
126.256000	59.101447	0.898553	0.000000	0.000000	0.898553	60.000000
126.159000	59.121426	0.878574	0.000000	0.000000	0.878574	60.000000
126.063000	59.135190	0.864810	0.000000	0.000000	0.864810	60.000000
125.967000	59.157823	0.842177	0.000000	0.000000	0.842177	60.000000
125.871000	59.180699	0.819301	0.000000	0.000000	0.819301	60.000000
125.775000	59.207866	0.792134	0.000000	0.000000	0.792134	60.000000
125.682000	59.230740	0.769260	0.000000	0.000000	0.769260	60.000000
125.587000	59.247943	0.752057	0.000000	0.000000	0.752057	60.000000
125.491000	59.267431	0.732569	0.000000	0.000000	0.732569	60.000000
125.393000	59.292066	0.707934	0.000000	0.000000	0.707934	60.000000
125.296000	59.310722	0.689278	0.000000	0.000000	0.689278	60.000000
125.199000	59.335107	0.664893	0.000000	0.000000	0.664893	60.000000
125.101000	59.359428	0.640572	0.000000	0.000000	0.640572	60.000000
125.003000	59.375664	0.624336	0.000000	0.000000	0.624336	60.000000
124.908000	59.377660	0.622340	0.000000	0.000000	0.622340	60.000000
124.814000	59.385320	0.614680	0.000000	0.000000	0.614680	60.000000
124.721000	59.390638	0.609362	0.000000	0.000000	0.609362	60.000000
124.621000	59.409950	0.590050	0.000000	0.000000	0.590050	60.000000
124.523000	59.438081	0.561919	0.000000	0.000000	0.561919	60.000000
124.426000	59.465125	0.534875	0.000000	0.000000	0.534875	60.000000
124.263000	59.479491	0.520509	0.000000	0.000000	0.520509	60.000000
124.166000	59.486188	0.513812	0.000000	0.000000	0.513812	60.000000
124.069000	59.490469	0.509531	0.000000	0.000000	0.509531	60.000000
123.978000	59.502789	0.497211	0.000000	0.000000	0.497211	60.000000
123.883000	59.506591	0.493409	0.000000	0.000000	0.493409	60.000000
123.791000	59.516915	0.483085	0.000000	0.000000	0.483085	60.000000
123.699000	59.522277	0.477723	0.000000	0.000000	0.477723	60.000000
123.601000	59.524998	0.475002	0.000000	0.000000	0.475002	60.000000
123.504000	59.525782	0.474218	0.000000	0.000000	0.474218	60.000000
123.407000	59.529945	0.470055	0.000000	0.000000	0.470055	60.000000
123.315000	59.533269	0.466731	0.000000	-0.000000	0.466731	60.000000
123.223000	59.528683	0.471317	0.000000	-0.000000	0.471317	60.000000
123.126000	59.526933	0.473067	0.000000	-0.000000	0.473067	60.000000
123.029000	59.520539	0.479461	0.000000	-0.000000	0.479461	60.000000
122.936000	59.517029	0.482971	0.000000	0.000000	0.482971	60.000000
122.846000	59.521200	0.478800	0.000000	-0.000000	0.478800	60.000000
122.754000	59.515342	0.484658	0.000000	-0.000000	0.484658	60.000000
122.654000	59.506886	0.493114	0.000000	-0.000000	0.493114	60.000000
122.562000	59.491622	0.508378	0.000000	-0.000000	0.508378	60.000000
122.470000	59.475142	0.524858	0.000000	-0.000000	0.524858	60.000000
122.372000	59.455645	0.544355	0.000000	-0.000000	0.544355	60.000000
122.274000	59.436998	0.563002	0.000000	-0.000000	0.563002	60.000000
122.180000	59.421726	0.578274	0.000000	-0.000000	0.578274	60.000000
122.083000	59.402107	0.597893	0.000000	-0.000000	0.597893	60.000000
121.986000	59.371561	0.628439	0.000000	-0.000000	0.628439	60.000000
121.889000	59.326230	0.673770	0.000000	-0.000000	0.673770	60.000000
121.791000	59.277337	0.722663	0.000000	-0.000000	0.722663	60.000000
121.695000	59.226997	0.773003	0.000000	-0.000000	0.773003	60.000000
121.600000	59.193136	0.806864	0.000000	-0.000000	0.806864	60.000000
121.505000	59.183117	0.816883	0.000000	-0.000000	0.816883	60.000000
121.410000	59.157879	0.842121	0.000000	-0.000000	0.842121	60.000000
121.320000	59.107905	0.892095	0.000000	-0.000000	0.892095	60.000000
121.222000	59.054125	0.945875	0.000000	-0.000000	0.945875	60.000000
121.126000	58.997926	1.002074	0.000000	-0.000000	1.002074	60.000000
121.034000	58.944628	1.055372	0.000000	-0.000000	1.055372	60.000000
120.940000	58.902313	1.097687	0.000000	-0.000000	1.097687	60.000000
120.843000	58.861207	1.138793	0.000000	-0.000000	1.138793	60.000000
120.747000	58.808022	1.191978	0.000000	-0.000000	1.191978	60.000000
120.652000	58.753710	1.246290	0.000000	-0.000000	1.246290	60.000000
120.556000	58.710068	1.289932	0.000000	-0.000000	1.289932	60.000000
120.458000	58.657668	1.342332	0.000000	-0.000000	1.342332	60.000000
120.359000	58.606546	1.393454	0.000000	-0.000000	1.393454	60.000000
120.262000	58.567489	1.432511	0.000000	-0.000000	1.432511	60.000000
120.166000	58.530361	1.469639	0.000000	-0.000000	1.469639	60.000000
120.046000	58.462768	1.537232	0.000000	-0.000000	1.537232	60.000000
119.953000	58.400468	1.599532	0.000000	-0.000000	1.599532	60.000000
119.853000	58.342764	1.657236	0.000000	-0.000000	1.657236	60.000000
119.754000	58.280168	1.719832	0.000000	-0.000000	1.719832	60.000000
119.659000	58.202426	1.797574	0.000000	-0.000000	1.797574	60.000000
119.568000	58.089184	1.910816	0.000000	-0.000000	1.910816	60.000000
119.473000	57.930254	2.069746	0.000000	-0.000000	2.069746	60.000000
119.380000	57.753638	2.246362	0.000000	0.000000	2.246362	60.000000
119.288000	57.798311	2.201689	0.000000	0.000000	2.201689	60.000000
119.191000	57.983251	2.016749	0.000000	0.000000	2.016749	60.000000
119.092000	57.993388	2.006612	0.000000	0.000000	2.006612	60.000000
118.996000	58.119301	1.880699	0.000000	0.000000	1.880699	60.000000
118.905000	58.149186	1.850814	0.000000	0.000000	1.850814	60.000000
118.813000	58.165117	1.834883	0.000000	0.000000	1.834883	60.000000
118.719000	58.383149	1.616851	0.000000	0.000000	1.616851	60.000000
118.620000	58.542497	1.457503	0.000000	0.000000	1.457503	60.000000
118.522000	58.726965	1.273035	0.000000	0.000000	1.273035	60.000000
118.426000	58.996651	1.003349	0.000000	0.000000	1.003349	60.000000
118.328000	59.198990	0.801010	0.000000	0.000000	0.801010	60.000000
118.231000	59.207013	0.792987	0.000000	-0.000000	0.792987	60.000000
118.134000	59.200315	0.799685	0.000000	-0.000000	0.799685	60.000000
118.036000	59.193011	0.806989	0.000000	-0.000000	0.806989	60.000000
117.938000	59.184205	0.815795	0.000000	-0.000000	0.815795	60.000000
117.842000	59.175323	0.824677	0.000000	-0.000000	0.824677	60.000000
117.749000	59.173754	0.826246	0.000000	-0.000000	0.826246	60.000000
117.652000	59.173097	0.826903	0.000000	0.000000	0.826903	60.000000
117.555000	59.174725	0.825275	0.000000	0.000000	0.825275	60.000000
117.461000	59.178827	0.821173	0.000000	0.000000	0.821173	60.000000
117.362000	59.185527	0.814473	0.000000	0.000000	0.814473	60.000000
117.268000	59.192588	0.807412	0.000000	0.000000	0.807412	60.000000
117.174000	59.205746	0.794254	0.000000	0.000000	0.794254	60.000000
117.078000	59.219631	0.780369	0.000000	0.000000	0.780369	60.000000
116.980000	59.222526	0.777474	0.000000	0.000000	0.777474	60.000000
116.882000	59.230977	0.769023	0.000000	0.000000	0.769023	60.000000
116.785000	59.241844	0.758156	0.000000	-0.000000	0.758156	60.000000
116.693000	59.239911	0.760089	0.000000	0.000000	0.760089	60.000000
116.597000	59.246971	0.753029	0.000000	0.000000	0.753029	60.000000
116.504000	59.249992	0.750008	0.000000	0.000000	0.750008	60.000000
116.414000	59.254399	0.745601	0.000000	-0.000000	0.745601	60.000000
116.318000	59.249270	0.750730	0.000000	-0.000000	0.750730	60.000000
116.220000	59.242687	0.757313	0.000000	-0.000000	0.757313	60.000000
116.118000	59.237079	0.762921	0.000000	-0.000000	0.762921	60.000000
116.020000	59.235145	0.764855	0.000000	-0.000000	0.764855	60.000000
115.926000	59.229714	0.770286	0.000000	0.000000	0.770286	60.000000
115.827000	59.233210	0.766790	0.000000	-0.000000	0.766790	60.000000
115.729000	59.219148	0.780852	0.000000	-0.000000	0.780852	60.000000
115.633000	59.207736	0.792264	0.000000	-0.000000	0.792264	60.000000
115.539000	59.197358	0.802642	0.000000	-0.000000	0.802642	60.000000
115.442000	59.196632	0.803368	0.000000	-0.000000	0.803368	60.000000
115.347000	59.188610	0.811390	0.000000	-0.000000	0.811390	60.000000
115.252000	59.182571	0.817429	0.000000	-0.000000	0.817429	60.000000
115.155000	59.177981	0.822019	0.000000	-0.000000	0.822019	60.000000
115.061000	59.171403	0.828597	0.000000	-0.000000	0.828597	60.000000
114.968000	59.168693	0.831307	0.000000	-0.000000	0.831307	60.000000
114.870000	59.164280	0.835720	0.000000	-0.000000	0.835720	60.000000
114.774000	59.153777	0.846223	0.000000	-0.000000	0.846223	60.000000
114.673000	59.137902	0.862098	0.000000	-0.000000	0.862098	60.000000
114.580000	59.125103	0.874897	0.000000	-0.000000	0.874897	60.000000
114.482000	59.107058	0.892942	0.000000	-0.000000	0.892942	60.000000
114.381000	59.092934	0.907066	0.000000	-0.000000	0.907066	60.000000
114.287000	59.083154	0.916846	0.000000	-0.000000	0.916846	60.000000
114.191000	59.068004	0.931996	0.000000	-0.000000	0.931996	60.000000
