Zeit (s)	Istwert	P	I	D	Regelausgang	Sollwert
255.486000	59.541967	2.290164	0.000000	-0.000000	2.290164	60.000000
255.387000	59.518724	2.406378	0.000000	-0.000000	2.406378	60.000000
255.282000	59.492829	2.535855	0.000000	-0.000000	2.535855	60.000000
255.184000	59.466573	2.667135	0.000000	-0.000000	2.667135	60.000000
255.079000	59.459209	2.703953	0.000000	-0.000000	2.703953	60.000000
254.977000	59.447493	2.762536	0.000000	-0.000000	2.762536	60.000000
254.885000	59.445385	2.773077	0.000000	0.000000	2.773077	60.000000
254.780000	59.454734	2.726329	0.000000	0.000000	2.726329	60.000000
254.680000	59.468924	2.655381	0.000000	0.000000	2.655381	60.000000
254.578000	59.483231	2.583844	0.000000	0.000000	2.583844	60.000000
254.472000	59.503451	2.482743	0.000000	0.000000	2.482743	60.000000
254.375000	59.527413	2.362935	0.000000	0.000000	2.362935	60.000000
254.273000	59.558617	2.206913	0.000000	0.000000	2.206913	60.000000
254.168000	59.595981	2.020093	0.000000	0.000000	2.020093	60.000000
254.069000	59.632924	1.835379	0.000000	0.000000	1.835379	60.000000
253.963000	59.677657	1.611715	0.000000	0.000000	1.611715	60.000000
253.866000	59.716406	1.417969	0.000000	0.000000	1.417969	60.000000
253.768000	59.761553	1.192233	0.000000	0.000000	1.192233	60.000000
253.665000	59.809481	0.952597	0.000000	0.000000	0.952597	60.000000
253.566000	59.865619	0.671905	0.000000	0.000000	0.671905	60.000000
253.466000	59.914449	0.427756	0.000000	0.000000	0.427756	60.000000
253.365000	59.956278	0.218609	0.000000	0.000000	0.218609	60.000000
253.262000	59.989240	0.053802	0.000000	0.000000	0.053802	60.000000
253.157000	60.023104	-0.115522	0.000000	0.000000	-0.115522	60.000000
253.068000	60.052413	-0.262065	0.000000	0.000000	-0.262065	60.000000
252.943000	60.092318	-0.461590	0.000000	0.000000	-0.461590	60.000000
252.822000	60.118902	-0.594512	0.000000	0.000000	-0.594512	60.000000
252.700000	60.152691	-0.763453	0.000000	0.000000	-0.763453	60.000000
252.593000	60.179757	-0.898783	0.000000	0.000000	-0.898783	60.000000
252.486000	60.203064	-1.015321	0.000000	0.000000	-1.015321	60.000000
252.374000	60.224265	-1.121325	0.000000	0.000000	-1.121325	60.000000
252.274000	60.234126	-1.170628	0.000000	0.000000	-1.170628	60.000000
252.151000	60.238433	-1.192165	0.000000	-0.000000	-1.192165	60.000000
252.024000	60.235398	-1.176991	0.000000	0.000000	-1.176991	60.000000
251.901000	60.247940	-1.239699	0.000000	0.000000	-1.239699	60.000000
251.780000	60.257686	-1.288430	0.000000	-0.000000	-1.288430	60.000000
251.657000	60.250116	-1.250582	0.000000	-0.000000	-1.250582	60.000000
251.551000	60.233278	-1.166390	0.000000	-0.000000	-1.166390	60.000000
251.448000	60.212757	-1.063783	0.000000	-0.000000	-1.063783	60.000000
251.333000	60.175573	-0.877865	0.000000	-0.000000	-0.877865	60.000000
251.227000	60.138159	-0.690797	0.000000	-0.000000	-0.690797	60.000000
251.112000	60.105582	-0.527910	0.000000	-0.000000	-0.527910	60.000000
251.008000	60.069549	-0.347743	0.000000	-0.000000	-0.347743	60.000000
250.884000	60.017966	-0.089828	0.000000	-0.000000	-0.089828	60.000000
250.765000	59.959721	0.201396	0.000000	-0.000000	0.201396	60.000000
250.638000	59.899964	0.500179	0.000000	-0.000000	0.500179	60.000000
250.520000	59.848298	0.758509	0.000000	-0.000000	0.758509	60.000000
250.406000	59.791496	1.042520	0.000000	-0.000000	1.042520	60.000000
250.308000	59.744412	1.277938	0.000000	-0.000000	1.277938	60.000000
250.191000	59.688401	1.557993	0.000000	-0.000000	1.557993	60.000000
250.074000	59.640771	1.796147	0.000000	-0.000000	1.796147	60.000000
249.956000	59.596046	2.019771	0.000000	-0.000000	2.019771	60.000000
249.831000	59.552461	2.237696	0.000000	-0.000000	2.237696	60.000000
249.726000	59.523307	2.383466	0.000000	-0.000000	2.383466	60.000000
249.622000	59.502066	2.489670	0.000000	-0.000000	2.489670	60.000000
249.501000	59.489392	2.553040	0.000000	-0.000000	2.553040	60.000000
249.377000	59.484615	2.576924	0.000000	0.000000	2.576924	60.000000
249.277000	59.491979	2.540106	0.000000	0.000000	2.540106	60.000000
249.152000	59.494216	2.528922	0.000000	0.000000	2.528922	60.000000
249.031000	59.510635	2.446824	0.000000	0.000000	2.446824	60.000000
248.918000	59.536288	2.318560	0.000000	0.000000	2.318560	60.000000
248.823000	59.556504	2.217480	0.000000	0.000000	2.217480	60.000000
248.717000	59.581441	2.092797	0.000000	0.000000	2.092797	60.000000
248.595000	59.615481	1.922593	0.000000	0.000000	1.922593	60.000000
248.469000	59.662261	1.688697	0.000000	0.000000	1.688697	60.000000
248.346000	59.707413	1.462934	0.000000	0.000000	1.462934	60.000000
248.235000	59.754670	1.226650	0.000000	0.000000	1.226650	60.000000
248.096000	59.811836	0.940822	0.000000	0.000000	0.940822	60.000000
247.974000	59.862535	0.687327	0.000000	0.000000	0.687327	60.000000
247.858000	59.910521	0.447396	0.000000	0.000000	0.447396	60.000000
247.717000	59.965094	0.174529	0.000000	0.000000	0.174529	60.000000
247.599000	60.015054	-0.075272	0.000000	0.000000	-0.075272	60.000000
247.500000	60.042855	-0.214275	0.000000	0.000000	-0.214275	60.000000
247.388000	60.080092	-0.400462	0.000000	0.000000	-0.400462	60.000000
247.285000	60.120475	-0.602375	0.000000	0.000000	-0.602375	60.000000
247.177000	60.165341	-0.826706	0.000000	0.000000	-0.826706	60.000000
247.063000	60.196529	-0.982645	0.000000	0.000000	-0.982645	60.000000
246.955000	60.230863	-1.154317	0.000000	0.000000	-1.154317	60.000000
246.834000	60.253446	-1.267229	0.000000	0.000000	-1.267229	60.000000
246.720000	60.270280	-1.351400	0.000000	0.000000	-1.351400	60.000000
246.606000	60.280443	-1.402216	0.000000	0.000000	-1.402216	60.000000
246.511000	60.288260	-1.441302	0.000000	-0.000000	-1.441302	60.000000
246.321000	60.284082	-1.420411	0.000000	-0.000000	-1.420411	60.000000
246.220000	60.280519	-1.402593	0.000000	-0.000000	-1.402593	60.000000
246.123000	60.268219	-1.341096	0.000000	-0.000000	-1.341096	60.000000
246.026000	60.261621	-1.308104	0.000000	-0.000000	-1.308104	60.000000
245.923000	60.247508	-1.237540	0.000000	-0.000000	-1.237540	60.000000
245.824000	60.231708	-1.158541	0.000000	-0.000000	-1.158541	60.000000
245.716000	60.206945	-1.034726	0.000000	-0.000000	-1.034726	60.000000
245.618000	60.181510	-0.907548	0.000000	-0.000000	-0.907548	60.000000
245.517000	60.150688	-0.753438	0.000000	-0.000000	-0.753438	60.000000
245.413000	60.116294	-0.581470	0.000000	-0.000000	-0.581470	60.000000
245.316000	60.080087	-0.400435	0.000000	-0.000000	-0.400435	60.000000
245.209000	60.030923	-0.154614	0.000000	-0.000000	-0.154614	60.000000
245.110000	59.987070	0.064651	0.000000	-0.000000	0.064651	60.000000
245.015000	59.935941	0.320293	0.000000	-0.000000	0.320293	60.000000
244.916000	59.888492	0.557542	0.000000	-0.000000	0.557542	60.000000
244.813000	59.833450	0.832748	0.000000	-0.000000	0.832748	60.000000
