Zeit (s)	Istwert	P	I	D	Regelausgang	Sollwert
115.886000	59.873046	0.634772	0.000000	0.000000	0.634772	60.000000
115.787000	59.910529	0.447355	0.000000	0.000000	0.447355	60.000000
115.692000	59.951333	0.243337	0.000000	0.000000	0.243337	60.000000
115.591000	59.975714	0.121431	0.000000	0.000000	0.121431	60.000000
115.494000	60.012819	-0.064094	0.000000	0.000000	-0.064094	60.000000
115.399000	60.024143	-0.120714	0.000000	0.000000	-0.120714	60.000000
115.298000	60.051452	-0.257262	0.000000	0.000000	-0.257262	60.000000
115.199000	60.089418	-0.447088	0.000000	0.000000	-0.447088	60.000000
115.106000	60.113695	-0.568475	0.000000	0.000000	-0.568475	60.000000
115.007000	60.138032	-0.690158	0.000000	0.000000	-0.690158	60.000000
114.912000	60.161350	-0.806749	0.000000	0.000000	-0.806749	60.000000
114.816000	60.189679	-0.948395	0.000000	0.000000	-0.948395	60.000000
114.717000	60.211421	-1.057104	0.000000	0.000000	-1.057104	60.000000
114.622000	60.225838	-1.129188	0.000000	0.000000	-1.129188	60.000000
114.526000	60.229226	-1.146131	0.000000	0.000000	-1.146131	60.000000
114.432000	60.230557	-1.152783	0.000000	0.000000	-1.152783	60.000000
114.331000	60.233826	-1.169128	0.000000	-0.000000	-1.169128	60.000000
114.232000	60.231348	-1.156738	0.000000	-0.000000	-1.156738	60.000000
114.136000	60.229345	-1.146723	0.000000	-0.000000	-1.146723	60.000000
114.043000	60.218326	-1.091629	0.000000	-0.000000	-1.091629	60.000000
113.944000	60.204582	-1.022908	0.000000	-0.000000	-1.022908	60.000000
113.844000	60.194408	-0.972038	0.000000	-0.000000	-0.972038	60.000000
113.746000	60.173215	-0.866074	0.000000	-0.000000	-0.866074	60.000000
113.652000	60.159044	-0.795221	0.000000	-0.000000	-0.795221	60.000000
113.552000	60.130165	-0.650823	0.000000	-0.000000	-0.650823	60.000000
113.451000	60.093718	-0.468592	0.000000	-0.000000	-0.468592	60.000000
113.356000	60.062711	-0.313553	0.000000	-0.000000	-0.313553	60.000000
113.258000	60.017843	-0.089216	0.000000	-0.000000	-0.089216	60.000000
113.157000	59.980727	0.096367	0.000000	-0.000000	0.096367	60.000000
113.061000	59.928522	0.357392	0.000000	-0.000000	0.357392	60.000000
112.967000	59.882639	0.586803	0.000000	-0.000000	0.586803	60.000000
112.872000	59.833143	0.834284	0.000000	-0.000000	0.834284	60.000000
112.774000	59.779125	1.104375	0.000000	-0.000000	1.104375	60.000000
112.677000	59.734937	1.325317	0.000000	-0.000000	1.325317	60.000000
112.577000	59.698357	1.508214	0.000000	-0.000000	1.508214	60.000000
112.482000	59.662806	1.685968	0.000000	-0.000000	1.685968	60.000000
112.383000	59.629671	1.851646	0.000000	-0.000000	1.851646	60.000000
112.282000	59.601536	1.992320	0.000000	-0.000000	1.992320	60.000000
112.186000	59.582951	2.085247	0.000000	-0.000000	2.085247	60.000000
112.093000	59.560971	2.195145	0.000000	-0.000000	2.195145	60.000000
111.996000	59.538702	2.306491	0.000000	-0.000000	2.306491	60.000000
111.898000	59.518724	2.406378	0.000000	-0.000000	2.406378	60.000000
111.802000	59.502187	2.489066	0.000000	0.000000	2.489066	60.000000
111.704000	59.504298	2.478512	0.000000	0.000000	2.478512	60.000000
111.610000	59.512691	2.436545	0.000000	0.000000	2.436545	60.000000
111.513000	59.523374	2.383131	0.000000	0.000000	2.383131	60.000000
111.414000	59.533633	2.331837	0.000000	0.000000	2.331837	60.000000
111.318000	59.549024	2.254881	0.000000	0.000000	2.254881	60.000000
111.221000	59.567431	2.162846	0.000000	0.000000	2.162846	60.000000
111.120000	59.591572	2.042140	0.000000	0.000000	2.042140	60.000000
111.024000	59.619466	1.902672	0.000000	0.000000	1.902672	60.000000
110.929000	59.651759	1.741205	0.000000	0.000000	1.741205	60.000000
