Zeit (s)	Istwert	P	I	D	Regelausgang	Sollwert
711.821000	54.861306	0.000000	-0.361296	0.000000	-0.361296	60.000000
711.703000	54.932351	0.000000	-0.367359	0.000000	-0.367359	60.000000
711.565000	55.013054	0.000000	-0.374353	0.000000	-0.374353	60.000000
711.423000	55.130820	0.000000	-0.381434	0.000000	-0.381434	60.000000
711.302000	55.209406	0.000000	-0.387326	0.000000	-0.387326	60.000000
711.186000	55.294158	0.000000	-0.392883	0.000000	-0.392883	60.000000
711.064000	55.386263	0.000000	-0.398624	0.000000	-0.398624	60.000000
710.944000	55.459064	0.000000	-0.404161	0.000000	-0.404161	60.000000
710.815000	55.529205	0.000000	-0.410018	0.000000	-0.410018	60.000000
710.698000	55.600312	0.000000	-0.415249	0.000000	-0.415249	60.000000
710.578000	55.658076	0.000000	-0.420529	0.000000	-0.420529	60.000000
710.460000	55.719704	0.000000	-0.425652	0.000000	-0.425652	60.000000
710.333000	55.791169	0.000000	-0.431088	0.000000	-0.431088	60.000000
710.210000	55.863665	0.000000	-0.436265	0.000000	-0.436265	60.000000
710.075000	55.956082	0.000000	-0.441849	0.000000	-0.441849	60.000000
709.950000	56.039796	0.000000	-0.446904	0.000000	-0.446904	60.000000
709.831000	56.112717	0.000000	-0.451617	0.000000	-0.451617	60.000000
709.713000	56.189437	0.000000	-0.456204	0.000000	-0.456204	60.000000
709.598000	56.268510	0.000000	-0.460586	0.000000	-0.460586	60.000000
709.470000	56.361288	0.000000	-0.465362	0.000000	-0.465362	60.000000
709.348000	56.449416	0.000000	-0.469801	0.000000	-0.469801	60.000000
709.228000	56.542066	0.000000	-0.474062	0.000000	-0.474062	60.000000
709.108000	56.638945	0.000000	-0.478212	0.000000	-0.478212	60.000000
708.991000	56.716751	0.000000	-0.482144	0.000000	-0.482144	60.000000
708.874000	56.791964	0.000000	-0.485985	0.000000	-0.485985	60.000000
708.758000	56.870856	0.000000	-0.489707	0.000000	-0.489707	60.000000
708.640000	56.942621	0.000000	-0.493399	0.000000	-0.493399	60.000000
708.511000	57.019043	0.000000	-0.497343	0.000000	-0.497343	60.000000
708.394000	57.098480	0.000000	-0.500831	0.000000	-0.500831	60.000000
708.270000	57.179723	0.000000	-0.504429	0.000000	-0.504429	60.000000
708.152000	57.263505	0.000000	-0.507757	0.000000	-0.507757	60.000000
708.028000	57.347825	0.000000	-0.511150	0.000000	-0.511150	60.000000
707.901000	57.423044	0.000000	-0.514518	0.000000	-0.514518	60.000000
707.771000	57.519314	0.000000	-0.517868	0.000000	-0.517868	60.000000
707.655000	57.597723	0.000000	-0.520746	0.000000	-0.520746	60.000000
707.520000	57.685856	0.000000	-0.523989	0.000000	-0.523989	60.000000
707.402000	57.762871	0.000000	-0.526720	0.000000	-0.526720	60.000000
707.279000	57.847260	0.000000	-0.529471	0.000000	-0.529471	60.000000
707.160000	57.926999	0.000000	-0.532033	0.000000	-0.532033	60.000000
707.042000	58.001847	0.000000	-0.534479	0.000000	-0.534479	60.000000
706.921000	58.081333	0.000000	-0.536897	0.000000	-0.536897	60.000000
706.802000	58.153528	0.000000	-0.539180	0.000000	-0.539180	60.000000
706.685000	58.223433	0.000000	-0.541341	0.000000	-0.541341	60.000000
706.571000	58.295258	0.000000	-0.543366	0.000000	-0.543366	60.000000
706.442000	58.379102	0.000000	-0.545565	0.000000	-0.545565	60.000000
706.322000	58.456905	0.000000	-0.547510	0.000000	-0.547510	60.000000
706.203000	58.535675	0.000000	-0.549346	0.000000	-0.549346	60.000000
706.085000	58.607808	0.000000	-0.551074	0.000000	-0.551074	60.000000
705.963000	58.677644	0.000000	-0.552773	0.000000	-0.552773	60.000000
705.843000	58.753526	0.000000	-0.554359	0.000000	-0.554359	60.000000
705.720000	58.845024	0.000000	-0.555893	0.000000	-0.555893	60.000000
705.601000	58.937075	0.000000	-0.557267	0.000000	-0.557267	60.000000
705.483000	59.003054	0.000000	-0.558521	0.000000	-0.558521	60.000000
705.366000	59.066616	0.000000	-0.559688	0.000000	-0.559688	60.000000
705.248000	59.134102	0.000000	-0.560789	0.000000	-0.560789	60.000000
705.121000	59.228928	0.000000	-0.561889	0.000000	-0.561889	60.000000
705.002000	59.319828	0.000000	-0.562806	0.000000	-0.562806	60.000000
704.885000	59.414475	0.000000	-0.563602	0.000000	-0.563602	60.000000
704.761000	59.519203	0.000000	-0.564328	0.000000	-0.564328	60.000000
704.640000	59.609744	0.000000	-0.564910	0.000000	-0.564910	60.000000
704.518000	59.687373	0.000000	-0.565386	0.000000	-0.565386	60.000000
704.396000	59.774410	0.000000	-0.565768	0.000000	-0.565768	60.000000
704.280000	59.863023	0.000000	-0.566029	0.000000	-0.566029	60.000000
704.153000	59.935209	0.000000	-0.566203	0.000000	-0.566203	60.000000
704.035000	60.006762	0.000000	-0.566280	0.000000	-0.566280	60.000000
703.918000	60.108968	0.000000	-0.566272	0.000000	-0.566272	60.000000
703.801000	60.208461	0.000000	-0.566144	0.000000	-0.566144	60.000000
703.682000	60.294253	0.000000	-0.565896	0.000000	-0.565896	60.000000
703.497000	60.436006	0.000000	-0.565352	0.000000	-0.565352	60.000000
703.379000	60.529318	0.000000	-0.564837	0.000000	-0.564837	60.000000
703.259000	60.619114	0.000000	-0.564202	0.000000	-0.564202	60.000000
703.137000	60.689526	0.000000	-0.563447	0.000000	-0.563447	60.000000
703.019000	60.766907	0.000000	-0.562633	0.000000	-0.562633	60.000000
702.894000	60.867365	0.000000	-0.561675	0.000000	-0.561675	60.000000
702.772000	60.976357	0.000000	-0.560616	0.000000	-0.560616	60.000000
702.657000	61.064395	0.000000	-0.559494	0.000000	-0.559494	60.000000
702.538000	61.159883	0.000000	-0.558227	0.000000	-0.558227	60.000000
702.424000	61.237506	0.000000	-0.556905	0.000000	-0.556905	60.000000
702.303000	61.320948	0.000000	-0.555407	0.000000	-0.555407	60.000000
702.182000	61.422002	0.000000	-0.553809	0.000000	-0.553809	60.000000
702.065000	61.518161	0.000000	-0.552145	0.000000	-0.552145	60.000000
701.947000	61.616069	0.000000	-0.550354	0.000000	-0.550354	60.000000
701.817000	61.694301	0.000000	-0.548253	0.000000	-0.548253	60.000000
701.700000	61.786220	0.000000	-0.546271	0.000000	-0.546271	60.000000
701.580000	61.896052	0.000000	-0.544127	0.000000	-0.544127	60.000000
701.463000	61.994628	0.000000	-0.541909	0.000000	-0.541909	60.000000
701.340000	62.061653	0.000000	-0.539455	0.000000	-0.539455	60.000000
701.220000	62.139161	0.000000	-0.536981	0.000000	-0.536981	60.000000
701.102000	62.255960	0.000000	-0.534457	0.000000	-0.534457	60.000000
700.981000	62.350726	0.000000	-0.531727	0.000000	-0.531727	60.000000
700.863000	62.425926	0.000000	-0.528954	0.000000	-0.528954	60.000000
700.743000	62.511908	0.000000	-0.526042	0.000000	-0.526042	60.000000
700.624000	62.612185	0.000000	-0.523053	0.000000	-0.523053	60.000000
700.510000	62.706155	0.000000	-0.520075	0.000000	-0.520075	60.000000
700.395000	62.790684	0.000000	-0.516963	0.000000	-0.516963	60.000000
700.269000	62.869757	0.000000	-0.513447	0.000000	-0.513447	60.000000
700.116000	62.998009	0.000000	-0.509056	0.000000	-0.509056	60.000000
699.998000	63.108744	0.000000	-0.505519	0.000000	-0.505519	60.000000
699.876000	63.225615	0.000000	-0.501726	0.000000	-0.501726	60.000000
699.757000	63.332548	0.000000	-0.497887	0.000000	-0.497887	60.000000
699.637000	63.416597	0.000000	-0.493888	0.000000	-0.493888	60.000000
699.513000	63.498334	0.000000	-0.489652	0.000000	-0.489652	60.000000
699.396000	63.569656	0.000000	-0.485559	0.000000	-0.485559	60.000000
699.276000	63.653457	0.000000	-0.481275	0.000000	-0.481275	60.000000
699.154000	63.744718	0.000000	-0.476818	0.000000	-0.476818	60.000000
699.037000	63.847953	0.000000	-0.472437	0.000000	-0.472437	60.000000
698.914000	63.944280	0.000000	-0.467704	0.000000	-0.467704	60.000000
698.795000	64.032873	0.000000	-0.463010	0.000000	-0.463010	60.000000
698.674000	64.129563	0.000000	-0.458130	0.000000	-0.458130	60.000000
698.553000	64.223057	0.000000	-0.453133	0.000000	-0.453133	60.000000
698.429000	64.312071	0.000000	-0.447897	0.000000	-0.447897	60.000000
698.309000	64.404527	0.000000	-0.442722	0.000000	-0.442722	60.000000
698.196000	64.505642	0.000000	-0.437745	0.000000	-0.437745	60.000000
698.065000	64.623172	0.000000	-0.431843	0.000000	-0.431843	60.000000
697.927000	64.720908	0.000000	-0.425463	0.000000	-0.425463	60.000000
697.808000	64.807670	0.000000	-0.419845	0.000000	-0.419845	60.000000
697.691000	64.910059	0.000000	-0.414220	0.000000	-0.414220	60.000000
697.563000	65.010576	0.000000	-0.407935	0.000000	-0.407935	60.000000
697.443000	65.101465	0.000000	-0.401922	0.000000	-0.401922	60.000000
697.326000	65.186289	0.000000	-0.395954	0.000000	-0.395954	60.000000
697.207000	65.269791	0.000000	-0.389782	0.000000	-0.389782	60.000000
697.086000	65.368965	0.000000	-0.383406	0.000000	-0.383406	60.000000
696.962000	65.474630	0.000000	-0.376748	0.000000	-0.376748	60.000000
696.843000	65.583319	0.000000	-0.370233	0.000000	-0.370233	60.000000
696.720000	65.687158	0.000000	-0.363366	0.000000	-0.363366	60.000000
696.598000	65.786223	0.000000	-0.356427	0.000000	-0.356427	60.000000
696.480000	65.879716	0.000000	-0.349600	0.000000	-0.349600	60.000000
696.355000	65.980159	0.000000	-0.342250	0.000000	-0.342250	60.000000
696.224000	66.090492	0.000000	-0.334416	0.000000	-0.334416	60.000000
696.098000	66.191063	0.000000	-0.326742	0.000000	-0.326742	60.000000
695.971000	66.298606	0.000000	-0.318879	0.000000	-0.318879	60.000000
695.855000	66.386635	0.000000	-0.311573	0.000000	-0.311573	60.000000
695.739000	66.476009	0.000000	-0.304165	0.000000	-0.304165	60.000000
695.616000	66.572647	0.000000	-0.296199	0.000000	-0.296199	60.000000
695.493000	66.674800	0.000000	-0.288115	0.000000	-0.288115	60.000000
695.370000	66.775732	0.000000	-0.279905	0.000000	-0.279905	60.000000
695.251000	66.863048	0.000000	-0.271842	0.000000	-0.271842	60.000000
695.130000	66.947153	0.000000	-0.263537	0.000000	-0.263537	60.000000
695.016000	67.030351	0.000000	-0.255618	0.000000	-0.255618	60.000000
694.894000	67.112937	0.000000	-0.247040	0.000000	-0.247040	60.000000
694.775000	67.196258	0.000000	-0.238576	0.000000	-0.238576	60.000000
694.651000	67.290473	0.000000	-0.229653	0.000000	-0.229653	60.000000
694.535000	67.386989	0.000000	-0.221196	0.000000	-0.221196	60.000000
694.416000	67.478665	0.000000	-0.212405	0.000000	-0.212405	60.000000
694.302000	67.559316	0.000000	-0.203880	0.000000	-0.203880	60.000000
694.177000	67.646022	0.000000	-0.194430	0.000000	-0.194430	60.000000
694.054000	67.730493	0.000000	-0.185026	0.000000	-0.185026	60.000000
693.938000	67.825735	0.000000	-0.176058	0.000000	-0.176058	60.000000
693.811000	67.941749	0.000000	-0.166120	0.000000	-0.166120	60.000000
693.689000	68.046741	0.000000	-0.156431	0.000000	-0.156431	60.000000
