Zeit (s)	Istwert	P	I	D	Regelausgang	Sollwert
460.685000	63.926915	0.000000	0.000000	0.000000	0.000000	60.000000
460.566000	63.997141	0.000000	0.000000	0.000000	0.000000	60.000000
460.448000	64.070415	0.000000	0.000000	0.000000	0.000000	60.000000
460.323000	64.147065	0.000000	0.000000	0.000000	0.000000	60.000000
460.204000	64.219542	0.000000	0.000000	0.000000	0.000000	60.000000
460.086000	64.302805	0.000000	0.000000	0.000000	0.000000	60.000000
459.970000	64.380364	0.000000	0.000000	0.000000	0.000000	60.000000
459.846000	64.448425	0.000000	0.000000	0.000000	0.000000	60.000000
459.725000	64.517092	0.000000	0.000000	0.000000	0.000000	60.000000
459.609000	64.578242	0.000000	0.000000	0.000000	0.000000	60.000000
459.485000	64.646793	0.000000	0.000000	0.000000	0.000000	60.000000
459.365000	64.718237	0.000000	0.000000	0.000000	0.000000	60.000000
459.245000	64.795138	0.000000	0.000000	0.000000	0.000000	60.000000
459.129000	64.858766	0.000000	0.000000	0.000000	0.000000	60.000000
459.007000	64.921688	0.000000	0.000000	0.000000	0.000000	60.000000
458.890000	64.979812	0.000000	0.000000	0.000000	0.000000	60.000000
458.774000	65.036914	0.000000	0.000000	0.000000	0.000000	60.000000
458.652000	65.106426	0.000000	0.000000	0.000000	0.000000	60.000000
458.467000	65.213052	0.000000	0.000000	0.000000	0.000000	60.000000
458.344000	65.298852	0.000000	0.000000	0.000000	0.000000	60.000000
458.225000	65.383562	0.000000	0.000000	0.000000	0.000000	60.000000
458.105000	65.457256	0.000000	0.000000	0.000000	0.000000	60.000000
457.986000	65.518345	0.000000	0.000000	0.000000	0.000000	60.000000
457.868000	65.578600	0.000000	0.179085	0.000000	0.179085	60.000000
457.741000	65.644416	0.000000	0.186170	0.000000	0.186170	60.000000
457.623000	65.706174	0.000000	0.192830	0.000000	0.192830	60.000000
457.505000	65.778955	0.000000	0.199563	0.000000	0.199563	60.000000
457.385000	65.855797	0.000000	0.206498	0.000000	0.206498	60.000000
457.266000	65.916105	0.000000	0.213467	0.000000	0.213467	60.000000
457.147000	65.969265	0.000000	0.220507	0.000000	0.220507	60.000000
457.027000	66.020128	0.000000	0.227670	0.000000	0.227670	60.000000
456.905000	66.061972	0.000000	0.235014	0.000000	0.235014	60.000000
456.786000	66.111128	0.000000	0.242228	0.000000	0.242228	60.000000
456.668000	66.169629	0.000000	0.249439	0.000000	0.249439	60.000000
456.550000	66.219763	0.000000	0.256719	0.000000	0.256719	60.000000
456.430000	66.277647	0.000000	0.264183	0.000000	0.264183	60.000000
456.317000	66.336565	0.000000	0.271277	0.000000	0.271277	60.000000
456.203000	66.386818	0.000000	0.278501	0.000000	0.278501	60.000000
456.088000	66.455238	0.000000	0.285845	0.000000	0.285845	60.000000
455.971000	66.521486	0.000000	0.293398	0.000000	0.293398	60.000000
455.851000	66.564294	0.000000	0.301224	0.000000	0.301224	60.000000
455.737000	66.616610	0.000000	0.308707	0.000000	0.308707	60.000000
455.613000	66.677822	0.000000	0.316912	0.000000	0.316912	60.000000
455.495000	66.742856	0.000000	0.324792	0.000000	0.324792	60.000000
455.374000	66.811881	0.000000	0.332950	0.000000	0.332950	60.000000
455.254000	66.867287	0.000000	0.341125	0.000000	0.341125	60.000000
455.134000	66.922694	0.000000	0.349365	0.000000	0.349365	60.000000
455.017000	66.993289	0.000000	0.357465	0.000000	0.357465	60.000000
454.896000	67.059355	0.000000	0.365927	0.000000	0.365927	60.000000
454.776000	67.115120	0.000000	0.374398	0.000000	0.374398	60.000000
454.656000	67.162837	0.000000	0.382936	0.000000	0.382936	60.000000
454.535000	67.201218	0.000000	0.391603	0.000000	0.391603	60.000000
454.419000	67.241607	0.000000	0.399957	0.000000	0.399957	60.000000
454.295000	67.291020	0.000000	0.408936	0.000000	0.408936	60.000000
454.175000	67.358538	0.000000	0.417686	0.000000	0.417686	60.000000
454.054000	67.408000	0.000000	0.426589	0.000000	0.426589	60.000000
453.934000	67.446088	0.000000	0.435479	0.000000	0.435479	60.000000
453.818000	67.466732	0.000000	0.444116	0.000000	0.444116	60.000000
453.698000	67.501427	0.000000	0.453076	0.000000	0.453076	60.000000
453.582000	67.531101	0.000000	0.461778	0.000000	0.461778	60.000000
453.461000	67.579357	0.000000	0.470891	0.000000	0.470891	60.000000
453.349000	67.617870	0.000000	0.479380	0.000000	0.479380	60.000000
453.235000	67.657467	0.000000	0.488064	0.000000	0.488064	60.000000
453.122000	67.687319	0.000000	0.496717	0.000000	0.496717	60.000000
453.000000	67.705968	0.000000	0.506096	0.000000	0.506096	60.000000
452.888000	67.727462	0.000000	0.514726	0.000000	0.514726	60.000000
452.765000	67.762524	0.000000	0.524231	0.000000	0.524231	60.000000
452.642000	67.804244	0.000000	0.533779	0.000000	0.533779	60.000000
452.523000	67.833423	0.000000	0.543066	0.000000	0.543066	60.000000
452.403000	67.868970	0.000000	0.552466	0.000000	0.552466	60.000000
452.286000	67.903787	0.000000	0.561673	0.000000	0.561673	60.000000
452.166000	67.940668	0.000000	0.571157	0.000000	0.571157	60.000000
452.046000	67.977539	0.000000	0.580686	0.000000	0.580686	60.000000
451.923000	68.001154	0.000000	0.590498	0.000000	0.590498	60.000000
