Zeit (s)	Istwert	P	I	D	Regelausgang	Sollwert
292.606521	44.164776	0.000000	0.000000	0.000000	0.000000	60.000000
292.506521	44.203307	0.000000	0.000000	0.000000	0.000000	60.000000
292.407521	44.237250	0.000000	0.000000	0.000000	0.000000	60.000000
292.307521	44.279442	0.000000	0.000000	0.000000	0.000000	60.000000
292.207521	44.322600	0.000000	0.000000	0.000000	0.000000	60.000000
292.109521	44.354803	0.000000	0.000000	0.000000	0.000000	60.000000
292.007521	44.384294	0.000000	0.000000	0.000000	0.000000	60.000000
291.906521	44.416010	0.000000	0.000000	0.000000	0.000000	60.000000
291.807521	44.455738	0.000000	0.000000	0.000000	0.000000	60.000000
291.705521	44.505873	0.000000	0.000000	0.000000	0.000000	60.000000
291.605521	44.544276	0.000000	0.000000	0.000000	0.000000	60.000000
291.508521	44.584361	0.000000	0.000000	0.000000	0.000000	60.000000
291.410522	44.617226	0.000000	0.000000	0.000000	0.000000	60.000000
291.307521	44.654836	0.000000	0.000000	0.000000	0.000000	60.000000
291.203521	44.691683	0.000000	0.000000	0.000000	0.000000	60.000000
291.105521	44.725746	0.000000	0.000000	0.000000	0.000000	60.000000
291.006521	44.759030	0.000000	0.000000	0.000000	0.000000	60.000000
290.906521	44.794056	0.000000	0.000000	0.000000	0.000000	60.000000
290.809521	44.830535	0.000000	0.000000	0.000000	0.000000	60.000000
290.704521	44.871828	0.000000	0.000000	0.000000	0.000000	60.000000
290.607522	44.910047	0.000000	0.000000	0.000000	0.000000	60.000000
290.504521	44.948444	0.000000	0.000000	0.000000	0.000000	60.000000
290.408521	44.990276	0.000000	0.000000	0.000000	0.000000	60.000000
290.305521	45.032229	0.000000	0.000000	0.000000	0.000000	60.000000
290.208521	45.071353	0.000000	0.000000	0.000000	0.000000	60.000000
290.104521	45.107948	0.000000	0.000000	0.000000	0.000000	60.000000
290.007521	45.149836	0.000000	0.000000	0.000000	0.000000	60.000000
289.908521	45.186378	0.000000	0.000000	0.000000	0.000000	60.000000
289.803521	45.225317	0.000000	0.000000	0.000000	0.000000	60.000000
289.706522	45.259858	0.000000	0.000000	0.000000	0.000000	60.000000
289.610521	45.293565	0.000000	0.000000	0.000000	0.000000	60.000000
289.510521	45.327455	0.000000	0.000000	0.000000	0.000000	60.000000
289.408521	45.363271	0.000000	0.000000	0.000000	0.000000	60.000000
289.303521	45.399144	0.000000	0.000000	0.000000	0.000000	60.000000
289.206522	45.434648	0.000000	0.000000	0.000000	0.000000	60.000000
289.104521	45.472329	0.000000	0.000000	0.000000	0.000000	60.000000
289.007521	45.506639	0.000000	0.000000	0.000000	0.000000	60.000000
288.905521	45.543533	0.000000	0.000000	0.000000	0.000000	60.000000
288.803521	45.582415	0.000000	0.000000	0.000000	0.000000	60.000000
288.705521	45.627132	0.000000	0.000000	0.000000	0.000000	60.000000
288.607522	45.668004	0.000000	0.000000	0.000000	0.000000	60.000000
