Zeit (s)	Istwert	P	I	D	Regelausgang	Sollwert
70.895000	60.361472	-0.542208	1.365699	-0.000000	0.823491	60.000000
70.796000	60.357650	-0.536475	1.366057	-0.000000	0.829581	60.000000
70.698000	60.356920	-0.535380	1.366407	0.000000	0.831028	60.000000
70.593000	60.358620	-0.537930	1.366782	0.000000	0.828852	60.000000
70.496000	60.363041	-0.544561	1.367130	0.000000	0.822569	60.000000
70.398000	60.367404	-0.551107	1.367486	0.000000	0.816379	60.000000
70.304000	60.371216	-0.556823	1.367831	-0.000000	0.811008	60.000000
70.208000	60.370977	-0.556466	1.368187	-0.000000	0.811721	60.000000
70.096000	60.366000	-0.549000	1.368603	-0.000000	0.819603	60.000000
69.998000	60.356383	-0.534574	1.368961	-0.000000	0.834387	60.000000
69.896000	60.350935	-0.526402	1.369325	-0.000000	0.842923	60.000000
69.798000	60.346217	-0.519326	1.369669	-0.000000	0.850343	60.000000
69.699000	60.343419	-0.515128	1.370012	0.000000	0.854883	60.000000
69.597000	60.344936	-0.517405	1.370362	-0.000000	0.852957	60.000000
69.496000	60.340516	-0.510774	1.370710	-0.000000	0.859936	60.000000
69.397000	60.336765	-0.505148	1.371047	-0.000000	0.865899	60.000000
69.296000	60.335727	-0.503590	1.371388	-0.000000	0.867797	60.000000
69.197000	60.330463	-0.495695	1.371720	-0.000000	0.876025	60.000000
69.101000	60.326528	-0.489792	1.372037	-0.000000	0.882245	60.000000
68.998000	60.323386	-0.485079	1.372373	-0.000000	0.887295	60.000000
68.896000	60.316785	-0.475177	1.372703	0.000000	0.897526	60.000000
68.796000	60.317687	-0.476531	1.373020	0.000000	0.896489	60.000000
68.697000	60.318412	-0.477619	1.373335	0.000000	0.895716	60.000000
68.597000	60.318961	-0.478442	1.373653	0.000000	0.895211	60.000000
68.498000	60.320846	-0.481269	1.373969	0.000000	0.892700	60.000000
68.397000	60.326406	-0.489609	1.374293	0.000000	0.884684	60.000000
68.296000	60.328827	-0.493241	1.374623	0.000000	0.881382	60.000000
68.198000	60.332582	-0.498873	1.374945	0.000000	0.876072	60.000000
68.096000	60.340937	-0.511406	1.375284	0.000000	0.863878	60.000000
67.999000	60.346635	-0.519953	1.375615	-0.000000	0.855662	60.000000
67.896000	60.344511	-0.516767	1.375972	-0.000000	0.859205	60.000000
67.795000	60.338339	-0.507509	1.376320	-0.000000	0.868811	60.000000
67.697000	60.331493	-0.497240	1.376651	-0.000000	0.879411	60.000000
67.601000	60.326707	-0.490061	1.376970	0.000000	0.886909	60.000000
67.499000	60.329251	-0.493876	1.377303	0.000000	0.883426	60.000000
67.396000	60.332887	-0.499331	1.377642	-0.000000	0.878311	60.000000
67.295000	60.331251	-0.496877	1.377978	-0.000000	0.881101	60.000000
67.197000	60.329010	-0.493515	1.378303	-0.000000	0.884787	60.000000
67.097000	60.324228	-0.486342	1.378632	0.000000	0.892290	60.000000
66.998000	60.324357	-0.486536	1.378953	0.000000	0.892417	60.000000
