Zeit (s)	Istwert	P	I	D	Regelausgang	Sollwert
58.095000	60.259505	-0.259505	1.124250	0.000000	0.864745	60.000000
57.998000	60.266096	-0.266096	1.124753	0.000000	0.858657	60.000000
57.898000	60.272032	-0.272032	1.125285	0.000000	0.853254	60.000000
57.792000	60.284870	-0.284870	1.125862	0.000000	0.840992	60.000000
57.694000	60.289953	-0.289953	1.126420	-0.000000	0.836468	60.000000
57.597000	60.289232	-0.289232	1.126983	0.000000	0.837751	60.000000
57.495000	60.294435	-0.294435	1.127573	-0.000000	0.833138	60.000000
57.397000	60.293045	-0.293045	1.128150	-0.000000	0.835105	60.000000
57.296000	60.285477	-0.285477	1.128742	0.000000	0.843265	60.000000
57.195000	60.286447	-0.286447	1.129319	-0.000000	0.842872	60.000000
57.096000	60.283116	-0.283116	1.129886	-0.000000	0.846770	60.000000
56.996000	60.282149	-0.282149	1.130452	-0.000000	0.848303	60.000000
56.897000	60.281115	-0.281115	1.131011	-0.000000	0.849896	60.000000
56.794000	60.277965	-0.277965	1.131590	-0.000000	0.853624	60.000000
56.697000	60.266521	-0.266521	1.132129	-0.000000	0.865608	60.000000
56.597000	60.260951	-0.260951	1.132662	-0.000000	0.871711	60.000000
56.494000	60.257200	-0.257200	1.133200	-0.000000	0.875999	60.000000
56.397000	60.251441	-0.251441	1.133699	0.000000	0.882257	60.000000
56.296000	60.253933	-0.253933	1.134207	0.000000	0.880274	60.000000
56.197000	60.267794	-0.267794	1.134709	0.000000	0.866915	60.000000
56.098000	60.268644	-0.268644	1.135240	0.000000	0.866595	60.000000
55.997000	60.279722	-0.279722	1.135782	0.000000	0.856060	60.000000
55.895000	60.285957	-0.285957	1.136353	-0.000000	0.850395	60.000000
55.798000	60.285235	-0.285235	1.136908	0.000000	0.851673	60.000000
55.697000	60.287538	-0.287538	1.137484	0.000000	0.849946	60.000000
55.595000	60.288138	-0.288138	1.138070	-0.000000	0.849932	60.000000
55.496000	60.285664	-0.285664	1.138641	0.000000	0.852977	60.000000
55.401000	60.290691	-0.290691	1.139184	-0.000000	0.848492	60.000000
55.303000	60.281780	-0.281780	1.139753	-0.000000	0.857973	60.000000
55.213000	60.276815	-0.276815	1.140261	-0.000000	0.863445	60.000000
55.099000	60.270339	-0.270339	1.140892	-0.000000	0.870553	60.000000
54.997000	60.259136	-0.259136	1.141443	-0.000000	0.882307	60.000000
54.896000	60.246486	-0.246486	1.141967	-0.000000	0.895481	60.000000
54.798000	60.242060	-0.242060	1.142450	0.000000	0.900390	60.000000
54.695000	60.244550	-0.244550	1.142948	-0.000000	0.898399	60.000000
54.595000	60.239274	-0.239274	1.143438	0.000000	0.904164	60.000000
54.499000	60.247819	-0.247819	1.143897	0.000000	0.896078	60.000000
54.396000	60.249204	-0.249204	1.144407	-0.000000	0.895203	60.000000
54.297000	60.245084	-0.245084	1.144901	-0.000000	0.899817	60.000000
54.195000	60.242188	-0.242188	1.145401	0.000000	0.903213	60.000000
54.097000	60.247875	-0.247875	1.145876	0.000000	0.898000	60.000000
53.997000	60.249512	-0.249512	1.146371	0.000000	0.896859	60.000000
