Zeit (s)	Istwert	P	I	D	Regelausgang	Sollwert
36.713000	60.232498	-1.162489	0.013327	-0.000000	-1.149162	60.000000
36.614000	60.231644	-1.158218	0.013442	0.000000	-1.144776	60.000000
36.516000	60.235104	-1.175518	0.013556	0.000000	-1.161962	60.000000
36.413000	60.237580	-1.187901	0.013677	-0.000000	-1.174224	60.000000
36.315000	60.233402	-1.167009	0.013793	-0.000000	-1.153216	60.000000
36.213000	60.231835	-1.159173	0.013912	-0.000000	-1.145261	60.000000
36.117000	60.226926	-1.134629	0.014024	-0.000000	-1.120606	60.000000
36.015000	60.219175	-1.095873	0.014139	-0.000000	-1.081734	60.000000
35.917000	60.197975	-0.989876	0.014247	-0.000000	-0.975629	60.000000
35.819000	60.169032	-0.845162	0.014344	-0.000000	-0.830819	60.000000
35.717000	60.140274	-0.701370	0.014430	-0.000000	-0.686941	60.000000
35.616000	60.097954	-0.489772	0.014501	-0.000000	-0.475271	60.000000
35.512000	60.054177	-0.270883	0.014552	-0.000000	-0.256331	60.000000
35.416000	60.018025	-0.090124	0.014578	-0.000000	-0.075546	60.000000
35.318000	59.976445	0.117776	0.014587	-0.000000	0.132363	60.000000
35.222000	59.927732	0.361342	0.014575	-0.000000	0.375917	60.000000
35.116000	59.868994	0.655028	0.014537	-0.000000	0.669565	60.000000
35.013000	59.816720	0.916402	0.014469	-0.000000	0.930872	60.000000
34.915000	59.785276	1.073618	0.014380	-0.000000	1.087998	60.000000
34.815000	59.754734	1.226329	0.014272	-0.000000	1.240601	60.000000
34.716000	59.738556	1.307220	0.014151	-0.000000	1.321371	60.000000
34.616000	59.703066	1.484672	0.014020	-0.000000	1.498692	60.000000
34.515000	59.672219	1.638904	0.013870	-0.000000	1.652774	60.000000
34.416000	59.638052	1.809739	0.013708	-0.000000	1.823447	60.000000
34.315000	59.605460	1.972701	0.013525	-0.000000	1.986226	60.000000
34.216000	59.574918	2.125411	0.013330	-0.000000	2.138741	60.000000
34.115000	59.549210	2.253949	0.013115	-0.000000	2.267065	60.000000
34.017000	59.540391	2.298043	0.012894	-0.000000	2.310937	60.000000
33.913000	59.529103	2.354487	0.012655	0.000000	2.367142	60.000000
33.816000	59.529166	2.354172	0.012427	0.000000	2.366598	60.000000
33.716000	59.547334	2.263330	0.012192	0.000000	2.275521	60.000000
33.616000	59.563510	2.182452	0.011965	0.000000	2.194417	60.000000
33.515000	59.573473	2.132633	0.011745	0.000000	2.144377	60.000000
33.417000	59.583671	2.081647	0.011536	0.000000	2.093182	60.000000
33.318000	59.603108	1.984462	0.011330	0.000000	1.995792	60.000000
33.216000	59.620914	1.895431	0.011127	0.000000	1.906558	60.000000
33.115000	59.655797	1.721016	0.010936	0.000000	1.731952	60.000000
33.015000	59.710130	1.449349	0.010764	0.000000	1.460113	60.000000
32.916000	59.750991	1.245043	0.010620	0.000000	1.255663	60.000000
32.816000	59.787321	1.063393	0.010496	0.000000	1.073889	60.000000
32.721000	59.826505	0.867475	0.010395	0.000000	0.877869	60.000000
32.624000	59.870621	0.646895	0.010311	0.000000	0.657205	60.000000
32.514000	59.920966	0.395169	0.010239	0.000000	0.405409	60.000000
32.415000	59.961712	0.191439	0.010200	0.000000	0.201640	60.000000
32.315000	60.001554	-0.007769	0.010181	0.000000	0.002412	60.000000
32.219000	60.038133	-0.190667	0.010182	0.000000	-0.180485	60.000000
32.115000	60.067680	-0.338400	0.010202	0.000000	-0.328198	60.000000
32.016000	60.097523	-0.487613	0.010235	0.000000	-0.477378	60.000000
31.915000	60.131924	-0.659621	0.010284	0.000000	-0.649337	60.000000
31.818000	60.164202	-0.821009	0.010348	0.000000	-0.810660	60.000000
31.712000	60.182723	-0.913615	0.010435	0.000000	-0.903179	60.000000
31.613000	60.202644	-1.013222	0.010526	0.000000	-1.002696	60.000000
31.517000	60.227650	-1.138248	0.010623	0.000000	-1.127625	60.000000
31.415000	60.251693	-1.258465	0.010739	0.000000	-1.247726	60.000000
31.316000	60.274816	-1.374081	0.010864	0.000000	-1.363217	60.000000
31.216000	60.294374	-1.471872	0.011001	0.000000	-1.460871	60.000000
31.118000	60.299465	-1.497324	0.011146	0.000000	-1.486179	60.000000
31.022000	60.302796	-1.513978	0.011289	-0.000000	-1.502689	60.000000
30.933000	60.301765	-1.508826	0.011424	-0.000000	-1.497402	60.000000
30.849000	60.291535	-1.457674	0.011551	0.000000	-1.446123	60.000000
30.766000	60.292801	-1.464003	0.011672	-0.000000	-1.452331	60.000000
30.682000	60.290382	-1.451909	0.011795	-0.000000	-1.440114	60.000000
30.518000	60.262530	-1.312651	0.012033	-0.000000	-1.300618	60.000000
30.417000	60.239457	-1.197284	0.012165	-0.000000	-1.185118	60.000000
30.312000	60.214271	-1.071356	0.012291	-0.000000	-1.059065	60.000000
30.215000	60.178487	-0.892434	0.012395	-0.000000	-0.880039	60.000000
30.127000	60.139854	-0.699272	0.012474	-0.000000	-0.686798	60.000000
30.015000	60.090147	-0.450734	0.012552	-0.000000	-0.438182	60.000000
29.918000	60.034676	-0.173380	0.012596	-0.000000	-0.160785	60.000000
29.813000	59.978550	0.107249	0.012614	-0.000000	0.119863	60.000000
29.714000	59.915599	0.422003	0.012603	-0.000000	0.434606	60.000000
29.615000	59.861632	0.691839	0.012561	-0.000000	0.704401	60.000000
29.514000	59.821254	0.893732	0.012492	-0.000000	0.906224	60.000000
29.416000	59.778460	1.107701	0.012404	-0.000000	1.120105	60.000000
29.316000	59.744048	1.279762	0.012293	-0.000000	1.292055	60.000000
29.216000	59.711883	1.440586	0.012165	-0.000000	1.452751	60.000000
29.117000	59.663104	1.684479	0.012023	-0.000000	1.696502	60.000000
29.015000	59.622850	1.885748	0.011851	-0.000000	1.897599	60.000000
28.916000	59.592542	2.037292	0.011664	-0.000000	2.048956	60.000000
28.812000	59.570693	2.146533	0.011452	-0.000000	2.157985	60.000000
28.718000	59.553067	2.234665	0.011250	-0.000000	2.245916	60.000000
28.616000	59.536531	2.317347	0.011023	-0.000000	2.328369	60.000000
28.514000	59.519206	2.403971	0.010786	0.000000	2.414757	60.000000
28.417000	59.523127	2.384365	0.010553	0.000000	2.394918	60.000000
28.315000	59.540697	2.296514	0.010310	0.000000	2.306824	60.000000
28.215000	59.543287	2.283566	0.010080	0.000000	2.293646	60.000000
28.125000	59.547031	2.264845	0.009875	0.000000	2.274720	60.000000
28.020000	59.553369	2.233157	0.009637	0.000000	2.242793	60.000000
27.917000	59.566350	2.168251	0.009407	0.000000	2.177657	60.000000
27.813000	59.597793	2.011034	0.009181	0.000000	2.020216	60.000000
27.715000	59.620192	1.899038	0.008984	0.000000	1.908022	60.000000
27.616000	59.646025	1.769876	0.008796	0.000000	1.778673	60.000000
27.515000	59.674212	1.628940	0.008617	0.000000	1.637558	60.000000
27.419000	59.702101	1.489493	0.008461	0.000000	1.497954	60.000000
27.317000	59.741938	1.290309	0.008309	0.000000	1.298618	60.000000
27.215000	59.786667	1.066665	0.008177	0.000000	1.074843	60.000000
27.116000	59.826567	0.867166	0.008072	0.000000	0.875238	60.000000
27.017000	59.862481	0.687595	0.007986	0.000000	0.695581	60.000000
26.916000	59.894290	0.528548	0.007917	0.000000	0.536465	60.000000
26.814000	59.930572	0.347140	0.007863	0.000000	0.355003	60.000000
26.719000	59.964122	0.179390	0.007830	0.000000	0.187220	60.000000
26.615000	59.992803	0.035987	0.007811	0.000000	0.043798	60.000000
26.517000	60.019720	-0.098599	0.007808	0.000000	-0.090791	60.000000
26.417000	60.051023	-0.255117	0.007817	0.000000	-0.247299	60.000000
26.315000	60.084752	-0.423762	0.007843	0.000000	-0.415918	60.000000
26.216000	60.119325	-0.596624	0.007885	0.000000	-0.588739	60.000000
26.116000	60.136097	-0.680486	0.007945	0.000000	-0.672541	60.000000
26.017000	60.168558	-0.842788	0.008012	0.000000	-0.834776	60.000000
25.914000	60.170434	-0.852171	0.008099	0.000000	-0.844072	60.000000
25.818000	60.184478	-0.922392	0.008181	0.000000	-0.914211	60.000000
25.713000	60.210579	-1.052893	0.008278	0.000000	-1.044615	60.000000
25.615000	60.220018	-1.100091	0.008381	0.000000	-1.091710	60.000000
