Zeit (s)	Istwert	P	I	D	Regelausgang	Sollwert
122.492000	48.598789	0.000000	0.000000	0.262693	0.262693	60.000000
122.396000	48.624008	0.000000	0.000000	0.245863	0.245863	60.000000
122.301000	48.647365	0.000000	0.000000	0.224589	0.224589	60.000000
122.215000	48.666679	0.000000	0.000000	0.251798	0.251798	60.000000
122.122000	48.690096	0.000000	0.000000	0.211582	0.211582	60.000000
122.025000	48.710620	0.000000	0.000000	0.246409	0.246409	60.000000
121.929000	48.734275	0.000000	0.000000	0.202734	0.202734	60.000000
121.834000	48.753535	0.000000	0.000000	0.233498	0.233498	60.000000
121.735000	48.776651	0.000000	0.000000	0.195005	0.195005	60.000000
121.635000	48.796152	0.000000	0.000000	0.314760	0.314760	60.000000
121.539000	48.826369	0.000000	0.000000	0.365471	0.365471	60.000000
121.442000	48.861819	0.000000	0.000000	0.289512	0.289512	60.000000
121.347000	48.889323	0.000000	0.000000	0.313106	0.313106	60.000000
121.253000	48.918755	0.000000	0.000000	0.284516	0.284516	60.000000
121.158000	48.945784	0.000000	0.000000	0.248134	0.248134	60.000000
121.060000	48.970101	0.000000	0.000000	0.219196	0.219196	60.000000
120.959000	48.992240	0.000000	0.000000	0.243300	0.243300	60.000000
120.792000	49.032871	0.000000	0.000000	0.270581	0.270581	60.000000
120.697000	49.058576	0.000000	0.000000	0.209504	0.209504	60.000000
120.593000	49.080365	0.000000	0.000000	0.252387	0.252387	60.000000
120.500000	49.103837	0.000000	0.000000	0.211918	0.211918	60.000000
120.406000	49.123757	0.000000	0.000000	0.231163	0.231163	60.000000
120.306000	49.146873	0.000000	0.000000	0.179925	0.179925	60.000000
120.210000	49.164146	0.000000	0.000000	0.205492	0.205492	60.000000
120.094000	49.187983	0.000000	0.000000	0.223179	0.223179	60.000000
119.995000	49.210078	0.000000	0.000000	0.331601	0.331601	60.000000
119.893000	49.243901	0.000000	0.000000	0.284308	0.284308	60.000000
119.795000	49.271763	0.000000	0.000000	0.210662	0.210662	60.000000
119.693000	49.293251	0.000000	0.000000	0.224691	0.224691	60.000000
119.592000	49.315945	0.000000	0.000000	0.238285	0.238285	60.000000
119.495000	49.339058	0.000000	0.000000	0.171954	0.171954	60.000000
119.397000	49.355910	0.000000	0.000000	0.198685	0.198685	60.000000
119.294000	49.376374	0.000000	0.000000	0.229489	0.229489	60.000000
119.192000	49.399782	0.000000	0.000000	0.300418	0.300418	60.000000
119.092000	49.429824	0.000000	0.000000	0.372491	0.372491	60.000000
118.992000	49.467073	0.000000	0.000000	0.332033	0.332033	60.000000
118.893000	49.499945	0.000000	0.000000	0.218972	0.218972	60.000000
118.796000	49.521185	0.000000	0.000000	0.191143	0.191143	60.000000
118.693000	49.540872	0.000000	0.000000	0.254401	0.254401	60.000000
118.592000	49.566567	0.000000	0.000000	0.392215	0.392215	60.000000
118.495000	49.604612	0.000000	0.000000	0.344566	0.344566	60.000000
118.393000	49.639758	0.000000	0.000000	0.284165	0.284165	60.000000
118.296000	49.667322	0.000000	0.000000	0.251650	0.251650	60.000000
118.202000	49.690977	0.000000	0.000000	0.282166	0.282166	60.000000
118.106000	49.718065	0.000000	0.000000	0.293551	0.293551	60.000000
118.009000	49.746539	0.000000	0.000000	0.307679	0.307679	60.000000
117.920000	49.773922	0.000000	0.000000	0.215966	0.215966	60.000000
117.823000	49.794871	0.000000	0.000000	0.293312	0.293312	60.000000
117.728000	49.822736	0.000000	0.000000	0.288908	0.288908	60.000000
117.633000	49.850182	0.000000	0.000000	0.230374	0.230374	60.000000
117.540000	49.871607	0.000000	0.000000	0.236981	0.236981	60.000000
117.445000	49.894120	0.000000	0.000000	0.290089	0.290089	60.000000
117.351000	49.921388	0.000000	0.000000	0.239403	0.239403	60.000000
117.257000	49.943892	0.000000	0.000000	0.319415	0.319415	60.000000
117.159000	49.975195	0.000000	0.000000	0.273386	0.273386	60.000000
116.993000	50.020577	0.000000	0.000000	0.310422	0.310422	60.000000
116.895000	50.050998	0.000000	0.000000	0.285068	0.285068	60.000000
116.794000	50.079790	0.000000	0.000000	0.305336	0.305336	60.000000
116.692000	50.110935	0.000000	0.000000	0.286884	0.286884	60.000000
116.595000	50.138762	0.000000	0.000000	0.304797	0.304797	60.000000
116.493000	50.169852	0.000000	0.000000	0.229449	0.229449	60.000000
116.392000	50.193026	0.000000	0.000000	0.265904	0.265904	60.000000
116.293000	50.219350	0.000000	0.000000	0.194795	0.194795	60.000000
116.192000	50.239025	0.000000	0.000000	0.278624	0.278624	60.000000
116.093000	50.266609	0.000000	0.000000	0.261187	0.261187	60.000000
115.995000	50.292205	0.000000	0.000000	0.227852	0.227852	60.000000
