Zeit (s)	Istwert	P	I	D	Regelausgang	Sollwert
94.391000	34.608189	0.000000	0.000000	0.071019	0.071019	60.000000
94.293000	34.615148	0.000000	0.000000	0.092073	0.092073	60.000000
94.192000	34.624448	0.000000	0.000000	0.084676	0.084676	60.000000
94.092000	34.632915	0.000000	0.000000	0.071985	0.071985	60.000000
93.992000	34.640114	0.000000	0.000000	0.097354	0.097354	60.000000
93.894000	34.649655	0.000000	0.000000	0.093481	0.093481	60.000000
93.790000	34.659377	0.000000	0.000000	0.132108	0.132108	60.000000
93.691000	34.672455	0.000000	0.000000	0.051344	0.051344	60.000000
93.594000	34.677436	0.000000	0.000000	0.109428	0.109428	60.000000
93.492000	34.688597	0.000000	0.000000	0.102376	0.102376	60.000000
93.393000	34.698733	0.000000	0.000000	0.100246	0.100246	60.000000
93.293000	34.708757	0.000000	0.000000	0.064104	0.064104	60.000000
93.191000	34.715296	0.000000	0.000000	0.084107	0.084107	60.000000
93.094000	34.723454	0.000000	0.000000	0.169892	0.169892	60.000000
92.993000	34.740613	0.000000	0.000000	0.061822	0.061822	60.000000
92.892000	34.746857	0.000000	0.000000	0.099781	0.099781	60.000000
92.791000	34.756935	0.000000	0.000000	0.096286	0.096286	60.000000
92.695000	34.766179	0.000000	0.000000	0.071149	0.071149	60.000000
92.593000	34.773436	0.000000	0.000000	0.119976	0.119976	60.000000
92.491000	34.785673	0.000000	0.000000	0.129225	0.129225	60.000000
92.393000	34.798338	0.000000	0.000000	0.086440	0.086440	60.000000
92.291000	34.807154	0.000000	0.000000	0.059395	0.059395	60.000000
92.192000	34.813034	0.000000	0.000000	0.103306	0.103306	60.000000
92.095000	34.823055	0.000000	0.000000	0.113558	0.113558	60.000000
91.993000	34.834638	0.000000	0.000000	0.122911	0.122911	60.000000
91.889000	34.847421	0.000000	0.000000	0.097286	0.097286	60.000000
91.791000	34.856955	0.000000	0.000000	0.101095	0.101095	60.000000
91.693000	34.866862	0.000000	0.000000	0.076037	0.076037	60.000000
91.592000	34.874542	0.000000	0.000000	0.094084	0.094084	60.000000
91.495000	34.883668	0.000000	0.000000	0.034557	0.034557	60.000000
91.391000	34.887262	0.000000	0.000000	0.085182	0.085182	60.000000
91.291000	34.895780	0.000000	0.000000	0.054602	0.054602	60.000000
91.192000	34.901186	0.000000	0.000000	0.091181	0.091181	60.000000
91.092000	34.910304	0.000000	0.000000	0.109055	0.109055	60.000000
90.993000	34.921100	0.000000	0.000000	0.140386	0.140386	60.000000
90.890000	34.935560	0.000000	0.000000	0.077997	0.077997	60.000000
90.790000	34.943360	0.000000	0.000000	0.081480	0.081480	60.000000
90.692000	34.951345	0.000000	0.000000	0.099593	0.099593	60.000000
90.592000	34.961304	0.000000	0.000000	0.148214	0.148214	60.000000
90.494000	34.975829	0.000000	0.000000	0.064621	0.064621	60.000000
90.391000	34.982485	0.000000	0.000000	0.089584	0.089584	60.000000
90.302000	34.990458	0.000000	0.000000	0.115469	0.115469	60.000000
90.210000	35.001081	0.000000	0.000000	0.081396	0.081396	60.000000
90.092000	35.010686	0.000000	0.000000	0.109082	0.109082	60.000000
89.993000	35.021485	0.000000	0.000000	0.089422	0.089422	60.000000
89.893000	35.030427	0.000000	0.000000	0.105180	0.105180	60.000000
89.792000	35.041050	0.000000	0.000000	0.134531	0.134531	60.000000
89.693000	35.054369	0.000000	0.000000	0.014128	0.014128	60.000000
89.591000	35.055810	0.000000	0.000000	0.079020	0.079020	60.000000
89.490000	35.063791	0.000000	0.000000	0.116795	0.116795	60.000000
89.394000	35.075003	0.000000	0.000000	0.106019	0.106019	60.000000
89.296000	35.085393	0.000000	0.000000	0.078625	0.078625	60.000000
89.193000	35.093492	0.000000	0.000000	0.105747	0.105747	60.000000
89.092000	35.104172	0.000000	0.000000	0.104074	0.104074	60.000000
88.994000	35.114371	0.000000	0.000000	0.096218	0.096218	60.000000
88.893000	35.124089	0.000000	0.000000	0.097596	0.097596	60.000000
88.794000	35.133751	0.000000	0.000000	0.060620	0.060620	60.000000
88.697000	35.139631	0.000000	0.000000	0.080333	0.080333	60.000000
88.594000	35.147906	0.000000	0.000000	0.081813	0.081813	60.000000
88.492000	35.156251	0.000000	0.000000	0.118854	0.118854	60.000000
88.391000	35.168255	0.000000	0.000000	0.081014	0.081014	60.000000
88.294000	35.176113	0.000000	0.000000	0.081173	0.081173	60.000000
88.192000	35.184393	0.000000	0.000000	0.073094	0.073094	60.000000
88.091000	35.191775	0.000000	0.000000	0.092089	0.092089	60.000000
87.992000	35.200892	0.000000	0.000000	0.111040	0.111040	60.000000
87.891000	35.212107	0.000000	0.000000	0.097422	0.097422	60.000000
87.793000	35.221655	0.000000	0.000000	0.099374	0.099374	60.000000
87.694000	35.231493	0.000000	0.000000	0.077473	0.077473	60.000000
87.591000	35.239472	0.000000	0.000000	0.136839	0.136839	60.000000
87.491000	35.253156	0.000000	0.000000	0.094207	0.094207	60.000000
87.391000	35.262577	0.000000	0.000000	0.097327	0.097327	60.000000
87.293000	35.272115	0.000000	0.000000	0.133055	0.133055	60.000000
87.192000	35.285554	0.000000	0.000000	0.064935	0.064935	60.000000
87.095000	35.291852	0.000000	0.000000	0.086181	0.086181	60.000000
87.001000	35.299953	0.000000	0.000000	0.066481	0.066481	60.000000
86.908000	35.306136	0.000000	0.000000	0.077331	0.077331	60.000000
86.811000	35.313637	0.000000	0.000000	0.109914	0.109914	60.000000
86.716000	35.324079	0.000000	0.000000	0.077671	0.077671	60.000000
86.618000	35.331691	0.000000	0.000000	0.075971	0.075971	60.000000
86.520000	35.339136	0.000000	0.000000	0.117469	0.117469	60.000000
86.428000	35.349943	0.000000	0.000000	0.085552	0.085552	60.000000
86.332000	35.358156	0.000000	0.000000	0.102719	0.102719	60.000000
86.242000	35.367401	0.000000	0.000000	0.099111	0.099111	60.000000
86.156000	35.375924	0.000000	0.000000	0.114324	0.114324	60.000000
86.060000	35.386899	0.000000	0.000000	0.094648	0.094648	60.000000
85.963000	35.396080	0.000000	0.000000	0.102520	0.102520	60.000000
85.867000	35.405922	0.000000	0.000000	0.081646	0.081646	60.000000
85.770000	35.413842	0.000000	0.000000	0.117465	0.117465	60.000000
85.676000	35.424884	0.000000	0.000000	0.122764	0.122764	60.000000
85.589000	35.435564	0.000000	0.000000	0.088706	0.088706	60.000000
85.497000	35.443725	0.000000	0.000000	0.119987	0.119987	60.000000
85.383000	35.457404	0.000000	0.000000	0.088822	0.088822	60.000000
85.283000	35.466286	0.000000	0.000000	0.096728	0.096728	60.000000
85.185000	35.475765	0.000000	0.000000	0.069443	0.069443	60.000000
85.077000	35.483265	0.000000	0.000000	0.135268	0.135268	60.000000
84.971000	35.497603	0.000000	0.000000	0.073921	0.073921	60.000000
84.876000	35.504626	0.000000	0.000000	0.104953	0.104953	60.000000
84.772000	35.515541	0.000000	0.000000	0.090063	0.090063	60.000000
84.674000	35.524367	0.000000	0.000000	0.091095	0.091095	60.000000
84.483000	35.541766	0.000000	0.000000	0.097998	0.097998	60.000000
84.374000	35.552448	0.000000	0.000000	0.092334	0.092334	60.000000
84.272000	35.561866	0.000000	0.000000	0.074282	0.074282	60.000000
84.171000	35.569369	0.000000	0.000000	0.088976	0.088976	60.000000
84.053000	35.579868	0.000000	0.000000	0.092074	0.092074	60.000000
83.952000	35.589167	0.000000	0.000000	0.056905	0.056905	60.000000
83.856000	35.594630	0.000000	0.000000	0.059469	0.059469	60.000000
83.730000	35.602123	0.000000	0.000000	0.051299	0.051299	60.000000
83.620000	35.607766	0.000000	0.000000	0.056425	0.056425	60.000000
83.504000	35.614311	0.000000	0.000000	0.083138	0.083138	60.000000
83.403000	35.622708	0.000000	0.000000	0.092341	0.092341	60.000000
83.288000	35.633327	0.000000	0.000000	0.087595	0.087595	60.000000
83.188000	35.642087	0.000000	0.000000	0.082158	0.082158	60.000000
83.093000	35.649892	0.000000	0.000000	0.062467	0.062467	60.000000
82.972000	35.657451	0.000000	0.000000	0.091224	0.091224	60.000000
82.847000	35.668854	0.000000	0.000000	0.133456	0.133456	60.000000
82.740000	35.683133	0.000000	0.000000	0.162783	0.162783	60.000000
82.642000	35.699086	0.000000	0.000000	0.140575	0.140575	60.000000
82.525000	35.715533	0.000000	0.000000	0.169580	0.169580	60.000000
82.416000	35.734018	0.000000	0.000000	0.142452	0.142452	60.000000
82.301000	35.750399	0.000000	0.000000	0.042897	0.042897	60.000000
82.206000	35.754475	0.000000	0.000000	0.056835	0.056835	60.000000
82.091000	35.761011	0.000000	0.000000	0.073473	0.073473	60.000000
81.953000	35.771150	0.000000	0.000000	0.092353	0.092353	60.000000
81.849000	35.780755	0.000000	0.000000	0.106042	0.106042	60.000000
81.703000	35.796237	0.000000	0.000000	0.090017	0.090017	60.000000
81.589000	35.806499	0.000000	0.000000	0.093339	0.093339	60.000000
81.481000	35.816579	0.000000	0.000000	0.122855	0.122855	60.000000
81.375000	35.829602	0.000000	0.000000	0.064984	0.064984	60.000000
81.256000	35.837335	0.000000	0.000000	0.075489	0.075489	60.000000
81.151000	35.845261	0.000000	0.000000	0.160551	0.160551	60.000000
81.046000	35.862119	0.000000	0.000000	0.180664	0.180664	60.000000
80.949000	35.879644	0.000000	0.000000	0.209163	0.209163	60.000000
80.772000	35.916665	0.000000	0.000000	0.142569	0.142569	60.000000
80.674000	35.930637	0.000000	0.000000	0.096524	0.096524	60.000000
80.554000	35.942220	0.000000	0.000000	0.147605	0.147605	60.000000
80.430000	35.960523	0.000000	0.000000	0.108139	0.108139	60.000000
80.339000	35.970364	0.000000	0.000000	0.085112	0.085112	60.000000
80.241000	35.978705	0.000000	0.000000	0.057207	0.057207	60.000000
80.113000	35.986027	0.000000	0.000000	0.118876	0.118876	60.000000
79.999000	35.999579	0.000000	0.000000	0.130152	0.130152	60.000000
79.898000	36.012724	0.000000	0.000000	0.131490	0.131490	60.000000
79.804000	36.025084	0.000000	0.000000	0.069645	0.069645	60.000000
79.673000	36.034208	0.000000	0.000000	-0.014822	-0.014822	60.000000
79.572000	36.032711	0.000000	0.000000	0.003680	0.003680	60.000000
79.476000	36.033064	0.000000	0.000000	0.205920	0.205920	60.000000
79.351000	36.058804	0.000000	0.000000	0.100340	0.100340	60.000000
79.244000	36.069541	0.000000	0.000000	0.104913	0.104913	60.000000
79.137000	36.080766	0.000000	0.000000	0.124396	0.124396	60.000000
79.042000	36.092584	0.000000	0.000000	0.119189	0.119189	60.000000
78.908000	36.108555	0.000000	0.000000	0.105181	0.105181	60.000000
78.806000	36.119284	0.000000	0.000000	0.137196	0.137196	60.000000
78.708000	36.132729	0.000000	0.000000	0.186728	0.186728	60.000000
78.601000	36.152709	0.000000	0.000000	0.115731	0.115731	60.000000
78.503000	36.164051	0.000000	0.000000	0.093675	0.093675	60.000000
78.396000	36.174074	0.000000	0.000000	0.053829	0.053829	60.000000
78.288000	36.179887	0.000000	0.000000	0.068027	0.068027	60.000000
78.190000	36.186554	0.000000	0.000000	0.119990	0.119990	60.000000
78.097000	36.197713	0.000000	0.000000	0.086580	0.086580	60.000000
78.000000	36.206111	0.000000	0.000000	0.143395	0.143395	60.000000
77.905000	36.219734	0.000000	0.000000	0.112453	0.112453	60.000000
77.706000	36.242112	0.000000	0.000000	0.125846	0.125846	60.000000
77.602000	36.255200	0.000000	0.000000	0.128401	0.128401	60.000000
77.496000	36.268810	0.000000	0.000000	0.107428	0.107428	60.000000
77.382000	36.281057	0.000000	0.000000	0.094279	0.094279	60.000000
77.277000	36.290957	0.000000	0.000000	0.066042	0.066042	60.000000
77.168000	36.298155	0.000000	0.000000	0.060573	0.060573	60.000000
77.061000	36.304636	0.000000	0.000000	0.083383	0.083383	60.000000
76.961000	36.312975	0.000000	0.000000	0.088558	0.088558	60.000000
76.843000	36.323425	0.000000	0.000000	0.146415	0.146415	60.000000
76.741000	36.338359	0.000000	0.000000	0.115652	0.115652	60.000000
76.630000	36.351196	0.000000	0.000000	0.086161	0.086161	60.000000
76.529000	36.359898	0.000000	0.000000	0.082717	0.082717	60.000000
76.410000	36.369742	0.000000	0.000000	0.095140	0.095140	60.000000
76.299000	36.380302	0.000000	0.000000	0.139086	0.139086	60.000000
76.192000	36.395184	0.000000	0.000000	0.118809	0.118809	60.000000
76.088000	36.407541	0.000000	0.000000	0.131099	0.131099	60.000000
75.969000	36.423141	0.000000	0.000000	0.085098	0.085098	60.000000
75.859000	36.432502	0.000000	0.000000	0.118778	0.118778	60.000000
75.761000	36.444142	0.000000	0.000000	0.103538	0.103538	60.000000
75.637000	36.456981	0.000000	0.000000	0.122386	0.122386	60.000000
75.512000	36.472279	0.000000	0.000000	0.158922	0.158922	60.000000
75.401000	36.489920	0.000000	0.000000	0.131003	0.131003	60.000000
75.302000	36.502889	0.000000	0.000000	0.103602	0.103602	60.000000
75.203000	36.513146	0.000000	0.000000	0.129627	0.129627	60.000000
75.103000	36.526108	0.000000	0.000000	0.065181	0.065181	60.000000
74.988000	36.533604	0.000000	0.000000	0.099307	0.099307	60.000000
74.875000	36.544826	0.000000	0.000000	0.094309	0.094309	60.000000
74.749000	36.556709	0.000000	0.000000	0.057031	0.057031	60.000000
74.648000	36.562469	0.000000	0.000000	0.103589	0.103589	60.000000
74.542000	36.573449	0.000000	0.000000	0.122792	0.122792	60.000000
74.436000	36.586465	0.000000	0.000000	0.125204	0.125204	60.000000
74.320000	36.600989	0.000000	0.000000	0.118380	0.118380	60.000000
74.208000	36.614248	0.000000	0.000000	0.117006	0.117006	60.000000
74.107000	36.626065	0.000000	0.000000	0.145109	0.145109	60.000000
73.997000	36.642027	0.000000	0.000000	0.155457	0.155457	60.000000
73.877000	36.660682	0.000000	0.000000	0.137033	0.137033	60.000000
73.774000	36.674796	0.000000	0.000000	0.163887	0.163887	60.000000
73.673000	36.691349	0.000000	0.000000	0.122197	0.122197	60.000000
73.565000	36.704546	0.000000	0.000000	0.118869	0.118869	60.000000
73.465000	36.716433	0.000000	0.000000	0.106947	0.106947	60.000000
73.368000	36.726807	0.000000	0.000000	0.108305	0.108305	60.000000
73.266000	36.737854	0.000000	0.000000	0.081983	0.081983	60.000000
73.146000	36.747692	0.000000	0.000000	0.098335	0.098335	60.000000
73.052000	36.756936	0.000000	0.000000	0.089927	0.089927	60.000000
72.954000	36.765748	0.000000	0.000000	0.102756	0.102756	60.000000
72.857000	36.775716	0.000000	0.000000	0.118851	0.118851	60.000000
72.755000	36.787839	0.000000	0.000000	0.102729	0.102729	60.000000
72.595000	36.804275	0.000000	0.000000	0.135251	0.135251	60.000000
72.473000	36.820776	0.000000	0.000000	0.113264	0.113264	60.000000
72.357000	36.833914	0.000000	0.000000	0.151395	0.151395	60.000000
72.250000	36.850114	0.000000	0.000000	0.101952	0.101952	60.000000
72.154000	36.859901	0.000000	0.000000	0.110071	0.110071	60.000000
72.033000	36.873220	0.000000	0.000000	0.105790	0.105790	60.000000
71.927000	36.884433	0.000000	0.000000	0.068430	0.068430	60.000000
71.834000	36.890797	0.000000	0.000000	0.092541	0.092541	60.000000
71.703000	36.902920	0.000000	0.000000	0.119989	0.119989	60.000000
71.601000	36.915159	0.000000	0.000000	0.102107	0.102107	60.000000
71.487000	36.926799	0.000000	0.000000	0.080466	0.080466	60.000000
71.393000	36.934363	0.000000	0.000000	0.131414	0.131414	60.000000
71.288000	36.948162	0.000000	0.000000	0.108815	0.108815	60.000000
71.186000	36.959261	0.000000	0.000000	0.126923	0.126923	60.000000
71.082000	36.972461	0.000000	0.000000	0.055886	0.055886	60.000000
70.965000	36.978999	0.000000	0.000000	0.080338	0.080338	60.000000
70.856000	36.987756	0.000000	0.000000	0.103270	0.103270	60.000000
70.745000	36.999219	0.000000	0.000000	0.111245	0.111245	60.000000
70.643000	37.010566	0.000000	0.000000	0.103979	0.103979	60.000000
70.549000	37.020340	0.000000	0.000000	0.141914	0.141914	60.000000
70.431000	37.037086	0.000000	0.000000	0.094217	0.094217	60.000000
70.338000	37.045848	0.000000	0.000000	0.156096	0.156096	60.000000
70.245000	37.060365	0.000000	0.000000	0.090522	0.090522	60.000000
70.129000	37.070866	0.000000	0.000000	0.120553	0.120553	60.000000
70.009000	37.085332	0.000000	0.000000	0.140108	0.140108	60.000000
69.902000	37.100324	0.000000	0.000000	0.205351	0.205351	60.000000
69.812000	37.118805	0.000000	0.000000	0.041927	0.041927	60.000000
69.593000	37.127987	0.000000	0.000000	0.103832	0.103832	60.000000
69.493000	37.138371	0.000000	0.000000	0.134373	0.134373	60.000000
