Zeit (s)	Istwert	P	I	D	Regelausgang	Sollwert
78.195917	39.766351	0.373838	0.000000	-0.001705	0.372133	40.000000
78.091907	39.766174	0.374121	0.000000	0.038825	0.412946	40.000000
77.989897	39.770135	0.367785	0.000000	0.060539	0.428324	40.000000
77.891887	39.776068	0.358291	0.000000	0.030591	0.388882	40.000000
77.791877	39.779127	0.353396	0.000000	0.013506	0.366902	40.000000
77.693867	39.780451	0.351278	0.000000	-0.001904	0.349374	40.000000
77.595857	39.780265	0.351577	0.000000	-0.016563	0.335014	40.000000
77.494847	39.778592	0.354254	0.000000	-0.011621	0.342632	40.000000
77.391837	39.777394	0.356169	0.000000	-0.020048	0.336121	40.000000
77.292827	39.775410	0.359345	0.000000	-0.020394	0.338951	40.000000
77.192817	39.773370	0.362608	0.000000	-0.016222	0.346386	40.000000
77.092807	39.771748	0.365204	0.000000	-0.027237	0.337966	40.000000
76.993797	39.769051	0.369519	0.000000	-0.014105	0.355414	40.000000
76.895787	39.767668	0.371730	0.000000	-0.014675	0.357055	40.000000
76.793777	39.766171	0.374126	0.000000	0.008272	0.382398	40.000000
76.691767	39.767015	0.372776	0.000000	0.011548	0.384323	40.000000
76.593757	39.768147	0.370965	0.000000	-0.037218	0.333746	40.000000
76.490746	39.764313	0.377099	0.000000	-0.020613	0.356486	40.000000
76.391737	39.762272	0.380364	0.000000	0.024326	0.404690	40.000000
76.295727	39.764608	0.376628	0.000000	-0.010559	0.366069	40.000000
76.193717	39.763531	0.378351	0.000000	0.027857	0.406208	40.000000
76.094707	39.766289	0.373938	0.000000	0.029468	0.403406	40.000000
75.992697	39.769295	0.369128	0.000000	-2.692778E-5	0.369101	40.000000
75.893687	39.769292	0.369133	0.000000	0.021934	0.391067	40.000000
75.792677	39.771508	0.365588	0.000000	-0.011103	0.354485	40.000000
75.695667	39.770431	0.367311	0.000000	0.033082	0.400393	40.000000
75.590657	39.773905	0.361753	0.000000	-0.021771	0.339982	40.000000
75.494647	39.771814	0.365097	0.000000	0.021383	0.386480	40.000000
75.399638	39.773846	0.361847	0.000000	0.016009	0.377856	40.000000
75.305628	39.775351	0.359439	0.000000	0.028486	0.387925	40.000000
75.208619	39.778114	0.355017	0.000000	0.066229	0.421246	40.000000
75.093607	39.785731	0.342830	0.000000	0.035633	0.378462	40.000000
74.992597	39.789331	0.337071	0.000000	0.008301	0.345372	40.000000
74.891587	39.790169	0.335729	0.000000	0.004199	0.339928	40.000000
74.791577	39.790589	0.335057	0.000000	0.013577	0.348634	40.000000
74.694567	39.791906	0.332950	0.000000	0.001281	0.334231	40.000000
74.592557	39.792037	0.332741	0.000000	0.031449	0.364190	40.000000
74.491547	39.795213	0.327658	0.000000	-0.005507	0.322152	40.000000
74.392537	39.794668	0.328531	0.000000	0.018021	0.346552	40.000000
74.292527	39.796471	0.325647	0.000000	0.008442	0.334089	40.000000
74.193517	39.797306	0.324310	0.000000	-0.013249	0.311061	40.000000
74.094507	39.795995	0.326409	0.000000	0.001152	0.327560	40.000000
73.991497	39.796113	0.326219	0.000000	-0.014382	0.311836	40.000000
73.891487	39.794675	0.328520	0.000000	-0.028196	0.300325	40.000000
73.793477	39.791911	0.332942	0.000000	-0.024482	0.308459	40.000000
73.695467	39.789512	0.336781	0.000000	0.014572	0.351352	40.000000
73.592457	39.791013	0.334379	0.000000	-0.009866	0.324513	40.000000
73.495447	39.790056	0.335911	0.000000	-0.003581	0.332330	40.000000
73.393437	39.789691	0.336495	0.000000	-0.007386	0.329110	40.000000
73.295427	39.788967	0.337653	0.000000	0.019045	0.356699	40.000000
73.191417	39.790948	0.334484	0.000000	-0.035962	0.298521	40.000000
73.091407	39.787351	0.340238	0.000000	-0.003679	0.336559	40.000000
72.991397	39.786983	0.340827	0.000000	0.006202	0.347029	40.000000
72.893387	39.787591	0.339854	0.000000	-0.033351	0.306504	40.000000
72.796377	39.784356	0.345031	0.000000	-0.004049	0.340982	40.000000
72.690367	39.783926	0.345718	0.000000	-0.040580	0.305138	40.000000
72.591357	39.779909	0.352146	0.000000	-0.023643	0.328504	40.000000
72.492347	39.777568	0.355892	0.000000	-0.024195	0.331697	40.000000
72.393337	39.775172	0.359724	0.000000	-0.036629	0.323096	40.000000
72.293327	39.771509	0.365586	0.000000	0.007070	0.372655	40.000000
72.191317	39.772230	0.364432	0.000000	-0.006032	0.358400	40.000000
72.092307	39.771633	0.365387	0.000000	0.024006	0.389393	40.000000
71.992297	39.774034	0.361546	0.000000	-0.024579	0.336967	40.000000
71.892287	39.771576	0.365479	0.000000	-0.019901	0.345578	40.000000
71.792277	39.769585	0.368663	0.000000	-0.027370	0.341293	40.000000
71.689267	39.766766	0.373174	0.000000	0.002516	0.375691	40.000000
71.591257	39.767013	0.372780	0.000000	-0.035540	0.337240	40.000000
71.493247	39.763529	0.378353	0.000000	0.011297	0.389650	40.000000
71.392237	39.764670	0.376527	0.000000	0.034915	0.411442	40.000000
71.294227	39.768092	0.371052	0.000000	0.015263	0.386316	40.000000
71.192217	39.769649	0.368561	0.000000	0.021567	0.390128	40.000000
71.092207	39.771806	0.365110	0.000000	0.003022	0.368132	40.000000
70.991197	39.772112	0.364622	0.000000	-0.043134	0.321488	40.000000
70.891187	39.767798	0.371524	0.000000	0.008455	0.379979	40.000000
70.792177	39.768635	0.370184	0.000000	0.011317	0.381501	40.000000
70.692167	39.769767	0.368373	0.000000	-0.046955	0.321419	40.000000
70.595157	39.765212	0.375661	0.000000	-0.039439	0.336222	40.000000
70.493147	39.761188	0.382098	0.000000	0.001278	0.383376	40.000000
70.396137	39.761312	0.381900	0.000000	0.018675	0.400575	40.000000
70.303128	39.763049	0.379121	0.000000	-0.014968	0.364153	40.000000
70.207119	39.761612	0.381420	0.000000	-0.007533	0.373887	40.000000
70.095107	39.760769	0.382770	0.000000	-0.007744	0.375026	40.000000
69.995097	39.759994	0.384010	0.000000	0.061742	0.445751	40.000000
69.892087	39.766354	0.373834	0.000000	0.040304	0.414138	40.000000
69.791077	39.770425	0.367320	0.000000	0.013687	0.381006	40.000000
69.694067	39.771753	0.365195	0.000000	-0.002415	0.362780	40.000000
69.593057	39.771509	0.365586	0.000000	0.023629	0.389215	40.000000
69.494047	39.773849	0.361842	0.000000	-0.017490	0.344353	40.000000
69.395037	39.772117	0.364613	0.000000	0.022241	0.386854	40.000000
69.290027	39.774452	0.360876	0.000000	0.050288	0.411164	40.000000
69.191017	39.779431	0.352910	0.000000	0.052324	0.405234	40.000000
69.097007	39.784350	0.345039	0.000000	0.017188	0.362228	40.000000
68.991997	39.786155	0.342151	0.000000	0.018742	0.360893	40.000000
68.892987	39.788011	0.339182	0.000000	0.023884	0.363066	40.000000
68.794977	39.790352	0.335437	0.000000	-0.004646	0.330791	40.000000
68.691967	39.789873	0.336203	0.000000	-0.054127	0.282076	40.000000
68.589957	39.784352	0.345037	0.000000	0.020036	0.365073	40.000000
68.493947	39.786275	0.341960	0.000000	0.005345	0.347305	40.000000
68.393937	39.786810	0.341104	0.000000	-0.062344	0.278760	40.000000
68.292927	39.780512	0.351180	0.000000	-0.063627	0.287553	40.000000
68.194917	39.774276	0.361158	0.000000	-0.043419	0.317739	40.000000
68.093907	39.769891	0.368175	0.000000	-0.029403	0.338772	40.000000
67.991897	39.766891	0.372974	0.000000	2.748303E-5	0.373001	40.000000
67.894887	39.766894	0.372970	0.000000	-0.056169	0.316800	40.000000
67.801878	39.761670	0.381329	0.000000	-0.011667	0.369662	40.000000
67.708869	39.760585	0.383065	0.000000	-0.013434	0.369631	40.000000
67.619860	39.759389	0.384978	0.000000	-0.002637	0.382341	40.000000
67.527851	39.759146	0.385366	0.000000	0.033946	0.419312	40.000000
67.435841	39.762270	0.380369	0.000000	0.047068	0.427437	40.000000
67.342832	39.766647	0.373364	0.000000	0.029353	0.402718	40.000000
67.250823	39.769348	0.369043	0.000000	0.009960	0.379003	40.000000
67.159814	39.770255	0.367593	0.000000	-0.029125	0.338468	40.000000
66.992797	39.765390	0.375376	0.000000	-0.013729	0.361646	40.000000
66.892787	39.764017	0.377572	0.000000	-0.009677	0.367895	40.000000
66.792777	39.763049	0.379121	0.000000	-0.027618	0.351503	40.000000
66.692767	39.760287	0.383540	0.000000	0.029773	0.413313	40.000000
66.591757	39.763295	0.378729	0.000000	0.019348	0.398076	40.000000
66.492747	39.765210	0.375664	0.000000	-0.035976	0.339688	40.000000
66.392737	39.761612	0.381420	0.000000	-0.017960	0.363460	40.000000
66.295727	39.759870	0.384208	0.000000	0.024469	0.408677	40.000000
66.197718	39.762268	0.380371	0.000000	-0.023150	0.357221	40.000000
66.091707	39.759814	0.384297	0.000000	0.065518	0.449815	40.000000
65.993697	39.766235	0.374023	0.000000	0.049226	0.423249	40.000000
65.892687	39.771208	0.366068	0.000000	0.049006	0.415073	40.000000
65.794677	39.776011	0.358383	0.000000	-0.008220	0.350163	40.000000
65.692667	39.775172	0.359724	0.000000	-0.025339	0.334385	40.000000
65.595657	39.772714	0.363657	0.000000	0.000549	0.364206	40.000000
65.493647	39.772770	0.363568	0.000000	-0.014195	0.349373	40.000000
65.396637	39.771393	0.365771	0.000000	-0.024037	0.341734	40.000000
65.306628	39.769229	0.369233	0.000000	0.011968	0.381201	40.000000
65.211619	39.770367	0.367413	0.000000	0.061046	0.428459	40.000000
65.092607	39.777632	0.355789	0.000000	0.023484	0.379273	40.000000
64.995597	39.779910	0.352144	0.000000	0.043807	0.395951	40.000000
64.891587	39.784466	0.344854	0.000000	0.029709	0.374563	40.000000
64.794577	39.787348	0.340243	0.000000	0.014192	0.354434	40.000000
64.692567	39.788796	0.337926	0.000000	-0.013223	0.324704	40.000000
64.592557	39.787474	0.340042	0.000000	0.028476	0.368518	40.000000
64.493547	39.790293	0.335531	0.000000	-0.017314	0.318217	40.000000
64.396537	39.788613	0.338218	0.000000	0.020333	0.358552	40.000000
64.290527	39.790769	0.334770	0.000000	-0.025999	0.308771	40.000000
64.191517	39.788195	0.338888	0.000000	-0.025501	0.313388	40.000000
64.092507	39.785670	0.342928	0.000000	-0.059955	0.282972	40.000000
63.991497	39.779614	0.352618	0.000000	-0.066040	0.286577	40.000000
63.892487	39.773075	0.363079	0.000000	-0.036594	0.326486	40.000000
63.795477	39.769525	0.368759	0.000000	-0.037437	0.331322	40.000000
63.691467	39.765632	0.374990	0.000000	-0.033956	0.341034	40.000000
63.592457	39.762270	0.380369	0.000000	-0.002959	0.377410	40.000000
63.492447	39.761974	0.380842	0.000000	0.009610	0.390453	40.000000
63.392437	39.762935	0.379304	0.000000	0.019114	0.398418	40.000000
63.289427	39.764904	0.376154	0.000000	0.005675	0.381829	40.000000
63.192417	39.765454	0.375273	0.000000	0.008095	0.383368	40.000000
63.096407	39.766231	0.374030	0.000000	0.016149	0.390179	40.000000
62.992397	39.767911	0.371342	0.000000	-0.012609	0.358733	40.000000
62.892387	39.766650	0.373360	0.000000	-0.005481	0.367879	40.000000
62.794377	39.766113	0.374220	0.000000	-0.028004	0.346215	40.000000
62.691367	39.763228	0.378835	0.000000	-0.026562	0.352273	40.000000
62.594357	39.760651	0.382958	0.000000	-0.027912	0.355046	40.000000
62.493347	39.757832	0.387469	0.000000	-0.009734	0.377735	40.000000
62.394337	39.756868	0.389011	0.000000	0.012963	0.401975	40.000000
62.292327	39.758190	0.386895	0.000000	-0.006093	0.380802	40.000000
62.194317	39.757593	0.387851	0.000000	0.072237	0.460087	40.000000
62.091307	39.765034	0.375945	0.000000	-0.015847	0.360098	40.000000
61.992297	39.763465	0.378455	0.000000	0.011683	0.390139	40.000000
