Zeit (s)	Istwert	P	I	D	Regelausgang	Sollwert
49.512951	39.811770	0.376460	0.000000	0.029718	0.406178	40.000000
49.407940	39.814891	0.370218	0.000000	0.061864	0.432083	40.000000
49.310931	39.820892	0.358216	0.000000	-0.044156	0.314059	40.000000
49.208920	39.816388	0.367224	0.000000	-2.639453E-5	0.367198	40.000000
49.107910	39.816385	0.367230	0.000000	0.004914	0.372144	40.000000
49.008901	39.816872	0.366257	0.000000	0.037720	0.403977	40.000000
48.911891	39.820531	0.358938	0.000000	-0.015773	0.343165	40.000000
48.809881	39.818922	0.362156	0.000000	0.026938	0.389094	40.000000
48.709870	39.821616	0.356768	0.000000	-0.009077	0.347691	40.000000
48.609860	39.820708	0.358584	0.000000	-0.038158	0.320425	40.000000
48.507850	39.816816	0.366369	0.000000	0.016808	0.383177	40.000000
48.407840	39.818497	0.363007	0.000000	0.026698	0.389705	40.000000
48.306830	39.821193	0.357613	0.000000	0.012340	0.369953	40.000000
48.209821	39.822391	0.355219	0.000000	0.026183	0.381402	40.000000
48.108810	39.825035	0.349929	0.000000	0.014240	0.364169	40.000000
48.007801	39.826474	0.347053	0.000000	0.033576	0.380629	40.000000
47.907790	39.829832	0.340337	0.000000	-0.017314	0.323022	40.000000
47.810781	39.828152	0.343696	0.000000	-0.044400	0.299296	40.000000
47.710771	39.823712	0.352577	0.000000	-0.031868	0.320709	40.000000
47.612761	39.820588	0.358823	0.000000	-0.048708	0.310116	40.000000
47.505750	39.815376	0.369248	0.000000	-0.030685	0.338563	40.000000
47.407741	39.812369	0.375263	0.000000	-0.076534	0.298729	40.000000
47.309731	39.804867	0.390265	0.000000	-0.002323	0.387942	40.000000
47.208721	39.804633	0.390734	0.000000	-0.009766	0.380969	40.000000
47.110711	39.803676	0.392649	0.000000	0.002373	0.395021	40.000000
47.010701	39.803913	0.392174	0.000000	-0.013499	0.378675	40.000000
46.908690	39.802536	0.394928	0.000000	-0.114032	0.280896	40.000000
46.808681	39.791132	0.417737	0.000000	0.215705	0.633442	40.000000
46.709671	39.812489	0.375023	0.000000	-0.052248	0.322775	40.000000
46.608661	39.807211	0.385578	0.000000	0.057028	0.442606	40.000000
46.506650	39.813028	0.373943	0.000000	-0.046582	0.327362	40.000000
46.412641	39.808649	0.382701	0.000000	0.001204	0.383905	40.000000
46.309630	39.808773	0.382453	0.000000	0.068890	0.451343	40.000000
46.208621	39.815732	0.368536	0.000000	0.095557	0.464093	40.000000
46.105610	39.825575	0.348850	0.000000	0.004906	0.353755	40.000000
46.008600	39.826051	0.347898	0.000000	0.059422	0.407320	40.000000
45.908590	39.831994	0.336012	0.000000	0.038830	0.374842	40.000000
45.809581	39.835838	0.328323	0.000000	0.018991	0.347314	40.000000
45.708570	39.837757	0.324487	0.000000	-0.013383	0.311103	40.000000
45.609560	39.836432	0.327137	0.000000	-0.030524	0.296613	40.000000
45.509551	39.833379	0.333242	0.000000	0.045836	0.379079	40.000000
45.411541	39.837871	0.324257	0.000000	-0.043256	0.281001	40.000000
45.307530	39.833372	0.333255	0.000000	1.418007E-5	0.333270	40.000000
45.213521	39.833374	0.333253	0.000000	0.018942	0.352194	40.000000
45.118512	39.835173	0.329653	0.000000	-0.003795	0.325859	40.000000
45.007500	39.834752	0.330496	0.000000	0.059418	0.389914	40.000000
44.910491	39.840516	0.318968	0.000000	-0.018035	0.300933	40.000000
44.810481	39.838713	0.322575	0.000000	-0.022359	0.300216	40.000000
44.708470	39.836432	0.327137	0.000000	-0.027024	0.300112	40.000000
44.606460	39.833675	0.332650	0.000000	0.013135	0.345785	40.000000
44.510451	39.834936	0.330128	0.000000	-0.040221	0.289907	40.000000
44.407440	39.830793	0.338414	0.000000	0.034989	0.373404	40.000000
44.311431	39.834152	0.331696	0.000000	2.692778E-5	0.331723	40.000000
44.212421	39.834155	0.331690	0.000000	-0.060528	0.271163	40.000000
44.107410	39.827799	0.344402	0.000000	0.003519	0.347921	40.000000
44.007401	39.828151	0.343699	0.000000	-0.102825	0.240873	40.000000
43.909390	39.818073	0.363854	0.000000	-0.034432	0.329423	40.000000
43.808381	39.814595	0.370810	0.000000	0.036905	0.407715	40.000000
43.709371	39.818249	0.363503	0.000000	-0.057542	0.305960	40.000000
43.609361	39.812494	0.375012	0.000000	-0.010109	0.364903	40.000000
43.508350	39.811473	0.377054	0.000000	-0.079356	0.297698	40.000000
43.409340	39.803616	0.392769	0.000000	-0.025872	0.366896	40.000000
43.309330	39.801028	0.397943	0.000000	-0.025364	0.372579	40.000000
43.205320	39.798390	0.403220	0.000000	0.015288	0.418508	40.000000
43.107310	39.799889	0.400223	0.000000	-0.012903	0.387320	40.000000
43.010301	39.798637	0.402726	0.000000	-0.032165	0.370561	40.000000
42.911291	39.795452	0.409096	0.000000	-0.018204	0.390892	40.000000
42.809280	39.793595	0.412810	0.000000	0.016715	0.429525	40.000000
42.709270	39.795267	0.409466	0.000000	-0.034194	0.375273	40.000000
42.611261	39.791915	0.416169	0.000000	0.038091	0.454260	40.000000
42.507250	39.795877	0.408245	0.000000	0.004230	0.412475	40.000000
42.409241	39.796292	0.407416	0.000000	0.028807	0.436224	40.000000
42.311231	39.799115	0.401769	0.000000	0.040164	0.441933	40.000000
42.205220	39.803373	0.393254	0.000000	0.009088	0.402342	40.000000
42.106210	39.804273	0.391454	0.000000	0.054997	0.446451	40.000000
42.010201	39.809553	0.380894	0.000000	0.038589	0.419483	40.000000
41.909191	39.813451	0.373098	0.000000	0.019247	0.392345	40.000000
41.809181	39.815376	0.369248	0.000000	0.029952	0.399200	40.000000
41.705170	39.818491	0.363017	0.000000	-0.012826	0.350191	40.000000
41.607161	39.817234	0.365531	0.000000	-0.026867	0.338665	40.000000
41.511151	39.814655	0.370690	0.000000	0.001755	0.372446	40.000000
41.410141	39.814832	0.370336	0.000000	-0.029687	0.340649	40.000000
41.307130	39.811774	0.376452	0.000000	-0.042452	0.334000	40.000000
41.208120	39.807571	0.384858	0.000000	0.009064	0.393922	40.000000
41.108110	39.808477	0.383045	0.000000	0.066422	0.449467	40.000000
41.007101	39.815187	0.369627	0.000000	-0.004860	0.364766	40.000000
