Zeit (s)	Istwert	P	I	D	Regelausgang	Sollwert
73.497000	39.890854	0.392926	0.000000	-0.000000	0.392926	40.000000
73.396000	39.877062	0.442577	0.000000	-0.000000	0.442577	40.000000
73.293000	39.865712	0.483436	0.000000	-0.000000	0.483436	40.000000
73.195000	39.850953	0.536570	0.000000	-0.000000	0.536570	40.000000
73.096000	39.839188	0.578922	0.000000	-0.000000	0.578922	40.000000
72.994000	39.832778	0.602000	0.000000	-0.000000	0.602000	40.000000
72.895000	39.829714	0.613028	0.000000	-0.000000	0.613028	40.000000
72.795000	39.823770	0.634427	0.000000	-0.000000	0.634427	40.000000
72.696000	39.822452	0.639173	0.000000	-0.000000	0.639173	40.000000
72.596000	39.820412	0.646516	0.000000	-0.000000	0.646516	40.000000
72.498000	39.819031	0.651488	0.000000	-0.000000	0.651488	40.000000
72.394000	39.813692	0.670708	0.000000	-0.000000	0.670708	40.000000
72.294000	39.807512	0.692956	0.000000	-0.000000	0.692956	40.000000
72.193000	39.806253	0.697491	0.000000	-0.000000	0.697491	40.000000
72.095000	39.804453	0.703970	0.000000	0.000000	0.703970	40.000000
71.998000	39.807095	0.694458	0.000000	0.000000	0.694458	40.000000
71.896000	39.813028	0.673097	0.000000	0.000000	0.673097	40.000000
71.793000	39.822877	0.637642	0.000000	0.000000	0.637642	40.000000
71.696000	39.826470	0.624709	0.000000	0.000000	0.624709	40.000000
71.596000	39.833728	0.598578	0.000000	0.000000	0.598578	40.000000
71.494000	39.842617	0.566579	0.000000	0.000000	0.566579	40.000000
71.395000	39.850415	0.538504	0.000000	0.000000	0.538504	40.000000
71.301000	39.857491	0.513031	0.000000	0.000000	0.513031	40.000000
71.197000	39.869016	0.471544	0.000000	0.000000	0.471544	40.000000
71.101000	39.876750	0.443700	0.000000	0.000000	0.443700	40.000000
70.997000	39.889113	0.399194	0.000000	0.000000	0.399194	40.000000
70.894000	39.899320	0.362448	0.000000	0.000000	0.362448	40.000000
70.794000	39.912103	0.316430	0.000000	0.000000	0.316430	40.000000
70.693000	39.926017	0.266338	0.000000	0.000000	0.266338	40.000000
70.594000	39.926556	0.264399	0.000000	0.000000	0.264399	40.000000
70.493000	39.934118	0.237174	0.000000	0.000000	0.237174	40.000000
70.398000	39.936694	0.227902	0.000000	0.000000	0.227902	40.000000
70.306000	39.946901	0.191156	0.000000	0.000000	0.191156	40.000000
70.214000	39.952419	0.171293	0.000000	0.000000	0.171293	40.000000
70.098000	39.964961	0.126139	0.000000	0.000000	0.126139	40.000000
69.993000	39.972513	0.098953	0.000000	0.000000	0.098953	40.000000
69.894000	39.980377	0.070643	0.000000	0.000000	0.070643	40.000000
69.797000	39.985059	0.053789	0.000000	0.000000	0.053789	40.000000
69.699000	39.986558	0.048390	0.000000	0.000000	0.048390	40.000000
69.595000	39.986801	0.047517	0.000000	-0.000000	0.047517	40.000000
69.492000	39.984752	0.054893	0.000000	-0.000000	0.054893	40.000000
