Zeit (s)	Istwert	P	I	D	Regelausgang	Sollwert
559.445000	39.983379	0.069809	0.000000	0.000000	0.069809	40.000000
559.331000	39.992021	0.033511	0.000000	0.000000	0.033511	40.000000
559.209000	39.998321	0.007051	0.000000	0.000000	0.007051	40.000000
559.096000	40.003979	-0.016712	0.000000	0.000000	-0.016712	40.000000
558.984000	40.007218	-0.030314	0.000000	0.000000	-0.030314	40.000000
558.877000	40.010353	-0.043484	0.000000	0.000000	-0.043484	40.000000
558.769000	40.011011	-0.046248	0.000000	-0.000000	-0.046248	40.000000
558.662000	40.010649	-0.044726	0.000000	-0.000000	-0.044726	40.000000
558.552000	40.006799	-0.028556	0.000000	-0.000000	-0.028556	40.000000
558.435000	40.001382	-0.005805	0.000000	-0.000000	-0.005805	40.000000
558.324000	39.987217	0.053690	0.000000	-0.000000	0.053690	40.000000
558.217000	39.976302	0.099533	0.000000	-0.000000	0.099533	40.000000
558.099000	39.962802	0.156233	0.000000	-0.000000	0.156233	40.000000
557.991000	39.954703	0.190246	0.000000	-0.000000	0.190246	40.000000
557.887000	39.942757	0.240423	0.000000	-0.000000	0.240423	40.000000
557.769000	39.931056	0.289564	0.000000	-0.000000	0.289564	40.000000
557.651000	39.917915	0.344757	0.000000	-0.000000	0.344757	40.000000
557.536000	39.904963	0.399156	0.000000	-0.000000	0.399156	40.000000
557.427000	39.891395	0.456141	0.000000	-0.000000	0.456141	40.000000
557.315000	39.883537	0.489146	0.000000	-0.000000	0.489146	40.000000
557.200000	39.869676	0.547363	0.000000	-0.000000	0.547363	40.000000
557.083000	39.856954	0.600793	0.000000	-0.000000	0.600793	40.000000
556.973000	39.844954	0.651193	0.000000	-0.000000	0.651193	40.000000
556.865000	39.837098	0.684188	0.000000	-0.000000	0.684188	40.000000
556.752000	39.828816	0.718973	0.000000	-0.000000	0.718973	40.000000
556.642000	39.821309	0.750500	0.000000	-0.000000	0.750500	40.000000
556.533000	39.819454	0.758294	0.000000	-0.000000	0.758294	40.000000
556.422000	39.816568	0.770415	0.000000	0.000000	0.770415	40.000000
556.306000	39.817596	0.766099	0.000000	0.000000	0.766099	40.000000
556.196000	39.819572	0.757796	0.000000	0.000000	0.757796	40.000000
556.088000	39.820771	0.752762	0.000000	0.000000	0.752762	40.000000
555.979000	39.825450	0.733110	0.000000	0.000000	0.733110	40.000000
555.874000	39.829417	0.716448	0.000000	0.000000	0.716448	40.000000
555.764000	39.836612	0.686231	0.000000	0.000000	0.686231	40.000000
555.650000	39.846274	0.645651	0.000000	0.000000	0.645651	40.000000
555.545000	39.850417	0.628249	0.000000	0.000000	0.628249	40.000000
555.426000	39.858815	0.592977	0.000000	0.000000	0.592977	40.000000
555.310000	39.870690	0.543102	0.000000	0.000000	0.543102	40.000000
555.200000	39.883653	0.488659	0.000000	0.000000	0.488659	40.000000
555.097000	39.898840	0.424871	0.000000	0.000000	0.424871	40.000000
554.987000	39.915579	0.354566	0.000000	0.000000	0.354566	40.000000
554.882000	39.929857	0.294603	0.000000	0.000000	0.294603	40.000000
554.769000	39.945815	0.227579	0.000000	0.000000	0.227579	40.000000
554.651000	39.959673	0.169373	0.000000	0.000000	0.169373	40.000000
554.527000	39.972160	0.116929	0.000000	0.000000	0.116929	40.000000
554.419000	39.985240	0.061993	0.000000	0.000000	0.061993	40.000000
554.293000	39.991956	0.033786	0.000000	0.000000	0.033786	40.000000
554.175000	39.997716	0.009593	0.000000	0.000000	0.009593	40.000000
554.065000	40.003253	-0.013662	0.000000	0.000000	-0.013662	40.000000
553.956000	40.009388	-0.039430	0.000000	0.000000	-0.039430	40.000000
553.838000	40.009633	-0.040457	0.000000	0.000000	-0.040457	40.000000
553.727000	40.010110	-0.042462	0.000000	0.000000	-0.042462	40.000000
553.614000	40.013603	-0.057132	0.000000	-0.000000	-0.057132	40.000000
553.505000	40.012156	-0.051055	0.000000	-0.000000	-0.051055	40.000000
553.388000	40.001445	-0.006069	0.000000	-0.000000	-0.006069	40.000000
553.274000	39.992744	0.030477	0.000000	-0.000000	0.030477	40.000000
553.165000	39.983258	0.070318	0.000000	-0.000000	0.070318	40.000000
553.055000	39.972408	0.115887	0.000000	-0.000000	0.115887	40.000000
552.941000	39.961714	0.160801	0.000000	-0.000000	0.160801	40.000000
552.828000	39.948038	0.218240	0.000000	-0.000000	0.218240	40.000000
552.722000	39.941018	0.247723	0.000000	-0.000000	0.247723	40.000000
552.608000	39.923614	0.320822	0.000000	-0.000000	0.320822	40.000000
552.500000	39.909639	0.379515	0.000000	-0.000000	0.379515	40.000000
552.393000	39.896381	0.435201	0.000000	-0.000000	0.435201	40.000000
552.281000	39.886473	0.476812	0.000000	-0.000000	0.476812	40.000000
552.166000	39.872975	0.533506	0.000000	-0.000000	0.533506	40.000000
552.054000	39.861035	0.583655	0.000000	-0.000000	0.583655	40.000000
551.946000	39.848615	0.635819	0.000000	-0.000000	0.635819	40.000000
551.836000	39.836376	0.687222	0.000000	-0.000000	0.687222	40.000000
551.726000	39.827018	0.726526	0.000000	-0.000000	0.726526	40.000000
551.617000	39.823053	0.743177	0.000000	-0.000000	0.743177	40.000000
551.504000	39.818371	0.762840	0.000000	-0.000000	0.762840	40.000000
551.395000	39.817957	0.764581	0.000000	-0.000000	0.764581	40.000000
551.287000	39.814832	0.777705	0.000000	0.000000	0.777705	40.000000
551.181000	39.820351	0.754526	0.000000	-0.000000	0.754526	40.000000
551.073000	39.815193	0.776188	0.000000	-0.000000	0.776188	40.000000
