Zeit (s)	Istwert	P	I	D	Regelausgang	Sollwert
169.589000	39.919776	0.320896	0.000000	-0.000000	0.320896	40.000000
169.491000	39.916055	0.335779	0.000000	-0.000000	0.335779	40.000000
169.391000	39.912099	0.351605	0.000000	-0.000000	0.351605	40.000000
169.290000	39.906097	0.375610	0.000000	-0.000000	0.375610	40.000000
169.189000	39.899379	0.402485	0.000000	-0.000000	0.402485	40.000000
169.091000	39.894037	0.423851	0.000000	-0.000000	0.423851	40.000000
168.991000	39.884978	0.460089	0.000000	-0.000000	0.460089	40.000000
168.892000	39.877169	0.491325	0.000000	-0.000000	0.491325	40.000000
168.789000	39.871235	0.515059	0.000000	0.000000	0.515059	40.000000
168.694000	39.874053	0.503787	0.000000	0.000000	0.503787	40.000000
168.591000	39.880057	0.479770	0.000000	0.000000	0.479770	40.000000
168.491000	39.882220	0.471122	0.000000	-0.000000	0.471122	40.000000
168.391000	39.882158	0.471367	0.000000	0.000000	0.471367	40.000000
168.290000	39.884017	0.463934	0.000000	-0.000000	0.463934	40.000000
168.188000	39.881314	0.474742	0.000000	-0.000000	0.474742	40.000000
168.091000	39.876514	0.493944	0.000000	0.000000	0.493944	40.000000
167.992000	39.877001	0.491997	0.000000	-0.000000	0.491997	40.000000
167.888000	39.875497	0.498012	0.000000	-0.000000	0.498012	40.000000
167.791000	39.872016	0.511934	0.000000	0.000000	0.511934	40.000000
167.692000	39.874121	0.503515	0.000000	0.000000	0.503515	40.000000
167.590000	39.877118	0.491528	0.000000	0.000000	0.491528	40.000000
167.492000	39.881072	0.475713	0.000000	0.000000	0.475713	40.000000
167.390000	39.888941	0.444236	0.000000	0.000000	0.444236	40.000000
167.289000	39.893019	0.427925	0.000000	0.000000	0.427925	40.000000
167.190000	39.897818	0.408729	0.000000	0.000000	0.408729	40.000000
167.093000	39.904591	0.381636	0.000000	0.000000	0.381636	40.000000
166.996000	39.910896	0.356414	0.000000	0.000000	0.356414	40.000000
166.889000	39.911074	0.355705	0.000000	0.000000	0.355705	40.000000
166.789000	39.915337	0.338653	0.000000	0.000000	0.338653	40.000000
166.692000	39.916837	0.332654	0.000000	0.000000	0.332654	40.000000
166.590000	39.918760	0.324960	0.000000	0.000000	0.324960	40.000000
