Zeit (s)	Istwert	P	I	D	Regelausgang	Sollwert
60.399000	39.917614	0.444886	0.000000	-0.001111	0.443775	40.000000
60.297000	39.917500	0.445498	0.000000	0.041294	0.486792	40.000000
60.210000	39.921093	0.426098	0.000000	0.036245	0.462343	40.000000
60.099000	39.925116	0.404373	0.000000	0.061256	0.465629	40.000000
59.996000	39.931426	0.370302	0.000000	-0.020309	0.349993	40.000000
59.898000	39.929435	0.381050	0.000000	0.077238	0.458288	40.000000
59.797000	39.937236	0.338924	0.000000	0.042849	0.381772	40.000000
59.699000	39.941435	0.316248	0.000000	0.027667	0.343916	40.000000
59.597000	39.944258	0.301009	0.000000	0.028522	0.329531	40.000000
59.496000	39.947138	0.285453	0.000000	0.037147	0.322600	40.000000
59.399000	39.950742	0.265996	0.000000	0.013461	0.279457	40.000000
59.297000	39.952115	0.258581	0.000000	0.013872	0.272453	40.000000
59.201000	39.953446	0.251390	0.000000	0.028174	0.279563	40.000000
59.097000	39.956376	0.235567	0.000000	0.010612	0.246180	40.000000
58.995000	39.957459	0.229722	0.000000	0.012643	0.242365	40.000000
58.900000	39.958660	0.223236	0.000000	0.026028	0.249265	40.000000
58.801000	39.961237	0.209322	0.000000	-0.004117	0.205205	40.000000
58.699000	39.960817	0.211589	0.000000	-0.004794	0.206796	40.000000
58.600000	39.960342	0.214152	0.000000	0.022269	0.236420	40.000000
58.495000	39.962680	0.201526	0.000000	-0.031540	0.169986	40.000000
58.398000	39.959621	0.218046	0.000000	-0.037043	0.181003	40.000000
58.299000	39.955954	0.237849	0.000000	-0.011839	0.226010	40.000000
58.198000	39.954758	0.244306	0.000000	-0.011148	0.233158	40.000000
58.096000	39.953621	0.250447	0.000000	-0.089732	0.160714	40.000000
57.997000	39.944737	0.298418	0.000000	-0.067706	0.230712	40.000000
57.897000	39.937967	0.334979	0.000000	-0.055896	0.279083	40.000000
57.796000	39.932321	0.365465	0.000000	-0.052333	0.313132	40.000000
57.695000	39.927036	0.394007	0.000000	-0.042236	0.351771	40.000000
57.597000	39.922897	0.416358	0.000000	-0.067045	0.349313	40.000000
