Zeit (s)	Istwert	P	I	D	Regelausgang	Sollwert
45.203000	39.928418	0.357909	0.000000	0.006456	0.364366	40.000000
45.101000	39.929077	0.354617	0.000000	-0.010309	0.344308	40.000000
44.996000	39.927994	0.360029	0.000000	0.013467	0.373496	40.000000
44.898000	39.929314	0.353430	0.000000	-0.018296	0.335135	40.000000
44.800000	39.927521	0.362395	0.000000	0.029129	0.391524	40.000000
44.699000	39.930463	0.347685	0.000000	-0.022875	0.324810	40.000000
44.599000	39.928176	0.359122	0.000000	-0.008358	0.350764	40.000000
44.499000	39.927340	0.363302	0.000000	-0.050695	0.312606	40.000000
44.396000	39.922118	0.389410	0.000000	0.005482	0.394891	40.000000
44.298000	39.922655	0.386723	0.000000	-0.026394	0.360329	40.000000
44.198000	39.920016	0.399921	0.000000	-0.008570	0.391351	40.000000
44.100000	39.919176	0.404120	0.000000	-0.036717	0.367403	40.000000
43.997000	39.915394	0.423029	0.000000	-0.043263	0.379767	40.000000
43.900000	39.911198	0.444012	0.000000	-0.000582	0.443429	40.000000
43.797000	39.911138	0.444312	0.000000	-0.058254	0.386057	40.000000
43.697000	39.905312	0.473439	0.000000	-0.051344	0.422095	40.000000
43.600000	39.900332	0.498341	0.000000	-0.061125	0.437216	40.000000
43.498000	39.894097	0.529514	0.000000	0.012038	0.541552	40.000000
43.398000	39.895301	0.523495	0.000000	-0.009794	0.513701	40.000000
43.300000	39.894341	0.528294	0.000000	0.006080	0.534375	40.000000
43.202000	39.894937	0.525315	0.000000	0.038995	0.564310	40.000000
43.099000	39.898954	0.505232	0.000000	0.048304	0.553536	40.000000
42.997000	39.903881	0.480597	0.000000	0.011344	0.491942	40.000000
42.897000	39.905015	0.474925	0.000000	0.026981	0.501906	40.000000
42.797000	39.907713	0.461435	0.000000	0.109114	0.570548	40.000000
42.709000	39.917315	0.413425	0.000000	0.036785	0.450210	40.000000
42.603000	39.921214	0.393929	0.000000	0.041512	0.435440	40.000000
42.496000	39.925656	0.371720	0.000000	0.020009	0.391729	40.000000
