Zeit (s)	Istwert	P	I	D	Regelausgang	Sollwert
308.979000	60.070642	-0.178018	0.819158	0.032629	0.673769	60.000000
308.878000	60.075188	-0.189473	0.821618	0.022110	0.654255	60.000000
308.775000	60.078329	-0.197389	0.824289	0.014980	0.641880	60.000000
308.672000	60.080457	-0.202752	0.827071	-0.020730	0.603590	60.000000
308.566000	60.077426	-0.195114	0.830012	0.003428	0.638325	60.000000
308.463000	60.077913	-0.196341	0.832762	-0.030293	0.606128	60.000000
308.363000	60.073735	-0.185812	0.835448	-0.032048	0.617589	60.000000
308.256000	60.069005	-0.173893	0.838169	-0.065335	0.598942	60.000000
308.158000	60.060174	-0.151637	0.840501	-0.120100	0.568763	60.000000
308.060000	60.043939	-0.110727	0.842534	-0.101759	0.630048	60.000000
307.953000	60.028921	-0.072881	0.844155	-0.083606	0.687668	60.000000
307.848000	60.016813	-0.042368	0.845203	-0.046514	0.756320	60.000000
307.682000	60.006163	-0.015530	0.846165	-0.052926	0.777710	60.000000
307.585000	59.999081	0.002315	0.846371	-0.032311	0.816375	60.000000
307.482000	59.994491	0.013883	0.846339	-0.100428	0.759793	60.000000
307.380000	59.980362	0.049488	0.846145	-0.108036	0.787597	60.000000
307.263000	59.962927	0.093424	0.845352	0.025212	0.963988	60.000000
307.161000	59.966474	0.084485	0.844049	0.026572	0.955105	60.000000
307.052000	59.970469	0.074418	0.842788	0.002141	0.919347	60.000000
306.953000	59.970761	0.073681	0.841780	-0.013135	0.902327	60.000000
306.847000	59.968841	0.078520	0.840712	0.002907	0.922140	60.000000
306.742000	59.969262	0.077459	0.839583	0.067446	0.984489	60.000000
306.637000	59.979030	0.052844	0.838470	0.069205	0.960519	60.000000
306.537000	59.988576	0.028789	0.837747	0.088648	0.955185	60.000000
306.362000	60.009974	-0.025133	0.837058	0.076455	0.888379	60.000000
306.265000	60.020203	-0.050911	0.837392	0.039684	0.826165	60.000000
306.162000	60.025841	-0.065118	0.838109	0.003092	0.776083	60.000000
306.062000	60.026267	-0.066193	0.839000	-0.015555	0.757252	60.000000
305.963000	60.024143	-0.060840	0.839897	0.021520	0.800577	60.000000
305.855000	60.027349	-0.068918	0.840796	0.030153	0.802030	60.000000
305.759000	60.031341	-0.078980	0.841701	0.010669	0.773391	60.000000
305.660000	60.032798	-0.082651	0.842771	-0.146616	0.613504	60.000000
305.557000	60.011969	-0.030161	0.843936	-0.169524	0.644252	60.000000
305.458000	59.988820	0.028174	0.844345	-0.089742	0.782777	60.000000
305.359000	59.976565	0.059055	0.843963	0.000000	0.903018	60.000000
305.251000	59.976565	0.059055	0.843090	-0.025383	0.876762	60.000000
305.149000	59.972994	0.068054	0.842266	0.023391	0.933711	60.000000
305.046000	59.976317	0.059680	0.841307	-0.004135	0.896853	60.000000
304.951000	59.975776	0.061046	0.840531	-0.035182	0.866395	60.000000
304.849000	59.970826	0.073519	0.839679	-0.078715	0.834483	60.000000
304.745000	59.959534	0.101974	0.838633	0.035487	0.976094	60.000000
304.645000	59.964429	0.089639	0.837237	0.012963	0.939840	60.000000
304.537000	59.966360	0.084772	0.835913	-0.046926	0.873759	60.000000
304.439000	59.960017	0.100757	0.834776	-0.090047	0.845486	60.000000
304.337000	59.947348	0.132682	0.833370	-0.126792	0.839259	60.000000
304.230000	59.928636	0.179838	0.831427	-0.081946	0.929320	60.000000
304.128000	59.917107	0.208891	0.828917	-0.019207	1.018601	60.000000
304.030000	59.914510	0.215434	0.826116	-0.076379	0.965171	60.000000
303.928000	59.903765	0.242513	0.823109	-0.041242	1.024380	60.000000
303.823000	59.897792	0.257565	0.819624	0.007926	1.085115	60.000000
303.718000	59.898940	0.254672	0.815924	-0.010824	1.059771	60.000000
303.613000	59.897372	0.258623	0.812265	0.033028	1.103915	60.000000
303.511000	59.902019	0.246913	0.808655	0.077106	1.132674	60.000000
303.410000	59.912760	0.219844	0.805243	0.143288	1.168374	60.000000
303.304000	59.933710	0.167051	0.802054	0.135304	1.104408	60.000000
303.207000	59.951813	0.121432	0.799837	-0.026613	0.894656	60.000000
303.105000	59.948068	0.130867	0.798142	-0.088332	0.840677	60.000000
303.003000	59.935641	0.162184	0.796315	-0.026997	0.931503	60.000000
302.904000	59.931955	0.171474	0.794118	0.041284	1.006876	60.000000
302.798000	59.937991	0.156264	0.791631	0.080451	1.028346	60.000000
302.699000	59.948976	0.128580	0.789514	0.021884	0.939978	60.000000
302.585000	59.952417	0.119908	0.787508	-0.007478	0.899938	60.000000
302.491000	59.951448	0.122351	0.785966	0.081426	0.989743	60.000000
302.391000	59.962679	0.094049	0.784292	0.070946	0.949287	60.000000
302.288000	59.972758	0.068649	0.782966	0.106821	0.958437	60.000000
302.188000	59.987492	0.031520	0.782027	0.063244	0.876791	60.000000
302.087000	59.996303	0.009317	0.781591	0.091966	0.882874	60.000000
301.984000	60.009368	-0.023608	0.781460	0.083641	0.841493	60.000000
