Zeit (s)	Istwert	P	I	D	Regelausgang	Sollwert
174.988000	60.031165	-0.078536	0.827284	0.012177	0.760925	60.000000
174.883000	60.032929	-0.082980	0.828412	0.019516	0.764948	60.000000
174.782000	60.035647	-0.089831	0.829559	0.024240	0.763968	60.000000
174.686000	60.038857	-0.097920	0.830739	0.019949	0.752769	60.000000
174.587000	60.041581	-0.104784	0.832066	0.011787	0.739069	60.000000
174.494000	60.043093	-0.108595	0.833399	0.047508	0.772312	60.000000
174.397000	60.049449	-0.124612	0.834841	0.043868	0.754096	60.000000
174.301000	60.055258	-0.139250	0.836478	0.071894	0.769121	60.000000
174.199000	60.065373	-0.164740	0.838421	0.049831	0.723512	60.000000
174.102000	60.072040	-0.181541	0.840608	-0.012473	0.646594	60.000000
174.007000	60.070405	-0.177422	0.842968	-0.041139	0.624407	60.000000
173.913000	60.065072	-0.163980	0.845250	-0.031108	0.650162	60.000000
173.817000	60.060952	-0.153600	0.847404	-0.079974	0.613829	60.000000
173.716000	60.049811	-0.125524	0.849527	-0.081895	0.642107	60.000000
173.552000	60.031286	-0.078841	0.852344	-0.040460	0.733042	60.000000
173.451000	60.025650	-0.064637	0.853433	-0.020330	0.768466	60.000000
173.354000	60.022929	-0.057782	0.854291	0.030807	0.827316	60.000000
173.257000	60.027051	-0.068169	0.855058	-0.001082	0.785807	60.000000
173.092000	60.026805	-0.067549	0.856597	-0.035807	0.753241	60.000000
172.994000	60.021965	-0.055352	0.857503	-0.070008	0.732143	60.000000
172.898000	60.012695	-0.031991	0.858230	-0.045818	0.780421	60.000000
172.806000	60.006881	-0.017340	0.858633	-0.056429	0.784864	60.000000
172.705000	59.999020	0.002470	0.858873	-0.071622	0.789720	60.000000
172.606000	59.989240	0.027116	0.858839	0.003794	0.889749	60.000000
172.514000	59.989721	0.025903	0.858498	-0.001326	0.883075	60.000000
172.349000	59.989419	0.026663	0.857913	-0.035192	0.849385	60.000000
172.247000	59.984468	0.039140	0.857541	-0.012849	0.883832	60.000000
172.145000	59.982660	0.043696	0.856994	-0.002664	0.898026	60.000000
172.045000	59.982293	0.044622	0.856396	-0.035796	0.865222	60.000000
171.946000	59.977405	0.056940	0.855792	-0.048536	0.864196	60.000000
