Zeit (s)	Istwert	P	I	D	Regelausgang	Sollwert
652.892000	59.953927	0.087538	0.876003	-0.049525	0.914016	60.000000
652.782000	59.948975	0.096947	0.873699	-0.087966	0.882681	60.000000
652.665000	59.939619	0.114725	0.870985	-0.073343	0.912367	60.000000
652.551000	59.932018	0.129166	0.867857	0.002133	0.999157	60.000000
652.430000	59.932252	0.128721	0.864118	0.040893	1.033731	60.000000
652.308000	59.936788	0.120103	0.860361	0.081011	1.061476	60.000000
652.186000	59.945773	0.103032	0.856855	0.162770	1.122657	60.000000
652.075000	59.962198	0.071825	0.854119	0.172761	1.098705	60.000000
651.962000	59.979945	0.038105	0.852178	0.094299	0.984581	60.000000
651.855000	59.989118	0.020677	0.851202	0.086106	0.957985	60.000000
651.734000	59.998589	0.002680	0.850604	0.071100	0.924384	60.000000
651.616000	60.006216	-0.011811	0.850528	-0.009818	0.828899	60.000000
651.501000	60.005190	-0.009861	0.850853	0.019050	0.860042	60.000000
651.382000	60.007251	-0.013777	0.851134	-0.018904	0.818453	60.000000
651.262000	60.005189	-0.009858	0.851529	-0.085634	0.756037	60.000000
651.144000	59.996002	0.007595	0.851807	-0.093360	0.766043	60.000000
651.023000	59.985733	0.027108	0.851588	-0.026505	0.852190	60.000000
650.898000	59.982721	0.032831	0.850777	-0.001698	0.881909	60.000000
650.779000	59.982537	0.033180	0.849842	0.019677	0.902699	60.000000
650.661000	59.984648	0.029169	0.848906	0.007376	0.885450	60.000000
650.544000	59.985432	0.027679	0.848089	-0.055614	0.820154	60.000000
650.427000	59.979517	0.038918	0.847314	0.021775	0.908007	60.000000
650.314000	59.981754	0.034668	0.846262	-0.035271	0.845659	60.000000
650.203000	59.978195	0.041430	0.845342	0.113962	1.000734	60.000000
650.062000	59.992803	0.013675	0.843944	0.044025	0.901644	60.000000
649.946000	59.997445	0.004854	0.843565	-0.025635	0.822784	60.000000
649.819000	59.994486	0.010477	0.843417	0.160217	1.014111	60.000000
649.701000	60.011673	-0.022178	0.843121	0.094614	0.915557	60.000000
649.587000	60.021478	-0.040808	0.843726	0.154228	0.957146	60.000000
649.476000	60.037041	-0.070378	0.844810	0.089142	0.863574	60.000000
649.364000	60.046117	-0.087623	0.846696	-0.072903	0.686170	60.000000
649.248000	60.038429	-0.073016	0.849127	-0.018371	0.757741	60.000000
649.125000	60.036375	-0.069113	0.851276	0.036764	0.818927	60.000000
649.009000	60.040252	-0.076479	0.853194	0.112828	0.889543	60.000000
648.888000	60.052663	-0.100060	0.855408	0.141715	0.897063	60.000000
648.771000	60.067736	-0.128699	0.858208	-0.002787	0.726722	60.000000
648.651000	60.067432	-0.128122	0.861903	0.041180	0.774962	60.000000
648.528000	60.072037	-0.136871	0.865673	-0.031302	0.697500	60.000000
648.411000	60.068708	-0.130545	0.869504	-0.088688	0.650272	60.000000
648.290000	60.058952	-0.112009	0.873283	-0.170632	0.590642	60.000000
648.171000	60.040493	-0.076936	0.876472	-0.016753	0.782782	60.000000
648.056000	60.038741	-0.073609	0.878589	0.006943	0.811924	60.000000
647.874000	60.039890	-0.075791	0.881794	0.025017	0.831019	60.000000
647.757000	60.042551	-0.080847	0.883915	0.028115	0.831183	60.000000
647.660000	60.045030	-0.085558	0.885791	0.011019	0.811252	60.000000
647.539000	60.046242	-0.087860	0.888268	0.069399	0.869807	60.000000
647.420000	60.053750	-0.102125	0.890769	-0.030194	0.758450	60.000000
647.299000	60.050429	-0.095815	0.893725	0.055373	0.853284	60.000000
647.180000	60.056419	-0.107196	0.896453	-0.148802	0.640455	60.000000
647.060000	60.040186	-0.076354	0.899531	-0.277396	0.545781	60.000000
646.945000	60.011186	-0.021253	0.901631	-0.212371	0.668008	60.000000
646.826000	59.988211	0.022399	0.902236	-0.071487	0.853148	60.000000
646.709000	59.980607	0.036846	0.901609	0.029744	0.968200	60.000000
646.593000	59.983744	0.030886	0.900587	0.017125	0.948599	60.000000
646.465000	59.985737	0.027100	0.899641	-2.610864E-5	0.926715	60.000000
646.352000	59.985734	0.027105	0.898908	0.099647	1.025661	60.000000
646.254000	59.994612	0.010238	0.898273	0.144714	1.053224	60.000000
646.134000	60.010399	-0.019757	0.897979	0.049802	0.928023	60.000000
646.015000	60.015786	-0.029994	0.898541	-0.005563	0.862985	60.000000
645.824000	60.014820	-0.028159	0.899912	0.023322	0.895075	60.000000
645.707000	60.017301	-0.032872	0.900700	0.011901	0.879729	60.000000
645.590000	60.018567	-0.035277	0.901620	-0.062100	0.804244	60.000000
645.472000	60.011905	-0.022620	0.902616	-0.088735	0.791261	60.000000
645.355000	60.002467	-0.004688	0.903249	-0.089148	0.809414	60.000000
645.238000	59.992985	0.013328	0.903380	-0.078327	0.838382	60.000000
645.126000	59.985010	0.028481	0.903023	-0.042647	0.888857	60.000000
645.014000	59.980668	0.036731	0.902260	-0.088521	0.850471	60.000000
644.897000	59.971252	0.054621	0.901232	-0.027118	0.928735	60.000000
644.777000	59.968294	0.060242	0.899664	-0.124688	0.835218	60.000000
644.663000	59.955372	0.084794	0.898021	-0.068594	0.914221	60.000000
644.543000	59.947889	0.099011	0.895587	-0.067037	0.927561	60.000000
644.444000	59.941855	0.110475	0.893242	-0.047854	0.955862	60.000000
644.326000	59.936722	0.120228	0.890123	0.033514	1.043865	60.000000
644.205000	59.940408	0.113224	0.886643	-0.049398	0.950469	60.000000
644.088000	59.935154	0.123207	0.883474	2.479223E-5	1.006705	60.000000
643.969000	59.935157	0.123202	0.879966	-0.015514	0.987654	60.000000
643.849000	59.933465	0.126417	0.876429	-0.037817	0.965029	60.000000
643.728000	59.929305	0.134321	0.872770	-0.069823	0.937267	60.000000
643.611000	59.921878	0.148432	0.869010	-0.068594	0.948848	60.000000
643.489000	59.914270	0.162886	0.864678	0.048838	1.076402	60.000000
643.368000	59.919643	0.152679	0.859963	0.053405	1.066047	60.000000
643.250000	59.925371	0.141794	0.855653	0.028827	1.026273	60.000000
643.130000	59.928516	0.135819	0.851582	0.179682	1.167083	60.000000
643.011000	59.947954	0.098886	0.847715	0.188233	1.134834	60.000000
642.890000	59.968660	0.059546	0.844853	0.116853	1.021252	60.000000
642.769000	59.981514	0.035124	0.843129	0.091966	0.970219	60.000000
642.650000	59.991463	0.016220	0.842129	0.086830	0.945180	60.000000
642.529000	60.001014	-0.001927	0.841660	0.108912	0.948645	60.000000
642.411000	60.012698	-0.024126	0.841714	0.101050	0.918638	60.000000
642.293000	60.023538	-0.044721	0.842395	0.097258	0.894932	60.000000
642.180000	60.033529	-0.063704	0.843604	0.063479	0.843379	60.000000
642.072000	60.039761	-0.075546	0.845250	0.076471	0.846175	60.000000
641.957000	60.047756	-0.090736	0.847328	0.074527	0.831120	60.000000
641.839000	60.055750	-0.105926	0.849890	0.066034	0.809998	60.000000
641.719000	60.062954	-0.119613	0.852931	0.073242	0.806560	60.000000
641.598000	60.071011	-0.134920	0.856393	0.024379	0.745852	60.000000
641.478000	60.073670	-0.139974	0.860267	0.020001	0.740294	60.000000
641.358000	60.075852	-0.144119	0.864285	-0.017074	0.703092	60.000000
641.241000	60.074036	-0.140669	0.868319	-0.007142	0.720508	60.000000
641.120000	60.073251	-0.139176	0.872391	-0.067168	0.666047	60.000000
641.005000	60.066228	-0.125834	0.876220	-0.082377	0.668009	60.000000
640.878000	60.056718	-0.107764	0.880043	-0.105112	0.667168	60.000000
640.757000	60.045155	-0.085795	0.883163	-0.127312	0.670055	60.000000
640.645000	60.032193	-0.061166	0.885461	-0.031593	0.792703	60.000000
640.525000	60.028746	-0.054618	0.887217	-0.007225	0.825374	60.000000
640.414000	60.028017	-0.053233	0.888668	-0.069110	0.766325	60.000000
640.306000	60.021232	-0.040340	0.890043	-0.093237	0.756466	60.000000
640.186000	60.011061	-0.021015	0.891201	-0.041690	0.828496	60.000000
640.071000	60.006702	-0.012734	0.891779	-0.205986	0.673060	60.000000
639.951000	59.984231	0.029962	0.892145	-0.167873	0.754233	60.000000
639.830000	59.965765	0.065047	0.891278	-0.133487	0.822838	60.000000
639.714000	59.951688	0.091793	0.889473	-0.089947	0.891319	60.000000
639.593000	59.941794	0.110592	0.886815	-0.002686	0.994721	60.000000
639.470000	59.941493	0.111163	0.883561	0.023221	1.017945	60.000000
639.350000	59.944027	0.106349	0.880370	0.023466	1.010185	60.000000
639.231000	59.946565	0.101526	0.877342	0.021718	1.000586	60.000000
639.112000	59.948915	0.097062	0.874452	-0.003250	0.968264	60.000000
638.989000	59.948551	0.097753	0.871596	0.036793	1.006142	60.000000
638.868000	59.952598	0.090063	0.868766	0.035775	0.994604	60.000000
638.749000	59.956469	0.082709	0.866202	0.029015	0.977927	60.000000
638.628000	59.959660	0.076645	0.863808	0.041985	0.982438	60.000000
638.511000	59.964126	0.068161	0.861663	0.037628	0.967451	60.000000
638.391000	59.968231	0.060361	0.859706	-0.029697	0.890370	60.000000
638.277000	59.965153	0.066209	0.858060	-0.002886	0.921382	60.000000
638.162000	59.964852	0.066782	0.856238	0.073881	0.996901	60.000000
638.055000	59.972038	0.053128	0.854529	-0.054298	0.853358	60.000000
637.940000	59.966362	0.063913	0.853067	-0.073421	0.843559	60.000000
637.817000	59.958152	0.079512	0.851186	-0.044230	0.886468	60.000000
637.697000	59.953327	0.088679	0.848904	-0.018799	0.918784	60.000000
637.580000	59.951327	0.092478	0.846421	0.019074	0.957974	60.000000
637.465000	59.953321	0.088690	0.843877	0.065324	0.997891	60.000000
637.345000	59.960448	0.075150	0.841331	0.149480	1.065961	60.000000
