Zeit (s)	Istwert	P	I	D	Regelausgang	Sollwert
98.615000	59.958936	0.103481	0.829318	0.075748	1.008546	60.000000
98.515000	59.969384	0.077152	0.827902	0.092070	0.997123	60.000000
98.419000	59.981576	0.046430	0.826888	0.058307	0.931624	60.000000
98.317000	59.989779	0.025758	0.826240	0.012826	0.864824	60.000000
98.218000	59.991530	0.021344	0.825891	0.029485	0.876720	60.000000
98.123000	59.995394	0.011608	0.825614	0.035960	0.873182	60.000000
98.017000	60.000651	-0.001641	0.825445	0.041281	0.865086	60.000000
97.916000	60.006402	-0.016133	0.825468	0.060744	0.870079	60.000000
97.817000	60.014697	-0.037036	0.825687	-0.009116	0.779535	60.000000
97.716000	60.013427	-0.033835	0.826198	0.059397	0.851760	60.000000
97.614000	60.021783	-0.054894	0.826671	0.026252	0.798029	60.000000
97.517000	60.025296	-0.063745	0.827399	0.064111	0.827765	60.000000
97.415000	60.034316	-0.086475	0.828289	0.075635	0.817449	60.000000
97.317000	60.044539	-0.112239	0.829449	0.054807	0.772017	60.000000
97.220000	60.051872	-0.130718	0.830938	0.042681	0.742901	60.000000
97.115000	60.058054	-0.146295	0.832816	0.020601	0.707122	60.000000
97.017000	60.060838	-0.153312	0.834778	0.122549	0.804015	60.000000
96.916000	60.077910	-0.196334	0.836897	0.039012	0.679574	60.000000
96.817000	60.083238	-0.209759	0.839557	0.142423	0.772221	60.000000
96.719000	60.102489	-0.258273	0.842370	0.067836	0.651933	60.000000
96.618000	60.111939	-0.282087	0.845939	0.024363	0.588215	60.000000
96.517000	60.115333	-0.290640	0.849838	0.006187	0.565384	60.000000
96.418000	60.116178	-0.292769	0.853775	-0.006884	0.554121	60.000000
96.316000	60.115210	-0.290329	0.857861	-0.057472	0.510061	60.000000
96.219000	60.107520	-0.270951	0.861715	-0.015949	0.574815	60.000000
96.117000	60.105277	-0.265297	0.865497	0.031419	0.631618	60.000000
96.019000	60.109523	-0.275999	0.869054	0.016474	0.609529	60.000000
95.918000	60.111818	-0.281782	0.872869	-0.046068	0.545018	60.000000
95.816000	60.105337	-0.265449	0.876802	-0.099303	0.512049	60.000000
95.717000	60.091777	-0.231278	0.880398	-0.130786	0.518333	60.000000
95.617000	60.073738	-0.185819	0.883562	-0.166434	0.531310	60.000000
95.517000	60.050781	-0.127969	0.886105	-0.069792	0.688344	60.000000
95.417000	60.041155	-0.103710	0.887856	-0.007146	0.777001	60.000000
95.319000	60.040189	-0.101276	0.889247	-0.090381	0.697590	60.000000
95.216000	60.027349	-0.068918	0.890674	-0.052207	0.769548	60.000000
95.116000	60.020148	-0.050772	0.891617	-0.048844	0.792001	60.000000
95.018000	60.013545	-0.034134	0.892298	-0.140269	0.717895	60.000000
94.917000	59.994004	0.015109	0.892770	0.022558	0.930437	60.000000
94.818000	59.997085	0.007347	0.892565	0.014738	0.914650	60.000000
94.717000	59.999138	0.002173	0.892464	-0.189957	0.704679	60.000000
94.617000	59.972937	0.068200	0.892434	-0.234098	0.726535	60.000000
94.517000	59.940647	0.149569	0.891501	-0.141375	0.899695	60.000000
94.417000	59.921147	0.198709	0.889454	-0.066309	1.021854	60.000000
94.318000	59.912093	0.221527	0.886762	-0.062007	1.046282	60.000000
94.215000	59.903283	0.243726	0.883640	-0.046422	1.080943	60.000000
94.116000	59.896944	0.259701	0.880338	-0.054145	1.085893	60.000000
94.019000	59.889700	0.277956	0.876891	-0.003722	1.151125	60.000000
93.926000	59.889223	0.279159	0.873354	0.046867	1.199380	60.000000
93.828000	59.895558	0.263195	0.869610	-0.081827	1.050978	60.000000
93.736000	59.885174	0.289362	0.866297	-0.131729	1.023929	60.000000
93.640000	59.867731	0.333317	0.862496	-0.120579	1.075235	60.000000
93.542000	59.851432	0.374391	0.858026	0.013172	1.245589	60.000000
93.449000	59.853122	0.370133	0.853262	-0.077569	1.145825	60.000000
93.352000	59.842744	0.396286	0.848349	-0.090988	1.153647	60.000000
93.263000	59.831574	0.424433	0.843523	0.001392	1.269348	60.000000
93.168000	59.831757	0.423973	0.838005	0.044702	1.306681	60.000000
93.076000	59.837429	0.409679	0.832668	0.138203	1.380550	60.000000
92.981000	59.855538	0.364043	0.827342	0.083107	1.274493	60.000000
92.883000	59.866772	0.335734	0.822461	0.103473	1.261667	60.000000
92.782000	59.881187	0.299409	0.817821	0.208472	1.325701	60.000000
92.685000	59.909079	0.229120	0.813847	0.291007	1.333973	60.000000
92.522000	59.974506	0.064246	0.808736	0.024907	0.897889	60.000000
92.420000	59.978010	0.055415	0.807839	0.115314	0.978569	60.000000
92.316000	59.994551	0.013731	0.807051	0.150481	0.971263	60.000000
92.216000	60.015307	-0.038575	0.806863	0.096023	0.864311	60.000000
92.115000	60.028684	-0.072285	0.807396	0.053731	0.788842	60.000000
92.017000	60.035947	-0.090587	0.808365	0.014056	0.731835	60.000000
91.920000	60.037828	-0.095326	0.809568	0.024769	0.739010	60.000000
91.819000	60.041278	-0.104022	0.810885	-0.012347	0.694516	60.000000
91.716000	60.039524	-0.099601	0.812351	0.050148	0.762898	60.000000
91.618000	60.046303	-0.116683	0.813687	0.073313	0.770316	60.000000
91.518000	60.056415	-0.142166	0.815284	0.086936	0.760054	60.000000
91.417000	60.068526	-0.172686	0.817248	0.055424	0.699987	60.000000
91.318000	60.076094	-0.191758	0.819588	0.005359	0.633189	60.000000
91.219000	60.076826	-0.193602	0.822185	0.015461	0.644045	60.000000
91.117000	60.079001	-0.199084	0.824888	0.001744	0.627548	60.000000
91.018000	60.079240	-0.199684	0.827585	-0.018590	0.609311	60.000000
90.919000	60.076701	-0.193287	0.830290	0.048077	0.685080	60.000000
90.814000	60.083664	-0.210833	0.833067	0.042975	0.665208	60.000000
90.719000	60.089295	-0.225024	0.835807	-0.048011	0.562773	60.000000
90.622000	60.082872	-0.208837	0.838794	-0.045668	0.584290	60.000000
90.525000	60.076762	-0.193439	0.841566	-0.145599	0.502528	60.000000
90.424000	60.056478	-0.142325	0.844240	-0.084550	0.617365	60.000000
90.330000	60.045516	-0.114700	0.846070	-0.034765	0.696605	60.000000
90.234000	60.040913	-0.103100	0.847577	0.000472	0.744949	60.000000
90.141000	60.040973	-0.103252	0.848889	-0.013388	0.732249	60.000000
90.020000	60.038739	-0.097621	0.850599	-0.074063	0.678914	60.000000
89.921000	60.028625	-0.072136	0.851921	-0.092829	0.686956	60.000000
89.816000	60.015181	-0.038256	0.852957	-0.029259	0.785443	60.000000
89.717000	60.011186	-0.028188	0.853476	-0.074610	0.750678	60.000000
89.617000	60.000895	-0.002254	0.853861	-0.066801	0.784806	60.000000
89.518000	59.991773	0.020733	0.853892	-0.037380	0.837245	60.000000
89.415000	59.986462	0.034115	0.853600	-0.047748	0.839967	60.000000
89.316000	59.979942	0.050546	0.853138	-0.063400	0.840283	60.000000
89.216000	59.971197	0.072583	0.852446	-0.023923	0.901106	60.000000
89.117000	59.967931	0.080815	0.851463	-0.026555	0.905723	60.000000
89.018000	59.964304	0.089953	0.850368	-0.077014	0.863307	60.000000
88.914000	59.953257	0.117793	0.849088	-0.098634	0.868247	60.000000
88.816000	59.939924	0.151391	0.847508	-0.079714	0.919185	60.000000
88.721000	59.929479	0.177713	0.845540	-0.019115	1.004138	60.000000
88.618000	59.926763	0.184556	0.843035	-0.007552	1.020039	60.000000
88.519000	59.925732	0.187155	0.840535	-0.086193	0.941497	60.000000
88.418000	59.913725	0.217414	0.837949	-0.021213	1.034150	60.000000
88.319000	59.910828	0.224714	0.835004	0.036134	1.095851	60.000000
88.216000	59.915961	0.211777	0.831836	0.072948	1.116561	60.000000
88.117000	59.925923	0.186675	0.828967	0.173220	1.188862	60.000000
88.019000	59.949337	0.127671	0.826464	0.147716	1.101851	60.000000
87.915000	59.970527	0.074273	0.824647	0.020563	0.919483	60.000000
87.815000	59.973363	0.067125	0.823631	-0.073415	0.817341	60.000000
87.719000	59.963642	0.091622	0.822749	-0.103107	0.811265	60.000000
87.618000	59.949278	0.127819	0.821483	0.068885	1.018187	60.000000
87.517000	59.958875	0.103636	0.819716	0.103768	1.027121	60.000000
87.417000	59.973187	0.067568	0.818298	0.022760	0.908626	60.000000
87.317000	59.976327	0.059657	0.817374	0.066492	0.943523	60.000000
