Zeit (s)	Istwert	P	I	D	Regelausgang	Sollwert
283.414000	49.984943	0.037943	0.651344	0.032386	0.721673	50.000000
283.313000	49.989455	0.026573	0.650820	0.027884	0.705277	50.000000
283.208000	49.993493	0.016397	0.650438	-0.004407	0.662428	50.000000
283.109000	49.992892	0.017913	0.650216	-0.004015	0.664114	50.000000
283.010000	49.992343	0.019295	0.649973	0.042856	0.712124	50.000000
282.903000	49.998668	0.003356	0.649691	0.013576	0.666623	50.000000
282.797000	50.000653	-0.001646	0.649642	0.023586	0.671582	50.000000
282.693000	50.004037	-0.010173	0.649666	0.024092	0.663585	50.000000
282.584000	50.007659	-0.019300	0.649817	0.027423	0.657940	50.000000
282.482000	50.011517	-0.029023	0.650087	-0.008578	0.612486	50.000000
282.375000	50.010251	-0.025833	0.650512	-0.039946	0.584733	50.000000
282.271000	50.004521	-0.011393	0.650879	-0.029899	0.609588	50.000000
282.170000	50.000356	-0.000896	0.651037	0.001229	0.651370	50.000000
282.064000	50.000535	-0.001349	0.651050	0.012533	0.662234	50.000000
281.963000	50.002281	-0.005749	0.651068	0.017785	0.663104	50.000000
281.857000	50.004882	-0.012302	0.651152	0.018561	0.657411	50.000000
281.758000	50.007416	-0.018689	0.651318	-0.059018	0.573612	50.000000
281.652000	49.998787	0.003056	0.651589	-0.010617	0.644028	50.000000
281.549000	49.997279	0.006857	0.651546	0.005771	0.664174	50.000000
281.443000	49.998123	0.004731	0.651447	-0.042779	0.613398	50.000000
281.340000	49.992045	0.020046	0.651380	0.033885	0.705311	50.000000
281.237000	49.996859	0.007915	0.651098	0.047019	0.706032	50.000000
281.131000	50.003734	-0.009409	0.650983	0.038663	0.680237	50.000000
281.028000	50.009227	-0.023251	0.651116	0.036827	0.664692	50.000000
280.921000	50.014662	-0.036948	0.651456	-0.028214	0.586294	50.000000
280.817000	50.010615	-0.026749	0.651982	-0.000824	0.624409	50.000000
280.712000	50.010495	-0.026448	0.652366	-0.030534	0.595384	50.000000
280.606000	50.006031	-0.015198	0.652750	-0.091798	0.545753	50.000000
280.506000	49.993369	0.016710	0.652958	0.010997	0.680665	50.000000
280.407000	49.994871	0.012926	0.652731	0.030424	0.696081	50.000000
280.318000	49.998606	0.003514	0.652574	-0.002955	0.653133	50.000000
280.214000	49.998182	0.004582	0.652524	-0.005328	0.651778	50.000000
280.091000	49.997278	0.006860	0.652447	-0.002112	0.657195	50.000000
279.990000	49.996983	0.007602	0.652352	-0.038338	0.621615	50.000000
279.891000	49.991748	0.020794	0.652249	-0.020724	0.652319	50.000000
279.790000	49.988861	0.028070	0.651962	0.038912	0.718943	50.000000
279.688000	49.994336	0.014274	0.651570	0.034590	0.700434	50.000000
279.582000	49.999393	0.001529	0.651363	0.010226	0.663118	50.000000
279.484000	50.000775	-0.001954	0.651342	0.001268	0.650656	50.000000
279.382000	50.000954	-0.002403	0.651370	-0.054451	0.594515	50.000000
279.273000	49.992767	0.018226	0.651405	-0.014794	0.654838	50.000000
279.173000	49.990727	0.023369	0.651156	-0.006131	0.668394	50.000000
279.065000	49.989813	0.025670	0.650811	-0.023699	0.652781	50.000000
278.964000	49.986512	0.033990	0.650456	0.016957	0.701403	50.000000
278.856000	49.989038	0.027625	0.649954	-0.027322	0.650257	50.000000
278.757000	49.985307	0.037026	0.649579	-0.015167	0.671439	50.000000
278.653000	49.983131	0.042509	0.649052	0.004883	0.696445	50.000000
278.545000	49.983859	0.040676	0.648424	0.029818	0.718918	50.000000
278.438000	49.988260	0.029586	0.647829	0.032352	0.709767	50.000000
278.341000	49.992588	0.018678	0.647436	0.035617	0.701731	50.000000
278.238000	49.997648	0.005927	0.647173	0.007094	0.660193	50.000000
278.134000	49.998666	0.003362	0.647088	-1.882475E-5	0.650432	50.000000
278.031000	49.998663	0.003369	0.647041	0.011459	0.661869	50.000000
277.924000	50.000354	-0.000893	0.646992	0.045418	0.691517	50.000000
277.819000	50.006932	-0.017469	0.647004	-0.021463	0.608073	50.000000
277.713000	50.003794	-0.009561	0.647258	-0.026708	0.610989	50.000000
277.613000	50.000110	-0.000278	0.647389	-0.031638	0.615473	50.000000
277.507000	49.995484	0.011379	0.647393	-0.001409	0.657363	50.000000
277.410000	49.995296	0.011854	0.647242	0.027248	0.686344	50.000000
277.306000	49.999205	0.002004	0.647073	-0.014796	0.634281	50.000000
277.203000	49.997103	0.007302	0.647045	0.020534	0.674880	50.000000
277.103000	49.999935	0.000165	0.646945	0.015234	0.662343	50.000000
276.997000	50.002162	-0.005448	0.646942	0.029062	0.670556	50.000000
276.896000	50.006211	-0.015651	0.647018	0.013769	0.645136	50.000000
276.791000	50.008205	-0.020676	0.647243	0.046656	0.673223	50.000000
276.627000	50.018759	-0.047272	0.647707	0.039827	0.640262	50.000000
276.517000	50.024801	-0.062499	0.648418	0.012659	0.598578	50.000000
276.420000	50.026495	-0.066768	0.649248	0.039507	0.621987	50.000000
276.316000	50.032162	-0.081049	0.650198	-0.074769	0.494380	50.000000
276.213000	50.021540	-0.054281	0.651340	-0.100065	0.496995	50.000000
