Zeit (s)	Istwert	P	I	D	Regelausgang	Sollwert
104.595000	59.998344	0.003147	0.888123	0.093092	0.984361	60.000000
104.497000	60.006277	-0.011926	0.888049	0.105892	0.982015	60.000000
104.399000	60.015301	-0.029071	0.888329	0.032781	0.892039	60.000000
104.299000	60.018151	-0.034487	0.889024	-0.120741	0.733796	60.000000
104.194000	60.007127	-0.013541	0.889891	-0.184395	0.691954	60.000000
104.096000	59.991413	0.016315	0.890208	-0.087733	0.818789	60.000000
103.997000	59.983861	0.030665	0.889822	0.109064	1.029550	60.000000
103.897000	59.993344	0.012646	0.889088	0.028828	0.930562	60.000000
103.796000	59.995876	0.007835	0.888783	-0.176865	0.719753	60.000000
103.701000	59.981266	0.035595	0.888605	-0.110741	0.813459	60.000000
103.597000	59.971251	0.054623	0.887719	-0.035424	0.906918	60.000000
103.497000	59.968171	0.060476	0.886412	-0.079675	0.867213	60.000000
103.396000	59.961173	0.073771	0.884951	0.006834	0.965556	60.000000
103.294000	59.961779	0.072620	0.883151	0.239999	1.195769	60.000000
103.196000	59.982231	0.033761	0.881448	0.122572	1.037781	60.000000
103.098000	59.992677	0.013914	0.880657	0.062005	0.956576	60.000000
102.996000	59.998176	0.003465	0.880317	-0.007129	0.876654	60.000000
102.898000	59.997569	0.004619	0.880236	-0.098990	0.785865	60.000000
102.797000	59.988875	0.021138	0.880124	-0.015664	0.885598	60.000000
102.695000	59.987485	0.023778	0.879609	0.007837	0.911223	60.000000
102.597000	59.988153	0.022509	0.879051	0.002773	0.904333	60.000000
102.498000	59.988392	0.022055	0.878518	0.084530	0.985104	60.000000
102.397000	59.995816	0.007950	0.877985	0.109781	0.995716	60.000000
102.295000	60.005553	-0.010551	0.877791	-0.050117	0.817123	60.000000
102.199000	60.001369	-0.002602	0.878033	0.042091	0.917522	60.000000
102.098000	60.005066	-0.009626	0.878096	-0.091121	0.777350	60.000000
101.995000	59.996905	0.005881	0.878333	1.589883E-5	0.884230	60.000000
101.898000	59.996906	0.005878	0.878197	0.052243	0.936318	60.000000
101.797000	60.001495	-0.002840	0.878055	0.059507	0.934723	60.000000
101.694000	60.006824	-0.012966	0.878125	0.108419	0.973577	60.000000
