Zeit (s)	Istwert	P	I	D	Regelausgang	Sollwert
526.371000	59.478885	0.000000	0.000000	0.000000	0.000000	60.000000
526.278000	59.479128	0.000000	0.000000	0.000000	0.000000	60.000000
526.183000	59.490717	0.000000	0.000000	0.000000	0.000000	60.000000
526.090000	59.495061	0.000000	0.000000	0.000000	0.000000	60.000000
525.991000	59.499769	0.000000	0.000000	0.000000	0.000000	60.000000
525.891000	59.513288	0.000000	0.000000	0.000000	0.000000	60.000000
525.794000	59.519745	0.000000	0.000000	0.000000	0.000000	60.000000
525.703000	59.516851	0.000000	0.000000	0.000000	0.000000	60.000000
525.610000	59.517275	0.000000	0.000000	0.000000	0.000000	60.000000
525.511000	59.526509	0.000000	0.000000	0.000000	0.000000	60.000000
525.412000	59.527110	0.000000	0.000000	0.000000	0.000000	60.000000
525.315000	59.521860	0.000000	0.000000	0.000000	0.000000	60.000000
525.219000	59.514679	0.000000	0.000000	0.000000	0.000000	60.000000
525.120000	59.509670	0.000000	0.000000	0.000000	0.000000	60.000000
525.018000	59.495247	0.000000	0.000000	0.000000	0.000000	60.000000
524.919000	59.491319	0.000000	0.000000	0.000000	0.000000	60.000000
524.815000	59.484798	0.000000	0.000000	0.000000	0.000000	60.000000
524.718000	59.478343	0.000000	0.000000	0.000000	0.000000	60.000000
524.624000	59.478705	0.000000	0.000000	0.000000	0.000000	60.000000
524.533000	59.483831	0.000000	0.000000	0.000000	0.000000	60.000000
524.436000	59.480939	0.000000	0.000000	0.000000	0.000000	60.000000
524.334000	59.484862	0.000000	0.000000	0.000000	0.000000	60.000000
524.237000	59.494452	0.000000	0.000000	0.000000	0.000000	60.000000
524.074000	59.501515	0.000000	0.000000	0.000000	0.000000	60.000000
523.974000	59.505447	0.000000	0.000000	0.000000	0.000000	60.000000
523.875000	59.510815	0.000000	0.000000	0.000000	0.000000	60.000000
523.781000	59.512741	0.000000	0.000000	0.000000	0.000000	60.000000
523.680000	59.519930	0.000000	0.000000	0.000000	0.000000	60.000000
523.581000	59.522223	0.000000	0.000000	0.000000	0.000000	60.000000
523.486000	59.525483	0.000000	0.000000	0.000000	0.000000	60.000000
523.393000	59.524754	0.000000	0.000000	0.000000	0.000000	60.000000
523.294000	59.529158	0.000000	0.000000	0.000000	0.000000	60.000000
523.194000	59.537618	0.000000	0.000000	0.000000	0.000000	60.000000
523.097000	59.542142	0.000000	0.000000	0.000000	0.000000	60.000000
522.996000	59.546432	0.000000	0.000000	0.000000	0.000000	60.000000
522.897000	59.550168	0.000000	0.000000	0.000000	0.000000	60.000000
522.799000	59.556090	0.000000	0.000000	0.000000	0.000000	60.000000
522.705000	59.556027	0.000000	0.000000	0.000000	0.000000	60.000000
522.611000	59.556627	0.000000	0.000000	0.000000	0.000000	60.000000
522.513000	59.555121	0.000000	0.000000	0.000000	0.000000	60.000000
522.416000	59.552588	0.000000	0.000000	0.000000	0.000000	60.000000
