# Zeit (s)	# Kanal 1 (V)	# D0-D7	
-10	-0.56875	0
-9.98	-0.56875	0
-9.96	-0.584375	0
-9.94	-0.56875	0
-9.92	-0.6	0
-9.9	-0.584375	0
-9.88	-0.56875	0
-9.86	-0.584375	0
-9.84	-0.56875	0
-9.82	-0.584375	0
-9.8	-0.56875	0
-9.78	-0.584375	0
-9.76	-0.584375	0
-9.74	-0.56875	0
-9.72	-0.584375	0
-9.7	-0.584375	0
-9.68	-0.56875	0
-9.66	-0.56875	0
-9.64	-0.5375	0
-9.62	-0.553125	0
-9.6	-0.553125	0
-9.58	-0.553125	0
-9.56	-0.5375	0
-9.54	-0.5375	0
-9.52	-0.521875	0
-9.5	-0.50625	0
-9.48	-0.5375	0
-9.46	-0.521875	0
-9.44	-0.521875	0
-9.42	-0.5375	0
-9.4	-0.553125	0
-9.38	-0.56875	0
-9.36	-0.5375	0
-9.34	-0.56875	0
-9.32	-0.6	0
-9.3	-0.63125	0
-9.28	-0.646875	0
-9.26	-0.63125	0
-9.24	-0.63125	0
-9.22	-0.63125	0
-9.2	-0.615625	0
-9.18	-0.63125	0
-9.16	-0.615625	0
-9.14	-0.615625	0
-9.12	-0.63125	0
-9.1	-0.646875	0
-9.08	-0.6625	0
-9.06	-0.646875	0
-9.04	-0.646875	0
-9.02	-0.63125	0
-9	-0.63125	0
-8.98	-0.63125	0
-8.96	-0.615625	0
-8.94	-0.63125	0
-8.92	-0.63125	0
-8.9	-0.63125	0
-8.88	-0.63125	0
-8.86	-0.63125	0
-8.84	-0.646875	0
-8.82	-0.646875	0
-8.8	-0.646875	0
-8.78	-0.63125	0
-8.76	-0.63125	0
-8.74	-0.646875	0
-8.72	-0.646875	0
-8.7	-0.615625	0
-8.68	-0.63125	0
-8.66	-0.615625	0
-8.64	-0.584375	0
-8.62	-0.584375	0
-8.6	-0.584375	0
-8.58	-0.63125	0
-8.56	-0.615625	0
-8.54	-0.615625	0
-8.52	-0.6	0
-8.5	-0.584375	0
-8.48	-0.56875	0
-8.46	-0.553125	0
-8.44	-0.56875	0
-8.42	-0.56875	0
