# Zeit (s)	# Kanal 1 (V)	# Kanal 2 (V)	# Kanal 3 (V)	# Kanal 4 (V)	
-0.0025	0.0874997	0.44375	0.05625	0.48125
-0.002495	0.11875	0.475	0.0875	0.48125
-0.00249	0.15	0.50625	0.11875	0.48125
-0.002485	0.15	0.5375	0.0875	0.45
-0.00248	0.18125	0.5375	0.11875	0.45
-0.002475	0.18125	0.5375	0.15	0.45
-0.00247	0.18125	0.56875	0.18125	0.48125
-0.002465	0.2125	0.6	0.2125	0.48125
-0.00246	0.24375	0.63125	0.2125	0.48125
-0.002455	0.24375	0.63125	0.24375	0.48125
-0.00245	0.30625	0.63125	0.275	0.45
-0.002445	0.275	0.63125	0.30625	0.48125
-0.00244	0.30625	0.63125	0.30625	0.48125
-0.002435	0.3375	0.69375	0.30625	0.48125
-0.00243	0.3375	0.69375	0.36875	0.48125
-0.002425	0.4	0.725	0.36875	0.45
-0.00242	0.36875	0.725	0.4	0.48125
-0.002415	0.4	0.725	0.4	0.5125
-0.00241	0.4625	0.75625	0.43125	0.48125
-0.002405	0.4	0.81875	0.43125	0.48125
-0.0024	0.4625	0.75625	0.43125	0.45
-0.002395	0.49375	0.81875	0.43125	0.48125
-0.00239	0.525	0.81875	0.49375	0.48125
-0.002385	0.49375	0.81875	0.49375	0.48125
-0.00238	0.525	0.7875	0.49375	0.48125
-0.002375	0.55625	0.81875	0.49375	0.48125
-0.00237	0.55625	0.85	0.525	0.45
-0.002365	0.5875	0.88125	0.55625	0.48125
-0.00236	0.5875	0.88125	0.5875	0.48125
-0.002355	0.61875	0.88125	0.55625	0.5125
-0.00235	0.5875	0.88125	0.61875	0.45
-0.002345	0.61875	0.88125	0.61875	0.45
-0.00234	0.65	0.88125	0.65	0.45
-0.002335	0.65	0.88125	0.61875	0.45
-0.00233	0.65	0.88125	0.65	0.48125
-0.002325	0.68125	0.9125	0.68125	0.48125
-0.00232	0.68125	0.9125	0.68125	0.45
-0.002315	0.68125	0.9125	0.7125	0.5125
-0.00231	0.68125	0.9125	0.68125	0.48125
-0.002305	0.68125	0.94375	0.7125	0.48125
-0.0023	0.7125	0.9125	0.68125	0.45
-0.002295	0.74375	0.9125	0.74375	0.48125
-0.00229	0.74375	0.94375	0.7125	0.48125
-0.002285	0.775	0.9125	0.775	0.48125
-0.00228	0.775	0.94375	0.74375	0.48125
-0.002275	0.74375	0.9125	0.74375	0.45
-0.00227	0.775	0.94375	0.775	0.48125
-0.002265	0.775	0.9125	0.775	0.48125
-0.00226	0.80625	0.9125	0.80625	0.48125
-0.002255	0.775	0.9125	0.775	0.48125
-0.00225	0.80625	0.9125	0.80625	0.5125
-0.002245	0.775	0.9125	0.80625	0.48125
-0.00224	0.80625	0.9125	0.80625	0.48125
-0.002235	0.80625	0.9125	0.80625	0.5125
-0.00223	0.80625	0.9125	0.80625	0.48125
-0.002225	0.775	0.85	0.80625	0.48125
-0.00222	0.8375	0.9125	0.8375	0.48125
-0.002215	0.8375	0.85	0.80625	0.48125
-0.00221	0.8375	0.88125	0.80625	0.45
-0.002205	0.8375	0.81875	0.8375	0.48125
-0.0022	0.775	0.85	0.80625	0.45
-0.002195	0.80625	0.81875	0.8375	0.45
-0.00219	0.80625	0.7875	0.80625	0.48125
-0.002185	0.80625	0.7875	0.80625	0.45
-0.00218	0.80625	0.75625	0.8375	0.48125
-0.002175	0.80625	0.7875	0.80625	0.5125
-0.00217	0.80625	0.7875	0.80625	0.48125
-0.002165	0.8375	0.725	0.8375	0.45
-0.00216	0.80625	0.725	0.80625	0.5125
-0.002155	0.80625	0.69375	0.8375	0.45
-0.00215	0.775	0.69375	0.775	0.48125
-0.002145	0.80625	0.69375	0.80625	0.48125
-0.00214	0.74375	0.6625	0.775	0.48125
-0.002135	0.775	0.63125	0.775	0.5125
-0.00213	0.775	0.63125	0.775	0.5125
-0.002125	0.775	0.63125	0.775	0.48125
-0.00212	0.74375	0.6	0.74375	0.48125
-0.002115	0.775	0.6	0.74375	0.48125
-0.00211	0.775	0.56875	0.74375	0.5125
-0.002105	0.7125	0.56875	0.7125	0.48125
-0.0021	0.7125	0.56875	0.7125	0.48125
-0.002095	0.74375	0.50625	0.7125	0.45
-0.00209	0.74375	0.50625	0.7125	0.48125
-0.002085	0.68125	0.475	0.68125	0.48125
-0.00208	0.68125	0.475	0.68125	0.5125
-0.002075	0.68125	0.4125	0.68125	0.48125
-0.00207	0.68125	0.4125	0.68125	0.48125
-0.002065	0.68125	0.4125	0.65	0.5125
-0.00206	0.65	0.35	0.61875	0.48125
-0.002055	0.65	0.35	0.61875	0.48125
-0.00205	0.61875	0.35	0.61875	0.5125
-0.002045	0.5875	0.2875	0.61875	0.48125
-0.00204	0.55625	0.2875	0.5875	0.5125
-0.002035	0.55625	0.25625	0.55625	0.48125
-0.00203	0.55625	0.2875	0.55625	0.48125
-0.002025	0.55625	0.225	0.525	0.45
-0.00202	0.525	0.225	0.525	0.48125
-0.002015	0.525	0.1625	0.49375	0.48125
-0.00201	0.49375	0.1625	0.49375	0.48125
-0.002005	0.49375	0.13125	0.4625	0.48125
-0.002	0.49375	0.1	0.43125	0.45
-0.001995	0.4625	0.1	0.4625	0.48125
-0.00199	0.43125	0.06875	0.43125	0.45
-0.001985	0.36875	0.0375	0.36875	0.48125
-0.00198	0.4	0.0375	0.4	0.48125
-0.001975	0.36875	0.00624999	0.36875	0.48125
-0.00197	0.36875	0.00624999	0.3375	0.45
-0.001965	0.36875	-0.05625	0.3375	0.48125
-0.00196	0.30625	-0.05625	0.30625	0.48125
-0.001955	0.30625	-0.0875	0.30625	0.48125
-0.00195	0.275	-0.15	0.30625	0.5125
-0.001945	0.275	-0.11875	0.24375	0.48125
-0.00194	0.24375	-0.18125	0.2125	0.48125
