# Zeit (s)	# Kanal 1 (V)	# Kanal 2 (V)	# Kanal 3 (V)	# Kanal 4 (V)	
-0.00025	-0.55	0.09375	0.999999	0.140625
-0.0002495	-0.4875	0.09375	-0.0937507	0.0937499
-0.000249	-0.33125	0.5625	-4	0.109375
-0.0002485	-0.2375	0.25	-5.5625	0.15625
-0.000248	-0.33125	0.25	-5.5625	0.15625
-0.0002475	-0.4875	0.5625	-5.5625	0.109375
-0.000247	-0.58125	0.5625	-5.40625	0.109375
-0.0002465	-0.675	0.5625	-5.5625	0.125
-0.000246	-0.8625	0.875	-5.40625	0.15625
-0.0002455	-0.9875	1.03125	-5.5625	0.125
-0.000245	-0.9875	1.03125	-5.5625	0.125
-0.0002445	-0.9875	1.03125	-5.5625	0.140625
-0.000244	-0.89375	0.875	-5.40625	0.140625
-0.0002435	-0.8	0.875	-5.71875	0.125
-0.000243	-0.7375	0.71875	-5.5625	0.109375
-0.0002425	-0.64375	0.71875	-5.71875	0.109375
-0.000242	-0.64375	0.71875	-5.71875	0.15625
-0.0002415	-0.675	0.71875	-5.5625	0.125
-0.000241	-0.64375	0.5625	-5.5625	0.109375
-0.0002405	-0.70625	0.71875	-5.71875	0.140625
-0.00024	-0.7375	0.71875	-5.5625	0.140625
-0.0002395	-0.7375	0.71875	-5.5625	0.140625
-0.000239	-0.8	0.71875	-5.5625	0.125
-0.0002385	-0.8	0.875	-5.5625	0.125
-0.000238	-0.8	0.875	-5.5625	0.109375
-0.0002375	-0.8	0.71875	-5.5625	0.125
-0.000237	-0.7375	0.71875	-5.5625	0.109375
-0.0002365	-0.70625	0.71875	-5.71875	0.125
-0.000236	-0.70625	0.5625	-5.5625	0.125
-0.0002355	-0.7375	0.71875	-5.5625	0.125
-0.000235	-0.7375	0.875	-5.5625	0.125
-0.0002345	-0.7375	0.71875	-5.40625	0.125
-0.000234	-0.7375	0.71875	-5.5625	0.125
-0.0002335	-0.7375	0.5625	-5.5625	0.140625
-0.000233	-0.7375	0.5625	-5.71875	0.125
-0.0002325	-0.76875	0.71875	-5.5625	0.125
-0.000232	-0.76875	0.875	-5.5625	0.125
-0.0002315	-0.8	0.71875	-5.5625	0.140625
-0.000231	-0.76875	0.875	-5.5625	0.125
-0.0002305	-0.76875	0.71875	-5.5625	0.140625
-0.00023	-0.7375	0.71875	-5.71875	0.125
-0.0002295	-0.7375	0.71875	-5.5625	0.125
-0.000229	-0.7375	0.71875	-5.5625	0.125
-0.0002285	-0.7375	0.5625	-5.71875	0.125
-0.000228	-0.7375	0.875	-5.5625	0.140625
-0.0002275	-0.76875	0.71875	-5.71875	0.125
-0.000227	-0.8	0.71875	-5.5625	0.125
-0.0002265	-0.7375	0.71875	-5.5625	0.125
-0.000226	-0.76875	0.875	-5.5625	0.125
-0.0002255	-0.7375	0.71875	-5.71875	0.125
-0.000225	-0.7375	0.71875	-5.5625	0.125
-0.0002245	-0.76875	0.875	-5.5625	0.125
-0.000224	-0.8	0.875	-5.71875	0.140625
-0.0002235	-0.7375	0.71875	-5.5625	0.125
-0.000223	-0.7375	0.71875	-5.71875	0.140625
-0.0002225	-0.76875	0.71875	-5.5625	0.140625
-0.000222	-0.7375	0.875	-5.71875	0.125
-0.0002215	-0.76875	0.71875	-5.5625	0.125
-0.000221	-0.7375	0.875	-5.5625	0.125
-0.0002205	-0.7375	0.71875	-5.71875	0.125
-0.00022	-0.76875	0.71875	-5.5625	0.109375
-0.0002195	-0.76875	0.875	-5.71875	0.125
-0.000219	-0.76875	0.71875	-5.71875	0.125
-0.0002185	-0.76875	0.71875	-5.5625	0.140625
-0.000218	-0.76875	0.875	-5.71875	0.125
-0.0002175	-0.7375	0.71875	-5.71875	0.125
-0.000217	-0.7375	0.71875	-5.40625	0.140625
