# Zeit (s)	# Kanal 1 (V)	# Kanal 2 (V)	# Kanal 3 (V)	# Kanal 4 (V)	
-0.005	-0.4925	-0.5125	6.3125	0.140625
-0.00499	-0.49875	-0.5125	6.3125	0.140625
-0.00498	-0.49875	-0.5125	6.3125	0.15625
-0.00497	-0.49875	-0.54375	6.3125	0.140625
-0.00496	-0.4925	-0.54375	6.15625	0.140625
-0.00495	-0.4925	-0.5125	6.3125	0.140625
-0.00494	-0.4925	-0.5125	6.3125	0.140625
-0.00493	-0.49875	-0.54375	6.3125	0.140625
-0.00492	-0.49875	-0.5125	6.3125	0.125
-0.00491	-0.49875	-0.5125	6.3125	0.140625
-0.0049	-0.49875	-0.54375	6.3125	0.15625
-0.00489	-0.4925	-0.5125	6.3125	0.140625
-0.00488	-0.4925	-0.5125	6.15625	0.140625
-0.00487	-0.49875	-0.5125	6.15625	0.140625
-0.00486	-0.49875	-0.5125	6.46875	0.140625
-0.00485	-0.505	-0.5125	6.3125	0.15625
-0.00484	-0.49875	-0.54375	6.46875	0.15625
-0.00483	-0.49875	-0.5125	6.3125	0.140625
-0.00482	-0.49875	-0.5125	6.3125	0.140625
-0.00481	-0.49875	-0.5125	6.3125	0.140625
-0.0048	-0.49875	-0.54375	6.3125	0.15625
-0.00479	-0.49875	-0.54375	6.3125	0.15625
-0.00478	-0.49875	-0.5125	6.46875	0.15625
-0.00477	-0.49875	-0.5125	6.3125	0.15625
-0.00476	-0.49875	-0.5125	6.3125	0.15625
-0.00475	-0.49875	-0.5125	6.3125	0.15625
-0.00474	-0.4925	-0.5125	6.3125	0.140625
-0.00473	-0.4925	-0.54375	6.3125	0.15625
-0.00472	-0.49875	-0.5125	6.3125	0.140625
-0.00471	-0.505	-0.54375	6.3125	0.15625
-0.0047	-0.49875	-0.54375	6.15625	0.140625
-0.00469	-0.4925	-0.5125	6.15625	0.125
-0.00468	-0.49875	-0.5125	6.3125	0.140625
-0.00467	-0.49875	-0.5125	6.3125	0.140625
-0.00466	-0.49875	-0.5125	6.3125	0.140625
-0.00465	-0.49875	-0.54375	6.3125	0.140625
-0.00464	-0.49875	-0.5125	6.3125	0.140625
-0.00463	-0.49875	-0.54375	6.3125	0.15625
-0.00462	-0.49875	-0.54375	6.3125	0.140625
-0.00461	-0.4925	-0.54375	6.3125	0.140625
-0.0046	-0.4925	-0.5125	6.3125	0.140625
-0.00459	-0.49875	-0.54375	6.15625	0.140625
-0.00458	-0.49875	-0.54375	6.3125	0.140625
-0.00457	-0.4925	-0.54375	6.3125	0.140625
-0.00456	-0.49875	-0.5125	6.3125	0.140625
-0.00455	-0.49875	-0.54375	6.3125	0.140625
-0.00454	-0.49875	-0.5125	6.3125	0.140625
-0.00453	-0.49875	-0.5125	6.3125	0.140625
-0.00452	-0.4925	-0.54375	6.46875	0.140625
-0.00451	-0.52375	-0.5125	5.6875	0.140625
-0.0045	-0.655	0.6125	-5.09375	0.140625
-0.00449	-0.76125	0.7375	-5.5625	0.15625
-0.00448	-0.74875	0.70625	-5.5625	0.140625
-0.00447	-0.74875	0.70625	-5.5625	0.140625
-0.00446	-0.74875	0.70625	-5.5625	0.15625
-0.00445	-0.74875	0.70625	-5.5625	0.15625
-0.00444	-0.7425	0.70625	-5.5625	0.15625
-0.00443	-0.755	0.70625	-5.5625	0.140625
-0.00442	-0.74875	0.70625	-5.5625	0.15625
-0.00441	-0.74875	0.7375	-5.5625	0.140625
-0.0044	-0.74875	0.7375	-5.71875	0.15625
-0.00439	-0.74875	0.70625	-5.71875	0.140625
-0.00438	-0.755	0.7375	-5.5625	0.140625
-0.00437	-0.74875	0.70625	-5.5625	0.140625
-0.00436	-0.74875	0.70625	-5.5625	0.15625
-0.00435	-0.755	0.7375	-5.71875	0.140625
-0.00434	-0.74875	0.76875	-5.71875	0.140625
-0.00433	-0.7425	0.7375	-5.5625	0.140625
-0.00432	-0.74875	0.70625	-5.5625	0.140625
-0.00431	-0.755	0.70625	-5.5625	0.140625
-0.0043	-0.74875	0.70625	-5.5625	0.15625
-0.00429	-0.74875	0.70625	-5.71875	0.140625
-0.00428	-0.7425	0.70625	-5.71875	0.15625
-0.00427	-0.755	0.7375	-5.5625	0.15625
-0.00426	-0.74875	0.70625	-5.71875	0.15625
-0.00425	-0.74875	0.70625	-5.5625	0.15625
-0.00424	-0.74875	0.70625	-5.5625	0.140625
-0.00423	-0.755	0.70625	-5.5625	0.15625
-0.00422	-0.74875	0.70625	-5.5625	0.140625
-0.00421	-0.74875	0.70625	-5.71875	0.140625
-0.0042	-0.74875	0.675	-5.5625	0.140625
-0.00419	-0.74875	0.70625	-5.71875	0.140625
-0.00418	-0.74875	0.7375	-5.5625	0.15625
-0.00417	-0.755	0.70625	-5.71875	0.15625
-0.00416	-0.74875	0.70625	-5.40625	0.140625
-0.00415	-0.74875	0.70625	-5.71875	0.140625
-0.00414	-0.74875	0.70625	-5.5625	0.140625
-0.00413	-0.755	0.70625	-5.71875	0.140625
-0.00412	-0.74875	0.7375	-5.5625	0.140625
-0.00411	-0.74875	0.70625	-5.71875	0.15625
-0.0041	-0.755	0.70625	-5.71875	0.140625
-0.00409	-0.755	0.7375	-5.5625	0.125
-0.00408	-0.74875	0.7375	-5.5625	0.15625
-0.00407	-0.74875	0.70625	-5.71875	0.15625
-0.00406	-0.755	0.7375	-5.71875	0.140625
-0.00405	-0.74875	0.7375	-5.71875	0.140625
-0.00404	-0.755	0.7375	-5.71875	0.140625
-0.00403	-0.74875	0.7375	-5.5625	0.171875
