# Zeit (s)	# Kanal 1 (V)	# Kanal 2 (V)	# Kanal 3 (V)	# Kanal 4 (V)	
-0.05	-0.49875	-0.54375	6.15625	0.140625
-0.0499	-0.505	-0.5125	6.3125	0.140625
-0.0498	-0.505	-0.54375	6.3125	0.15625
-0.0497	-0.505	-0.54375	6.3125	0.140625
-0.0496	-0.505	-0.54375	6.3125	0.125
-0.0495	-0.76125	0.7375	-5.5625	0.15625
-0.0494	-0.76125	0.7375	-5.5625	0.140625
-0.0493	-0.76125	0.7375	-5.71875	0.15625
-0.0492	-0.7675	0.7375	-5.5625	0.125
-0.0491	-0.76125	0.70625	-5.71875	0.140625
-0.049	-0.76125	0.70625	-5.5625	0.140625
-0.0489	-0.47375	-0.5125	6.3125	0.125
-0.0488	-0.51125	-0.54375	6.15625	0.15625
-0.0487	-0.5175	-0.5125	6.3125	0.15625
-0.0486	-0.5175	-0.575	6.46875	0.140625
-0.0485	-0.51125	-0.54375	6.3125	0.140625
-0.0484	-0.52375	-0.54375	6.3125	0.15625
-0.0483	-0.5175	-0.54375	6.3125	0.15625
-0.0482	-0.7675	0.7375	-5.71875	0.140625
-0.0481	-0.77375	0.76875	-5.5625	0.140625
-0.048	-0.7675	0.70625	-5.5625	0.15625
-0.0479	-0.7675	0.7375	-5.71875	0.140625
-0.0478	-0.7675	0.7375	-5.71875	0.140625
-0.0477	-0.7675	0.7375	-5.5625	0.140625
-0.0476	-0.52375	-0.5125	6.3125	0.140625
-0.0475	-0.5175	-0.54375	6.3125	0.125
-0.0474	-0.52375	-0.54375	6.3125	0.140625
-0.0473	-0.5175	-0.54375	6.46875	0.140625
-0.0472	-0.5175	-0.54375	6.3125	0.140625
-0.0471	-0.5175	-0.54375	6.15625	0.15625
-0.047	-0.51125	-0.54375	6.3125	0.140625
-0.0469	-0.76125	0.7375	-5.71875	0.140625
-0.0468	-0.7675	0.7375	-5.71875	0.140625
-0.0467	-0.7675	0.76875	-5.71875	0.15625
-0.0466	-0.7675	0.7375	-5.5625	0.140625
-0.0465	-0.77375	0.7375	-5.5625	0.15625
-0.0464	-0.7675	0.7375	-5.71875	0.140625
-0.0463	-0.5175	-0.54375	6.3125	0.15625
-0.0462	-0.51125	-0.54375	6.3125	0.140625
-0.0461	-0.51125	-0.54375	6.3125	0.15625
-0.046	-0.51125	-0.54375	6.3125	0.140625
-0.0459	-0.51125	-0.54375	6.3125	0.140625
-0.0458	-0.51125	-0.54375	6.3125	0.140625
-0.0457	-0.505	-0.54375	6.15625	0.140625
-0.0456	-0.76125	0.7375	-5.5625	0.140625
-0.0455	-0.755	0.70625	-5.5625	0.140625
-0.0454	-0.76125	0.70625	-5.5625	0.125
-0.0453	-0.755	0.7375	-5.71875	0.15625
-0.0452	-0.76125	0.7375	-5.71875	0.140625
-0.0451	-0.74875	0.70625	-5.5625	0.15625
-0.045	-0.505	-0.5125	6.3125	0.125
-0.0449	-0.505	-0.54375	6.3125	0.140625
-0.0448	-0.505	-0.54375	6.3125	0.140625
-0.0447	-0.505	-0.575	6.3125	0.140625
-0.0446	-0.49875	-0.5125	6.3125	0.125
-0.0445	-0.4925	-0.5125	6.3125	0.15625
-0.0444	-0.58	0.51875	-1.5	0.140625
-0.0443	-0.755	0.70625	-5.40625	0.125
-0.0442	-0.74875	0.7375	-5.71875	0.140625
-0.0441	-0.74875	0.70625	-5.71875	0.140625
-0.044	-0.74875	0.7375	-5.5625	0.140625
-0.0439	-0.73625	0.70625	-5.5625	0.140625
-0.0438	-0.7425	0.7375	-5.5625	0.140625
-0.0437	-0.48	-0.5125	6.3125	0.140625
-0.0436	-0.48	-0.5125	6.15625	0.140625
-0.0435	-0.48625	-0.5125	6.3125	0.15625
-0.0434	-0.47375	-0.54375	6.3125	0.140625
-0.0433	-0.47375	-0.5125	6.3125	0.140625
-0.0432	-0.47375	-0.5125	6.15625	0.140625
-0.0431	-0.73625	0.675	-5.5625	0.15625
-0.043	-0.72375	0.70625	-5.71875	0.140625
-0.0429	-0.7175	0.70625	-5.5625	0.140625
-0.0428	-0.72375	0.70625	-5.71875	0.125
-0.0427	-0.72375	0.70625	-5.71875	0.15625
-0.0426	-0.72375	0.675	-5.71875	0.140625
-0.0425	-0.73	0.70625	-5.5625	0.140625
-0.0424	-0.4675	-0.5125	6.3125	0.15625
-0.0423	-0.4675	-0.48125	6.3125	0.15625
-0.0422	-0.47375	-0.5125	6.3125	0.140625
-0.0421	-0.47375	-0.5125	6.3125	0.140625
-0.042	-0.47375	-0.48125	6.15625	0.140625
-0.0419	-0.48	-0.5125	6.3125	0.140625
-0.0418	-0.73	0.70625	-5.71875	0.15625
-0.0417	-0.73	0.675	-5.71875	0.140625
-0.0416	-0.73625	0.7375	-5.5625	0.140625
-0.0415	-0.73625	0.70625	-5.71875	0.140625
-0.0414	-0.73625	0.70625	-5.5625	0.140625
-0.0413	-0.73625	0.7375	-5.5625	0.140625
-0.0412	-0.73625	0.70625	-5.5625	0.15625
-0.0411	-0.48625	-0.54375	6.3125	0.15625
-0.041	-0.4925	-0.54375	6.3125	0.140625
-0.0409	-0.4925	-0.54375	6.15625	0.15625
-0.0408	-0.48625	-0.5125	6.3125	0.140625
-0.0407	-0.48625	-0.54375	6.15625	0.140625
-0.0406	-0.4925	-0.5125	6.3125	0.140625
-0.0405	-0.74875	0.70625	-5.5625	0.140625
-0.0404	-0.74875	0.70625	-5.5625	0.140625
-0.0403	-0.755	0.7375	-5.5625	0.140625
-0.0402	-0.74875	0.7375	-5.5625	0.140625
-0.0401	-0.74875	0.70625	-5.5625	0.15625
-0.04	-0.74875	0.70625	-5.5625	0.140625
-0.0399	-0.68	0.675	-1.1875	0.15625
-0.0398	-0.49875	-0.5125	6.3125	0.15625
-0.0397	-0.505	-0.54375	6.3125	0.125
-0.0396	-0.505	-0.54375	6.3125	0.15625
-0.0395	-0.51125	-0.54375	6.3125	0.125
-0.0394	-0.505	-0.54375	6.3125	0.140625
-0.0393	-0.505	-0.54375	6.3125	0.140625
-0.0392	-0.76125	0.7375	-5.5625	0.140625
-0.0391	-0.76125	0.70625	-5.71875	0.140625
-0.039	-0.7675	0.7375	-5.5625	0.140625
-0.0389	-0.76125	0.7375	-5.71875	0.140625
-0.0388	-0.7675	0.7375	-5.5625	0.140625
-0.0387	-0.7675	0.7375	-5.40625	0.140625
-0.0386	-0.51125	-0.54375	6.15625	0.15625
-0.0385	-0.5175	-0.575	6.3125	0.140625
-0.0384	-0.5175	-0.575	6.3125	0.140625
-0.0383	-0.51125	-0.54375	6.15625	0.140625
-0.0382	-0.5175	-0.5125	6.3125	0.140625
-0.0381	-0.5175	-0.575	6.15625	0.140625
-0.038	-0.51125	-0.54375	6.15625	0.140625
-0.0379	-0.77375	0.7375	-5.71875	0.140625
-0.0378	-0.7675	0.7375	-5.5625	0.140625
-0.0377	-0.7675	0.7375	-5.71875	0.15625
-0.0376	-0.77375	0.7375	-5.71875	0.15625
-0.0375	-0.77375	0.7375	-5.5625	0.140625
-0.0374	-0.7675	0.76875	-5.71875	0.140625
-0.0373	-0.52375	-0.575	6.3125	0.140625
-0.0372	-0.5175	-0.575	6.3125	0.140625
-0.0371	-0.5175	-0.54375	6.3125	0.15625
-0.037	-0.5175	-0.54375	6.3125	0.15625
-0.0369	-0.5175	-0.54375	6.3125	0.15625
-0.0368	-0.51125	-0.54375	6.3125	0.15625
-0.0367	-0.51125	-0.54375	6.3125	0.140625
-0.0366	-0.7675	0.7375	-5.71875	0.140625
-0.0365	-0.7675	0.7375	-5.5625	0.140625
-0.0364	-0.76125	0.7375	-5.71875	0.15625
-0.0363	-0.76125	0.7375	-5.71875	0.15625
-0.0362	-0.7675	0.7375	-5.71875	0.140625
-0.0361	-0.7675	0.7375	-5.5625	0.15625
-0.036	-0.5175	-0.54375	6.3125	0.15625
-0.0359	-0.51125	-0.54375	6.3125	0.140625
-0.0358	-0.5175	-0.54375	6.3125	0.15625
-0.0357	-0.51125	-0.54375	6.15625	0.140625
-0.0356	-0.505	-0.5125	6.46875	0.15625
-0.0355	-0.505	-0.54375	6.3125	0.140625
-0.0354	-0.53	-0.575	6.3125	0.140625
-0.0353	-0.755	0.7375	-5.5625	0.140625
-0.0352	-0.76125	0.7375	-5.5625	0.125
-0.0351	-0.755	0.70625	-5.5625	0.140625
-0.035	-0.755	0.70625	-5.71875	0.15625
-0.0349	-0.755	0.7375	-5.71875	0.125
-0.0348	-0.755	0.70625	-5.5625	0.140625
-0.0347	-0.505	-0.5125	6.3125	0.15625
-0.0346	-0.49875	-0.54375	6.3125	0.15625
-0.0345	-0.4925	-0.54375	6.46875	0.140625
-0.0344	-0.49875	-0.5125	6.3125	0.140625
-0.0343	-0.4925	-0.5125	6.3125	0.15625
-0.0342	-0.49875	-0.48125	6.3125	0.140625
-0.0341	-0.69875	0.64375	-5.5625	0.140625
-0.034	-0.7425	0.70625	-5.40625	0.140625
-0.0339	-0.7425	0.70625	-5.71875	0.140625
-0.0338	-0.74875	0.7375	-5.5625	0.15625
-0.0337	-0.7425	0.70625	-5.71875	0.140625
-0.0336	-0.73	0.70625	-5.40625	0.140625
-0.0335	-0.73625	0.675	-5.5625	0.15625
-0.0334	-0.48	-0.5125	6.3125	0.140625
-0.0333	-0.48	-0.5125	6.3125	0.15625
-0.0332	-0.47375	-0.5125	6.3125	0.15625
-0.0331	-0.4675	-0.5125	6.3125	0.140625
-0.033	-0.4675	-0.5125	6.3125	0.140625
-0.0329	-0.4675	-0.5125	6.3125	0.140625
-0.0328	-0.7175	0.64375	-5.40625	0.15625
-0.0327	-0.72375	0.675	-5.5625	0.125
-0.0326	-0.72375	0.70625	-5.71875	0.140625
-0.0325	-0.72375	0.675	-5.71875	0.140625
-0.0324	-0.72375	0.70625	-5.71875	0.125
-0.0323	-0.72375	0.70625	-5.5625	0.140625
-0.0322	-0.7175	0.675	-5.5625	0.125
-0.0321	-0.47375	-0.5125	6.3125	0.140625
-0.032	-0.47375	-0.5125	6.3125	0.125
-0.0319	-0.47375	-0.5125	6.3125	0.125
-0.0318	-0.47375	-0.5125	6.15625	0.15625
-0.0317	-0.48	-0.5125	6.3125	0.140625
-0.0316	-0.47375	-0.5125	6.3125	0.140625
-0.0315	-0.73	0.70625	-5.5625	0.140625
-0.0314	-0.73625	0.70625	-5.5625	0.140625
-0.0313	-0.73625	0.70625	-5.5625	0.15625
-0.0312	-0.73	0.70625	-5.71875	0.15625
-0.0311	-0.73625	0.70625	-5.5625	0.15625
-0.031	-0.7425	0.70625	-5.5625	0.140625
-0.0309	-0.73625	0.70625	-5.40625	0.15625
-0.0308	-0.4925	-0.54375	6.46875	0.15625
-0.0307	-0.4925	-0.5125	6.3125	0.15625
-0.0306	-0.48	-0.5125	6.3125	0.140625
-0.0305	-0.49875	-0.54375	6.3125	0.140625
-0.0304	-0.4925	-0.5125	6.3125	0.140625
-0.0303	-0.49875	-0.54375	6.3125	0.140625
-0.0302	-0.755	0.70625	-5.5625	0.140625
-0.0301	-0.755	0.70625	-5.5625	0.140625
-0.03	-0.755	0.70625	-5.5625	0.140625
-0.0299	-0.74875	0.70625	-5.71875	0.15625
-0.0298	-0.76125	0.76875	-5.5625	0.140625
-0.0297	-0.755	0.7375	-5.5625	0.15625
-0.0296	-0.555	-0.7	3.03125	0.125
-0.0295	-0.505	-0.54375	6.3125	0.140625
-0.0294	-0.505	-0.54375	6.3125	0.140625
-0.0293	-0.51125	-0.54375	6.15625	0.140625
-0.0292	-0.51125	-0.575	6.3125	0.15625
-0.0291	-0.51125	-0.54375	6.15625	0.140625
-0.029	-0.51125	-0.54375	6.3125	0.140625
-0.0289	-0.7675	0.7375	-5.40625	0.140625
-0.0288	-0.76125	0.70625	-5.71875	0.15625
-0.0287	-0.7675	0.7375	-5.71875	0.15625
-0.0286	-0.7675	0.7375	-5.71875	0.140625
-0.0285	-0.7675	0.7375	-5.5625	0.140625
-0.0284	-0.7675	0.7375	-5.5625	0.140625
-0.0283	-0.51125	-0.54375	6.3125	0.15625
-0.0282	-0.5175	-0.54375	6.3125	0.15625
-0.0281	-0.52375	-0.54375	6.3125	0.140625
-0.028	-0.5175	-0.54375	6.3125	0.140625
-0.0279	-0.5175	-0.575	6.3125	0.140625
-0.0278	-0.52375	-0.575	6.3125	0.140625
-0.0277	-0.5175	-0.5125	6.15625	0.140625
-0.0276	-0.7675	0.7375	-5.71875	0.140625
-0.0275	-0.7675	0.76875	-5.5625	0.15625
-0.0274	-0.77375	0.7375	-5.5625	0.15625
-0.0273	-0.77375	0.7375	-5.71875	0.140625
-0.0272	-0.7675	0.7375	-5.5625	0.140625
-0.0271	-0.77375	0.70625	-5.5625	0.140625
-0.027	-0.51125	-0.54375	6.3125	0.15625
-0.0269	-0.51125	-0.54375	6.3125	0.140625
-0.0268	-0.51125	-0.54375	6.3125	0.15625
-0.0267	-0.5175	-0.5125	6.3125	0.15625
-0.0266	-0.51125	-0.54375	6.3125	0.15625
-0.0265	-0.505	-0.54375	6.3125	0.140625
-0.0264	-0.51125	-0.54375	6.3125	0.140625
-0.0263	-0.76125	0.7375	-5.5625	0.140625
-0.0262	-0.76125	0.70625	-5.5625	0.15625
-0.0261	-0.7675	0.7375	-5.71875	0.15625
-0.026	-0.7675	0.7375	-5.5625	0.140625
-0.0259	-0.76125	0.7375	-5.5625	0.140625
-0.0258	-0.76125	0.7375	-5.5625	0.15625
-0.0257	-0.51125	-0.54375	6.3125	0.140625
-0.0256	-0.51125	-0.5125	6.3125	0.140625
-0.0255	-0.505	-0.54375	6.3125	0.140625
-0.0254	-0.505	-0.54375	6.3125	0.15625
-0.0253	-0.505	-0.54375	6.3125	0.140625
-0.0252	-0.505	-0.54375	6.3125	0.140625
-0.0251	-0.47375	-0.5125	4.125	0.140625
-0.025	-0.74875	0.675	-5.71875	0.140625
-0.0249	-0.76125	0.7375	-5.5625	0.15625
-0.0248	-0.755	0.7375	-5.71875	0.140625
-0.0247	-0.74875	0.70625	-5.5625	0.140625
-0.0246	-0.74875	0.675	-5.5625	0.125
-0.0245	-0.74875	0.70625	-5.71875	0.15625
-0.0244	-0.49875	-0.54375	6.15625	0.125
-0.0243	-0.49875	-0.5125	6.15625	0.125
-0.0242	-0.4925	-0.5125	6.3125	0.125
-0.0241	-0.4925	-0.5125	6.15625	0.140625
-0.024	-0.4925	-0.5125	6.3125	0.140625
-0.0239	-0.4925	-0.5125	6.3125	0.140625
-0.0238	-0.7175	0.675	-5.5625	0.140625
-0.0237	-0.73625	0.70625	-5.71875	0.140625
-0.0236	-0.73625	0.70625	-5.71875	0.140625
-0.0235	-0.73	0.70625	-5.5625	0.140625
-0.0234	-0.73625	0.675	-5.5625	0.140625
-0.0233	-0.73	0.70625	-5.71875	0.140625
-0.0232	-0.73	0.70625	-5.5625	0.15625
-0.0231	-0.4675	-0.5125	6.3125	0.140625
-0.023	-0.47375	-0.5125	6.3125	0.140625
-0.0229	-0.47375	-0.5125	6.3125	0.140625
-0.0228	-0.4675	-0.5125	6.3125	0.140625
-0.0227	-0.47375	-0.48125	6.15625	0.140625
-0.0226	-0.46125	-0.5125	6.3125	0.140625
-0.0225	-0.72375	0.675	-5.5625	0.140625
-0.0224	-0.72375	0.64375	-5.71875	0.140625
-0.0223	-0.72375	0.70625	-5.71875	0.140625
-0.0222	-0.72375	0.64375	-5.5625	0.125
-0.0221	-0.72375	0.70625	-5.5625	0.140625
-0.022	-0.72375	0.70625	-5.5625	0.15625
-0.0219	-0.72375	0.70625	-5.5625	0.15625
-0.0218	-0.48	-0.5125	6.3125	0.140625
-0.0217	-0.47375	-0.5125	6.3125	0.15625
-0.0216	-0.48	-0.5125	6.15625	0.140625
-0.0215	-0.48	-0.5125	6.3125	0.140625
-0.0214	-0.48625	-0.5125	6.3125	0.140625
-0.0213	-0.48625	-0.5125	6.3125	0.140625
-0.0212	-0.7425	0.70625	-5.5625	0.140625
-0.0211	-0.7425	0.70625	-5.5625	0.140625
-0.021	-0.7425	0.7375	-5.40625	0.140625
-0.0209	-0.73625	0.70625	-5.5625	0.140625
-0.0208	-0.7425	0.70625	-5.5625	0.140625
-0.0207	-0.73625	0.70625	-5.5625	0.15625
-0.0206	-0.76125	0.70625	-4.3125	0.140625
-0.0205	-0.4925	-0.5125	6.3125	0.140625
-0.0204	-0.49875	-0.5125	6.15625	0.140625
-0.0203	-0.4925	-0.54375	6.3125	0.15625
-0.0202	-0.49875	-0.54375	6.3125	0.140625
-0.0201	-0.4925	-0.54375	6.3125	0.140625
-0.02	-0.49875	-0.5125	6.3125	0.140625
-0.0199	-0.755	0.70625	-5.5625	0.140625
-0.0198	-0.755	0.70625	-5.71875	0.140625
-0.0197	-0.755	0.7375	-5.5625	0.140625
-0.0196	-0.755	0.7375	-5.5625	0.140625
-0.0195	-0.76125	0.7375	-5.71875	0.15625
-0.0194	-0.755	0.7375	-5.5625	0.140625
-0.0193	-0.48	-0.5125	6.15625	0.140625
-0.0192	-0.51125	-0.575	6.15625	0.125
-0.0191	-0.51125	-0.54375	6.46875	0.140625
-0.019	-0.505	-0.54375	6.15625	0.140625
-0.0189	-0.5175	-0.575	6.3125	0.140625
-0.0188	-0.51125	-0.54375	6.3125	0.140625
-0.0187	-0.51125	-0.54375	6.3125	0.140625
-0.0186	-0.7675	0.7375	-5.5625	0.140625
-0.0185	-0.7675	0.7375	-5.71875	0.140625
-0.0184	-0.77375	0.7375	-5.71875	0.140625
-0.0183	-0.7675	0.7375	-5.5625	0.15625
-0.0182	-0.7675	0.70625	-5.5625	0.140625
-0.0181	-0.7675	0.7375	-5.71875	0.140625
-0.018	-0.5175	-0.54375	6.15625	0.15625
-0.0179	-0.5175	-0.54375	6.3125	0.15625
-0.0178	-0.5175	-0.54375	6.3125	0.140625
-0.0177	-0.52375	-0.575	6.46875	0.140625
-0.0176	-0.5175	-0.575	6.3125	0.140625
-0.0175	-0.5175	-0.5125	6.3125	0.140625
-0.0174	-0.52375	-0.54375	6.15625	0.140625
-0.0173	-0.7675	0.7375	-5.71875	0.140625
-0.0172	-0.7675	0.70625	-5.71875	0.140625
-0.0171	-0.77375	0.7375	-5.71875	0.15625
-0.017	-0.7675	0.76875	-5.5625	0.125
-0.0169	-0.7675	0.7375	-5.5625	0.140625
-0.0168	-0.7675	0.7375	-5.71875	0.15625
-0.0167	-0.51125	-0.575	6.3125	0.140625
-0.0166	-0.51125	-0.54375	6.46875	0.140625
-0.0165	-0.51125	-0.54375	6.3125	0.15625
-0.0164	-0.51125	-0.54375	6.3125	0.140625
-0.0163	-0.51125	-0.54375	6.3125	0.140625
-0.0162	-0.51125	-0.54375	6.3125	0.140625
-0.0161	-0.51125	-0.54375	6.15625	0.140625
-0.016	-0.755	0.7375	-5.5625	0.140625
-0.0159	-0.76125	0.7375	-5.5625	0.140625
-0.0158	-0.7675	0.7375	-5.5625	0.15625
-0.0157	-0.76125	0.7375	-5.5625	0.140625
-0.0156	-0.7675	0.70625	-5.71875	0.15625
-0.0155	-0.755	0.7375	-5.5625	0.140625
-0.0154	-0.505	-0.54375	6.15625	0.140625
-0.0153	-0.505	-0.54375	6.3125	0.15625
-0.0152	-0.51125	-0.54375	6.3125	0.140625
-0.0151	-0.49875	-0.54375	6.3125	0.140625
-0.015	-0.49875	-0.5125	6.3125	0.15625
-0.0149	-0.49875	-0.54375	6.3125	0.140625
-0.0148	-0.59875	0.51875	-0.0937507	0.125
-0.0147	-0.755	0.7375	-5.5625	0.15625
-0.0146	-0.74875	0.70625	-5.71875	0.125
-0.0145	-0.74875	0.70625	-5.5625	0.140625
-0.0144	-0.74875	0.70625	-5.71875	0.140625
-0.0143	-0.74875	0.7375	-5.5625	0.15625
-0.0142	-0.7425	0.675	-5.71875	0.140625
-0.0141	-0.48625	-0.5125	6.15625	0.125
-0.014	-0.4925	-0.5125	6.3125	0.140625
-0.0139	-0.48625	-0.5125	6.46875	0.125
-0.0138	-0.48	-0.5125	6.3125	0.140625
-0.0137	-0.48625	-0.5125	6.15625	0.125
-0.0136	-0.48	-0.5125	6.46875	0.140625
-0.0135	-0.73625	0.70625	-5.40625	0.140625
-0.0134	-0.73	0.70625	-5.5625	0.140625
-0.0133	-0.73	0.675	-5.5625	0.140625
-0.0132	-0.73	0.70625	-5.5625	0.125
-0.0131	-0.72375	0.70625	-5.71875	0.140625
-0.013	-0.7175	0.70625	-5.40625	0.140625
-0.0129	-0.72375	0.64375	-5.5625	0.15625
-0.0128	-0.4675	-0.5125	6.3125	0.15625
-0.0127	-0.47375	-0.48125	6.3125	0.140625
-0.0126	-0.4675	-0.5125	6.3125	0.15625
-0.0125	-0.47375	-0.5125	6.15625	0.15625
-0.0124	-0.4675	-0.5125	6.3125	0.140625
-0.0123	-0.47375	-0.5125	6.3125	0.140625
-0.0122	-0.72375	0.675	-5.5625	0.125
-0.0121	-0.72375	0.64375	-5.5625	0.140625
-0.012	-0.73	0.675	-5.5625	0.15625
-0.0119	-0.73	0.70625	-5.5625	0.125
-0.0118	-0.73	0.70625	-5.71875	0.140625
-0.0117	-0.72375	0.70625	-5.5625	0.140625
-0.0116	-0.73625	0.70625	-5.5625	0.15625
-0.0115	-0.48	-0.5125	6.3125	0.140625
-0.0114	-0.48	-0.5125	6.3125	0.140625
-0.0113	-0.48625	-0.5125	6.15625	0.140625
-0.0112	-0.48625	-0.5125	6.3125	0.140625
-0.0111	-0.48	-0.5125	6.46875	0.140625
-0.011	-0.48625	-0.5125	6.3125	0.140625
-0.0109	-0.7425	0.675	-5.5625	0.140625
-0.0108	-0.7425	0.70625	-5.5625	0.140625
-0.0107	-0.74875	0.70625	-5.5625	0.140625
-0.0106	-0.74875	0.7375	-5.5625	0.15625
-0.0105	-0.7425	0.70625	-5.5625	0.140625
-0.0104	-0.74875	0.70625	-5.71875	0.140625
-0.0103	-0.705	0.70625	-2.125	0.140625
-0.0102	-0.4925	-0.5125	6.3125	0.140625
-0.0101	-0.49875	-0.5125	6.3125	0.15625
-0.01	-0.49875	-0.54375	6.3125	0.140625
-0.0099	-0.49875	-0.54375	6.3125	0.140625
-0.0098	-0.49875	-0.54375	6.3125	0.140625
-0.0097	-0.505	-0.5125	6.15625	0.140625
-0.0096	-0.755	0.70625	-5.5625	0.140625
-0.0095	-0.755	0.7375	-5.71875	0.15625
-0.0094	-0.76125	0.7375	-5.71875	0.140625
-0.0093	-0.76125	0.7375	-5.71875	0.140625
-0.0092	-0.7675	0.7375	-5.5625	0.140625
-0.0091	-0.76125	0.7375	-5.71875	0.15625
-0.009	-0.54875	-0.575	6.15625	0.140625
